 i=           1 k=           1
 ( 0.57971511975071943     , 0.57575922139283842     )
 (-3.24941521960098109E-002,-4.90457684122015056E-002)
 ( 1.26628346032082312E-002,-4.65510642116841455E-002)
 ( 2.91093356244588736E-002, 3.02116518872302085E-003)
 ( 4.45533387129042058E-002,-2.32921938260226905E-002)
 ( 8.04031221927744566E-002,-5.77662507485090654E-002)
 ( 4.09345013343526409E-002, 6.38929595081947632E-002)
 ( 3.90228534054674753E-002,-3.94003935339604164E-002)
 ( 5.59068782964873279E-002, 3.94007884966351696E-002)
 (-3.17118779006083581E-002, 1.16802784461790161E-002)
 ( 0.53705691994875682     , 0.49196196512233498     )
 ( 2.60731839088194639E-002, 9.01755819850962037E-002)
 ( 5.29801742322889013E-002,-2.87577339436604490E-002)
 (-5.00420107513672302E-002, 3.27894123691002265E-002)
 ( 1.74339545649764803E-002, 2.38193692924419699E-002)
 (-4.27385900935178982E-003, 3.05814777782019848E-002)
 ( 0.49045418478599806     , 0.54215042127288371     )
 (-3.11042979132615076E-002,-5.19353688259180032E-002)
 i=           1 k=           2
 ( 0.57283168497882109     , 0.58356029784768804     )
 (-4.18110649096448753E-002, 4.79042222193231948E-002)
 ( 2.23967312323782135E-002,-3.74164040560449815E-002)
 (-3.90541590583058096E-002, 7.25198926786239147E-003)
 (-1.44528456455109960E-002,-8.70563000957967625E-003)
 ( 0.10120671712107307     ,-4.63626216396452948E-002)
 ( 1.34109242656650883E-002, 5.24172466903592444E-003)
 ( 8.56151135889927362E-002, 1.68450160130852664E-002)
 (-8.48544032605853676E-002,-2.36216813860830009E-002)
 (-0.11358381286969163     ,-7.66068735490297720E-002)
 ( 0.44670950907665352     , 0.48517137712394198     )
 ( 2.15199048684035256E-002, 5.18289071172437464E-003)
 (-2.38234246965197023E-002,-7.65882793335743439E-002)
 (-8.76054265126022073E-003,-3.08141827687373297E-002)
 ( 4.58755571296522689E-003,-2.54443417142954861E-002)
 (-5.17290810134321821E-002, 4.00017954357425806E-002)
 ( 0.50969790932351433     , 0.66174095846835590     )
 ( 1.81351110359027207E-002,-1.71711317745432239E-002)
 i=           2 k=           1
 ( 0.51752620651457382     , 0.63160963493730282     )
 ( 1.39181781488228185E-002,-6.32674407489037041E-003)
 (-1.38861666241290524E-002, 4.35546222223230015E-002)
 (-4.75700153062990558E-002,-6.52328441502119383E-002)
 (-1.39008455083146371E-002,-3.59283922651234128E-002)
 ( 5.65030504391213304E-003,-1.95037438279926159E-002)
 (-9.92861039444939142E-002, 1.69388857291791345E-002)
 (-1.95859392460306508E-002,-5.07493159722838261E-002)
 (-4.72585254332262908E-002,-6.08901211538710740E-002)
 ( 1.65073275268001057E-002, 5.55018208331696100E-002)
 ( 0.65839252605699417     , 0.52468393582259265     )
 ( 1.94581657524621338E-002, 6.33039118842505105E-002)
 ( 4.71553621738800346E-002, 0.11835200181938008     )
 (-8.40517307903314997E-003,-9.55994707803780736E-002)
 ( 2.01318510182283382E-002,-2.14589835787856601E-003)
 (-1.06855213771957572E-002,-2.85995443498336076E-002)
 ( 0.46354063446325727     , 0.45749788220456772     )
 ( 1.21399321477780858E-002,-1.08618302765040101E-002)
 i=           2 k=           2
 ( 0.52605359996349377     , 0.59160104914745493     )
 (-4.78680018348592237E-002, 3.68079875369901194E-002)
 ( 9.18582522764015141E-003,-1.25448731288306699E-002)
 ( 1.79973527069306107E-004, 2.19678913762151491E-002)
 (-3.58396704404969312E-003,-6.60792864302939958E-002)
 (-2.93922444370685113E-002, 4.68067671762394319E-002)
 ( 4.16037996644264621E-002,-0.10070260268621292     )
 (-3.72478635830012367E-002,-3.50537223492418740E-002)
 ( 0.10656930518194153     ,-1.55622616882973106E-002)
 (-6.69192583163670963E-003, 3.03690483348482585E-003)
 ( 0.60415657062634531     , 0.53445410739126586     )
 ( 0.10338092257137066     ,-4.21863703406775564E-002)
 ( 8.34075986653831786E-002,-4.05085673175053368E-003)
 (-2.90123720795885040E-002, 3.96072936053911487E-002)
 ( 4.92994827373762351E-002,-3.97274890784366369E-002)
 (-2.10875592949295865E-003, 2.81707497593160668E-002)
 ( 0.52566692507676338     , 0.47835549418363377     )
 (-3.72786621037848737E-002, 6.57604459892379006E-002)
 i=           3 k=           1
 ( 0.52170898125057863     , 0.61470116721130230     )
 (-6.22895002216805743E-002,-8.49691523821042259E-003)
 ( 2.41860538992586249E-002,-5.68255266229092462E-002)
 ( 3.43903072441346588E-002, 5.45655595410767733E-002)
 (-2.72412097551888166E-002, 4.18452671639675672E-002)
 (-1.54481444642241995E-002,-4.47919849055948473E-003)
 ( 2.99205571074617968E-002,-2.50951490845323436E-002)
 (-9.21550787392792087E-002,-2.20504685317975332E-002)
 ( 2.41986153594687323E-002,-3.46881546762824525E-002)
 ( 5.87301178726695253E-002,-2.24618491247923942E-002)
 ( 0.52313802908467533     , 0.53822524277538208     )
 (-3.98557074565740674E-002, 7.43035381850983001E-003)
 ( 1.12808896450967717E-003, 5.00386586021649427E-002)
 (-1.46495646694491909E-002,-4.22304133694492104E-003)
 ( 4.56494538438675032E-002, 4.57516131683477316E-003)
 (-3.46536083776946210E-002, 6.72423249855754329E-002)
 ( 0.45753902801886343     , 0.51417507087087910     )
 (-2.20108922195234938E-002, 3.25220450971586209E-002)
 i=           3 k=           2
 ( 0.58172169758388570     , 0.55453820789687991     )
 ( 0.11080130039862941     ,-1.98376851587860267E-002)
 ( 4.84186296291066950E-002,-6.92457875595395636E-003)
 ( 4.96961893207398392E-002,-1.10088959540349304E-002)
