index: 0
( 7.07661674272142549E-02 , -8.29278611834965290E-02 )
( -8.47901304945897494E-02 , 2.42786348297321486E-01 )
( 3.17206822836453795E-01 , 6.95340119400284229E-02 )
index: 9
( 6.60948119600107020E-01 , 1.02762201075678239E-01 )
( 4.39313045393140922E-01 , 5.94584498783258919E-01 )
( -9.00139554624771687E-01 , 1.28600940058667956E-01 )
( -1.20675914886835184E-01 , -9.60243513071844301E-01 )
( -4.78805362762748987E-01 , -4.75585427784303683E-01 )
( 2.15415804743193440E-01 , 1.73850384822926696E-02 )
( -8.03063087816926480E-02 , -3.75619146851421504E-01 )
( -1.85475564986996133E-01 , 1.94737290540343111E-01 )
( -1.66925436303026226E-01 , 4.54977445995105242E-02 )
( -2.47841511638398737E-01 , 2.12488896360802010E-01 )
( 5.77008866890379779E-01 , -2.66663595396058328E-01 )
( 2.43157589781757194E-01 , -1.44742334746601864E-01 )
index: 10
( 2.96775269196946134E-01 , -1.85586487099385106E-01 )
( -3.56431457146034858E-01 , 2.42202394877806398E-02 )
( 5.02537777552069076E-01 , -3.32519783404311209E-01 )
( 8.68012463645067900E-01 , 2.45703686039343672E-01 )
( 1.09209426787437458E+00 , -3.23771600654739755E-01 )
( -2.33120446252185726E-01 , -9.62285437863730442E-01 )
( 7.54647078896332618E-02 , 2.46561020498774208E-01 )
( 2.76943798975962330E-01 , 1.68957712179880010E-01 )
( -1.54926103692565820E-01 , 1.18103747463667780E-01 )
( -3.85358458921502112E-01 , -1.50640317682365771E-01 )
( 5.54100591483974503E-01 , -3.50429163810260569E-01 )
( -2.15823119301919802E-01 , -7.18193492253857535E-01 )
index: 11
( -2.24221677533691571E-01 , -1.70176021282330087E-01 )
( 4.36489599083151214E-01 , 5.54058562109166000E-02 )
( 5.15929826686699899E-02 , 2.24471859409737295E-01 )
( -2.47039209003166449E-03 , -2.56596090898994655E-01 )
( -5.28086203013602873E-01 , -8.61570654333128905E-02 )
( -3.97362696724624653E-01 , -1.03990632741567751E-01 )
( 4.83487431132671119E-01 , 3.90397144533282114E-01 )
( -1.20869623325692288E-05 , 6.52533944202254523E-01 )
( 1.21085418802323680E-01 , -3.00001643409672114E-01 )
( -1.68086045735228951E-01 , -5.86148059170298996E-01 )
( 1.49405408518938770E-01 , 7.62040598875600994E-02 )
( 1.12615222546114113E-01 , -4.33937781462992445E-01 )
index: 12
( -1.25206658898205148E-01 , 4.54902697160410208E-01 )
( -1.68809668034233029E-01 , 2.82641750590704732E-02 )
( -2.09043679845632546E-01 , -3.32855358489953568E-01 )
( -4.56441617416818324E-01 , 2.02379725668997368E-01 )
( -3.86528384094234179E-01 , 2.02680656543562043E-01 )
( 2.62184577131975183E-01 , 6.19652669553470981E-01 )
( 1.90567627210529222E-01 , 3.75672907283383317E-01 )
( -5.39851801973571965E-01 , 4.35931262767307870E-02 )
( 3.76922133930287284E-01 , 7.03620791633610132E-01 )
( -6.94639018000137443E-02 , 5.47087541090613194E-01 )
( 3.62687387193173505E-01 , -3.13718049146508693E-01 )
( -3.75639453487788377E-01 , -5.01177683389964157E-01 )
index: 13
( 2.00322579614132662E-02 , -1.77299177533640523E-01 )
( -9.19139577448503831E-01 , -2.11222121565351695E-01 )
( -4.31041484648742729E-03 , -2.91402865221306984E-01 )
( -1.57684005782470937E-01 , -6.20511282743996251E-03 )
( 2.47285567379453952E-01 , 6.06925214450094591E-02 )
( 2.40758895314932331E-01 , -1.91357649862153839E-01 )
( 2.29068067604563774E-01 , 2.77200993394051631E-01 )
( 1.82594559375252818E-01 , 1.18728376804820915E-02 )
( -4.50063775307574465E-01 , 1.76036412206884429E-02 )
( -2.90290934220920338E-01 , 2.43739864585831911E-01 )
( -1.55145702813459879E-01 , 1.11174831376441241E+00 )
( -1.02173710810037843E-01 , -6.33300999087673122E-01 )
index: 14
( -1.29376117858318901E-01 , 1.68505836645575557E-01 )
( -2.06295142755299088E-01 , -3.15178702800975541E-01 )
( 6.25252292707410229E-01 , -5.12125108049171107E-01 )
( 6.15550833183435953E-01 , 2.31754393336177811E-01 )
( -2.07566295840407145E-01 , -1.47392774008341970E-01 )
( -2.17605186224087865E-01 , -1.22783804278055117E-01 )
( 2.46743268514023395E-01 , 3.41841312692282351E-01 )
( -1.06961902755115801E-01 , 2.18945958101211424E-01 )
( -1.41271910266738798E-01 , -2.40965997948399541E-03 )
( -5.92064362022207830E-02 , -2.79703163620649176E-01 )
( 2.02553331566606154E-02 , 3.51227540071717748E-01 )
( 2.49920637729805772E-03 , 4.37865833451794917E-01 )
index: 15
( -1.01013560047809731E-02 , -4.97635743056653257E-01 )
( 4.58677760240494503E-01 , 1.16509723025269879E-01 )
( -1.49126439856844317E-01 , -2.33684555504980185E-01 )
( 3.47304393750028501E-02 , 1.00391470569955205E-01 )
( 1.26937942498170891E-01 , -1.30859815722661837E-01 )
( -3.43844288296491662E-01 , 1.22179601211454575E-01 )
( -2.46990235526600210E-01 , 3.03220452300228149E-01 )
( 2.73354780720005852E-01 , 6.99891668324009286E-01 )
( -1.53123431466934690E-01 , -2.08933907137154817E-01 )
( 6.51458769134705462E-01 , -2.61137626736267781E-01 )
( 2.00865047226236354E-01 , -5.69454028405363744E-01 )
( -1.22207819262998198E-02 , -2.15602827430944582E-01 )
index: 16
( 3.50734734361625444E-02 , 6.42171722745123463E-02 )
( 1.34793475804906970E-01 , -7.30308707317891992E-01 )
( 9.59711717683333909E-02 , -3.21416149937855250E-02 )
( -8.26522900216130757E-02 , -4.18936813362401489E-02 )
( -1.32332813252649367E-01 , -8.32617737820566584E-01 )
( 4.24788892891879988E-01 , 1.86717867223265763E-02 )
( -2.58624128257535335E-01 , 2.72248977039427409E-01 )
( 7.78806795614927494E-02 , 5.39515944641841341E-02 )
( 2.16743281979805219E-01 , -4.47715464396491236E-01 )
( -2.48464033925896111E-01 , 1.60418359287799461E-01 )
( -1.31747399713759594E-01 , 2.57191739533380259E-01 )
( 2.02498231582122712E-01 , 3.63718383148348479E-01 )
index: 17
( 5.61443176076915740E-01 , 4.07609689663766608E-02 )
( -1.10236633542843077E-01 , 3.36995035155038813E-02 )
( -9.43693519433719402E-02 , 3.79251027898120263E-01 )
( -5.61079310542147436E-02 , 1.87436337580229734E-01 )
( -4.08285165549707396E-01 , -3.63333490509544665E-01 )
( -2.68044207272515989E-01 , 2.44261815673690152E-01 )
( 4.79985545051638263E-01 , 4.97948048839680524E-01 )
( -5.56909787799074740E-01 , 2.15533256192963624E-02 )
( 6.50560587399218404E-01 , 2.34943247015366286E-01 )
( 2.43639267361253214E-01 , -3.59513787382977790E-01 )
( -1.86985792436778098E-01 , 6.51405950103689513E-02 )
( -3.22793592688284225E-01 , 4.48969285383258143E-01 )
index: 18
( -5.09706460722204116E-02 , 2.51130015968605291E-01 )
( 2.23348173261569971E-03 , 1.32428481755108601E-01 )
( -2.92234326614499829E-01 , -1.06157996102152305E-01 )
( -2.35102963376950885E-01 , 1.00555394427756906E-01 )
( 1.57228759052924189E-01 , 2.06072936293448694E-01 )
( -9.13826249475691299E-02 , -4.15581455190022431E-01 )
( 1.17429289889031216E-01 , -3.11645156307314819E-01 )
( 2.58773745192992011E-01 , 3.41332797115169895E-01 )
( 1.93137657962957371E-01 , -8.25436907408830245E-02 )
( -2.49482945601638501E-01 , 2.51209164003035092E-02 )
( 3.54486544946996940E-01 , 6.05782155329131156E-01 )
( -3.26318192349068503E-01 , -3.51470930140376225E-01 )
index: 19
( -3.50295728752524765E-02 , -8.77573582031996313E-02 )
( 4.36787658934644996E-01 , -6.98471244153679227E-01 )
( 3.84430655482282113E-01 , -1.61220558926139346E-01 )
( 4.90328422301112121E-01 , -1.73520169832772075E-01 )
( -9.48934162402561565E-02 , 1.17516964901840243E-01 )
( 2.89762275235409428E-01 , 2.05254140843702082E-01 )
( -3.64899817528366532E-01 , -1.21366402395846340E-01 )
( 1.10094833741471976E+00 , 5.54768732319652555E-02 )
( -3.69347992616233300E-01 , -5.59839267106241045E-02 )
( -1.79425692944587101E-01 , 7.78414614700510543E-02 )
( -3.87513748810537684E-01 , -2.09214073006568996E-01 )
( 3.94409117823465438E-01 , 2.58099892576485690E-01 )
index: 20
( -2.34021518775899856E-01 , 1.48540237367737582E-01 )
( 1.47398377236030831E-01 , 8.76559460023056125E-02 )
( -2.57214209601080102E-01 , -3.35220253078918756E-02 )
( 2.70049035611917509E-01 , -5.74532908963081512E-01 )
( 4.35522601942407717E-01 , 4.57769831240536551E-01 )
( 6.19389285754602253E-02 , -7.77464232228050722E-01 )
