index: 0
( -1.18017290509730456E-03 , -4.85946472697314897E-04 )
( 1.21024683588062199E-03 , -9.01061434469558839E-04 )
( -9.35399179827780007E-04 , 1.37645450097984598E-03 )
( 2.04256422497538183E-03 , -4.96785089477775688E-04 )
( -4.11912320417537727E-04 , 6.48566448813248987E-04 )
( -7.52536996892062653E-05 , 3.24169578941542946E-04 )
( 4.38285847094622592E-04 , -9.84605343275946673E-04 )
( 9.65344246637775448E-04 , -2.96719671419442291E-05 )
( -3.38102989713603454E-04 , 1.61505951253671474E-03 )
( -2.48687535991471342E-03 , -1.46596423309578675E-03 )
( 3.05097790124161136E-04 , 4.22958045344917028E-04 )
( 5.59902610002210779E-04 , 1.32494100603424065E-03 )
index: 1
( -7.98918766325935567E-04 , 1.72106930090117159E-03 )
( 1.35206100798387322E-03 , 2.29769999594334152E-03 )
( -1.59253494513856859E-03 , 1.05683250370406691E-03 )
( -8.46132932721358247E-04 , -1.11620701249123908E-03 )
( 6.66289877454058661E-04 , -1.13264055937308612E-03 )
( -2.08373009264066055E-04 , -5.54784066345423844E-04 )
( 1.94946380815232470E-04 , 2.37629877052236314E-03 )
( -1.36841418598220824E-03 , -1.42700687192325363E-03 )
( -6.64374044605327480E-04 , 2.03454663859086024E-03 )
( -2.91888030999131885E-04 , -1.19117378369949529E-03 )
( -1.97964359514803210E-03 , 7.57789215540648404E-04 )
( -2.37771888325808323E-04 , 2.88919261384096499E-04 )
index: 2
( -1.76249569767909916E-03 , -3.79564148460384380E-04 )
( -1.04629348600374073E-03 , 6.95890162605925693E-04 )
( 2.16487467295178957E-03 , 8.18630260253305438E-04 )
( -1.32860472525558491E-03 , -4.65571552934490205E-05 )
( -1.18490691607084299E-03 , -9.61133146852456276E-04 )
( -5.01413418052146427E-04 , 4.30454562243765145E-04 )
( -7.46785097915607940E-04 , 8.85197643410767700E-04 )
( 2.22114794951406495E-04 , 3.90811308418903612E-04 )
( -4.21309155969505460E-04 , -1.50291825372428768E-03 )
( 1.36805669225597594E-03 , 4.41347640817099716E-04 )
( 1.60077895427207062E-03 , -6.67415947013941745E-04 )
( -1.94877818798822955E-03 , -7.12465036627727452E-04 )
index: 3
( -2.19728780308758908E-03 , 2.37966401473188940E-04 )
( -3.69825313088495726E-04 , -1.52479368019828548E-04 )
