index: 0
( -2.52554350044805087E-01 , -1.12150763591456837E+00 )
( 3.68542083627679706E-01 , -2.64904178730387019E-01 )
( -1.20512269203133168E-01 , 1.25741518068127012E+00 )
( 6.29152304867182793E-02 , 8.12706949430427095E-01 )
( 1.13937241697771019E+00 , 8.65212040215398298E-03 )
( 1.07914892259952255E+00 , 1.84219710806938636E-02 )
( -2.65246717324669860E-03 , -1.16683437249861147E-01 )
( -1.02534837720671113E+00 , 8.67209206318890827E-03 )
( -4.60967082156601093E-01 , 2.18672867965564524E-02 )
( 9.23190087953839944E-01 , -2.29319473058422513E-01 )
( -1.39395104333360415E-01 , 2.24344071269962059E-01 )
( 8.72642031419324171E-01 , 4.46925866023981766E-01 )
index: 1
( 5.18510131749887915E-01 , -9.13870210600499555E-01 )
( 4.67906954008204090E-01 , -1.09255290975026531E+00 )
( -5.50423519766721658E-01 , -4.75468511854492792E-01 )
( 4.19540598337745929E-02 , -7.71552592416064109E-01 )
( -2.88406472868492358E-01 , -7.72429275861350795E-01 )
( -1.41178974780205801E-01 , 8.95249515745234897E-02 )
( -1.72355558799613218E+00 , 6.63585363362934499E-01 )
( -7.35430648074818505E-01 , 3.82403968349325663E-01 )
( -9.39705309625240903E-01 , -2.87359779043252883E-01 )
( 4.63755775185668573E-02 , -7.64342386661927664E-01 )
( -1.04590046539032011E+00 , 3.24535386864016284E-01 )
( -1.41019448014657378E-01 , -3.95509258508038919E-01 )
index: 2
( 3.17528093950363355E-01 , -6.98138358479246657E-01 )
( -4.58907898930312030E-01 , -1.12420142173880674E-01 )
( 1.07926195225342358E-01 , -6.82180600291241390E-01 )
( -8.46822844129940244E-01 , -1.14730363490160067E-01 )
( -1.13774816388610422E+00 , -7.24845238914522016E-01 )
( -1.15356502290972482E-01 , -2.53365397280931492E-01 )
( 8.31747466203888453E-02 , -6.48202118534813687E-01 )
( -5.41947310381800773E-01 , -3.41056597018917051E-01 )
( -5.47083109350103292E-01 , -7.59570317833069830E-02 )
( -4.11851641847049588E-01 , 3.78028000588717439E-01 )
( -3.42919711779548497E-01 , -8.83152878177366985E-01 )
( -4.62238733250137437E-02 , -9.56161421719686100E-01 )
index: 3
( 5.85133298075874220E-01 , -6.14868170412785076E-01 )
( 3.68076793340365305E-01 , -3.65386766398278162E-01 )
( 6.72010473625600513E-01 , -5.31947283872734489E-01 )
( -8.30047598324913150E-01 , 5.99331400132080749E-01 )
( -2.56167981717321969E-01 , 2.10568486106689129E-01 )
( -1.08588288139994837E+00 , 1.15183152581811488E+00 )
( -6.41109738785597738E-01 , -1.31280598781723601E+00 )
( -2.00858511420175495E-01 , 2.13511740487781265E-01 )
( 7.24223426800416070E-01 , -1.12862434697971326E+00 )
( -1.06968750295297599E+00 , 6.40746151398077446E-01 )
( -1.04598002157696612E+00 , -6.78077682370232471E-01 )
( -2.38004442723097648E-01 , 7.37876039905561831E-01 )
index: 4
( 8.39532679588936293E-01 , -1.13442852084987944E+00 )
( 9.05064864171408301E-01 , -1.88993671266048668E+00 )
( -1.65476500436894269E-01 , -7.91464586219929545E-01 )
( -4.40574440623821117E-01 , -4.18345167103943219E-02 )
( 6.54831933123238175E-01 , -5.88964730982161899E-02 )
( 8.20826915671653889E-01 , 6.43683324268985890E-01 )
( -6.01138356332282742E-01 , -8.09826750801763695E-01 )
( 2.22154640683725230E-01 , -7.53112808473044404E-01 )
( -1.36763053400473544E+00 , -3.27167136454547425E-01 )
( -1.40410743867386234E+00 , 1.35093572889625024E+00 )
( -3.10739404255864715E-01 , -5.32057106978702454E-01 )
( -3.26703245153565858E-01 , 1.08176633945208622E+00 )
index: 5
( 8.55751089271782672E-01 , 6.41709837900903413E-01 )
( 9.04479259606676078E-01 , 3.57653330023062155E-01 )
( -1.22761801725768493E+00 , -6.46451106965455380E-01 )
( 9.25482408873416595E-01 , 1.14846984194307855E+00 )
( -6.75945164501721263E-01 , 1.29235692573239835E+00 )
( -6.75299693190743122E-01 , -6.63037201351304312E-02 )
( 4.84440007880681700E-01 , -1.40573745754764175E-02 )
( -1.04392820325918856E+00 , 4.53274453914146502E-01 )
( 4.26147953640632626E-01 , 3.69183045411648536E-01 )
( -2.84514328930978222E-01 , 1.37265460644708215E+00 )
( 1.36809362626364450E+00 , 8.34030808664508627E-01 )
( -2.19928570823906044E+00 , -6.94996999475383515E-01 )
index: 6
( -1.50934078195862353E-01 , 4.65227403923970773E-01 )
( -7.38471951333408816E-01 , -1.85414598894109522E-01 )
( -1.27031988395613027E+00 , -1.08014487185628094E+00 )
( 4.38421182767569584E-01 , 5.62422075058330417E-01 )
( 2.83760237908804447E-02 , 1.12788177162308823E+00 )
( -1.49668298796000743E-01 , -5.84612468734217350E-01 )
( -3.29393989619690575E-01 , 7.39328442069492886E-01 )
( 7.98495622208812150E-02 , -9.88707008883108474E-02 )
( 6.81288504902868519E-01 , 7.14903248892915566E-01 )
( -6.63913475237736916E-01 , 1.57352451905383883E-01 )
( -8.11433870666590229E-01 , -9.00668100429061480E-02 )
( 4.20134774911496811E-01 , -1.24084069581109890E+00 )
index: 7
( 1.98170255285032598E-01 , 8.34136657766841427E-01 )
( 9.69024653046182904E-01 , -2.84490271149481277E-01 )
( 1.49871339989885399E+00 , -1.88709779160033819E+00 )
( -4.69185903740015009E-01 , -5.29314078641006033E-02 )
( 6.67627177608271394E-01 , 2.41706828197657653E-01 )
( -1.32148418232554321E+00 , -3.67378189499487307E-01 )
( 9.31078128915823089E-01 , -2.54492722821749728E-01 )
( -1.49281742378362758E+00 , -2.44338757650065325E-01 )
( 7.62718175579104041E-01 , -4.60874476368416525E-02 )
( -1.38990080971080809E+00 , -3.75230054652527012E-01 )
( 9.13148047500314863E-01 , 5.16310302761026740E-01 )
( 6.00788818867267427E-01 , -3.01792892403723693E-02 )
index: 8
( 7.27888321357802015E-01 , -8.68488944521170314E-01 )
( -5.51820035225701111E-01 , -1.83400994906512210E-01 )
( -2.43706646170511715E-01 , 6.65337585081798966E-01 )
( -1.61125151784120679E+00 , -2.84396258594032288E-02 )
( -2.51353925034725534E-01 , 9.95394137249645761E-01 )
( 3.44829253747205022E-01 , -1.53807190663619364E+00 )
( 2.08948548253371467E-02 , 8.93909599302187718E-01 )
( 1.46544492020265982E+00 , 7.28352838830487848E-01 )
( 1.52285674355762501E+00 , -7.78291572058853021E-01 )
( 5.30395421630422415E-03 , -4.19207524649145014E-01 )
( 8.60439358787981612E-01 , 3.26876216642183137E-01 )
( 4.77715361661286586E-01 , 5.04797049397665010E-03 )
index: 9
( 1.97260794204351497E-01 , -9.68926994448834900E-01 )
( -3.62143546602126276E-01 , -1.51769658728204082E-01 )
( -7.86024771546541823E-02 , 1.10496939246264603E+00 )
( -2.49225089774903513E-01 , -3.50778157463514539E-01 )
( -1.29787677800353052E+00 , -6.32862217403418525E-01 )
( 2.52561671411282829E-01 , -6.13495752841552888E-01 )
