index: 0
( 2.58467146761021289E-02 , -6.96622845308951522E-03 )
( 1.13896827847063953E-02 , -8.21685133886988772E-02 )
( 4.65235442948738406E-03 , 3.77744195211841410E-02 )
( 3.83064060125847955E-02 , 6.05848780179550420E-02 )
( 7.90478535536015547E-02 , -4.56156485464576378E-02 )
( 1.63665363124599894E-02 , -3.01877045144870876E-02 )
( -3.97237048480227062E-03 , -1.36449262363532303E-02 )
( -1.25662567458623663E-02 , -7.81793724391485062E-02 )
( 2.84232816769754149E-03 , -1.10910828385699656E-02 )
( 8.91743877406855900E-04 , 1.84260524035070490E-02 )
( 1.09988863644160523E-02 , -2.67754444672590949E-02 )
( 1.06819157788880237E-03 , 1.19757873168543430E-02 )
index: 1
( -4.08731665161891494E-02 , -2.12091846873806444E-02 )
( -3.67291855189462169E-02 , -9.28136915920880629E-02 )
( -4.72550611633615249E-03 , -6.08611754303744895E-02 )
( 1.39464495901821389E-02 , -7.44873553620265666E-02 )
( 2.88563428414301722E-02 , -2.42461638927983572E-02 )
( 8.53115091758507860E-03 , -1.58003361550030190E-02 )
( -1.40081407214854570E-02 , 4.74899086498592887E-02 )
( -3.79927150077494155E-02 , -6.09870568713805419E-02 )
( -4.11273926536313006E-02 , -3.52120272498578357E-02 )
( -2.54398963637597619E-02 , -1.53198335671964649E-02 )
( -2.17055383641598376E-02 , 1.17270250856559149E-02 )
( -3.68801457235413549E-02 , -8.60711358946742167E-02 )
index: 2
( -3.18713395316353506E-03 , 5.41243506134618663E-02 )
( -1.89283067632264462E-02 , -3.69306594558784090E-02 )
( 3.76706656883268945E-02 , 3.49409780273213094E-02 )
( 7.32935345266784860E-02 , 4.92928726264632577E-03 )
( -1.17961804723329122E-02 , 9.08782272134409097E-03 )
( 5.44475969163865300E-02 , -2.58679218205731185E-02 )
( -1.29023391391124807E-02 , -6.30914699792549383E-02 )
( -2.16925787172958517E-02 , -1.49410417800508871E-02 )
( 5.20678754134112493E-02 , -5.66116107373431238E-02 )
( -1.86645663986415716E-02 , 5.85653228551902133E-02 )
( -1.03518145689445590E-02 , -1.18389680295777830E-02 )
( -3.36606103532195305E-02 , 2.80266546439157938E-02 )
index: 3
( 4.54437597215181233E-02 , 1.80372548707287417E-02 )
( 1.51943089183485536E-02 , 3.99776519678644790E-02 )
( -2.64509465410735639E-02 , 6.00755994266640499E-03 )
( 4.52137271924633877E-03 , 9.74848270366659997E-04 )
( -1.14105348155997960E-02 , 2.13445679829717128E-02 )
( -2.31525354624722360E-02 , -6.35689216576577620E-02 )
( -9.47503249996839991E-02 , -1.23891771479063967E-02 )
( -2.32035323400622343E-02 , 3.07728271387893715E-02 )
( 3.19242258693600289E-02 , 2.99484822974580636E-02 )
( -5.31698339816246493E-02 , 2.96359819667678381E-02 )
( -5.21980097699750456E-02 , 4.74204548116939420E-02 )
( -9.36188919835931332E-03 , -2.06092156761585182E-02 )
index: 4
( 8.59555805660367489E-02 , -1.28216806257988480E-01 )
( -5.04494877527075503E-02 , -8.27954494435274857E-02 )
( -5.77761667470587589E-02 , -8.32460212495229890E-03 )
( 8.68847038029210705E-03 , -4.59353978019016868E-02 )
( -5.63193342825110688E-02 , -6.09608189679216317E-02 )
( 1.57596193639867321E-02 , 7.56465991552297823E-03 )
( -3.47504210280295545E-02 , 1.90383238712181491E-03 )
( 4.58232826957762074E-03 , 2.60467172416029014E-03 )
( -1.85830291682461540E-02 , 9.43501414542445849E-02 )
( -4.52376644331666661E-02 , 6.51125438636962484E-02 )
( -8.34919656703630858E-02 , 3.10393485848997619E-02 )
( -1.23095636105030132E-01 , -2.34850413916371653E-02 )
index: 5
( -9.00793508587333924E-02 , 1.97290257862051122E-03 )
( 5.28697496460102598E-02 , 5.65803880381864355E-02 )
( -5.39098218242880858E-02 , -1.90748790626869835E-02 )
( -5.33050433088282996E-02 , 4.85898400004806594E-03 )
( 2.48086059166675553E-02 , 3.39251551013622366E-02 )
( -3.62866171264029508E-02 , -6.15646349652475278E-03 )
( -2.17106389430760105E-02 , 2.01175270566363307E-02 )
( -5.73446420117004058E-02 , -4.57995163803230423E-02 )
( 3.40905822246528600E-02 , 3.35100182940124142E-02 )
( 4.22687354041152985E-02 , -1.94353960959514904E-02 )
( 1.72262861844817150E-03 , 4.01665997670491541E-03 )
( 1.61206946616984648E-02 , -4.18165942647891024E-03 )
index: 6
( -9.62736819869283722E-03 , 6.04553483371525549E-02 )
( -3.40909996492682749E-02 , -3.11880509309594052E-02 )
( -4.07941892396132544E-02 , 1.16120925584563689E-02 )
( -7.03174528968554813E-02 , 5.14262451783175228E-02 )
( 2.74970282103685071E-02 , 7.72865300000531996E-02 )
( -4.33051988529321655E-02 , 1.75980266653338741E-02 )
( 6.56022758882719437E-02 , 1.79830672883511955E-02 )
( -6.05181024414089969E-02 , -7.00702103779056867E-02 )
( 1.25084019772370107E-02 , 1.95703873687037497E-02 )
( -1.94556255408566692E-02 , -2.07438732535821443E-02 )
( 3.57486860777436188E-02 , 8.88828798785683272E-03 )
( -1.72134262589267589E-02 , -5.77212656000848298E-02 )
index: 7
( 3.09616051741792228E-02 , 9.88838638625300081E-03 )
( 7.14155667355522231E-03 , 9.53887492959000494E-03 )
( 3.87453395492979580E-02 , -9.07676055817895899E-02 )
( 6.26954875569133846E-02 , -5.52487552821920580E-02 )
( -3.76183745341379661E-03 , 1.86331165822519566E-02 )
( -9.84931663208165192E-02 , 2.73768560072766599E-02 )
( 4.12670643273162080E-02 , 6.47918065057872042E-03 )
( 1.99600983790553174E-02 , -5.78723411698102153E-02 )
( 5.64526401937705397E-02 , 6.58695217182777848E-02 )
( -8.33142031988651499E-02 , 2.66244187505013663E-02 )
( 5.84709349678944335E-02 , 2.87863932018826013E-03 )
( 3.09455713943707494E-02 , -5.45990657336548335E-02 )
index: 8
( 6.02785864310095149E-02 , -2.00313198997220665E-03 )
( -3.32613889731930845E-03 , 1.42704236235080446E-02 )
( -4.45485317100833972E-02 , -6.68821460432395265E-02 )
( -3.46333715776517004E-02 , -6.08263683354559742E-02 )
( 4.87787571471853254E-02 , 7.56707426900699032E-02 )
( 4.87046240594918856E-02 , -6.48217403849338236E-03 )
( 3.10487834272241553E-02 , -3.89560158949309523E-02 )
( 8.94921386601643526E-02 , 1.21137971810138009E-01 )
( 6.37057863409309227E-02 , -6.01649374758551070E-02 )
( -3.05626118155286342E-02 , 7.52810201260226131E-03 )
( 3.42321063679628113E-02 , 5.03995768044730730E-03 )
( -1.88954016594215790E-02 , 1.07033666241485886E-01 )
index: 9
( -1.52716771045031986E-02 , -3.00496183495073121E-02 )
( 3.29890673101347620E-03 , -2.54843640579094088E-02 )
( 8.87530025614326895E-03 , 8.19452498717810063E-02 )
( -3.62494978134008244E-02 , 7.54755914150798402E-02 )
( -4.86736237908576078E-02 , -6.31908571294448607E-02 )
( 9.32278222300921087E-04 , -2.64453059900231074E-02 )
( 7.69372204201932558E-03 , 3.30330240635626216E-02 )
( 2.73804448403362280E-02 , 2.45025856786884599E-03 )
( -1.30181882337875032E-03 , 3.28204912017341713E-02 )
( -2.17298632583516824E-02 , -4.95341937026723134E-02 )
( -4.48384216899271187E-02 , 4.38126994348723084E-02 )
( -2.40281269287865862E-02 , -1.83989236013306634E-02 )
index: 10
( -1.55513582504612086E-02 , 3.88102479641165843E-02 )
( 2.83244429608137116E-03 , -4.58606787495774021E-02 )
( 1.13476847069982345E-02 , -1.07266541957035666E-02 )
( 6.35186601684149532E-02 , 4.75564039808041433E-02 )
( 3.40847781711253739E-03 , -3.58284780500124633E-03 )
( -7.72937825881656604E-02 , -9.30506192386049147E-04 )
( -3.82702721408941793E-02 , -3.35835384234379891E-02 )
( -8.94050047059562897E-03 , 2.26279648119225713E-02 )
( 6.33170715715614951E-02 , 3.79878389813147199E-02 )
( 7.87220059512289960E-02 , 7.45057655737635383E-02 )
( -4.45788040488593607E-02 , 1.26527806559700584E-02 )
( -5.35036636581566194E-02 , -5.35538458684750654E-02 )
index: 11
( -2.98255504536203975E-02 , -3.48093754757620166E-02 )
( -2.66095558714074393E-02 , 2.74999667335098230E-02 )
( -7.45301928521718837E-03 , 6.64025872629728231E-02 )
( 3.22903200093968140E-02 , 3.40334327194521946E-03 )
( -1.78213944333266983E-02 , -2.26387355672973238E-02 )
( 1.86752492154369752E-02 , -1.92344559208031396E-02 )
( -5.31217168370905907E-02 , -3.22902263388993860E-03 )
( -5.91959673959821520E-03 , -8.21475372548026578E-02 )
( 2.25494932201775328E-02 , 4.61550009616793280E-03 )
( 2.29119050854915962E-03 , 1.55880989156570379E-02 )
( -9.90015227816859467E-03 , -4.25290041869853114E-02 )
( 1.03363762039357793E-02 , -5.25793354221808923E-03 )
index: 12
( 2.74519388782199503E-02 , 2.50239791290033931E-02 )
( -3.79541338150202606E-02 , -9.27500232274470482E-02 )
( 3.54409482353341965E-03 , -3.22793611265849156E-02 )
( 4.77289043193662998E-02 , 2.58284942809970525E-02 )
( 4.06349824384693997E-02 , -4.68564144550812425E-02 )
( 5.00737478868565344E-03 , -3.37469229513274321E-02 )
( -6.39045618969800028E-02 , -4.48098649596754550E-02 )
( -3.81529698463691641E-02 , 8.54278202838277406E-03 )
( 1.17450041563404509E-02 , -6.39861519040286209E-02 )
( -3.91187307418336266E-02 , 5.96630420184757204E-03 )
( -2.35046214388755920E-03 , 5.28166223731808965E-02 )
( -5.20073439454210411E-03 , -7.43159603429593141E-02 )
index: 13
( 3.50084452147056274E-02 , -3.33294657071642256E-02 )
