index: 0
( -2.19008758247791801E-08 , -3.32693000702766971E-08 )
( 1.39693645352458810E-08 , 2.03411951166343086E-08 )
( -1.08194127896713713E-08 , -3.19007568186360318E-09 )
( -1.36413304641111601E-08 , -1.26376594486891472E-08 )
( 1.13492656306438305E-08 , 2.73542608099217916E-08 )
( 1.95885219213163111E-08 , -3.04405287490343135E-09 )
( 3.61092325587448639E-08 , -1.23578594472812554E-09 )
( 5.52591855880160571E-08 , -3.41726131983236491E-08 )
( -1.15415810105585375E-09 , -4.01962664975888334E-08 )
( -1.48767272395150140E-08 , 9.50529675943261271E-09 )
( -2.52842119243219089E-08 , -2.78512551075578361E-08 )
( 3.24673858974450255E-09 , 1.05887617203430512E-08 )
index: 1
( -1.01131599376100320E-09 , -2.67770925355272785E-08 )
( -1.12717189558545252E-08 , -4.84595743709122253E-09 )
( -9.75028909823698939E-09 , -1.39714867314415812E-08 )
( -1.54691997061005532E-08 , 5.05181802486277304E-10 )
( 3.72145449525006455E-08 , 2.64296786912909694E-09 )
( 1.32421098645798258E-08 , -1.98737125978690479E-08 )
( -1.50388739882761568E-08 , 1.56877222541447435E-08 )
( 2.12169234019399911E-09 , 1.28838008445936947E-08 )
( 9.78503730426219195E-09 , 2.80177005645582228E-08 )
( -3.43432800531910868E-09 , -3.06291469340383214E-08 )
( -1.75701544376672548E-08 , -2.81472821374701728E-08 )
( 1.56847393645906553E-08 , 1.13169313303573342E-08 )
index: 2
( -6.35119342441191491E-08 , -1.63471578953073744E-08 )
( -1.79248910182307977E-08 , 1.28016020217523139E-08 )
( 1.78696877497617847E-08 , 2.42950121250029128E-08 )
( -1.98446167173303258E-08 , 2.48929316180080243E-08 )
( -1.92268487494753537E-10 , -4.48024964724197478E-08 )
( -1.48567100817442468E-08 , -2.64180522664905334E-09 )
( -7.29628279243222262E-10 , -1.48272544078273514E-08 )
( 8.74576132362181598E-09 , 2.80686837650868106E-08 )
( -5.86981824745692329E-08 , -6.38816015172452893E-09 )
