index: 0
( 7.76626232109762816E-11 , 5.94762135890628074E-11 )
( -2.97898719919835043E-10 , 9.15670936333425157E-11 )
( 1.43732229529717486E-10 , -1.76036095821081779E-10 )
( -4.67384451580547042E-11 , 1.05492650146522722E-10 )
( -6.52120332877435690E-13 , 8.95543470685327658E-11 )
( -1.12344703133439901E-10 , -7.12810549050252481E-11 )
( 1.99023119659413003E-10 , 8.24771826029855061E-12 )
( -1.07744037686815047E-10 , -9.61476032797238078E-11 )
( 5.81515068428236168E-11 , -7.35052894855515310E-11 )
( 2.39082921331519607E-10 , -3.75898325663408737E-11 )
( 5.65683476955491779E-12 , 1.07026560603444137E-10 )
( 3.72438747165894913E-11 , 1.26072410735737856E-11 )
index: 1
( -1.35996814660838499E-10 , 3.01165376150750563E-11 )
( 5.80782201819140786E-12 , -1.27118793497350761E-10 )
( -2.73988093880393096E-10 , 7.45885078221640807E-11 )
( -6.70581983501907825E-11 , 2.89291493072381993E-11 )
( 8.91642838314232247E-11 , -9.11460320091759794E-11 )
( -2.19882891507984709E-12 , -1.00485949379162171E-10 )
( -1.43933783961247055E-10 , -5.26651440885289782E-11 )
( -2.80594379595803033E-10 , -9.46907904314053099E-12 )
( -1.11271188402142134E-10 , -7.29185987458876902E-11 )
( 5.36750080475706428E-11 , -2.41738352266813015E-11 )
( -4.11809848294148593E-11 , -1.08739583866671704E-10 )
( 1.08269101386487471E-10 , -1.04785446186939150E-10 )
index: 2
( -3.63181424497243768E-11 , -3.33766740116459411E-10 )
( 2.88386989247320966E-10 , -5.81041514448320362E-11 )
( 5.30213796618808095E-11 , 8.62979236688142202E-11 )
( 1.23497801240144081E-10 , 8.88218698314869242E-11 )
( -4.95504161744652647E-11 , -2.19142737266059932E-11 )
( -2.23315066000795017E-10 , -1.61163555952342299E-10 )
( -1.35103864039687775E-10 , -1.45505837626820399E-10 )
( 2.48736176471423907E-10 , -6.94900120129011655E-11 )
( -3.74767545971147585E-11 , 7.36815421856729114E-11 )
( 6.27602366132525054E-11 , -7.16896102885597283E-11 )
( -1.41242168297059253E-10 , 4.93772618972490698E-11 )
( 5.65906079255575679E-11 , -2.47861432095414828E-10 )
index: 3
( 1.50001281266912270E-10 , -6.55731010482716105E-11 )
( -1.63986518631543338E-10 , -2.53126692044553795E-11 )
( -7.09717023203409580E-11 , -7.67834623967915738E-12 )
( 5.78415309856491296E-11 , 1.25551194213426867E-10 )
( -6.89096710267928018E-11 , -2.99497093501044437E-10 )
( -5.18330892519887700E-12 , 7.81879619749451548E-11 )
