x=0,y=0,z=0,t=0
( 1.10006557578191087E-05 , -4.65947523202846197E-06 )
( 1.60287720158279539E-05 , -6.92546497890732203E-06 )
( 2.24739358523751002E-05 , 7.35613171268041354E-06 )
( 9.69221361053004120E-06 , 2.22969493235083547E-05 )
( -5.55383117024327408E-06 , -2.54007759317947626E-05 )
( -7.33698017134620902E-06 , -1.70852382803454330E-05 )
( -1.31377605491138147E-05 , 7.40934267320293517E-06 )
x=1,y=2,z=0,t=0
( 9.26180631829335317E-06 , -1.21514331828976683E-05 )
( 1.72102594532284325E-05 , 3.45015146962222207E-05 )
( 7.12741003355163361E-06 , -2.84564100716008418E-05 )
( -9.99241160767964706E-06 , 4.97444186359957322E-06 )
( 1.38235380023974705E-05 , 2.18986653621023076E-05 )
( -1.68790267867038692E-06 , -1.66415697949252102E-05 )
( 2.82324319152971205E-05 , -1.17859734505598553E-06 )
( 2.96630941752501419E-05 , -1.77946478278751009E-05 )
( 2.90989213282721937E-05 , -2.35626947845851950E-06 )
( 2.57738123209390523E-06 , -2.58442899989431589E-05 )
( 1.36719156523104756E-05 , -1.08319995842210036E-05 )
( -3.49420709711734760E-05 , 1.86480897215100592E-05 )
x=2,y=2,z=0,t=0
( -1.10197060740007661E-05 , 6.39460912611303995E-06 )
( 1.37679550722699331E-05 , -6.47104165265596970E-06 )
( -4.24458957826073834E-05 , 5.46771255512323254E-05 )
( 4.46438540454970352E-05 , 1.90231047788755180E-06 )
( -9.54052407606376554E-06 , -2.18121955912182913E-05 )
( -1.58252956511997620E-05 , 4.75913097067825676E-07 )
( -7.54810510359231084E-07 , -5.05846691429612439E-05 )
( 2.05507228172146768E-06 , -5.65768366003044761E-05 )
( 1.74864932506260616E-05 , -4.46208378012902943E-06 )
( -8.49490992759005065E-07 , 1.38441212502838220E-05 )
( 2.06143806157402560E-05 , 5.21451666322503950E-06 )
( -7.81710509812862677E-06 , 1.00763125684783426E-05 )
x=3,y=2,z=0,t=0
( 1.66152260939170625E-05 , -4.60402782209082629E-06 )
( 1.40992734375142794E-05 , -1.24129887149071561E-05 )
( -7.46863411547562184E-06 , 7.92807776037212207E-06 )
( 1.68003301850126848E-05 , -5.55134734361609958E-06 )
( 1.71116066841154403E-05 , 2.90507825548926429E-05 )
( 4.10243193384258729E-06 , 1.71587846479635134E-05 )
( 1.00167307476616581E-05 , -8.14574688957361489E-06 )
( 5.96330299021541084E-06 , 7.93888548750848987E-06 )
( 6.29172895431805837E-06 , 1.24593736778654354E-05 )
( 6.32928713277129129E-06 , -1.22047747705718550E-05 )
( -8.23608062260534991E-06 , 1.98753862442876168E-05 )
( 1.88590091559188652E-05 , 5.93410174121119743E-07 )
x=0,y=3,z=0,t=0
( -2.11874193865325233E-05 , 1.44512103145898633E-05 )
( 2.62143732316041277E-06 , 8.71463692591020845E-06 )
( 1.79684432527359187E-05 , -1.33511705082772003E-05 )
( 2.42663138509788983E-05 , -1.72604748492203157E-05 )
( 2.85289564653879418E-06 , 8.40787240004003696E-06 )
( -1.75459950212194059E-05 , 9.78895125034503440E-06 )
( 1.44619883160938887E-06 , 7.10403016519890549E-06 )
( -5.22373009784966878E-06 , 1.29845337594937585E-05 )
( 1.14192682395565817E-06 , -1.11529362870254334E-05 )
( -8.90590777528825683E-06 , -1.62309130990331369E-05 )
