index: 0
( 2.30081312422020919E-09 , -3.46007317552083920E-08 )
( -8.39396736892399083E-08 , -1.57405240196317008E-07 )
( -6.52440235618687201E-08 , -1.25037987953471521E-07 )
index: 9
( -1.02436716234140918E-09 , -3.61786872563665640E-08 )
( 2.13265848743373217E-08 , 1.42876332702073821E-07 )
( 2.75116501428250307E-08 , 7.75359690680026707E-08 )
( 2.87895562795055821E-08 , -2.02457699368505382E-08 )
( -2.74190444614184879E-08 , -1.86427321727995892E-08 )
( 2.69585227906793257E-08 , 3.31765721483088937E-08 )
( -3.96593998953453866E-08 , 7.51610357573649956E-08 )
( 6.90336345837575615E-09 , 2.50693019336932233E-08 )
( 1.45149253180731674E-08 , -1.03813553418985389E-07 )
( 4.14435311031616810E-08 , -1.37966413943308560E-07 )
( 6.18615007299924635E-08 , 1.12443357900024223E-07 )
( -1.45101624386657845E-08 , 1.17198839559359370E-07 )
index: 10
( -1.83733784027679005E-07 , -1.76663425473436656E-07 )
( 2.14751322265587570E-07 , 2.18036302113740899E-07 )
( 1.70029107375445380E-07 , 5.28192999977685920E-08 )
( -8.02710015291174028E-08 , -1.72321502180817016E-07 )
( 2.67352343936608744E-08 , 3.53237691197459692E-08 )
( 8.13262701647030252E-08 , -5.95677657869808150E-08 )
( 5.82967268973649895E-08 , 2.24490185622712527E-07 )
( -4.38363276732540445E-08 , -8.42322969241491275E-08 )
( -1.49845242103273785E-09 , -2.50851086970051693E-07 )
( 7.16013091852246018E-08 , -8.42377430503866520E-08 )
( 6.61069116498130970E-08 , 1.36645097671055339E-07 )
( 3.88922393972610680E-08 , 1.33839428323574106E-07 )
index: 11
( -6.26861726710241048E-08 , 8.26314169537795109E-09 )
( 3.63146853357275306E-08 , -4.78832400057447393E-09 )
( 2.95933003160369877E-08 , 4.29567893689773003E-08 )
( -2.16882978110549311E-07 , 8.95002406000157707E-08 )
( 3.14654886491208545E-08 , 1.47078231935910559E-08 )
( -9.91456144692943255E-09 , -2.06855993195270407E-07 )
( -8.77727282774905021E-08 , -4.71715538607793526E-08 )
( -5.32584524987929514E-08 , 7.04621191080663634E-08 )
( 7.92369482781999049E-08 , -5.30415916171410632E-08 )
( 5.36047006144377061E-08 , 3.29410181215177184E-08 )
( -1.63729343615042187E-07 , 6.67232655163654755E-08 )
( 4.94024090528374612E-08 , 9.08944922736787585E-08 )
index: 12
( -9.06209687876670858E-08 , 1.13513310390437883E-08 )
( -2.81712416797498515E-08 , -5.01226949792372673E-08 )
( 2.06550220435520212E-08 , 1.37234745283372913E-07 )
( 1.40028335853386474E-07 , -6.80276464231244083E-08 )
( 1.18818569302708027E-07 , -2.30439483750225811E-08 )
( 8.05875261694481548E-08 , -9.55148462546014437E-08 )
( 1.54754578844537128E-08 , 3.12062055216295944E-08 )
( 2.53291342623876768E-08 , -1.30638384135294771E-08 )
( -1.17107439994638413E-07 , 3.22652997465331340E-08 )
( 4.91141998727008310E-08 , -5.06263975049932647E-08 )
( 1.30439663362706358E-08 , 8.97564386658263688E-08 )
( 2.07736079010363319E-08 , 2.95886548881812553E-08 )
index: 13
( -1.74055371980818071E-07 , 9.17088885169530171E-08 )
( -8.97237087851290427E-08 , 4.84136939929311140E-08 )
( 5.75338756283690236E-09 , 7.51106098737561232E-09 )
( -1.09040180051114792E-07 , -5.93669942390454789E-08 )
( 4.95654009033660671E-08 , -4.92883374296815261E-08 )
( 1.13242569541544561E-09 , 4.38053493999548522E-08 )
( 6.73229552275715832E-09 , -3.82925953984082970E-08 )
