index: 0
( -2.98167263017967764E-04 , 1.08047297225306806E-03 )
( 2.93296381227877443E-03 , 8.22660250418124158E-05 )
( 1.58224082518015983E-03 , -3.56533375027771665E-04 )
index: 9
( -1.17651067143413873E-03 , 1.08224402817669535E-03 )
( 1.34032782022470986E-03 , -1.71805342898617838E-03 )
( -1.16369978521705525E-03 , 2.52902804669465444E-04 )
( -4.61897713600526610E-04 , 2.13463406256529339E-04 )
( -1.32379788319785820E-04 , -3.32162216468446679E-04 )
( -9.78260450548677470E-04 , -3.04643827245783868E-04 )
( 6.77037503758070106E-04 , 3.19165908461814442E-03 )
( 5.53055006651122791E-04 , -5.51919574573131260E-04 )
( 1.10742471415521031E-03 , -9.33572880966668781E-04 )
( 2.66103195700668300E-04 , -8.18311435366716479E-04 )
( 7.62805200862961760E-04 , 3.65360143806242642E-04 )
( 1.29953538562402890E-03 , 8.28633368302171373E-04 )
index: 10
( -1.18770744240633236E-04 , 2.43426337065097680E-03 )
( -3.89903556906103605E-03 , 6.95210993115593810E-04 )
( -9.91941292703593441E-04 , 2.08946937462211680E-03 )
( 5.71702660352771484E-04 , -2.14818798186951513E-04 )
( 3.87485775148653511E-04 , 3.84483978689045955E-04 )
( 5.65118363791275403E-04 , -1.10911009619662831E-03 )
( -5.98129982287615917E-04 , -4.73267048050329863E-04 )
( -5.00397372973092813E-04 , 1.65599915715770505E-03 )
( -3.18973872054094582E-04 , 1.96200567035723929E-04 )
( 5.47816649380729759E-05 , 7.27719201770441327E-04 )
( 5.50596662022866199E-04 , -7.33553564950248978E-05 )
( 1.26199939585379135E-03 , 3.21842684134423347E-04 )
index: 11
( 1.51853014605631887E-04 , -1.99539338918430049E-03 )
( -1.00349802810287796E-04 , -2.06105356573119862E-03 )
( 1.22210110048762973E-04 , 3.75195608467926260E-03 )
( 1.69000175350778091E-03 , -7.57601438542828353E-04 )
( -2.06746311866504986E-03 , 6.98944335348036187E-04 )
( 2.03405771920885624E-03 , 1.23074328405234487E-03 )
( -6.06452672598489870E-04 , 2.51493422309687336E-03 )
( -1.37731803052776628E-03 , -7.75590042368612788E-04 )
( 4.53731445890349135E-04 , -1.63854459878791381E-03 )
( 1.68169754273845705E-03 , 1.75329813063575062E-03 )
( 2.01388895861006950E-04 , 2.20854060922652008E-03 )
( -1.41026757251665798E-03 , 1.22410390790921291E-03 )
index: 12
( 1.24426611640437762E-03 , 1.72677771418990773E-05 )
( -1.13009462566340032E-03 , -3.65265790494456223E-04 )
( 6.30180044000375758E-04 , -1.32854508773758563E-03 )
( -5.74239367377873174E-04 , 4.52796262427507343E-04 )
( 6.86469465460350049E-04 , 1.64070074587301367E-03 )
( 1.75376913323616913E-04 , -1.47756021666235250E-03 )
( 6.44601808863756753E-04 , 3.68688717170264355E-04 )
( 2.55450696430872229E-04 , -1.60147323800608572E-03 )
( -6.57279837484352897E-04 , -1.99291397006322009E-03 )
( 2.03512117028321806E-05 , 1.06873601815035192E-03 )
( 3.49674024819079943E-03 , -8.81943848502994587E-04 )
( -1.17670696701531203E-03 , 4.86198149423043514E-04 )
index: 13
( 6.04733001548404402E-04 , 1.62133892767465275E-04 )
( 1.90874708193214566E-03 , 5.69570324071303467E-04 )
( -1.52898844018149282E-03 , 1.22329133176047092E-03 )
( -1.73099985256511594E-03 , 7.82927223870362888E-04 )
( 9.65991525203261986E-04 , -1.48420126308337246E-03 )
( -7.84073649462565256E-04 , -8.82139408017372810E-04 )
( -8.67949814213269093E-04 , 4.57359176474584684E-04 )
( -1.58673984822222704E-04 , 4.74670421171298203E-04 )
( -1.43944035218657130E-03 , -3.24218172780949606E-03 )
( -5.25810249165396576E-04 , 1.71651801060273028E-03 )
( 6.51877343883416026E-04 , 9.06206482215726446E-04 )
( -2.92455131608908075E-04 , -7.71580476068692289E-04 )
index: 14
( -1.73153742625715306E-03 , -7.16283912562617987E-04 )
( -2.10050989157671000E-03 , -1.51299358352691680E-04 )
( -9.17309285912370977E-04 , 1.80823262823971318E-03 )
( 1.38005755515296794E-03 , -6.87967947517577143E-05 )
( -8.54878406940981776E-04 , 1.22998782458881573E-04 )
( -1.70293648450808377E-03 , -3.47778577521851173E-04 )
( 9.08980191901811053E-04 , 1.89690744006027400E-03 )
( -2.36417926340237424E-03 , -1.50533291966489704E-03 )
( 1.28347719605813640E-04 , 3.45949164890500252E-04 )
( -8.81627368105114621E-05 , -1.58202957858541568E-03 )
( 2.54432056356863152E-03 , -1.56383058593422388E-03 )
( 1.94235226669409980E-04 , -3.07577946043781196E-04 )
index: 15
( 3.90828033338354395E-04 , -4.01192669067267061E-04 )
( -2.44211420688029697E-04 , -7.27389835319176619E-04 )
( -1.32627291185794774E-03 , 7.92942444118359424E-04 )
( -2.31229753809282577E-04 , 1.39082888198419465E-03 )
( -1.83734138207469972E-03 , 1.37548986970206441E-03 )
( 7.16350133860591269E-04 , 1.48102717814539058E-03 )
( -1.13785130175604685E-03 , -6.30214355216079459E-04 )
( 1.91648953720758989E-04 , 8.33041481945346989E-04 )
( -5.63158181819161849E-05 , -1.05367309214042071E-03 )
( -1.82633065177198760E-04 , 1.91568590965733544E-03 )
( -2.30624735748148976E-04 , -1.01372524147548678E-03 )
( 1.99510060204872736E-03 , -8.81477911417972374E-05 )
index: 16
( -8.31966445564911962E-04 , 1.47060620808341265E-03 )
( 4.69664258552723835E-04 , 2.68408019729437543E-03 )
( 1.61780960258570724E-03 , 1.88891410315746152E-03 )
( -8.89373210485813401E-04 , 1.06644018365147086E-03 )
( 1.95696539734908047E-03 , -6.33282020564521642E-04 )
( -3.89933127815741791E-04 , -2.57846044698249548E-04 )
( -1.46036786253734793E-03 , -2.61219091717946423E-04 )
( -6.68329116121475558E-04 , -3.96376350147321769E-04 )
( 1.73348458130349989E-04 , 2.20326751678310380E-03 )
( 1.74705432839762729E-03 , 1.21025426169545330E-03 )
( 6.93261724788496935E-04 , 1.30823545152025135E-03 )
( 9.60249566070063695E-04 , -1.53077306301892691E-03 )
index: 17
( 2.86582541700008703E-04 , -1.39535411466306129E-03 )
( -9.65142393645533484E-04 , -1.78589018819971953E-03 )
( 1.18032148387672928E-03 , 1.10490217390686336E-03 )
( 1.42607061794163860E-03 , 2.48086335560854156E-03 )
( 7.47510634857368448E-04 , 1.15042878743875157E-03 )
( -6.47443936063763978E-04 , 1.44294459877672030E-03 )
( -1.72202180915014338E-03 , 8.49294855465914040E-05 )
( -1.64478053710321340E-04 , 1.07063427342874362E-03 )
( 1.09120177171267247E-03 , -4.45102999799722784E-04 )
( -1.84193315824730764E-03 , -2.04796922820679067E-04 )
( -7.40461854596532413E-04 , -4.11941059873443096E-04 )
( -1.95372235570139891E-04 , 2.07231830238687083E-03 )
index: 18
( -2.72973380554187748E-04 , -1.58157285320452358E-03 )
( -1.01352340812118843E-03 , 2.95921936643039917E-04 )
( -5.61038383831383809E-04 , -2.89515477962350371E-04 )
( -1.42097693049158202E-03 , -1.97264259241925182E-03 )
( 5.18481302915355666E-04 , -7.24017484657589483E-05 )
( 3.77601298527600730E-04 , 1.06240307552078533E-03 )
( 1.53905235799865021E-03 , 1.45403034428532321E-04 )
( -6.74608170043591989E-04 , -1.64706839878397352E-03 )
( -1.16351783180585226E-03 , -2.57066019237243764E-04 )
( 9.86888803118387550E-04 , -8.96417711057412650E-04 )
( -1.89316433615157329E-03 , 3.29313530666401144E-04 )
( 9.80198627182912399E-05 , 2.95161779777367516E-04 )
index: 19
( -5.70518301633959023E-04 , 8.88818973505663438E-04 )
( -9.46590650873124415E-05 , 1.87945854181708954E-03 )
( 3.96985189195324156E-04 , -3.95404277356873170E-04 )
( 1.08889234287835889E-03 , 2.27294404076964471E-04 )
( -1.33166158381461171E-03 , -3.64181143209504356E-04 )
( -1.78670251356600161E-05 , 1.13776281069533211E-03 )
( -2.23300338980225287E-03 , 3.74229628678869554E-04 )
( -9.94296851514819575E-04 , -1.68729629022888630E-04 )
( 8.90744407368039321E-04 , 2.14873605822788339E-04 )
( -1.23566636556005820E-03 , -4.69039256203820183E-04 )
( -2.58185833474506394E-04 , 9.05947027358775447E-04 )
( 1.42421095070109898E-03 , 1.39486985879234493E-03 )
index: 20
( 1.97745936769216099E-03 , 1.02644773208498594E-03 )
( -5.08960521045581063E-04 , 2.92461981823417100E-05 )
( -2.41388654622135890E-04 , -1.67955590415073334E-03 )
( 1.87584588954189686E-03 , -6.02344277356635588E-04 )
( -1.86281217164628479E-03 , 2.11407888414396087E-03 )
( 9.54768764814664444E-06 , -3.86753496015589430E-05 )
( -1.36061039493867307E-04 , -9.99118310029721308E-04 )
( 8.41395888346418010E-05 , 1.44586348606588300E-04 )
( 8.60956711320055282E-05 , 1.09026583337385602E-03 )
( 5.78738319617966616E-04 , 2.74934179715412026E-03 )
( -3.24868166180776910E-05 , -2.94204800658316940E-04 )
( -2.11214651925761875E-03 , 1.34778180329187870E-03 )
index: 21
( -1.40938955028640568E-03 , 1.24674493699168795E-03 )
( 1.27585669385113444E-03 , 1.04364861939643962E-03 )
( 2.36776154605078046E-04 , -4.73611907755579393E-04 )
( -4.99880916824791939E-04 , 1.89093692044998594E-03 )
( 4.37618229397363217E-04 , 7.36502388776441043E-04 )
( 6.11721031811823649E-04 , 7.74467725272830654E-04 )
( -1.27822163187569832E-04 , 2.09115723129113805E-04 )
( -1.79241567944323811E-03 , -5.39594716827544491E-04 )
( 1.54039715111144691E-03 , -4.39502278934662837E-04 )
( -9.34128021859612317E-04 , -1.91957833948768473E-04 )
( 2.81361021669235896E-04 , -1.38930603044131709E-03 )
( 3.53035868947539327E-04 , 1.73429916953799250E-03 )
index: 22
( -1.43602485744547220E-03 , 1.17340372238073417E-03 )
( 8.50389270747761673E-04 , -7.92660180359564892E-04 )
( -1.40483649198847103E-03 , 2.09850810475428610E-04 )
( 1.47916288450845911E-03 , -8.81220433424740376E-04 )
( -8.66013046887918790E-04 , -1.59334643956785264E-04 )
( -1.58755586946958210E-03 , 6.70058652003666837E-04 )
( -1.19810440794894260E-03 , 6.99886530952486662E-04 )
( 1.21292604653821601E-03 , -9.92552834123893064E-04 )
( 9.94756487621729739E-04 , 3.47130025595380489E-04 )
( 2.07040720369728497E-03 , -2.53955137007397822E-04 )
( -9.28751563111523135E-04 , -7.61714933909495885E-04 )
( 2.97175808801566519E-03 , 8.70842671339199003E-04 )
index: 23
( -1.98752330766732862E-04 , -3.26889557756718870E-04 )
( 2.51334305796412387E-03 , 1.46710563335738522E-03 )
( -9.28838514174429785E-04 , -5.37955118842786857E-04 )
( 3.78466553971221100E-04 , -1.31608827893530149E-03 )
( 3.33115795229476600E-04 , 4.08543904461937998E-04 )
( 1.30415395460608315E-03 , -4.90660224167884093E-04 )
( 6.68284104090170186E-04 , -5.49027370629382653E-04 )
( 3.35315482348132936E-04 , 7.80005139050095287E-04 )
( 9.83848777342168990E-04 , -7.59076723525521093E-05 )
( 1.46342445727054528E-03 , 1.70791177415637475E-03 )
( 1.04948774257100977E-04 , 2.81236886345146396E-04 )
( 2.12625911039202942E-03 , -8.38657188742497980E-05 )
index: 24
( 1.90513534924028173E-03 , -9.40391433301196412E-04 )
( 2.46652315870553762E-04 , 1.09435939138393464E-03 )
( 9.97771991202268428E-04 , -1.59948462888187884E-04 )
( -3.63352712614958915E-03 , 1.23100334466517383E-03 )
( -2.46898883261722872E-03 , -1.32146990719178288E-03 )
( -1.88193227733059231E-03 , -2.27030000037653609E-04 )
( 1.77637342695230937E-03 , 7.26079621420858373E-04 )
( 1.26449387373845615E-04 , -7.95455762848440049E-04 )
( 5.38909319846528779E-04 , 5.54465409715521355E-04 )
( -3.61818513093642360E-04 , -1.11614323493687963E-03 )
( 1.77577308404699400E-03 , -2.20218022359641849E-03 )
( 9.16053750960471765E-04 , -7.07657066256027999E-04 )
index: 25
( -3.82338905535579022E-03 , 2.12475915322095734E-04 )
( 1.97560760476099204E-03 , -1.86955659924985685E-04 )
( -7.03125837645816724E-04 , 4.20605642883275913E-04 )
( -3.38276542523594773E-04 , -4.96479110279877652E-04 )
( -8.46174602007724805E-04 , 9.34108075179771705E-05 )
( -1.62156097926642487E-03 , 1.84556743693148144E-03 )
( -1.16082292466042998E-03 , -1.43754518391494852E-03 )
( -1.23245911220063852E-03 , 7.76220781882044453E-04 )
( -4.64840445888786073E-04 , -1.66347538694028383E-03 )
( -3.10109018389360274E-04 , -8.79800337099198083E-04 )
( -1.57153054042372749E-03 , -1.34655017499737246E-03 )
( 5.04241026344673295E-04 , 2.46381527306965831E-04 )
index: 26
( -4.35891019265735645E-04 , 5.57189327583910228E-04 )
( -5.23467582516101227E-04 , 9.45274896784727061E-04 )
( -1.77204977780947627E-03 , -5.64011688425580544E-04 )
( -3.37097418121934443E-04 , 1.59142483154259685E-04 )
( 1.86561448072561451E-03 , -2.83860346724177639E-03 )
( -4.59904435617901688E-04 , 7.06533043466269070E-04 )
( -1.46899224196572493E-03 , -1.38628187270680618E-03 )
( -7.21768090293348338E-04 , -1.69221062879688477E-03 )
( 3.54288694340361377E-04 , 3.93270196529063934E-03 )
( -6.25799712587326619E-04 , -1.16439913214298491E-03 )
( 2.71951259257039487E-04 , 7.06216188997945728E-06 )
( 8.44568982597269902E-04 , 7.46654588363204318E-04 )
index: 27
( 2.00107731148492350E-04 , -1.42752662662577658E-03 )
( -1.54635130077841743E-03 , 3.22172719578644139E-04 )
( -1.66341829528678965E-03 , 6.85717637227968818E-04 )
( 5.47884145134262140E-04 , 5.55265281924025023E-04 )
( 3.02610501626566163E-04 , -1.13257524909201332E-03 )
( -1.92392299179214646E-03 , 2.20092479218699779E-03 )
( -3.89741620699071006E-04 , 2.29369401114822794E-03 )
( 1.20708484066167502E-03 , 2.75563772237968907E-03 )
( -7.27106095016270663E-05 , -8.20303530304303816E-05 )
( -3.43701194360589548E-04 , 2.45225926980473371E-03 )
( 7.20307188155507451E-04 , 7.41348515697950994E-04 )
( 3.82232390355820946E-04 , -4.56265705124951995E-04 )
index: 28
( -1.35262737376312453E-03 , -2.06690130002171743E-03 )
( 6.06787480267680351E-04 , 2.19228405976847486E-04 )
( -5.47402243188784650E-04 , -4.47262503356357654E-04 )
( -9.45584370648624170E-04 , 2.99950328876417809E-03 )
( -3.31070764622690074E-04 , 4.78803751684517232E-04 )
( -1.13114308931123379E-03 , -4.34307871764146969E-04 )
( 1.81358411772829004E-03 , 8.96973168483441302E-06 )
( -1.52292445336943264E-04 , -9.36545520467314211E-04 )
( -1.72009710063386850E-03 , 1.37990825373984945E-03 )
( -9.95916407591440969E-04 , 1.57210759998534190E-03 )
( 2.94199354787352688E-04 , 2.26223648877630452E-03 )
( -6.09253282371583719E-04 , 1.46707058623657492E-03 )
index: 29
( -1.30855755123682237E-03 , -8.75135287208995277E-05 )
( 8.21449525394193024E-04 , -3.64826800959764720E-04 )
( 2.62567346841298854E-04 , 8.47939370456522257E-04 )
( 4.79432169001492339E-04 , 1.10495147079213147E-03 )
( 6.03367978420165253E-04 , 1.46726884594177960E-03 )
( 1.11449188941855595E-03 , 1.46038861796493613E-03 )
( -1.51665264798257174E-03 , 4.26931567250349363E-04 )
( -1.01982802070240330E-03 , -1.71275848108960369E-04 )
( 1.36876069072671661E-03 , 5.05801122231485083E-04 )
( -4.68301958479789096E-04 , -6.01015970206298050E-05 )
( 1.93523347317041470E-04 , 6.76656367767675777E-04 )
( 1.12401088968238684E-04 , 5.85915103853621019E-04 )
index: 30
( 5.72134462757543840E-04 , 8.92206619164408101E-04 )
( -1.44334297176815425E-03 , -8.60664504443623291E-04 )
( -2.63638612545358296E-03 , -2.91710014159205552E-03 )
( -1.54681425280394632E-04 , -8.44032811710845226E-04 )
( 4.99606262283352467E-04 , 1.71670101473904717E-03 )
( 1.31143158884813589E-03 , -2.51134198500486527E-04 )
( -1.31825646340153076E-03 , 1.13596568247116320E-03 )
( 1.13253962185678623E-03 , 1.90120508128937085E-03 )
( 1.60997657087856485E-03 , 1.84266344457664506E-03 )
( -1.39515274782212690E-03 , -1.29649644415945819E-03 )
( 7.62569782142878726E-04 , -1.30403702732649271E-03 )
( -1.45036711775393869E-03 , -1.06239770074875901E-03 )
index: 31
( 2.19988028304844230E-03 , -8.17122230300820719E-04 )
( -1.40381126881491763E-03 , -1.93649970885214620E-04 )
( -3.16298992189909889E-04 , 3.60211081713097644E-04 )
( 1.80913018457856678E-03 , -7.73159925312645992E-04 )
( 1.55520951206351539E-03 , 5.22676780580807045E-04 )
( -3.80632452782846261E-06 , -9.23801641283559486E-04 )
( 7.28093967258856096E-05 , -5.29105063657518476E-04 )
( -7.30428529068562703E-04 , 6.35338080386058318E-04 )
( 1.63508862309374547E-04 , -1.63256977647072339E-03 )
( 8.73296389766271201E-05 , 9.02335212497783787E-04 )
( -9.70299089342888110E-04 , -1.85606853207789411E-04 )
( 1.11315214422112469E-03 , -1.03546176302218461E-03 )
index: 32
( -4.48850260853199054E-04 , 3.88020932134101231E-04 )
( -2.07324858038471487E-04 , 2.31139672423683680E-04 )
( -2.66320618393111957E-04 , 3.75316195428454014E-04 )
( 1.71811032460515408E-03 , -9.15588090680289181E-04 )
( -1.62815624015318305E-04 , 2.43628305548546434E-03 )
( 1.73191354592769397E-03 , -7.62758924826140898E-04 )
( -9.64862806551319689E-04 , 1.80244414018457136E-05 )
( -7.82968534444110050E-04 , -5.89088534584994959E-05 )
( 7.69124280251915577E-04 , 2.29326961529854184E-03 )
( -9.83294094976237603E-04 , -2.52733682431220956E-04 )
( -4.36815693069261173E-04 , -2.08537739836234986E-03 )
( -5.67143505142406515E-04 , -3.97608204447446635E-04 )
index: 33
( 9.84620258005285609E-04 , 6.45705385316204940E-04 )
( -1.47592425896658991E-03 , -5.40219380063041788E-04 )
( 1.40994886770281417E-03 , -2.83044921390361278E-03 )
( 1.42328439218916388E-04 , 5.70659218410579823E-04 )
( -6.49206865912702481E-04 , -6.54110259844763392E-04 )
( 3.33855391066752855E-04 , 5.80622661449683585E-04 )
( 1.43769036488195293E-03 , 9.47235113153623996E-04 )
( 9.20927216751075625E-04 , -3.44486034544639957E-04 )
( -2.23658344367214188E-03 , -9.42736035120906625E-04 )
( 2.06526115407319440E-03 , -1.32393397081753900E-03 )
( -4.06692034972236426E-04 , -9.70955745659967599E-04 )
( 6.74947035238397447E-05 , -2.52912343691723512E-04 )
index: 34
( -6.69355905359025221E-04 , -5.39290992875427703E-04 )
( 1.08798311256152590E-04 , -1.69655119403512643E-03 )
( -5.00369212791639743E-04 , -3.84779742127450391E-05 )
( 8.90328645592574535E-04 , 7.24420316196972393E-04 )
( -5.96076468740737485E-04 , 2.45104575110403314E-05 )
( -3.90256166180170927E-04 , -1.25889484839963764E-03 )
( 5.80877949191648392E-04 , 1.60634183786629160E-03 )
( -1.88693958872086635E-03 , 6.83657024789976336E-04 )
( 5.48935423958295081E-05 , -2.81834144417918847E-03 )
( 5.33926030934858838E-04 , -9.93635136735075285E-05 )
( 2.66265077489863475E-03 , -1.64890438213292499E-03 )
( -6.53859536947351831E-04 , -7.88017156209670322E-05 )
index: 35
( 3.57306229411733856E-04 , 1.61069082538407285E-03 )
( 4.14294311235603317E-04 , 4.52240376178000771E-04 )
( 2.96011507602224355E-04 , -9.28733877147202582E-04 )
( 9.64844511616975802E-05 , -3.39250457161462582E-04 )
( -3.20376799623192914E-03 , -6.85228990909427394E-04 )
( -9.83623447716892732E-04 , 9.60677952051347864E-04 )
( -1.41776463810624467E-03 , 2.63262306106479098E-03 )
( 4.08162870568362895E-04 , 6.96441861491858003E-05 )
( -3.01537114145310876E-04 , -8.70566394546339094E-04 )
( -1.86855618654809441E-04 , 4.42464830367528424E-04 )
( 2.88242206536090716E-03 , 1.29029049593707345E-03 )
( 2.10249113087811450E-03 , -1.52236159862038792E-03 )
index: 36
( 8.94964976969773573E-04 , -1.77069265737046810E-05 )
( -2.38679606986453218E-03 , -1.69842371001268245E-04 )
( -1.29872346006443913E-03 , -7.97304524282817879E-04 )
( 9.35487899282003718E-04 , -9.79728229679213388E-05 )
( -8.83978729498386719E-04 , -1.39922360034417216E-03 )
( 2.27754408025495974E-04 , 9.15150919732872102E-04 )
( -9.76961251290120805E-04 , 8.30428925487840686E-04 )
( 7.57266902074020228E-04 , 8.84689975834136830E-04 )
( -2.48235166585924496E-04 , 2.54315683280554022E-03 )
( -2.72104494338869544E-04 , 1.56571666234818279E-03 )
( 8.17328459318511589E-04 , 1.79737155223097436E-03 )
