x=0,y=0,z=0,t=0
( 1.72192701700178097E-11 , 5.11471966206543667E-11 )
( 4.42510191630594283E-11 , 9.67876725526127129E-11 )
( 9.11936805089985092E-11 , -9.67329153121136314E-11 )
( 8.17743571347507143E-11 , 9.46230089472141063E-11 )
( -2.25160611986044990E-10 , -3.66738604723788271E-11 )
( 9.18423275020965465E-11 , 7.34100871334558080E-11 )
( 1.59639778916641325E-10 , -5.86694199043855183E-12 )
( -9.68640664988206542E-11 , -5.14382303417908334E-11 )
( -1.35990280360498307E-10 , 4.42668503106491881E-11 )
( -2.79982934425933075E-11 , -7.72938653600498396E-11 )
( 1.63840608607271249E-10 , -2.61635176532172348E-11 )
( 7.12336698582555400E-11 , 5.71688913183239161E-11 )
x=1,y=0,z=0,t=0
( 2.13995266040804721E-11 , 1.16298129032282534E-10 )
( -1.44680997501092559E-10 , 5.81459672116234443E-12 )
( -1.82302111358290455E-10 , -5.18602918806878462E-12 )
( 1.05562175188642135E-10 , -5.17569334176812227E-11 )
( 8.04919409227197988E-11 , -6.35354174634275942E-11 )
( -1.48146537957858701E-11 , -6.75714015548494969E-11 )
( -1.78511037588383932E-11 , -4.19311790441271838E-12 )
( -5.26083796156004791E-11 , 6.20816505379822597E-11 )
( 7.59768614436067225E-13 , -5.59799364813774331E-11 )
( 4.25118482709285640E-11 , 1.57840896738796766E-11 )
( 7.45471783448708324E-11 , 1.47027977148117982E-10 )
( -7.65894847134653440E-12 , 4.24792436675461159E-11 )
x=2,y=0,z=0,t=0
( -3.88183327831407168E-11 , 2.30647565068049935E-10 )
( -4.53828014665960761E-12 , -1.06163841650179509E-10 )
( 9.72373595514777720E-11 , -1.23245977046377056E-10 )
( -6.92019567141077974E-11 , 1.24063176553465288E-10 )
( -8.58397113724862595E-11 , -3.27502208672172150E-12 )
( -9.43795923601262872E-11 , 2.27714507666473021E-11 )
( -5.07698275109492639E-11 , 3.76274289885048964E-11 )
( 1.24937664052291960E-10 , 1.10203698862398454E-10 )
( 8.52245661248121743E-11 , -8.23880101409738594E-11 )
( -2.24271484559948337E-13 , -8.28048211390745213E-11 )
( 2.56820505935748648E-11 , -7.11220807375341069E-12 )
( -3.43814880535319784E-12 , -6.83231249729387772E-11 )
x=3,y=0,z=0,t=0
( -6.90284900643295459E-12 , -1.67725722309512785E-10 )
( -2.28141208382164810E-10 , 1.36220346539496891E-10 )
( -1.99271661600444089E-11 , 2.54501241195956411E-11 )
( 1.98876461640184578E-10 , 1.14177296391424053E-10 )
( -3.50740216920832131E-10 , 1.99467858348975740E-10 )
( 2.30638490475619894E-10 , -8.87533048120528215E-11 )
( 1.99886777455448917E-10 , -1.70729911860930766E-10 )
( -2.81322836222956168E-10 , -4.10195550492021109E-11 )
( 2.53246203389200411E-10 , 5.83399125870150683E-10 )
( -1.71509943737774031E-10 , 2.10206735907664122E-10 )
( -2.08222879746481848E-10 , -2.86354708982614935E-10 )
( 2.35402712891137440E-10 , -6.83485958261388029E-11 )
x=0,y=1,z=0,t=0
( 5.51472966045033034E-10 , -4.05138771216342424E-10 )
( 1.28220450997306577E-11 , 6.70680498232806747E-11 )
( -4.62221418297969959E-10 , 2.49612420288141910E-10 )
( 1.30364387731399594E-10 , 1.27737808063957183E-11 )
( 6.35092809819551074E-12 , 1.24024542823950343E-10 )
( 2.03092677938457712E-10 , 3.10176574457234380E-10 )
( 9.15837340664487683E-11 , -1.69012817707557227E-10 )
( -8.66691729208253257E-11 , -3.62523811223326010E-10 )
( 1.49524643704160195E-11 , 2.44244982147229433E-10 )
( -1.78083290652694585E-10 , 1.14556692571660573E-10 )
( 3.13740595240295627E-11 , -1.15298499680562899E-10 )
( 1.83869089103714921E-10 , -5.17136240513355201E-12 )
x=1,y=1,z=0,t=0
( 1.06120812125361892E-10 , -1.50160637185235622E-10 )
( 5.89239375060935326E-11 , 9.27293492511291824E-11 )
( 1.66729742867085714E-11 , 2.20318071334629454E-11 )
( 9.38164431861911057E-11 , -7.83888477828839019E-11 )
( -1.45499441537810987E-10 , 3.59469479998252501E-11 )
( 3.34118366998576680E-11 , 6.44702818391145657E-11 )
( 1.51620101032801682E-10 , 1.12664672934483552E-10 )
( 8.84164454921585184E-11 , 1.84629223078920886E-11 )
( 6.95320125416699856E-11 , -8.51403743892901428E-11 )
( -1.09915208454740661E-10 , 4.02218185240586167E-12 )
( -1.57695381154074175E-12 , 2.30908752851722245E-12 )
( -3.71080831925058278E-11 , -9.73445387619726393E-11 )
x=2,y=1,z=0,t=0
( 1.72869669011507597E-11 , 9.52719755639392300E-11 )
( -3.98824096483285092E-11 , -6.73406140110324851E-11 )
( -3.80313299747331047E-11 , -6.44875885950127333E-11 )
( 1.18471844455874807E-10 , -7.26043469799392501E-11 )
( -5.88167643962425612E-11 , 1.54471521650634088E-10 )
( -2.35594972088039326E-10 , -9.68411733288361629E-11 )
( -1.95228191019969106E-11 , -5.40404799834870524E-11 )
( -1.86161735725839465E-10 , 8.22099719887658304E-11 )
( 2.04241741717558128E-12 , 4.60636474899626246E-11 )
( -4.47962255258591380E-11 , -1.01343430026292826E-10 )
( 1.50495275869859200E-11 , -3.61522421173409734E-11 )
( 5.32010111377203277E-11 , 4.70276350563467514E-11 )
x=3,y=1,z=0,t=0
( 2.18216142432832550E-10 , 2.35922166137355222E-10 )
( -2.11871699673351481E-10 , -5.88834952694500415E-11 )
( -8.95663397176178848E-11 , -7.46809692372550238E-11 )
( 2.45754391277102105E-10 , -2.38915612001707844E-11 )
( 1.93115095848832524E-10 , -4.25017715546114078E-11 )
( -1.70803064221679007E-11 , -7.05627806804988220E-11 )
( -2.81995197018529565E-11 , 1.10970354459839787E-10 )
( 5.35769622998212176E-11 , 1.25468750697011384E-10 )
( 1.04339291887988142E-10 , -1.59954023462439797E-10 )
( 2.02113743394533341E-10 , 1.28181090067544428E-10 )
( -2.55055139595787914E-11 , 1.01287432162731252E-10 )
( 4.17841731617331921E-11 , 3.54567449242443061E-11 )
x=0,y=2,z=0,t=0
( -3.59758427876614306E-11 , -1.63805893184486352E-10 )
( 2.25280998232279978E-11 , 5.76930451788583525E-11 )
( -1.03999414613365152E-10 , 1.10870047594933870E-10 )
( -2.60214480995977447E-11 , 5.15618045084351731E-11 )
( 7.73091474855805793E-11 , 1.27546634845208417E-10 )
( -5.96955880646638077E-11 , 2.17509999303857896E-11 )
( 9.73147945777953379E-11 , 3.61535558854937661E-11 )
( -1.62655707431155985E-11 , 1.24734362817341651E-10 )
( 3.57135027009728884E-11 , 1.33633555214381225E-10 )
