index: 0
( -1.03252305839891248E-05 , 1.04510942251537978E-05 )
( -7.83251141896987527E-06 , -4.99584032185332951E-06 )
( -8.34674287056770598E-06 , 9.56253648192053594E-06 )
( -2.00194542134729851E-05 , 2.19022970577591128E-06 )
( -7.34974545292291719E-06 , -1.33023540146342262E-05 )
( -5.72842683387171073E-06 , -2.07095447241347101E-05 )
( 9.23167476211100683E-06 , 2.08468671098262428E-06 )
( 1.02040567013411787E-05 , 3.79832305488604782E-06 )
( 2.12945667977459954E-06 , -3.02679219932236370E-05 )
( 3.21781005835174291E-05 , 4.35263056661546999E-06 )
( 1.80648819829458500E-05 , 7.20362684652262285E-06 )
( -8.37048812267966903E-06 , 1.37232355382801410E-05 )
index: 1
( -1.86983838403631698E-05 , 1.26461600187643106E-05 )
( 1.34276434316866156E-05 , -1.04559464956867387E-05 )
( 2.19784670523337692E-06 , 9.43310349318055377E-06 )
( 2.38342541140904055E-06 , -2.26619890953441571E-05 )
( -1.94485886803983198E-05 , -6.47100834431208013E-06 )
( -2.72842988001348007E-06 , 1.41989425284224041E-05 )
( 4.27086985575937740E-07 , 1.56606535617715685E-05 )
( 5.65605634603546334E-06 , 2.42908340478439624E-06 )
( -7.85996247340378892E-06 , 3.55166735680015897E-06 )
( -1.15951950017806564E-05 , -1.03047591773863779E-05 )
( -1.64929913861854780E-06 , -5.55084943829615856E-06 )
( -8.12154795761597706E-06 , -7.52176874161005995E-06 )
index: 2
( 1.01817292403830347E-05 , 1.12400989373640700E-05 )
( 8.70289426410102867E-06 , 1.94611305175797038E-05 )
( -8.28727887386675035E-07 , 1.10166692939501001E-05 )
( 2.23155180683946944E-05 , 1.30310325435437852E-05 )
( 8.35568136015282617E-07 , -1.02838963630322046E-05 )
( 3.35782178783016916E-06 , 1.35578051103581621E-05 )
( -1.77657095305996016E-05 , 1.77088959905383691E-05 )
( 2.13915362223825561E-05 , 8.23002294236963880E-07 )
( -2.54639912702524119E-05 , 2.32221855996396040E-06 )
( -2.83538088161517334E-06 , 9.62890669450153771E-06 )
( -1.52487053235310288E-06 , -5.25215005496515991E-06 )
( -2.54558133482686348E-06 , 1.01437499041402099E-05 )
index: 3
( 1.98088170991248699E-05 , -5.07209728325411125E-06 )
( 1.31524057204132801E-05 , 6.93804626519600163E-07 )
( -7.93106757652577144E-06 , -1.65901886958142487E-06 )
( -6.22273393041851198E-06 , -5.84454537863003134E-06 )
( 2.58034619152498649E-05 , 3.24827673563609197E-05 )
( -8.68790776479914940E-06 , 1.80974744045657713E-05 )
( 1.33693240105817419E-05 , 3.93037654066573541E-06 )
( -1.66069095758376799E-05 , -1.92036126842683359E-05 )
( 9.48347789293407467E-06 , 2.11885497934021816E-05 )
( -1.80643539879220287E-05 , 1.02322292957432995E-05 )
( 5.46080326141039271E-06 , -6.15755444195150465E-06 )
( 1.54378200323920209E-06 , -2.80735228587438876E-06 )
index: 4
( -2.59766177349128912E-06 , -1.46728040800088946E-05 )
( 1.50678591134870494E-05 , -2.26892708636350482E-05 )
( -8.08481025070351909E-06 , 1.45179301215954886E-05 )
( 3.92782960921247318E-07 , 1.22918719904755788E-05 )
( 2.58642804288149435E-05 , 8.49883610461039941E-06 )
( 2.12731226303718007E-05 , -8.75265542066090734E-06 )
( 1.15349040401777623E-05 , 2.57761747426656822E-06 )
( 3.27423869121086608E-06 , -1.27927509650489624E-05 )
( -1.07206989436443344E-05 , 7.66762722407358233E-06 )
( 7.85645554132921932E-07 , -3.09629737189484986E-06 )
( 1.91040509795838174E-05 , 9.95877246253693260E-07 )
( 1.14649243044717950E-05 , -1.28515403905142742E-05 )
index: 5
( -1.27431231284667322E-05 , 6.81563875208281397E-06 )
( 1.20577938225659728E-05 , 1.40613639518082879E-05 )
( -1.13877970564245795E-05 , 7.90521202281553679E-06 )
( 4.14245989281545929E-06 , 1.69400432705673122E-05 )
( -1.18460999376445760E-06 , -1.93833412726551726E-06 )
( -1.16547194212201613E-06 , -5.89993162027042795E-06 )
( 1.14679025341072920E-05 , 2.75747377512620634E-06 )
( 8.70589012674943942E-07 , 1.36106555199300922E-05 )
( -1.12895690723284242E-05 , 8.93773605359227023E-06 )
( 1.69102734421197727E-05 , -1.28273072376482774E-05 )
( -5.92801196402457965E-06 , 1.09957531976693400E-05 )
( -9.26705920220758384E-06 , 1.00861399271273069E-05 )
index: 6
( 1.13594970903773486E-05 , -2.80828335123250814E-06 )
( 2.43727871535704675E-06 , 2.29506629562041301E-05 )
( -5.73625335551472490E-06 , -1.45559398166958988E-05 )
( -3.78294730366954480E-06 , -1.94466903627043740E-06 )
( -5.30044299647387746E-06 , 6.78742498825989345E-06 )
( -6.72493584074349351E-06 , 1.33315223406735982E-05 )
( 1.25370078607838088E-06 , -7.21639046548148454E-06 )
( -4.43949834924465761E-05 , 1.84705926425803514E-06 )
( 9.59421174470487775E-06 , 3.97681080529679431E-06 )
( -8.24696334488927956E-06 , 9.94324386006963904E-06 )
( 1.28432579169148275E-05 , 1.84343784846270555E-05 )
( 1.91478165536659154E-05 , -1.34416252871216095E-06 )
index: 7
( 8.71883575304896428E-06 , 5.29587994836482565E-06 )
( -2.09583397771723859E-05 , -1.23990425354061879E-05 )
( -1.49774621939607833E-05 , 1.64948299058049816E-05 )
( 1.87363994766991343E-05 , -1.20431774058238262E-05 )
( 1.52840682268613398E-05 , -1.56513148885775776E-05 )
( -8.98720896850280091E-06 , 7.10751860780147653E-06 )
( -2.70014924010400261E-06 , 1.15916076131196558E-05 )
( -4.40940174167293374E-06 , 4.96376005690740159E-06 )
( 2.42766520914410958E-05 , 9.10300018715867623E-07 )
( 8.85399241394890281E-06 , 2.39385971494092511E-06 )
( 5.36588306663812575E-06 , 1.53138803016946175E-05 )
( 4.93763517956623791E-06 , 2.13339059517388915E-06 )
index: 8
( -1.21053598437946544E-05 , 1.76511922823978533E-05 )
( 2.14567799600043184E-06 , -6.81271602240729738E-06 )
( 1.00979134354945216E-06 , 1.29385149597521903E-05 )
( -7.05451406445426901E-06 , 2.67257203400166589E-05 )
( 3.68898936850012312E-06 , -1.82719872275799462E-06 )
( -4.26938107335164446E-06 , 1.66498996459188841E-05 )
( 1.31738430592922031E-05 , -3.87372572777206006E-06 )
( 9.79272531656526765E-06 , 6.18449785109002920E-06 )
( -1.91772804019422722E-05 , 2.88622046442188266E-07 )
( 1.52232616243880505E-06 , -6.38400338610109380E-06 )
( 8.12389882130311340E-06 , -4.55637663796962060E-06 )
( -6.73158839214792444E-06 , -1.28007892506634437E-05 )
index: 9
( -7.89443223280979504E-06 , -4.52913148961034881E-06 )
( 3.33868407690985703E-05 , -1.35463727428183770E-05 )
( 3.37065795965524123E-06 , -4.06656358448884748E-06 )
( -1.39364233355281400E-05 , 8.62041759138063760E-07 )
( -4.95049277425814316E-06 , -7.49628283951180084E-07 )
( 1.85331775456296555E-06 , 1.14358145197658420E-05 )
( 1.03141813587832122E-05 , -1.82077491612807483E-06 )
( 1.15450419281742762E-05 , -8.56781361951297068E-06 )
( -2.18920127100758979E-05 , 1.77765216884373399E-05 )
( -2.90596586779861205E-06 , -1.56083987825759447E-05 )
( 4.51674770738102828E-06 , 2.24745542013097033E-05 )
( 4.40018212272875663E-06 , -1.09858766440681613E-05 )
index: 10
( 2.97603978128410519E-05 , -2.03890241465627196E-06 )
( -9.15994823870209378E-06 , -1.94353983764593023E-05 )
( 5.61427568772128601E-06 , -1.95779834834692435E-05 )
( 1.84746600835706813E-05 , -8.66093547208561331E-06 )
( 1.68936630954407928E-06 , -1.16924469066093832E-05 )
( -3.06959698179640647E-05 , -1.53157034043032469E-05 )
( -1.54256916772947638E-05 , -2.67370360521919409E-06 )
( -4.66928003999051570E-06 , 4.95499126324063291E-06 )
( 2.59866451706564062E-05 , 2.43790776602094009E-05 )
( 3.16075806369085310E-06 , 3.21089173149718713E-05 )
( -1.58498640632042368E-05 , -1.14799576118485346E-05 )
( -1.18198857783815358E-05 , 2.95561033670897328E-06 )
index: 11
( 3.67622658632900977E-06 , 3.53391060878378680E-06 )
