x=0,y=0,z=0,t=0
( -2.73645857941090685E-10 , -2.52238827191246485E-11 )
( -2.44170306890772659E-10 , -1.04620676526254383E-09 )
( -1.78948485557500150E-10 , -9.37455507038785656E-12 )
( -4.74070603158351337E-10 , -8.40404569090348966E-11 )
( 3.34115365872730152E-10 , 3.47115014804633391E-10 )
( 4.66949601846894132E-10 , 5.64918311374558148E-12 )
( 4.64967721916271862E-10 , -2.18193835459302913E-10 )
( -3.93904826283226989E-10 , -6.23303046267673135E-11 )
( 2.52868871827727123E-10 , -1.16059951264452035E-10 )
( 2.17766013111929822E-10 , -4.62127879233184911E-10 )
( -3.50992241144890548E-10 , 3.26482379507130892E-10 )
( -4.98184673657600504E-10 , 2.38022173830945942E-10 )
x=1,y=0,z=0,t=0
( 2.37567393749915404E-10 , -2.85592709619949457E-10 )
( -7.01586384473244127E-10 , -6.80955775418409865E-10 )
( 7.33822326162584796E-11 , 4.94042807911589269E-11 )
( -1.61896862185709508E-10 , 1.41759827710284709E-10 )
( 7.00178389199599483E-10 , -2.43918272931263102E-10 )
( -2.92793707092543654E-10 , -6.50471875795462069E-10 )
( -3.86765159170714093E-11 , 9.41134726977689937E-11 )
( -1.57790949977387465E-10 , 2.49661026402964633E-12 )
( -9.21435190298754633E-11 , -5.09261862178892965E-10 )
( -7.08007688712533977E-11 , -9.47558444630199275E-11 )
( -7.95569389315658276E-11 , 6.20483716635048540E-10 )
( 4.48690291967892691E-10 , 4.35859748353248894E-10 )
x=2,y=0,z=0,t=0
( -9.91525703180994247E-11 , -7.34000151425399074E-12 )
( 1.23594949106956589E-10 , -5.34502372014926747E-10 )
( -6.86655869870686432E-10 , -5.05660995922060375E-10 )
( -3.14231959092545856E-10 , 1.56952463041451770E-11 )
( 1.10507326993120975E-10 , -2.72338070109460343E-10 )
( 1.50104302164541364E-10 , 2.91001131949554582E-10 )
( -1.64979097888174556E-10 , -2.13962342194072907E-10 )
( -6.22016769013386397E-10 , -1.53248225052153909E-10 )
( 1.34434834696202204E-11 , 6.49335413234570132E-10 )
( 1.38643017884276912E-10 , -1.18549010037141034E-10 )
( 1.85855471877827429E-10 , -6.57920400708406330E-10 )
( -1.10746477929722168E-10 , 1.04353680443900400E-11 )
x=3,y=0,z=0,t=0
( -6.02541814569610368E-10 , 1.44221048004064951E-10 )
( -1.29534508105691770E-10 , -1.92911216972196166E-10 )
( 7.40339041533044345E-10 , -1.49974459911527647E-10 )
( -4.94024601444851818E-10 , 3.94227962809400202E-11 )
( 3.17412743677876715E-10 , 1.63348263708664678E-10 )
( 6.60343235662605227E-10 , -2.63777948674107141E-10 )
( -2.26797617874989450E-10 , 1.08248083064572277E-10 )
( -3.05943017583888760E-10 , 4.66783358623363726E-10 )
( 6.39609405966918987E-10 , -9.13673142323235017E-11 )
( -3.93933636323131187E-10 , 3.62832362787468533E-10 )
( -5.00731449246126857E-10 , -6.14350778813539706E-10 )
( 4.61465803910064470E-10 , -3.71473437145051754E-10 )
x=0,y=1,z=0,t=0
( 5.77626245754394170E-11 , -6.51431658637706990E-10 )
( -3.24218528890962154E-10 , 1.80754624846884161E-10 )
( -6.25251846761858552E-10 , 4.47011306568874190E-10 )
( -2.62987650525156358E-10 , 6.60727423421947074E-10 )
( -7.50456161383528094E-10 , 3.06480120859777296E-12 )
( 6.02952516079468121E-10 , 5.11757966664785698E-10 )
( -3.63830138420248891E-10 , 3.63123877584609760E-10 )
( -5.05039855900821318E-10 , -6.35543047296770759E-10 )
( 1.52403845571588293E-10 , -3.23796266888066468E-11 )
( -7.21012493918850149E-10 , 6.74912850843874645E-10 )
( 1.48918196405620066E-10 , -1.29315592736785166E-10 )
