index: 0
( -3.20250795704021707E-01 , -1.13725995431812898E+00 )
( 3.54272403260464219E-01 , -2.69236467188996353E-01 )
( -8.25388574103520095E-02 , 1.24601711656333713E+00 )
( 3.52203083591617408E-02 , 8.47267485161027678E-01 )
( 1.18389651298145315E+00 , 6.24902627867688701E-02 )
( 1.08230466346516563E+00 , -9.06305261285629202E-03 )
( -2.47301275173246980E-02 , -1.43985825304108167E-01 )
( -1.03136487508115171E+00 , -3.07098850432158783E-04 )
( -4.40796731173728418E-01 , -7.97269822181779705E-03 )
( 8.49310357823729989E-01 , -2.45332641988827371E-01 )
( -1.56367397512932632E-01 , 1.92786197093854722E-01 )
( 9.15230746072897783E-01 , 4.59138239426583106E-01 )
index: 1
( 5.25726570373341806E-01 , -8.50394033033336827E-01 )
( 4.45069670448791532E-01 , -1.05313180114640947E+00 )
( -6.00772144366591765E-01 , -5.01387585638760735E-01 )
( 6.52239402654312406E-02 , -8.20460878655522086E-01 )
( -2.96181893612805558E-01 , -7.92725390586388801E-01 )
( -1.91412926957404861E-01 , 8.77433993012523700E-02 )
( -1.72322319809988023E+00 , 6.89559321089105337E-01 )
( -6.98462548317021703E-01 , 3.30814161929700756E-01 )
( -9.25144995084346777E-01 , -2.90538360076182389E-01 )
( 6.40947572222039658E-02 , -7.58461644212180874E-01 )
( -9.94840355133769338E-01 , 2.52420739901608515E-01 )
( -1.71216461158730737E-01 , -4.31127672817269103E-01 )
index: 2
( 2.73620307665293661E-01 , -7.11607440391543777E-01 )
( -4.20275132927216355E-01 , -7.34735586934911755E-02 )
( 1.90904828559446044E-01 , -6.14161742541459610E-01 )
( -8.46253344402073004E-01 , -1.15668950641271334E-01 )
( -1.12295640323979562E+00 , -7.94378975688021627E-01 )
( -1.07265251098990863E-01 , -2.73304187368601126E-01 )
( 1.19475479776504329E-01 , -5.94702472160915319E-01 )
( -5.48600901004788422E-01 , -3.48897491969512086E-01 )
( -5.57262059995548231E-01 , -1.21319308651655730E-01 )
( -3.79625996863330539E-01 , 3.83901381087570048E-01 )
( -3.28614871067090974E-01 , -8.55256001662061616E-01 )
( -1.16263511911185044E-01 , -9.53992015498552948E-01 )
index: 3
( 5.88924540546597375E-01 , -6.40075417309208583E-01 )
( 3.84429256612611348E-01 , -3.40372725030442913E-01 )
( 6.48431384856634541E-01 , -4.77156031526278501E-01 )
( -8.98821892646324727E-01 , 5.81787827990848050E-01 )
( -3.10657151240779084E-01 , 2.36140245848382946E-01 )
( -1.07789260103502760E+00 , 1.12915774207402553E+00 )
( -6.72474747495291458E-01 , -1.34272459887019946E+00 )
( -1.98569996719756364E-01 , 1.85771252548214610E-01 )
( 7.41130806797218655E-01 , -1.15541540687353916E+00 )
( -1.10910327174278334E+00 , 6.86923016764020788E-01 )
( -1.06915632241742098E+00 , -6.35211089975639021E-01 )
( -2.37012765129883396E-01 , 7.02681822631648578E-01 )
index: 4
( 8.58032216688369043E-01 , -1.07832699435996693E+00 )
( 9.00630889023875891E-01 , -1.89100184822156070E+00 )
( -1.87330237787617815E-01 , -7.91381915262792335E-01 )
( -4.42064109996418098E-01 , -5.63106629542456938E-02 )
( 6.32064793596050944E-01 , -6.56267812037774623E-02 )
( 8.05436278070992051E-01 , 6.65003213101630797E-01 )
( -5.49591254742239466E-01 , -7.94750370631838843E-01 )
( 2.54463760633242886E-01 , -7.53476232111330524E-01 )
( -1.38442364300549325E+00 , -3.35002724456954226E-01 )
( -1.39874204325214202E+00 , 1.32324451439780066E+00 )
( -3.34935083945697820E-01 , -4.97065757955538035E-01 )
( -3.29072644240128553E-01 , 1.04710390471469150E+00 )
index: 5
( 8.27166905829773591E-01 , 5.86465429417832862E-01 )
( 9.07927764680563909E-01 , 3.98545371390983227E-01 )
( -1.21535623434272200E+00 , -5.71169430919193921E-01 )
( 9.24986192534089535E-01 , 1.13046284983325251E+00 )
( -6.82963339838259409E-01 , 1.33727261603761449E+00 )
( -6.07892517859827786E-01 , -1.10289799974607333E-01 )
( 5.15676924502584955E-01 , -6.03759219865517630E-02 )
( -1.07428755733901760E+00 , 4.42491524555539306E-01 )
( 3.97962845061141435E-01 , 3.29300367455875820E-01 )
( -2.76678607448559322E-01 , 1.35890310469498421E+00 )
( 1.44063045492087061E+00 , 8.36282370321984603E-01 )
( -2.20924536660038129E+00 , -8.09961147012587368E-01 )
index: 6
( -1.79092423208673579E-01 , 4.71019703793097155E-01 )
( -7.73586473270467478E-01 , -2.03000171037154870E-01 )
( -1.28807272313364396E+00 , -1.05931760966084876E+00 )
( 4.38553691975860582E-01 , 5.68669616201519901E-01 )
( -1.33965582801362573E-02 , 1.09843397019000011E+00 )
( -1.16180556275356187E-01 , -5.59748047972286167E-01 )
( -2.88140676203605839E-01 , 7.57357051456246766E-01 )
( 2.02528818110522084E-02 , -9.27128502463613058E-02 )
( 6.44022139657469905E-01 , 7.02170051305101461E-01 )
( -6.74794722056558327E-01 , 1.46804836648971260E-01 )
( -8.05571391544900872E-01 , -1.06445853650529387E-01 )
( 4.36835379998990803E-01 , -1.19660381738874544E+00 )
index: 7
( 1.62674464752588871E-01 , 8.48299159091363553E-01 )
( 8.94109197870257333E-01 , -3.77511719456786243E-01 )
( 1.58771439255073998E+00 , -1.96344350305934601E+00 )
( -4.32771294256858174E-01 , -9.31171537678811105E-03 )
( 6.93098080582892240E-01 , 2.14177999761748394E-01 )
( -1.34178129235773791E+00 , -3.39005448906964602E-01 )
( 8.57151264787384570E-01 , -2.47844140532962165E-01 )
( -1.47061599023144973E+00 , -3.45988828907327295E-01 )
( 6.97210349363847959E-01 , -9.15240289498405746E-02 )
( -1.44147240634193907E+00 , -3.38977877014538576E-01 )
( 9.48844286970460637E-01 , 5.00617293580018163E-01 )
( 6.76377266543542910E-01 , -1.07740930376896207E-02 )
index: 8
( 7.17503770454336331E-01 , -8.32628311386076625E-01 )
( -5.42208826195015647E-01 , -1.79939797012465236E-01 )
( -2.65896952015505117E-01 , 6.24536191495348669E-01 )
( -1.66520558402787655E+00 , -6.52989161179449301E-02 )
( -3.07445858605665867E-01 , 1.03116590001698460E+00 )
( 3.87793480055386719E-01 , -1.51445932039819797E+00 )
( 9.10417483323466004E-02 , 8.56608504770045909E-01 )
( 1.52093010071725532E+00 , 7.29169327416184676E-01 )
( 1.49871051057253024E+00 , -7.72323116494733952E-01 )
( -3.82912627334815805E-02 , -4.30128442825103319E-01 )
( 8.46987627192799075E-01 , 3.26879083184693331E-01 )
( 5.57796658459505212E-01 , 4.87908219803323481E-02 )
index: 9
( 1.96809030040440563E-01 , -1.01018008760524758E+00 )
( -3.46548765553333249E-01 , -1.16583272944494720E-01 )
( -8.53779131923517870E-02 , 1.11829733545486443E+00 )
( -2.89765143567081884E-01 , -4.34860114123647168E-01 )
( -1.25944270381336398E+00 , -6.38253954593991479E-01 )
( 2.79320714629462508E-01 , -6.40215811918869782E-01 )
( -1.31246301170344304E+00 , -8.79893018272921101E-01 )
( -4.98764733243677538E-01 , -1.04909875350689807E+00 )
( -6.37060438969225262E-01 , -2.98978841251086480E-01 )
( -7.47288858036653458E-01 , 4.34132556586829976E-01 )
( -4.47460209623712635E-01 , 1.19798818355282810E+00 )
( 2.45586539495377593E-01 , 1.82268947445228413E+00 )
index: 10
( 3.69878861289033689E-01 , -4.29218293226868386E-01 )
( 5.11888645469183778E-01 , 8.87531666998185198E-01 )
( -1.94601308589733651E-01 , -1.35036962238850755E+00 )
( 3.07897502043292415E-01 , -3.15355460130836984E-01 )
( -2.06505133550559794E+00 , -1.45414218395144768E+00 )
( -1.12103554290057228E+00 , 3.52033781152532588E-01 )
( 8.78232887581852778E-02 , -6.97890242877824307E-01 )
