index: 0
( -3.82977124035387972E-02 , -4.30129972193394217E-01 )
( 8.46989870388347610E-01 , 3.26884117561277054E-01 )
( 5.57797791297090839E-01 , 4.87892486138015100E-02 )
index: 9
( 1.96812734471691869E-01 , -1.01018473014612775E+00 )
( -3.46551487033634142E-01 , -1.16584198376106868E-01 )
( -8.53824971292990870E-02 , 1.11829530550280531E+00 )
( -2.89762800723743552E-01 , -4.34858513121041346E-01 )
( -1.25943893942216012E+00 , -6.38253856178124357E-01 )
( 2.79319665789587501E-01 , -6.40217170152330484E-01 )
( -1.31246194283551154E+00 , -8.79892393632670688E-01 )
( -4.98764417164628493E-01 , -1.04909600880014109E+00 )
( -6.37061786718042922E-01 , -2.98980105387292638E-01 )
( -7.47292792165533348E-01 , 4.34129288981872419E-01 )
( -4.47461933239289122E-01 , 1.19799340885604200E+00 )
( 2.45586219130550620E-01 , 1.82269242947642796E+00 )
index: 10
( 3.69877379016431140E-01 , -4.29216127895622079E-01 )
( 5.11890372051156728E-01 , 8.87530068187587950E-01 )
( -1.94600822893385150E-01 , -1.35036611817501240E+00 )
( 3.07908017631507769E-01 , -3.15359287473302718E-01 )
( -2.06504658504358263E+00 , -1.45414020099316765E+00 )
( -1.12103505974493389E+00 , 3.52032794545088068E-01 )
( 8.78264742647475588E-02 , -6.97881148539001850E-01 )
( 1.67113395243344287E-01 , -6.93322031517942250E-01 )
( 5.05875500615957874E-01 , 1.20701293639028109E-01 )
( 5.12636256409867208E-01 , 9.44429072757619448E-01 )
( -2.61548329609926400E+00 , 7.10199671656190135E-01 )
( -1.46128940282681835E-01 , -5.07280896870120013E-01 )
index: 11
( 2.82996399036217039E-01 , -9.75125829972302238E-01 )
( -1.60509617901174151E+00 , -9.69728735679858178E-01 )
( 8.24391510390344862E-01 , -3.72818257720162971E-01 )
( 7.98051100464479912E-01 , 6.09796706346054984E-01 )
( -8.04392022270525725E-02 , -4.03689002189781432E-01 )
( -4.45622771189936095E-01 , -5.92442675461092971E-01 )
( -5.24410988144054582E-02 , -8.29887918233740862E-01 )
( -1.61191009972178584E-01 , -6.37847039215726080E-02 )
( 2.51164263946829391E-01 , 4.30608903328106751E-01 )
( 2.64137400181578108E-01 , 1.12015115405881804E+00 )
( 8.60686440498170113E-01 , -2.37121362583514156E-01 )
( 7.51104860472526559E-01 , 1.72963028466047031E+00 )
index: 12
( -1.69199875788593357E-01 , -2.09296412089456041E-01 )
( -1.47402834026524356E-02 , -8.67879654167456493E-01 )
( 6.90304251767972360E-02 , 4.81408645621706932E-01 )
( 2.22582055939148177E-01 , 2.86596696552179897E-01 )
( 8.34669288332438364E-01 , -2.65400452425447186E-01 )
( -3.66918877535686860E-01 , 1.29986220136008912E-01 )
( -1.88034445362562974E-01 , 1.03187826087587742E+00 )
( -2.81740209137317832E+00 , -7.96583418618434291E-01 )
( -2.08433387236769962E-02 , -8.54731453375743300E-01 )
( 8.18798588555492285E-02 , -1.29750150810090981E+00 )
( -4.20944998591967268E-01 , 3.81610382125108838E-01 )
( 1.48560075229948269E-01 , -9.35585404498083362E-01 )
index: 13
( 9.53501286387222313E-01 , -5.39347530742782522E-02 )
( 3.28013768523674532E-01 , -1.38543184983027712E+00 )
( -4.99137699273309421E-01 , 4.24258082289566463E-01 )
( 6.01172228168838529E-01 , 1.52994213677595647E+00 )
( 1.16791113799491830E+00 , 1.43648516676757021E+00 )
( -1.65602389009980744E+00 , 4.04823589459234079E-01 )
( -1.57026240990437094E+00 , 2.59811589451391212E-01 )
( -1.33871507260288986E-01 , 2.54443112966118601E-01 )
( 6.59484111580997623E-01 , -2.07074209564899442E-01 )
( 1.40840322541119445E+00 , -1.16721220967333963E-01 )
( -6.92158658125446857E-01 , -3.95499647867395221E-01 )
( -1.36719535622055921E+00 , 3.70673572715394084E-01 )
