index: 0
( 1.06905820819386168E-04 , 1.40651125486420916E-04 )
( -3.42764988358629788E-05 , 8.93428488343042909E-05 )
( 7.12667414353815743E-05 , -3.82823584351696579E-05 )
( 9.98440970426529135E-05 , -1.76107323480877338E-06 )
( -1.20590529045706626E-04 , -3.09837716976874933E-05 )
( 1.20548410212938567E-05 , 3.62238166884049816E-05 )
( -3.56048903526499580E-05 , 1.45954069758436338E-04 )
( -8.09472244634079532E-05 , -9.74257718043881779E-05 )
( -7.37819836809206582E-05 , 3.51307971206328307E-05 )
( 1.14851612130418946E-04 , 1.23127643988983724E-04 )
( 2.27924111564578263E-05 , 2.70104665627940557E-05 )
( -9.61830016218537850E-05 , -1.22101695368142681E-06 )
index: 1
( -4.43363683753046834E-05 , -4.62198882449474288E-05 )
( 1.40098425441511067E-05 , -2.17467450958343066E-04 )
( 2.89943817688838201E-05 , 1.56173130163130447E-04 )
( 2.58431179663897996E-05 , -4.43161617422510492E-05 )
( 1.41752636462607058E-05 , 1.18061698398266296E-04 )
( 1.17368130342365866E-04 , -1.69825659967638828E-04 )
( -1.29540846005257206E-06 , -4.25050055063776555E-05 )
( -5.04163458267943454E-05 , -1.03465168779056933E-04 )
( 1.22147913291670908E-04 , -6.15297596945697843E-05 )
( -8.15863536377897072E-05 , -3.00064812890671400E-05 )
( 3.89149201003229452E-05 , 7.64492771716174171E-05 )
( 9.60036324399322341E-05 , -7.45319574399985350E-05 )
index: 2
( 5.92199468998072040E-05 , 7.41582583592577383E-05 )
( -8.19627926312244213E-05 , 1.14359996512805332E-04 )
( -1.29710317089700529E-04 , 4.16995267543758240E-05 )
( 3.95830853895305263E-05 , 7.28874659772206989E-05 )
( 7.34309662896299152E-05 , 1.66410008421718510E-05 )
( 4.25931937895901051E-05 , -2.84978887337141089E-05 )
( -8.43890537662302185E-05 , -3.05698065783439147E-05 )
( 2.52655163401396979E-05 , 9.29767931924040233E-05 )
( 4.11515304248188200E-05 , 1.49093068846817343E-04 )
( -8.02921458043153949E-05 , 1.39460161940911205E-05 )
( -1.62632333377819231E-04 , -3.56795136111614223E-05 )
( 6.31915483974031976E-05 , -4.84883861661858549E-05 )
index: 3
( 8.54301399558433558E-05 , 3.02805194372839688E-05 )
( 9.21095168731066475E-05 , -7.19325305115592854E-05 )
( 5.91576739894781161E-05 , -2.64836822258466099E-05 )
( 4.32164185043333891E-05 , -2.55862941671689855E-06 )
( -2.25469274375770780E-05 , 5.47898696937631729E-05 )
( -1.08880510068324018E-04 , 6.23534194662324776E-05 )
( -3.00321298228113144E-05 , 1.52944837907994770E-04 )
( 1.42878678549041645E-04 , -7.53577000588627846E-05 )
( -1.52700430809600042E-05 , 1.23474936044036895E-04 )
( 6.29665377839971235E-05 , 6.85345454909568801E-05 )
( 1.41112563128219470E-04 , -6.79647077162290737E-05 )
( 1.31316745893980886E-05 , 5.99232495830362877E-05 )
index: 4
( -3.80345323426586380E-06 , -1.27065987491903722E-04 )
( -2.83496748634949609E-05 , -1.05750580417372065E-04 )
( 9.76404714141225754E-06 , 1.26921013776333827E-05 )
( -3.22656960103063318E-05 , -8.71683513549373351E-05 )
( 9.98004099825306178E-05 , -3.52993347011519210E-05 )
( -3.79034082515839054E-05 , 2.61777104755411889E-05 )
( -1.08279440521915195E-05 , -6.88141359029605793E-05 )
( 3.19335091300994832E-05 , 8.30286970291034001E-05 )
( 6.42675422937459328E-05 , 2.46061320786164505E-06 )
( 5.50374840980672612E-06 , 5.22057345912664363E-05 )
( 8.97096318871020413E-05 , 5.54914665969727912E-06 )
( -2.84230682796739092E-05 , -1.62256548112225257E-05 )
index: 5
( -6.46229122715092627E-05 , 8.73491807300644929E-05 )
( 1.66161587314485901E-05 , 1.12224032565829605E-05 )
( 5.43651963462129552E-06 , -2.07233871035739331E-04 )
( -2.38487697218510250E-05 , -5.56158310800757455E-05 )
( -1.43410314559806717E-05 , -1.47663205088019266E-05 )
( -6.82586224401519610E-05 , 9.93599867532312167E-05 )
( 1.04731683325646905E-04 , -7.75954000852010172E-05 )
( -1.48521925626054818E-05 , 8.21142181314830438E-05 )
( 1.24847964547284904E-04 , -1.25851656288513008E-05 )
( 1.87365180512884296E-05 , -5.01986524209037697E-05 )
( -1.87721068940967695E-04 , 2.43693705338242585E-05 )
( 1.53391679487693700E-05 , 1.87999379327640805E-04 )
index: 6
( -6.55015790743353530E-05 , 3.13828195292781314E-05 )
( -5.67481809898966600E-05 , -5.65592733419808841E-05 )
( 1.76848149122608425E-05 , -1.28640774720713080E-04 )
( -6.75324238967774646E-05 , -3.74211812684273717E-05 )
( 9.35966303799035397E-05 , 3.30184478279915965E-05 )
( 3.13208262246945690E-05 , 7.65842773814531580E-05 )
( -4.81734388339699840E-05 , -3.24383525078577326E-05 )
( 7.51512072950141340E-05 , 3.23344362720029589E-05 )
( 6.74831940407908044E-05 , 2.22082144325442255E-05 )
( 3.62307899315221819E-05 , -2.83163998638056525E-06 )
( 5.98964068669865035E-06 , 2.53425607137062759E-05 )
( 7.25052819346709501E-06 , -4.27881858256872701E-06 )
index: 7
( 9.42387400183497005E-05 , -1.20773046886984574E-04 )
( 7.85025478883807839E-05 , 5.12195183222023976E-05 )
( -4.30775635796571121E-05 , 3.76826561913259155E-05 )
( -1.15122475536242708E-04 , -9.96189243338208632E-05 )
( -2.89234316276859658E-05 , 4.34049443673133732E-05 )
( 3.98329151628387608E-05 , 8.39940303736440118E-05 )
( 7.20874265248916076E-05 , -1.37159083171186954E-05 )
( 5.99127516580416205E-05 , -3.14997390245070613E-06 )
( 1.19044593552877388E-04 , -3.21312720990298662E-05 )
( 4.35184797286282540E-05 , -1.70625210561776226E-05 )
( 2.02450257020639649E-05 , 1.77078342129030050E-05 )
( -2.38742260084752928E-04 , 9.49805306792301081E-06 )
index: 8
( 9.92458851490253541E-05 , -8.28348453921177194E-05 )
( -7.51416047504902359E-05 , -1.64279436459749761E-05 )
( 2.15291463273365629E-05 , 1.00886958832353599E-04 )
( 9.16170669187955515E-05 , 3.20871793945787340E-05 )
( 1.73805609382648502E-04 , -2.66520207158502337E-05 )
( 1.14434135107977590E-04 , 7.16204746910146947E-05 )
( -7.05163288519868611E-05 , -3.34685710617729887E-05 )
( 2.77416423246676206E-06 , -1.12696095992845474E-06 )
( -6.67083658299445835E-05 , 5.34615491129946597E-05 )
( -2.78291965964114804E-05 , 1.89881205628512251E-05 )
( -5.82949593291822089E-07 , 3.06903348116989200E-05 )
( -1.71829297085748361E-04 , -7.46590086255515309E-05 )
index: 9
( -7.20733748872807772E-05 , 1.01337150289789344E-04 )
( -9.28313104248574698E-06 , -1.48384529691148739E-04 )
( -5.73148357927828667E-06 , -1.13573573096917421E-04 )
( -6.50583619403743453E-05 , 8.06103227226143138E-05 )
( -7.78270975414498915E-05 , -9.97050207146904423E-05 )
( 4.48073112522545471E-05 , 1.67376551482552663E-05 )
( 3.72537409266045588E-05 , -1.70325600166337370E-04 )
( -7.03908396537134017E-05 , 9.50672143227211674E-06 )
( -4.28841998385095689E-05 , 4.94881540028702820E-05 )
( 1.29514544587155679E-04 , 6.75716295265559594E-05 )
( -3.30961647822903480E-05 , -9.65170301062548755E-05 )
( -8.30562752763684171E-05 , -1.17380206278153756E-06 )
index: 10
( 7.24225805235515987E-05 , 1.12609068185822405E-04 )
( -7.00595303336094263E-05 , -1.98612045027837411E-05 )
( -7.35246208778235965E-05 , -1.22776538548593394E-06 )
( 8.94022516615659851E-05 , 1.52425017511204297E-04 )
( -1.08533703481339546E-06 , 6.22089582554119520E-06 )
( -1.37457966641796239E-05 , -1.59132293328025938E-04 )
( 4.82025782632417648E-05 , -9.09848461811617966E-05 )
( -1.89603550794597059E-05 , 1.28213144410331309E-04 )
( -6.46629818338805403E-05 , 2.91420483160624490E-04 )
( 7.40756511601151925E-05 , 2.76801672198402892E-05 )
