index: 0
( -1.64246302338378440E-02 , -1.03599790149200947E-02 )
( 6.10119117461254811E-03 , 1.07547388971712780E-02 )
( 4.32967634680628179E-03 , 9.31389729461974333E-03 )
( 3.09500892615710262E-03 , -7.93150707437620568E-03 )
( 1.61202690798842676E-03 , 1.52023917490072373E-02 )
( -1.10704695187050506E-02 , 1.09740140438946681E-02 )
( -2.88260971860645468E-03 , 1.04765358140057260E-02 )
( 4.85009400894805768E-03 , -1.37447663593243397E-02 )
( 5.44982091850641781E-03 , 1.48530336160501361E-02 )
( -8.55814129165846649E-03 , 7.10670140316239582E-04 )
( 1.60912609038193211E-02 , -2.08540629090788257E-05 )
( 9.12418431026482991E-03 , -3.63858688569686662E-03 )
index: 1
( 3.93340493342039191E-03 , -4.82415489823306322E-03 )
( -4.56741338267859127E-03 , 5.23533202501991722E-03 )
( 1.14872515456371877E-03 , -6.13251832973510814E-03 )
( -3.57684241517049889E-03 , 6.00611823522153448E-03 )
( 1.24503062515230571E-02 , 1.71647308138644971E-03 )
( 2.06801772917941402E-03 , 1.15761930836141350E-02 )
( 1.03374624475351066E-02 , 2.14860511867461185E-03 )
( 1.35737101958247064E-02 , -1.51710519575873701E-02 )
( -5.60034441047340282E-03 , -8.87569903741138727E-04 )
( 9.81511741306912919E-03 , 2.68411259688929515E-03 )
( 1.03462717025877057E-02 , -1.41786283774406590E-02 )
( 1.01138698895202311E-04 , -1.44027250061061797E-02 )
index: 2
( 8.55651639199241087E-04 , 9.61572814448364253E-03 )
( 7.51262302672222812E-03 , 1.17312220714935484E-02 )
( 1.12634229243974114E-02 , -3.50622515763128733E-03 )
( -8.67969025470302635E-03 , -3.67720408552322294E-03 )
( 3.79867867702044382E-03 , 2.93374854457722958E-03 )
( 9.54092886067520879E-03 , -1.97066804698560602E-03 )
( -1.42214275162152082E-03 , 1.03757781013201576E-03 )
( -6.09208574292881234E-04 , -6.21124024845987489E-03 )
( 2.92992205573759049E-03 , -8.92966628806170747E-03 )
( -5.09402842627609560E-03 , -6.33080633109671040E-03 )
( 1.91658141250800919E-04 , -1.18375497945485703E-03 )
( 7.15274033435511249E-03 , 6.90224674176405893E-03 )
index: 3
( -6.53346504234360650E-03 , 1.06968590828190671E-02 )
( -3.93009986847274971E-03 , -8.14312084704424052E-03 )
( -1.82139343076404524E-03 , 3.79415380594864179E-03 )
