x=0,y=0,z=0,t=0
( 5.80851526605533938E-09 , -6.38053081988144374E-10 )
( -2.76066507224616336E-09 , -1.17520493690136513E-08 )
( -3.51920203556315208E-10 , 4.65227066921130561E-09 )
( -6.29617536069428006E-09 , 5.41848323877683443E-10 )
( -5.74402374029818403E-09 , 1.12006330331190256E-08 )
( 4.20787904327336215E-09 , 1.15101695930780774E-09 )
( 1.33117218644265313E-08 , -3.26414712890926184E-09 )
( 3.33523272824135429E-09 , -3.32294298547537870E-09 )
( 4.43296758532337110E-09 , 4.80038655058691271E-09 )
( -3.00221627448488077E-09 , -7.76735595594480427E-09 )
( -7.38211754052910271E-09 , -1.49618238423549907E-09 )
( 2.66847633690455542E-09 , -7.25412414031654962E-09 )
x=1,y=0,z=0,t=0
( -6.77754952888977411E-09 , -1.73082800043365346E-09 )
( -9.83519370104952487E-10 , -2.41484977561739367E-09 )
( -2.06528787631308197E-09 , 4.84653659082305381E-09 )
( -1.99732982790787912E-09 , -4.71858981146296458E-09 )
( -7.39979909704146586E-09 , -4.03306898229580496E-10 )
( 7.55802232751849183E-09 , -8.83150738391076740E-09 )
( 6.90386148945102587E-09 , -4.61799517044681171E-09 )
( 2.87027914195708165E-09 , 4.65501105299045019E-09 )
( 6.34007606084229084E-09 , 9.79215715602121202E-09 )
( 3.86266458398122082E-09 , 7.81048448919567361E-09 )
( -4.18147650826881095E-09 , 6.98239260860560030E-09 )
( 4.66253365452407116E-09 , 6.03760529656686705E-09 )
x=2,y=0,z=0,t=0
( -4.68931507603109612E-09 , 2.70273168455858312E-09 )
( -4.87210786007938124E-09 , 4.72468694799431905E-09 )
( 9.07289595356200879E-09 , -2.91866567906105033E-09 )
( -3.06850876739547490E-10 , 2.62440153872849021E-09 )
( -2.12317101646009163E-08 , -9.64022293678760593E-09 )
( -1.24217879336628617E-08 , 1.09853605184291965E-08 )
( -7.78603033737817010E-09 , 1.80479063438767952E-09 )
( 1.08106682789439208E-08 , -7.42443041034889128E-09 )
( -1.18269142878184864E-08 , -9.55728223276127086E-10 )
( 7.49100105477592766E-09 , -9.37932131553431194E-09 )
( -3.71684990074889170E-09 , -1.01973300333049620E-09 )
( 2.46311966052055531E-09 , 8.15348698372179776E-10 )
x=3,y=0,z=0,t=0
( -8.01155774922028601E-09 , 2.11369131549392581E-09 )
( -6.25396973881462841E-09 , 2.78457915049753885E-09 )
( 3.64290868731964566E-09 , -6.52048793924812014E-09 )
( -1.04229868574147908E-08 , -3.19284553628297104E-09 )
( 4.39233957595301879E-09 , 6.41283435064038525E-09 )
( -4.67147421474397649E-09 , -1.91190251641296606E-09 )
( 1.52885782033109955E-09 , -1.29668955394479665E-08 )
( 1.19660508267671187E-09 , 8.92616976188749563E-09 )
( 6.68230676979098277E-09 , -1.60723694797433517E-09 )
( 1.38962142862097193E-08 , -3.53754762129795743E-09 )
( -4.46252307481374267E-09 , -1.12843949703438682E-09 )
( -2.88322610252229597E-09 , -1.15792360641848643E-08 )
x=0,y=1,z=0,t=0
( -6.46186771508136686E-10 , -1.03123688580156557E-08 )
( 1.77873742823269215E-10 , -3.16901580415198778E-09 )
( -9.21811004785312359E-09 , 9.33843709180655866E-09 )
( 2.96122167079722347E-10 , 5.80576629098966134E-09 )
( 6.04121913160143904E-09 , 5.62588767360599427E-09 )
( 1.48751461771227017E-09 , -1.09092432979303615E-09 )
( -5.03041621709739862E-09 , 1.31695546849380106E-08 )
( 1.50095092199397226E-09 , -5.29374476150013223E-09 )
( 2.22887199936102634E-09 , -5.94045226163500833E-09 )
( -3.04122762765263579E-09 , 1.13101950815333096E-08 )
( -7.56614553291445603E-09 , -6.03988732093266596E-09 )
( -1.26773823231549710E-09 , -1.01946769338060056E-08 )
x=1,y=1,z=0,t=0
( -1.04758706123155190E-08 , -4.31987468268919649E-09 )
( 1.30629479956624361E-08 , 6.03807881874779084E-10 )
( 7.43913724887319593E-09 , -7.53227586077939266E-10 )
( 5.59830726313214014E-09 , -1.90238390112095319E-09 )
( 1.58711237359225217E-09 , -2.26178485768118171E-10 )
( -2.00935321818569985E-09 , 1.40919172391261639E-09 )
( -1.88448298773610259E-09 , 5.96276767398600329E-09 )
( -1.09635052899537005E-08 , 5.92081894211803738E-10 )
( 1.70511050983206715E-10 , -5.49980695098052265E-09 )
( 4.97997349442945763E-09 , -4.17857480437090079E-10 )
( -3.69704358121751650E-09 , 5.50976313605686821E-09 )
( -4.10125268378929745E-09 , -2.87590412295047975E-12 )
x=2,y=1,z=0,t=0
( 7.67504473604547740E-09 , 2.80150305340446244E-09 )
( -1.60298854507455016E-09 , -6.97620426937952702E-10 )
( -1.05234576577631815E-09 , -2.29680967796741444E-09 )
( 2.51719980477734098E-09 , -3.18718153651253538E-09 )
( -6.76485021698014599E-09 , 9.73382955368021003E-09 )
( 6.77572653299407843E-09 , -7.67319710111565348E-09 )
( -2.74911846448874882E-09 , -5.88859790810891924E-09 )
( -2.00805556759319776E-09 , -4.70902064567676714E-09 )
( 2.18525407508993328E-09 , -1.18224380232083907E-08 )
( -6.15087643465978941E-09 , -1.10488193554182809E-08 )
( 6.36713938177068611E-10 , 2.88637813679413632E-09 )
( -3.66229615894107307E-10 , 2.94704637848249299E-09 )
x=3,y=1,z=0,t=0
( -1.09728414731170842E-08 , 6.95571839639709816E-09 )
( -7.52702959744382960E-09 , -3.64770082392452374E-09 )
( -4.84150519063507457E-09 , 6.56793114181367559E-10 )
( -1.01126172061760743E-08 , 6.18364349207756916E-09 )
( -1.87011139738360057E-08 , 1.72682847702811519E-09 )
( 4.60228276082343539E-09 , 3.19162551021556795E-09 )
( 1.29241414228793807E-09 , 6.60440102585707407E-09 )
( -4.84179400600725953E-10 , -1.00076873432497146E-08 )
( -1.28986297263568592E-08 , 1.91896842065400708E-09 )
( -1.39871508797153012E-08 , 1.16670420761952107E-09 )
( -8.60585564769603952E-10 , -8.66328430128754552E-09 )
( -6.73775776185233207E-09 , 8.25620669805507933E-09 )
x=0,y=2,z=0,t=0
( -1.78077355112750791E-10 , -1.07937223171967339E-08 )
( 6.76194170141367487E-09 , 8.56277000465077480E-09 )
( 1.12577453693543336E-08 , 2.47712678402363876E-09 )
( 1.28765192019619283E-09 , 2.28273042588654216E-09 )
( 7.47430199439611764E-09 , -6.59929548893888291E-09 )
( 7.79089135340224285E-09 , -1.37022845025743686E-10 )
( 5.90530411468994261E-09 , -3.76989904690697160E-10 )
( 8.59348298406613702E-09 , -4.66574069806274660E-09 )
( -5.76391603004751696E-09 , -1.17750024345082285E-08 )
( -6.39488522444247423E-09 , -1.90506442031262286E-09 )
( -3.71010998665465524E-11 , -1.21761383461875887E-08 )
( 3.95579379838093831E-09 , 3.20205680684915413E-09 )
x=1,y=2,z=0,t=0
( -4.40794892171792945E-10 , -4.06539731738969436E-09 )
( 7.31166260477465644E-09 , -4.21825240294503877E-10 )
( 6.31448123754516042E-09 , 7.43907658262988426E-10 )
( 6.25955279817721655E-09 , 3.65302534159187442E-09 )
( 9.95613502897029610E-10 , -1.20897584189283096E-09 )
( -4.71824718007996124E-09 , 7.02997955486761712E-09 )
( 2.84877716399461599E-10 , 1.94748359753306978E-09 )
( 1.84381860331809163E-09 , 5.12242674791711689E-10 )
( 2.53529376942642912E-09 , 5.79665593478557608E-09 )
( -4.01420051441708124E-09 , 1.22912179327745327E-09 )
( 1.65443279882078735E-09 , -3.03658621853836221E-09 )
( -1.49820505645891637E-09 , -4.39901533396487319E-09 )
x=2,y=2,z=0,t=0
( 1.67659975323730668E-08 , 6.57094804354801163E-09 )
( 3.80272454819894665E-09 , -5.70193957079932014E-10 )
( -5.05399696168409322E-09 , 1.47163313003674227E-08 )
( 4.66861041092264722E-09 , 4.58984758627043415E-09 )
( 1.42362177984852379E-08 , 8.97049636551219626E-09 )
( 3.42773792041672680E-09 , 1.50400718060220021E-09 )
( -2.69124309815806116E-09 , -4.48275765167224736E-09 )
( 1.23217292493693906E-08 , -8.62629366304881958E-09 )
( 1.71414627709826891E-08 , -4.10565779269633494E-09 )
( -8.30144695611934028E-09 , -3.74205069773033482E-09 )
( -1.94242098620010935E-09 , 3.20820354146309328E-09 )
( 9.83863534194061553E-09 , -7.58866191707653734E-09 )
x=3,y=2,z=0,t=0
( -1.25907927759330413E-08 , 2.38745568763875832E-09 )
( 8.31432152127102137E-09 , -2.48295509581342092E-09 )
( -4.22326472590768556E-09 , -5.02941895724092760E-09 )
( 1.14310997644130426E-08 , -1.18112900482484927E-08 )
( -2.63498180303397119E-09 , 7.42557560327374032E-09 )
( 5.13168134142326059E-09 , 5.73845544133498059E-10 )
( 1.83072692652237525E-09 , 4.34749348019994076E-09 )
( 9.79931762741100494E-10 , -7.60480253308933300E-10 )
( -1.36162008997086708E-08 , 1.00915221700688122E-09 )
( -8.65228698954734955E-09 , 1.10985965529152246E-08 )
( -8.70503759292840960E-10 , -8.94980670369899817E-09 )
( 8.00453051775807595E-09 , 1.18186225797741059E-08 )
x=0,y=3,z=0,t=0
( -4.59271382881940425E-10 , -7.22669362165950090E-09 )
( 5.18784556033526716E-09 , -1.65239126012147762E-09 )
( 5.48006741825337977E-09 , 3.48251437433037987E-09 )
( 3.99817233379010548E-09 , -9.78539442072930436E-11 )
( 3.54773585938186753E-09 , -7.71890623086027004E-09 )
( 3.85832082755635766E-09 , -6.01089335055058294E-09 )
( -6.49621213268873820E-09 , 2.30434010973671358E-09 )
( 7.86022126204564392E-10 , 2.37192619396216358E-09 )
( 4.00852001135696950E-09 , 1.00240500643255849E-08 )
( -7.42838481338572352E-09 , -1.58379686492746437E-09 )
( -2.09014862624567842E-09 , -9.32474549314116301E-09 )
( 3.96257893466329499E-09 , 1.77818010445842701E-08 )
x=1,y=3,z=0,t=0
( -6.45743850960167962E-10 , -6.07892336495263184E-09 )
( 3.96210076501228921E-09 , -1.67931820279485200E-09 )
( 2.26216254548106181E-09 , 8.77582148388077903E-09 )
( -5.36651433373145183E-09 , 2.16525264515723984E-09 )
( 3.36491816574742468E-10 , -2.67489774885161817E-09 )
( -7.98940415510013946E-09 , 7.40250717467284328E-09 )
( -7.54688374062228964E-09 , 9.88445732212979492E-10 )
( 3.86243235528585099E-09 , 2.03659600098871466E-09 )
( -1.24532021656921173E-08 , 1.49113108940976827E-09 )
( -5.27830823398499587E-09 , -3.40858108890016486E-09 )
( -1.47457548982280664E-08 , -1.05747013726333411E-08 )
( -6.14901753022304624E-09 , -8.30608089563638342E-09 )
x=2,y=3,z=0,t=0
( 4.19552683467150337E-09 , 8.36332158714895852E-09 )
( -2.13528659474115182E-10 , 9.95414866422105575E-09 )
( -2.65252089876625571E-09 , -2.71702612676078885E-09 )
( 7.38946543610280521E-09 , -5.67182793204001964E-09 )
( -1.56046501209304678E-08 , 4.38720005245882242E-09 )
( -5.68122697150253200E-09 , 4.54147228693811827E-09 )
( 1.18091914093015011E-09 , -5.72068925306245981E-09 )
( 4.17782810306654553E-09 , -1.20732703831361433E-09 )
( -9.61472674933490723E-09 , 4.01811239739144813E-09 )
( -1.98490725448515555E-10 , 5.44269320028439890E-09 )
( 8.22384886054106399E-09 , 1.42404173954420639E-08 )
( 7.00102583753024574E-09 , 3.70106523848593048E-09 )
x=3,y=3,z=0,t=0
( 4.64253917349282783E-09 , -2.02723576297954950E-09 )
( 3.11734578346257309E-09 , -3.39874186654314940E-09 )
( 1.61707342617751594E-09 , 7.21760727813821883E-09 )
( -5.06059903803062063E-09 , 3.44861760322223419E-09 )
( 4.55712199975678894E-09 , -7.39515393362599996E-09 )
( -6.33868855662227616E-09 , 8.65099688451719048E-09 )
( -2.53947703797873501E-09 , 4.00215604087299928E-10 )
