index: 0
( -2.58817002570688348E-01 , -1.11010191270820435E+00 )
( 3.12982039461657813E-01 , -1.55620494088507505E-01 )
( -1.45070555399275852E-01 , 1.15626271745308706E+00 )
( 7.78778225271618413E-02 , 6.41267708091699862E-01 )
( 9.89554519281008349E-01 , 5.19162837597320626E-02 )
( 9.74552727955040110E-01 , 1.14915072208704977E-01 )
( 3.29497523493612055E-02 , -9.45431645139846177E-02 )
( -9.92703829852775832E-01 , 1.25754204231646155E-01 )
( -4.65722762279649538E-01 , 7.55241138099794346E-02 )
( 9.82602686310600548E-01 , -2.60247509455980297E-01 )
( -1.34308254727125043E-01 , 2.55459204660767603E-01 )
( 8.69411982062954003E-01 , 5.11216783005314257E-01 )
index: 1
( 6.37387101834480441E-01 , -9.40680292455590483E-01 )
( 5.29193085784355755E-01 , -9.46166251979105311E-01 )
( -5.26322382855971549E-01 , -4.01246592216483455E-01 )
( -4.03939212779335227E-02 , -6.27980801576192960E-01 )
( -3.02550303489230343E-01 , -7.58557038699054775E-01 )
( -6.93414544252214798E-02 , 1.61054722819444829E-01 )
( -1.65194096665740320E+00 , 5.91179752037931827E-01 )
( -6.57853459660207585E-01 , 4.93615084547725624E-01 )
( -9.06525611469831238E-01 , -2.15546706005041611E-01 )
( 4.21771908141163887E-02 , -7.28166728185111300E-01 )
( -1.05151473144799867E+00 , 3.27002590356966938E-01 )
( -1.02875175462093155E-01 , -2.34805049077879108E-01 )
index: 2
( 3.10202639062451491E-01 , -7.27102513275112772E-01 )
( -4.55875690480356477E-01 , -3.59319488193086123E-02 )
( 1.63377228232588212E-02 , -7.40837808651188867E-01 )
( -9.84482705288865168E-01 , -1.73748073529573277E-01 )
( -1.06931842382948217E+00 , -6.64511519163888953E-01 )
( -2.03019849111862688E-01 , -2.24530639759280837E-01 )
( 8.96194190908662369E-02 , -5.17719472084365417E-01 )
( -4.54297596742141041E-01 , -3.39865615496144691E-01 )
( -6.31625809607783806E-01 , 3.52320042478489540E-02 )
( -4.20698859707981543E-01 , 2.84665011083707786E-01 )
( -3.11190571151438111E-01 , -8.72844463695889750E-01 )
( 3.47671468791023036E-02 , -9.50808650916021070E-01 )
index: 3
( 4.70872697274942076E-01 , -6.23032894660784042E-01 )
( 3.46338309531074473E-01 , -4.44971082094743065E-01 )
( 6.65571703983416474E-01 , -5.71217273923100621E-01 )
( -8.25025499674072127E-01 , 5.76890483574795776E-01 )
( -1.83353997280385428E-01 , 1.80876314314286218E-01 )
( -1.06619597484003603E+00 , 1.24611819069049456E+00 )
( -4.39354382848735070E-01 , -1.27278641469874199E+00 )
( -1.68877731788018737E-01 , 1.76050643213804148E-01 )
( 7.10021139336316387E-01 , -1.17697592414560170E+00 )
( -9.53211423025706717E-01 , 5.65295510131402112E-01 )
( -9.64875881674727265E-01 , -7.33114879990212520E-01 )
( -1.69290648800616561E-01 , 7.90609682815003656E-01 )
index: 4
( 7.39893192262423116E-01 , -9.65536730257380515E-01 )
( 8.94933482125672475E-01 , -1.75655083849616034E+00 )
( -2.84602965659682960E-02 , -7.02444237578391029E-01 )
( -3.43686210410914184E-01 , 4.47731225058150203E-02 )
( 6.84984219028085373E-01 , -3.64323905671112003E-02 )
( 7.04869608088453115E-01 , 6.12082445963397670E-01 )
( -5.57174456316440470E-01 , -7.68367323895881471E-01 )
( 1.88343862550102270E-01 , -7.14234270552594586E-01 )
( -1.34492824996237470E+00 , -4.80164074790666529E-01 )
( -1.31276219383826276E+00 , 1.26980640076283668E+00 )
( -2.30920686284974697E-01 , -5.25823596708612784E-01 )
( -1.98078500772942367E-01 , 1.04733132930813744E+00 )
index: 5
( 9.52233979037001799E-01 , 7.15599740820067942E-01 )
( 8.03168910265427360E-01 , 2.96660225933883970E-01 )
( -1.10954024301632015E+00 , -6.46102816619787745E-01 )
( 9.91178485127408471E-01 , 1.13909246070612458E+00 )
( -7.08858316346797523E-01 , 1.21665547667465401E+00 )
( -7.30500374019126375E-01 , -1.20328532268947686E-01 )
( 4.41964779111954420E-01 , -5.85858634338589229E-02 )
( -9.08087378856233363E-01 , 5.14838626669159138E-01 )
( 4.21335876880230609E-01 , 3.60686166436644584E-01 )
( -3.54091222222961632E-01 , 1.35709055798812628E+00 )
( 1.32097230418432132E+00 , 8.16699359100645506E-01 )
( -2.12344000045512260E+00 , -6.55286332858395326E-01 )
index: 6
( -1.48038931876623647E-01 , 3.73483628598724804E-01 )
( -6.78713345566212989E-01 , -1.74085685056821260E-01 )
( -1.22084085136155784E+00 , -1.04751760563143637E+00 )
( 4.63504892920199807E-01 , 5.41931044949986229E-01 )
( 6.26409819825862746E-02 , 1.04934679700888411E+00 )
( -1.04518491981416536E-01 , -5.91888334486219025E-01 )
( -4.33266309135360850E-01 , 6.66842225692503732E-01 )
( 1.12621460814428878E-01 , 9.81415724382369431E-03 )
( 6.62649006193327117E-01 , 7.04494979362249252E-01 )
( -5.64756468352765495E-01 , 1.88225766298394409E-01 )
( -8.05298984560647635E-01 , -2.63396602012857389E-02 )
( 4.21916490994174942E-01 , -1.13633901057658537E+00 )
index: 7
( 1.42831627339640110E-01 , 7.86087488095738585E-01 )
( 9.80670818403581390E-01 , -2.14231783316259250E-01 )
( 1.35520933851292269E+00 , -1.67464533633179480E+00 )
( -6.24016783562486244E-01 , -1.29458026367702400E-02 )
( 6.78196762745736370E-01 , 2.47909873052942681E-01 )
( -1.10093847843938319E+00 , -4.25350901010747906E-01 )
( 9.16742362564466506E-01 , -2.18839032471967260E-01 )
( -1.51364506322037684E+00 , -1.04054964817775042E-01 )
( 7.22511348807534093E-01 , -2.25978937071141250E-02 )
( -1.21632355764231503E+00 , -4.08724400454555270E-01 )
( 7.87208745916878061E-01 , 5.27173192440891558E-01 )
( 4.94678692225397676E-01 , 1.21213155101156760E-02 )
index: 8
( 6.09863431863545635E-01 , -7.71260642028837706E-01 )
( -6.08291709718190909E-01 , -2.16664182533704425E-01 )
( -1.42259338995864903E-01 , 7.73882545249980347E-01 )
( -1.48822628804019241E+00 , 1.68955905248319299E-02 )
( -2.45287810940749473E-01 , 8.94785790419239890E-01 )
( 3.41663357958387259E-01 , -1.47141305271178946E+00 )
( -3.34346499898750121E-02 , 9.53337914902959049E-01 )
( 1.21186114819693858E+00 , 6.06630209114684349E-01 )
( 1.40307824712801343E+00 , -6.56641353544709427E-01 )
( 4.62568345077884330E-02 , -4.15350943862845323E-01 )
( 7.93093887131362307E-01 , 2.95613247119570377E-01 )
( 4.37157758889243464E-01 , -1.15847605310852045E-01 )
index: 9
( 1.96403888200884558E-01 , -8.41523539066139414E-01 )
( -3.73580385614234456E-01 , -1.22745704005887080E-01 )
( -7.22801995898734451E-02 , 8.39439503591744574E-01 )
( -1.36581490752753165E-01 , -3.35476830796903935E-01 )
( -1.14318173963994840E+00 , -5.54480576580413498E-01 )
( 2.24138780078108779E-01 , -5.19630156504163554E-01 )
( -1.24141079847338287E+00 , -8.92426860296391178E-01 )
( -5.48252526539751761E-01 , -1.09875910221813866E+00 )
( -5.69027225753786281E-01 , -2.95519198571308817E-01 )
( -6.50124496498076465E-01 , 5.19633766484141058E-01 )
( -4.92808806901861796E-01 , 1.03463904610680824E+00 )
( 9.87134877806336575E-02 , 1.78881074205739488E+00 )
index: 10
( 4.05518622091776137E-01 , -3.72918805368890771E-01 )
( 5.63003539130092601E-01 , 9.07055964400897974E-01 )
( -1.82088239648579842E-01 , -1.38929717977448952E+00 )
( 2.62048447071772495E-01 , -2.78594824442735312E-01 )
( -1.98295277768534062E+00 , -1.34831907490041369E+00 )
( -9.11671025264226054E-01 , 3.61273826933468878E-01 )
( 2.01943567068641139E-01 , -6.99091733274311955E-01 )
( 1.21368883140996531E-01 , -5.96152630155865060E-01 )
( 3.25627721599205167E-01 , 1.78161394280588442E-01 )
( 3.05286485889582793E-01 , 7.91651044097347323E-01 )
( -2.45819143059456469E+00 , 5.95657303033539587E-01 )
( -8.32290113058545555E-02 , -4.59950314233501245E-01 )
index: 11
( 2.97547272869673585E-01 , -9.59655279781278070E-01 )
( -1.52012856988068190E+00 , -1.00378876389324523E+00 )
( 8.85917129373584578E-01 , -5.37763353983592429E-01 )
( 7.14275435553108351E-01 , 5.75767446904352553E-01 )
( -6.60540951177500668E-02 , -3.27541150065088438E-01 )
( -4.89409997255576101E-01 , -6.23938879095135346E-01 )
( 4.10623519099415080E-03 , -8.97817576599539757E-01 )
( -2.35580358378065902E-01 , 3.54737895208045856E-02 )
( 2.60405452667678228E-01 , 4.23190933342434239E-01 )
( 3.36162562727172376E-01 , 1.00768930666571710E+00 )
( 7.99240053013492546E-01 , -2.05421722502613258E-01 )
( 6.18367626217227073E-01 , 1.77822646178433463E+00 )
index: 12
( -1.73541184667494242E-01 , -3.10988168464479520E-01 )
( 3.48989296623917616E-02 , -6.54208914581314138E-01 )
( 2.08878077591224842E-01 , 5.96552770344571215E-01 )
( 4.03471411490362725E-02 , 1.36211940464979697E-01 )
( 7.84032715751632803E-01 , -5.52831543257293542E-02 )
( -3.46613422633213264E-01 , 2.55820216739685524E-01 )
( 5.97874109128487818E-03 , 9.53028507203268149E-01 )
( -2.59315288129517629E+00 , -8.74251619476858699E-01 )
( -1.44768057544331696E-01 , -7.99671715852971698E-01 )
( 5.41607961925408277E-02 , -1.31209801791645386E+00 )
( -3.52272160535349210E-01 , 3.43566635289074773E-01 )
( 1.23468918166057012E-01 , -9.01352062970908308E-01 )
index: 13
( 8.34561248248501530E-01 , 1.06299120299403929E-01 )
( 2.57018420352399746E-01 , -1.40265897249444871E+00 )
( -4.36653830260303466E-01 , 1.01838433198350065E-01 )
( 6.58775526709875270E-01 , 1.47447401522970867E+00 )
( 7.88908576855010590E-01 , 1.55234765034092170E+00 )
( -1.50988355792134277E+00 , 4.36699641455588261E-01 )
( -1.16456776017251129E+00 , 2.01368793806941226E-01 )
( -3.43671596657415201E-01 , 1.64514010119742010E-01 )
( 4.93478590992483201E-01 , -9.01812314505254647E-02 )
( 1.07118134834800594E+00 , -9.89737763295711337E-02 )
( -7.03820996565664325E-01 , -5.12668686375996829E-01 )
( -1.20822228949200317E+00 , 4.47322916809916316E-01 )
index: 14
( -8.18798814096151212E-02 , 5.00355896685036328E-01 )
( 1.48150865221784556E+00 , 5.14852855297654899E-01 )
( -3.45020423956694411E-01 , -6.03894092178431818E-01 )
( 1.33400922727599791E-01 , -3.02337709647483355E-01 )
( 5.66444270667399774E-01 , 2.21010968078748260E-01 )
( -1.14351080506090064E+00 , 1.50471139738870674E+00 )
( -6.52037172719197033E-02 , -1.26905461748632042E-02 )
( -2.21986007276749303E-01 , 5.37791743261689770E-01 )
( 2.82261060394347896E-01 , -5.03192531551389433E-01 )
( -1.00987863330111241E-01 , 5.92061521161069138E-01 )
( 1.15296170278033472E+00 , -2.58848128629482026E-02 )
( -3.00665257337306202E-01 , 6.90136293726097833E-03 )
index: 15
( 2.67893210326323072E-01 , 6.74146417898954686E-01 )
( 3.70020736315869625E-01 , -5.75895301611682675E-01 )
( -1.82505272535701302E+00 , -5.25285661483439914E-01 )
( -2.48673763590434915E-01 , -5.20625113076816581E-01 )
( 1.56903117135138004E+00 , 7.45420373780262602E-01 )
( -1.03885984637782114E+00 , 4.78202713274107072E-01 )
( 2.25977376701584409E-01 , -9.04302063461642991E-01 )
( -6.13778900302957342E-01 , -2.26433758666325202E-01 )
( 2.06895829203636139E-01 , 3.50123535941771702E-01 )
( 9.80783119687253291E-01 , 1.67145443307561536E-01 )
( -4.43880101577997843E-01 , 1.12146168928360956E+00 )
( 4.21564237188960633E-01 , -5.18587351671569885E-01 )
index: 16
( 1.60078033946549209E-01 , 1.17703061976037060E+00 )
( -7.03686272343442165E-01 , 1.73640938616015017E+00 )
