x=0,y=0,z=0,t=0
( 7.44338894486418905E-06 , -2.13281452427232369E-05 )
( -2.85774122054826354E-05 , -1.38790794320829226E-05 )
( -6.69284226442259205E-06 , 7.52823971100062250E-06 )
( -2.33746646069766507E-05 , -1.24974626097636684E-05 )
( 7.00653022582255329E-06 , 6.83300023030212971E-06 )
( 1.10995460295632458E-05 , -7.00233255623022419E-06 )
( 1.54547789260908585E-06 , -4.72492917247915482E-05 )
( -3.51421000666764179E-05 , 1.24527314259975450E-05 )
( -2.28885710565686926E-05 , 9.99286443351343295E-06 )
( -3.89893346991323982E-05 , -1.49346746061820121E-05 )
( 1.78872096204866181E-05 , -1.35535814129006332E-05 )
( 1.02112932421398729E-05 , -4.46726455275590887E-06 )
x=1,y=0,z=0,t=0
( 2.97885564795588036E-05 , 1.39060981563352110E-05 )
( -1.92201559093325386E-05 , 2.36275265486801959E-05 )
( 3.42234388464512785E-05 , -1.71249705011191733E-05 )
( 3.60959144251047310E-06 , -1.30957285361372634E-05 )
( 4.07743773314840781E-05 , 2.04404338972240898E-05 )
( 2.56007120883025070E-05 , 1.12294880935376810E-05 )
( -2.74241304829642098E-06 , -8.53547090591543644E-06 )
( 1.28859675098751245E-05 , -1.27739869146021021E-05 )
( 2.10324312957193446E-05 , 6.44578878682563092E-06 )
( 1.37517517190012054E-06 , 7.87235600272533429E-06 )
( 2.85549716246656643E-05 , -1.02838190731261670E-05 )
( -1.90257012881890106E-05 , -9.59413623456815509E-06 )
x=2,y=0,z=0,t=0
( 1.16241120944489464E-05 , 8.08037032460780553E-06 )
( -5.13855462183138216E-06 , -2.16692401506187806E-05 )
( -1.69450978151909153E-05 , -9.74126646411984978E-06 )
( -5.12100516892816926E-06 , 2.36253203585304291E-05 )
( 5.80409792647143433E-06 , -2.56706250795139232E-05 )
( -4.73945107266704487E-06 , 4.60259906349057857E-05 )
( -1.91007581311285881E-05 , -3.91704718075982995E-05 )
( -2.61857860687522491E-05 , -2.21190667820829996E-05 )
( -1.58140340920154873E-06 , -7.88937014817490631E-06 )
( 1.12278811767676270E-05 , 2.55764769960438024E-06 )
( 3.48295671497070688E-05 , 2.00373045785599996E-05 )
( -8.37763867564502221E-06 , 3.22789579650114124E-05 )
x=3,y=0,z=0,t=0
( -2.41163495999789345E-05 , -1.68465981780463663E-05 )
( -6.74196343663164340E-07 , 3.96371901584210531E-05 )
( 2.33767389634742988E-06 , -1.95872901413181136E-05 )
( -4.07290304958261038E-06 , -2.51970001189751519E-06 )
( -3.67033812625017442E-07 , -3.96406091202070187E-06 )
( 5.36957486768624217E-07 , -2.59135398156095650E-05 )
( -4.45494132400580544E-05 , -1.71693262759759783E-05 )
( -8.62852433340001610E-06 , -6.69257437540916773E-06 )
( 1.10115772265507103E-05 , -2.86695887546579680E-06 )
( 9.16240966083346733E-06 , 2.64623928099659629E-05 )
( 2.31937510750720819E-06 , 8.17186293307700182E-06 )
( -5.19295042077110853E-06 , -1.77166894158473925E-05 )
x=0,y=1,z=0,t=0
( -6.56431638182844397E-06 , 2.48447849346324671E-05 )
( 6.28363038436136836E-06 , 3.68328450531279263E-05 )
( 1.65047672486931268E-05 , 2.51393113572575705E-05 )
( -1.85816388131058242E-05 , 8.45701538710605075E-06 )
( -1.57929409288566233E-05 , 1.17976508459430755E-05 )
( 5.13227369863210010E-06 , -1.07583849906377728E-05 )
( -1.68191602460090749E-05 , 1.48308812434340032E-05 )
( -2.01656376963293434E-05 , 3.91304807615977325E-06 )
( 1.08331834208186026E-05 , -8.60542637831385746E-06 )
( -3.87780279800592964E-05 , -1.59614988864333700E-05 )
( -2.91461907830010595E-05 , -6.84010502837191182E-07 )
( -2.43645137999219700E-05 , -2.39855538535067601E-05 )
x=1,y=1,z=0,t=0
( -1.33957095208964185E-06 , 3.14517747391701165E-05 )
( -7.53395020622044392E-06 , 7.75211750372064074E-06 )
( 4.91314091311852457E-06 , 3.99730548670922115E-07 )
( -1.86869054110843399E-05 , 1.65151014139364021E-05 )
( 1.58297470096742348E-05 , -2.14254939935701766E-05 )
( 2.04745785087762659E-06 , 3.49968897355125397E-06 )
( -1.70513630366117789E-05 , 3.28300651647994589E-06 )
( -1.01204081587349547E-06 , -2.21933298458058336E-06 )
( 3.50117548113417249E-07 , 1.58103822480366217E-05 )
( 1.65009327755224455E-05 , 1.84852616645294368E-06 )
( 7.05505911972653240E-06 , -1.30594141759348967E-05 )
( 6.59254604431592776E-07 , 2.68713464184978649E-05 )
x=2,y=1,z=0,t=0
( 6.06400779827694954E-05 , 7.97332862950958598E-06 )
( -1.48209926045156651E-05 , -3.43920088694744624E-05 )
( 1.19101102603715621E-05 , -9.59783137833876991E-06 )
( 2.50461787597326434E-05 , -5.47683607763458180E-05 )
( -2.25797293501607295E-05 , -6.61326729971840837E-06 )
( 5.10852319128764180E-05 , -3.60428371944749914E-05 )
( 8.65686638422426732E-06 , -1.74416968131883382E-05 )
( 2.93449314987327510E-05 , -1.42475775218665933E-06 )
( 1.84336452971602039E-05 , 1.14314474484469324E-06 )
( -6.82745963227726052E-06 , -2.00498128982769822E-06 )
( -5.23404714814142372E-06 , -1.66247813428684289E-05 )
( -1.64447269760154481E-05 , 1.30941937275465579E-05 )
x=3,y=1,z=0,t=0
( 9.60582863584186034E-06 , -3.87194737150757956E-06 )
( 1.40467269135843920E-05 , -1.10497057368051911E-05 )
( -3.87562054393639590E-05 , -2.11790188040705325E-05 )
( 4.71221242327536218E-07 , 1.15143912171028214E-05 )
( -6.99789119505757779E-06 , 1.48136923952253190E-05 )
( -1.45419901869215249E-05 , 8.77688075916099806E-06 )
( 9.85330176729700820E-06 , 1.48400679062024627E-05 )
( 1.61055305557552495E-05 , -4.24501294511632713E-06 )
( -1.98301972959811999E-05 , -5.97046723424910836E-06 )
( 1.61996140442581778E-05 , 5.86949153327629111E-07 )
( 4.24236976633018111E-06 , -3.01601523591997170E-06 )
( -2.86517654629908483E-05 , 2.73937813600877631E-05 )
x=0,y=2,z=0,t=0
( 2.85509799471244225E-05 , 2.22034406510561482E-05 )
( 1.41495360098463404E-05 , 4.15543545314473318E-06 )
( 3.07995418568688303E-05 , -1.59882113860494965E-05 )
( -1.17231748663819127E-05 , -4.50190434118053111E-06 )
( 1.29510161360792504E-05 , -2.62980001236693324E-06 )
( 7.62339619287815833E-06 , 1.80717246437845090E-05 )
( -1.06452164622220623E-05 , -1.24268758688343297E-05 )
( 2.57704871593828603E-05 , -2.41308643137281469E-05 )
( 1.45586970398466967E-05 , 6.97864562338587898E-06 )
( 1.15875108594903975E-05 , -1.15444255211640861E-05 )
( 5.04203419502849400E-06 , -2.09291474183421936E-06 )
( -2.20195634675986064E-05 , 1.90281469024409781E-05 )
x=1,y=2,z=0,t=0
( 3.30347541329369338E-05 , -3.80438555186110063E-08 )
( -7.77170734990506650E-07 , -5.78944847743744973E-06 )
( 1.84896900094616421E-05 , 4.15004349923199750E-05 )
( 4.04309436146657453E-05 , 2.30377953381376273E-05 )
( -1.33662290688381882E-05 , -2.10472973424888913E-05 )
( 2.89922125142656857E-05 , 9.92821819739297154E-06 )
( 2.51740281415269131E-05 , -7.86843662662357084E-06 )
( -2.44227595888249285E-06 , 2.34226442881841853E-05 )
( -2.13747515604684909E-05 , 4.68095784513067434E-05 )
( -7.43990146258300613E-06 , -4.23817841399950416E-05 )
( 6.11582423635660447E-06 , 3.72405674717765081E-05 )
( -2.89132942694440978E-05 , 4.73826128668718637E-06 )
