x=0,y=0,z=0,t=0
( -2.49935993768044048E-09 , -2.96161138874703237E-10 )
( 1.76612640532460366E-09 , -4.49669426791782996E-10 )
( -2.62126408654018673E-10 , 1.15031135537633768E-09 )
( 1.25291723543493760E-09 , 1.67240964744644186E-09 )
( 1.70278067608128491E-09 , -9.25546590274283767E-10 )
( -3.87573733312452886E-10 , 2.34579642557913748E-10 )
( 1.44345120843900475E-09 , 1.70982916051603503E-09 )
( 7.35819345018198932E-10 , 1.58068377551690840E-10 )
( 1.11652588206349563E-09 , -2.53023408317050785E-09 )
( 1.85340065925221701E-09 , 1.50781892541354392E-09 )
( 8.13588465572498905E-10 , -9.22961552736773237E-10 )
( 8.67599513188061378E-10 , -1.26924224263295198E-09 )
x=1,y=0,z=0,t=0
( 5.93938821676880219E-10 , -6.39325876892896365E-10 )
( -1.37279335275751287E-09 , -5.94649204013816025E-10 )
( 8.73576538725354474E-10 , -5.23256154470283922E-10 )
( -1.54239091157175050E-09 , 1.97972355715311730E-09 )
( 2.38049446401593657E-09 , -5.93885380214387481E-11 )
( -1.35481377581582798E-10 , -7.99361192847373367E-10 )
( 2.78108560334332487E-09 , 4.73954335798933717E-10 )
( -4.56093773880791221E-10 , -1.40862552064262361E-09 )
( 1.43632170699440081E-09 , 1.76888575165065294E-10 )
( -2.78806500775831580E-10 , -8.34213901126749406E-10 )
( 1.62752507518878944E-09 , -1.52639307543760221E-09 )
( 2.42978451671260726E-10 , -2.33840777528418142E-10 )
x=2,y=0,z=0,t=0
( 1.41549250784910650E-09 , 1.52001547611855715E-09 )
( 7.58454499152922581E-10 , -2.78058163309039097E-09 )
( 1.74916439402211703E-09 , -1.39230317780998467E-09 )
( 2.61184117808714104E-10 , -1.17307648531126145E-09 )
( -7.73133548264992585E-10 , -4.34924106187793898E-10 )
( 1.83261351692463400E-10 , -3.00440716924159654E-09 )
( 2.28995359378692074E-10 , 1.66236095269034759E-09 )
( 1.48509821532200919E-09 , 2.39491128402124081E-10 )
( 6.58268035640469484E-10 , -5.55446712620354021E-10 )
( -2.02033173113417820E-09 , -1.06663814461644220E-09 )
( -1.81015759688487756E-10 , 2.96133349193284997E-10 )
( -1.78119894101175298E-09 , -1.09038948369882823E-09 )
x=3,y=0,z=0,t=0
( -4.13730360596676900E-09 , 1.55645453554966077E-10 )
( 1.37281875241680258E-09 , 2.35016122897167551E-09 )
( 1.29266480014319348E-09 , -1.65202579742134378E-10 )
( 6.22228452994567477E-10 , -1.68042177160685304E-09 )
( 2.35995606850964951E-09 , 1.41078356074348493E-10 )
( 5.31432720723614842E-09 , -3.15152154765511953E-09 )
( 1.65113034743029578E-09 , -2.85076283546717186E-09 )
( -3.60132727055404025E-09 , 2.51153233238964181E-09 )
( 3.66401631159199701E-09 , 5.12900324839419694E-10 )
( 2.90425933225874381E-10 , 2.33418617269868945E-09 )
( -4.95403220845534135E-09 , 2.92097005412861199E-10 )
( -1.93922892378140145E-09 , -5.06919360040753809E-09 )
x=0,y=1,z=0,t=0
( 1.30725301158204245E-09 , -3.52518956085020064E-09 )
( -1.51306959612678004E-09 , 7.05662841473466293E-10 )
( -6.34919705049719805E-10 , 3.06016640326619490E-09 )
( -3.94345422421502955E-10 , -6.54210267718416276E-10 )
( 1.40805452737595379E-09 , 2.38328740291811737E-09 )
( 1.02893143692606190E-10 , 4.39851461180944519E-09 )
( 1.41430270860947221E-09 , -1.13542923853451927E-09 )
( -2.24166718345210803E-09 , 2.14157307798041305E-10 )
( -5.01375811122948478E-11 , 2.44972889945457824E-09 )
( -4.06451067062158688E-09 , 3.77214742920960553E-10 )
( -1.76406165401349472E-09 , -5.81462736799605517E-10 )
( 4.01249981316656663E-09 , 8.42497182717733632E-10 )
x=1,y=1,z=0,t=0
( -1.17922312923586572E-09 , 3.29196612268974779E-10 )
( -1.18921256161081585E-09 , -3.72778297076159627E-10 )
( 3.49681046977388384E-09 , 2.05449473046662518E-09 )
( 1.70668395005133355E-09 , 3.54272143869437869E-10 )
( -1.83833360864365536E-11 , -1.39962343862195638E-09 )
( 9.00323819784974820E-10 , -1.68628211090840952E-09 )
( -2.93292218934155707E-09 , -2.39162357816490424E-09 )
( -6.76985263207430808E-11 , -3.43523459466156115E-10 )
( -1.01767200386476161E-09 , 3.30691983933342612E-10 )
( 8.57481490042111599E-10 , -2.54483429805575117E-09 )
( -1.15785657983994142E-10 , -2.25430024605029947E-09 )
( 4.53024981693365436E-10 , -2.74311227511493877E-09 )
x=2,y=1,z=0,t=0
( -1.28815747796677079E-09 , -3.43710625762786916E-10 )
( 6.87574007746510524E-10 , 1.61193228866199493E-09 )
( 7.32592203216540335E-10 , -5.86219339445359553E-11 )
( -1.29945020562956518E-09 , -2.65921917890030506E-10 )
( -1.45389812290016059E-09 , 1.31711987322009164E-09 )
( -4.19228262658272607E-10 , -1.24708989234682411E-09 )
( -2.90942901536582725E-10 , -2.59421670433791830E-09 )
( -1.92348689607041485E-10 , 2.30164610419295764E-09 )
( -6.63248073311489002E-10 , -2.57204423806195471E-09 )
( 6.14018323473491325E-10 , -3.10009215618274169E-09 )
( -1.95804075820467486E-09 , -5.49926995430098904E-10 )
( 8.41849325042593117E-10 , 9.99042263172972839E-10 )
x=3,y=1,z=0,t=0
( 4.16927551978842188E-09 , 9.10577768466385705E-10 )
( 2.89875811068903037E-10 , -2.84351020217001311E-09 )
( -1.44023869098742859E-09 , -2.42410192433371153E-09 )
( 4.19119302735734813E-09 , 1.86425305704354113E-09 )
( 2.97672494578208111E-10 , -4.35585015044906100E-10 )
( -8.46695008740795138E-10 , 3.17212873970390373E-10 )
( -1.81545108740135882E-09 , 1.88061620321925304E-11 )
( -8.69115395438383343E-10 , 3.99068166256480880E-10 )
( -6.59611260089982660E-10 , 1.32342811956086672E-09 )
( -1.30965556229939623E-10 , -1.68682419301042316E-10 )
( 5.63171859631041613E-10 , 6.72219522175888378E-10 )
( -7.88581701705118997E-10 , 1.67371301231298804E-09 )
x=0,y=2,z=0,t=0
( 1.26843997129485869E-12 , 4.92844674399756665E-10 )
( -9.52409026319254768E-10 , 9.45333530492011671E-10 )
( 3.17442954680458809E-10 , 1.76263344387628929E-09 )
( -9.96831997265052598E-10 , -4.95236491062079760E-10 )
( 7.45878764926541804E-11 , 5.02146517981014020E-10 )
( -2.29451526113166004E-09 , 1.21539538000929033E-09 )
( 1.23852423517470595E-10 , 2.15034086888699714E-10 )
( -9.64156344029207041E-10 , 2.09894423152959118E-09 )
( 8.93855583371895381E-10 , -1.35445788394286554E-10 )
( -3.52804684715852857E-10 , -2.19355385174146058E-09 )
( -2.07691857084722955E-10 , 1.13543971225503819E-09 )
( 1.39887835293267965E-09 , 2.86212510728748189E-10 )
x=1,y=2,z=0,t=0
( 4.15663639894940485E-09 , 6.15842491207577756E-10 )
( -1.45841375536988912E-10 , -2.10110584178891133E-09 )
( 1.48366557290384548E-09 , -1.07392530765829638E-09 )
( 3.30674628526083308E-09 , 1.60423592148096231E-09 )
( 2.61469180294755260E-09 , -3.03195451174803125E-09 )
( 2.05716021278177145E-09 , 1.75169349107103120E-09 )
( 9.45008322238149101E-10 , 5.84421026452356699E-09 )
( 2.39564292323925126E-09 , -2.52160963622726437E-09 )
( 1.22373875408214580E-09 , 6.90690860621402608E-10 )
( 7.10673872747571354E-10 , -1.40369688528629104E-09 )
