index: 0
( -2.81511459842294226E-02 , -4.73143441018395117E-01 )
( 6.17671004541050173E-01 , 2.91498387293718741E-01 )
( 3.85166008455256892E-01 , -2.57483635168399318E-02 )
index: 9
( 1.65080430844924742E-01 , -7.28559704239450490E-01 )
( -3.10899585145108404E-01 , -9.73983238817991981E-02 )
( -5.95957710313880229E-02 , 5.34368010617720657E-01 )
( -4.37513637752537099E-02 , -1.69667686660280037E-01 )
( -1.00188859857416723E+00 , -6.11764559126643626E-01 )
( 1.99699446482469123E-01 , -3.95008982924082319E-01 )
( -1.15980404372112966E+00 , -8.65060465309859028E-01 )
( -5.25620507789525515E-01 , -1.02671892875733572E+00 )
( -6.40659133694354788E-01 , -3.49282632725216480E-01 )
( -5.80572325494616015E-01 , 4.09890219787537591E-01 )
( -5.77786775043650280E-01 , 1.05956958262435075E+00 )
( -2.00627407078159126E-01 , 1.56431419547161665E+00 )
index: 10
( 4.77611388155964600E-01 , -2.98053485125174045E-01 )
( 6.76934322629866747E-01 , 8.36117317160786633E-01 )
( -5.58808485363821716E-02 , -1.28556573959289078E+00 )
( 2.56495676001696427E-01 , -2.30044595124354656E-01 )
( -1.78823653499368174E+00 , -1.23355665255224167E+00 )
( -8.68395099186641595E-01 , 3.61505354788022482E-01 )
( 3.25373725059133423E-01 , -7.13735427748401374E-01 )
( 3.36286065038068904E-02 , -4.89697425515557616E-01 )
( 3.49046864297485326E-01 , 3.26666458125375425E-01 )
( 2.62070918117206508E-01 , 7.80559086009843806E-01 )
( -2.20726363644214318E+00 , 5.27140189637023582E-01 )
( -2.54177061653005354E-01 , -3.57383799176137051E-01 )
index: 11
( 1.68057600236288823E-01 , -8.74180829658499858E-01 )
( -1.47549498969365001E+00 , -8.48284459142841119E-01 )
( 8.04396527524236182E-01 , -3.54143102560915080E-01 )
( 5.88090539799966949E-01 , 5.55721048045864974E-01 )
( -7.82721806205863291E-02 , -2.92534611044714676E-01 )
( -4.84127550991906686E-01 , -7.01905384475969951E-01 )
( -1.02306402941841679E-01 , -9.90172602032272087E-01 )
( -4.21541025983713846E-01 , 1.37848480789425909E-02 )
( 3.55274435995219795E-01 , 4.37301056057658455E-01 )
( 3.09598580428081416E-01 , 9.73651177460608697E-01 )
( 7.00518238097868728E-01 , -2.19404247751548320E-01 )
( 5.48890670404650893E-01 , 1.75907630147975014E+00 )
index: 12
( 4.06604051791313870E-02 , -4.90378291042664394E-01 )
( -9.53281795458277986E-02 , -6.46870846656452114E-01 )
( 3.77955651633530010E-01 , 5.06937906587436982E-01 )
( 9.29899912173791088E-02 , 5.32548645912712948E-02 )
( 7.74382620831646773E-01 , -6.78049487187441929E-02 )
( -2.14256890487297125E-01 , 3.70435397472300032E-01 )
( 1.51800215835319885E-01 , 8.33305378200915658E-01 )
( -2.37314181965268034E+00 , -8.06876516684877920E-01 )
( -1.83075112347752422E-01 , -8.30895209979389371E-01 )
( 1.67137827472723793E-02 , -1.27161810587884272E+00 )
( -3.15025723661329526E-01 , 3.41990464655553716E-01 )
( 1.64878391497142562E-01 , -9.31152370020398967E-01 )
index: 13
( 6.68282440800096245E-01 , 1.79420220237580752E-01 )
( 3.15854687118115374E-01 , -1.30314512238484737E+00 )
( -4.33671172970201635E-01 , -4.42349316199599774E-02 )
( 6.42529845654431386E-01 , 1.37894588458927392E+00 )
( 6.85852870436649553E-01 , 1.53999422517586582E+00 )
( -1.35715553789639665E+00 , 4.98978560548490713E-01 )
( -1.00669752711641314E+00 , 1.10936708984993943E-01 )
( -2.89898088590206437E-01 , 2.38777482609579095E-01 )
( 4.33353727796615074E-01 , -1.47171209038417933E-02 )
( 9.01376356712973781E-01 , 3.37670070939935507E-02 )
( -5.71155871869011955E-01 , -5.33246193339482866E-01 )
( -1.12282624293796740E+00 , 4.97862299367414607E-01 )
index: 14
( -1.20360584374125737E-01 , 5.53447862747159625E-01 )
( 1.37015012593121144E+00 , 5.27772183951950358E-01 )
( -3.35896859331241360E-01 , -5.63958794499087923E-01 )
( 2.98132225253413541E-02 , -2.62401582685700852E-01 )
( 5.19018896275423081E-01 , 1.48448135402220849E-01 )
( -9.43861491536616470E-01 , 1.44402897015979881E+00 )
( -3.47825785668994941E-02 , 4.45591796915059957E-02 )
( -2.51557168638691209E-01 , 3.54300409020127660E-01 )
( 1.95545253974003380E-01 , -4.21433894888810223E-01 )
( -3.55913229957578181E-02 , 5.73720796839493286E-01 )
( 1.21848538262555595E+00 , -5.06596637466786293E-02 )
( -1.64737520452535535E-01 , 1.77451140263132356E-02 )
index: 15
( 3.76167159486413272E-01 , 6.09368925301489450E-01 )
( 2.50652711131801820E-01 , -5.04900173171986100E-01 )
( -1.72337886893230752E+00 , -4.12045079928870517E-01 )
( -2.33120096905323260E-01 , -4.81236146989272362E-01 )
( 1.45904031478956431E+00 , 7.26141752271600605E-01 )
( -9.33257669991012673E-01 , 4.06173968820156883E-01 )
( 9.35392948425743803E-02 , -9.10235410310496484E-01 )
( -6.60168861401519758E-01 , -1.37229752128058102E-01 )
( 1.44696474873860476E-01 , 1.50091308752016622E-01 )
( 8.89867248957597834E-01 , 9.83919114413274037E-02 )
( -3.71156544074546957E-01 , 1.05036747403206276E+00 )
( 5.06366838878161807E-01 , -5.88891755062936229E-01 )
index: 16
( 3.18990285082313973E-02 , 1.05081028777453622E+00 )
( -5.95856594379535753E-01 , 1.69434955239795215E+00 )
( -1.16592621527462414E+00 , 6.01201486106998861E-01 )
( -4.91063472876238361E-02 , -5.20035790954419264E-02 )
( -3.76916192045475051E-01 , 9.41684267858550639E-01 )
( 1.27449600874556090E-01 , -2.89282875653209648E-01 )
( 8.86005727463379245E-02 , 2.20299410361322417E-01 )
( -3.00702938832334232E-01 , -1.87025633795421198E-01 )
( -4.18655437172718581E-01 , -5.76711000392147288E-01 )
( 1.10134688920931229E-01 , 8.77960309455306787E-02 )
( 8.86579984107660368E-01 , -4.71020630707713051E-01 )
( 5.05123942850861374E-02 , 3.89361879047113835E-01 )
index: 17
( -5.24070017744108774E-01 , 6.22881412425923764E-01 )
( -4.32480166706404545E-01 , 6.26263315184051178E-02 )
( 6.54061511754657210E-02 , 1.30013658175625224E+00 )
( 2.57981309556484240E-01 , 1.48837521331988398E+00 )
( 1.67346930226890400E+00 , -1.11100039418516738E+00 )
( 5.19161716893108971E-01 , 1.97280149975251895E-01 )
( -2.06372812923780069E-01 , -5.57938688635076563E-01 )
( -7.73549249992905641E-01 , 7.44892158548299599E-01 )
( -1.35021751326233974E+00 , 2.31535147823358517E-01 )
( -5.43388548726787546E-01 , -2.09383240145899097E-01 )
( 3.91968323317801848E-01 , 2.52923533696381209E-01 )
( -3.49335454929644462E-01 , 1.87369483249971547E-01 )
index: 18
( -4.60987663028333827E-01 , -4.69318879849799475E-01 )
( 5.40424618009128110E-01 , 6.44688171457156178E-02 )
( 6.38008657440423121E-01 , 5.18032805375316818E-01 )
( 3.52608529108873747E-01 , -1.98090439304092492E+00 )
( 3.66360688924974476E-01 , -7.32815415946259097E-01 )
( -6.04930506931657397E-01 , 1.95979130190109541E-01 )
( -2.49283413556123240E-01 , 4.20196894132261189E-01 )
( 4.52623062821236266E-01 , -7.11170067041490828E-02 )
( -6.03170187811664538E-01 , -1.98704194152990765E+00 )
( 7.69611784239047636E-01 , -6.40931554264634551E-01 )
( -1.15938793381544603E+00 , -3.38684720620516022E-01 )
( -1.95935291055723271E-01 , 3.12842884171658953E-01 )
index: 19
( -2.06274687612429342E-01 , 1.89439145776323314E-01 )
( -3.24228907290891599E-01 , 1.44979914129493226E+00 )
( 5.51460893863674029E-01 , 5.48526465938092067E-01 )
( -2.08769491182735911E-01 , 5.99909533929514849E-01 )
( 5.69499869657473901E-01 , -8.00343062732594257E-01 )
( -4.02527158248444150E-01 , -6.51429256168774118E-01 )
( 1.63450676115452298E+00 , 2.93458522296530522E-01 )
( 6.87596411391879325E-01 , -9.43323789898414922E-01 )
( 1.27292095922689752E+00 , 2.30140426814506222E-01 )
( -8.26381195144050285E-01 , -1.66523660877431978E-01 )
( 2.88868989119017594E-01 , -4.58360561136185451E-02 )
( 1.71189552207652529E+00 , -3.77268766519590515E-01 )
index: 20
( -7.68859506096144951E-01 , 1.42752244058828276E-01 )
( -4.68029086878563649E-01 , -5.20835053560393058E-01 )
( 9.61802852732736357E-01 , 7.37862351047886222E-01 )
( -5.06543936385985161E-01 , 7.07799525758561088E-01 )
( -1.00804738284842266E+00 , -1.60852230843693295E-01 )
( -1.29640915125463552E-01 , 3.03581463930979345E-01 )
( -1.15780542418203902E-01 , -6.49433354465519808E-02 )
( 4.46511201003545299E-01 , -4.57668443357716004E-01 )
( -4.37724745212027866E-01 , 2.18455624395270387E-01 )
( -1.07154852276673962E+00 , 7.10689099354223974E-01 )
