index: 0
( -1.13180658560682708E-06 , 1.37679319793396085E-07 )
( -1.54451859015725514E-07 , 8.46325567406020209E-07 )
( 1.90274039333054900E-07 , 7.32905660356374921E-07 )
index: 9
( -4.46966921160234797E-07 , 2.35020935194501952E-07 )
( 6.85003782076606256E-07 , -2.53438615700789721E-08 )
( -1.35085338904141680E-06 , -5.14600560651224376E-08 )
( 2.63353375515896110E-07 , -8.54755769522102443E-07 )
( -2.82297423257559216E-07 , -7.59307968406014525E-07 )
( -5.57181952359627006E-07 , 2.55020412705661642E-07 )
( -4.74082016700792155E-07 , 6.33532112004899841E-07 )
( 5.08890313993347642E-07 , -7.62048885788506309E-07 )
( -2.59332843654446054E-07 , -3.86553802108862955E-08 )
( -1.04949659121817688E-07 , 7.76055063703681952E-07 )
( 1.03947664324191456E-07 , -2.20867222863982262E-08 )
( 4.78397950073670397E-07 , -9.52249471517784419E-07 )
index: 10
( -8.21711749869516228E-07 , 5.94403594949023221E-07 )
( 7.98716555796632467E-07 , -4.63955771033549379E-07 )
( -1.70117444784773097E-08 , -1.30802100739812633E-06 )
( 1.41157803347115954E-06 , 1.13419798192497720E-06 )
( 1.91301630869315799E-06 , 6.98316718595195257E-07 )
( 1.74830463746102271E-09 , -1.12036701228431792E-06 )
( 2.49968135852960132E-07 , -3.18537441358424718E-08 )
( 4.30787969654642489E-07 , -1.62729753371965393E-07 )
( -9.51098145482027850E-07 , 1.43851826650655943E-06 )
( -1.29994271207679833E-06 , 6.53964659208532974E-07 )
( -4.71367585029515809E-07 , -1.10873289098041835E-06 )
( -7.51583158302701231E-07 , -4.82000613575962077E-07 )
index: 11
( 3.02947149424473757E-07 , -1.62438298348411899E-07 )
( 7.39031563986500601E-07 , -5.09066793381546473E-07 )
( -2.30098868317391344E-08 , 5.13898796787385459E-07 )
( -1.23952336148428917E-07 , -6.51041543996018231E-07 )
( -3.17843399903715691E-07 , 1.28015374972510158E-06 )
( 7.81393753520749549E-07 , 3.95713177189790462E-07 )
( 8.53723476476571660E-07 , 3.53705117624820766E-07 )
( 2.01437292490174638E-07 , -2.46817546859789926E-08 )
( 8.73623879330161901E-07 , 3.82381426395698957E-07 )
( 5.71131203136347452E-07 , 6.04348331459305696E-07 )
( 5.65096256186189246E-07 , -7.56000827893621217E-08 )
( -5.20615060493926868E-07 , -3.72810304909262610E-07 )
index: 12
( -3.02995983474439181E-07 , 1.41756196477724450E-07 )
( 6.63685433812197750E-07 , 5.11590963416135259E-07 )
( 3.68290549743612822E-07 , -2.70032635656081512E-07 )
( -4.29262090644288390E-07 , -1.99304278632432702E-07 )
( 9.67613326651581062E-07 , 5.27482663245183356E-07 )
( 7.18766752846226036E-07 , 4.29154922817152234E-07 )
( 6.67048407863305376E-07 , 6.13460763256705197E-07 )
( -1.30141841226803068E-06 , 2.04306967230274023E-07 )
( -4.46876804926622323E-07 , -1.65411253393854534E-07 )
( -1.07284287043334989E-06 , -6.38961867380376445E-07 )
( 5.32142228082092562E-07 , 6.39972505617153089E-07 )
( 4.50107401274424375E-07 , 1.24054887634000530E-07 )
index: 13
( 5.29116663260047937E-08 , -3.21076335021097374E-07 )
( -3.16516503178224307E-09 , -8.80214110557385582E-07 )
( -8.02596170489596191E-07 , -5.84324858170295472E-07 )
( -4.29348312502457279E-07 , -1.34625251971217890E-08 )
( 1.70902520945020768E-06 , 1.28740104673752507E-06 )
( -1.70127362539094452E-07 , 1.28899583370478466E-07 )
( -5.25573826201561041E-07 , 1.44176664295271748E-08 )
( 6.06967177453803743E-07 , 7.76049044310558162E-08 )
( 1.03846036147222509E-06 , 5.87785859232335484E-07 )
( -9.37878816673171571E-07 , 2.30879752693774419E-07 )
( -8.77359245638383881E-10 , -1.13035092658919811E-06 )
( -3.26702257900883400E-07 , 8.64251222190270241E-08 )
index: 14
( -4.55097525419275711E-07 , 6.02131848588134825E-07 )
( 8.65656620861503028E-07 , 1.32416573269766891E-07 )
( 4.97808751004303779E-07 , 1.37296469849838050E-07 )
( 3.49354738038773909E-07 , -1.96910100684017618E-07 )
( -1.76819660150071264E-07 , -3.49932946638258493E-07 )
( 3.50397433161857375E-07 , 1.74421988089259175E-07 )
( 7.91785748057201147E-07 , 7.15617363772382837E-08 )
( 1.87380107697574029E-07 , 1.00265798612552828E-07 )
( -8.46404724272408171E-07 , 5.48468281102607823E-07 )
( 3.49686646105853561E-07 , 5.31388523246704366E-07 )
( 3.72244924770999377E-08 , -1.36465627152692958E-06 )
( 5.98408610090294304E-07 , 1.09929180832098794E-06 )
index: 15
( 4.25167555712540328E-07 , -6.43360364917144043E-07 )
( -1.10368646913346620E-06 , -2.60727839909921308E-08 )
( 7.92468035202731004E-07 , 1.44079322040217887E-06 )
( -5.41565958267963320E-07 , 4.66876626156658054E-07 )
( -1.82087929701033018E-07 , 1.80672174252270222E-08 )
( -4.38033948767464247E-07 , 1.02533231808097368E-06 )
( -2.36183779544842387E-07 , 1.26200188208209909E-07 )
( -2.36165910183697057E-07 , 2.13231922054730182E-07 )
( -3.92956365324645589E-07 , -8.18685658573021766E-08 )
( 1.70331475994038077E-07 , 1.09311940158386524E-06 )
( -6.12405472485781126E-07 , -6.63257649447268409E-08 )
( -2.35830930219368510E-07 , -2.29905236020800008E-07 )
index: 16
( 1.42009212919953735E-07 , 1.27939159930952352E-07 )
( 1.02666608053457143E-06 , 7.96302014798462176E-07 )
( 1.20123846283889254E-07 , 1.29546007879902180E-07 )
( -1.13899594274580438E-07 , 1.58180197230868813E-07 )
( -2.64128809971825720E-07 , 1.14339324299590617E-07 )
( -3.32495283127860822E-07 , -2.10497843033683373E-07 )
( 1.02416025425231153E-06 , -4.63311000967874915E-07 )
( -3.49408724406943619E-07 , -2.11705572228638875E-07 )
( 1.30220788275344852E-07 , -3.65227453102767616E-07 )
( 6.50338864952771135E-07 , -4.62952953538216770E-07 )
( -4.97926820741634326E-07 , -1.44560972499605706E-07 )
( 3.26556784087467072E-07 , -9.40990741172460301E-07 )
index: 17
( 9.91994686530898634E-07 , 7.39265648806747919E-07 )
( 4.47580866934802508E-09 , 4.09119406893830739E-07 )
( 9.38382952344445608E-07 , 1.18897966234061661E-06 )
( 1.09962670164282580E-07 , 2.11235234232005395E-07 )
( -1.05901037344224245E-06 , -9.07575658737252399E-08 )
( -8.94769614859095848E-07 , -8.24917631866744503E-08 )
( -3.45106026151718776E-07 , 4.29133124543050010E-07 )
( -1.17737192675988084E-06 , -1.58041844253554391E-06 )
( 8.13771294687022067E-07 , 4.42955587887834283E-07 )
( -7.68618462819467943E-07 , 3.14647721017194894E-08 )
( -3.75432973442024890E-07 , -3.82267585144523536E-07 )
( -2.35027883433014788E-07 , -1.12008591663015337E-06 )
index: 18
( 7.95595691953915790E-08 , -3.17878286798255458E-07 )
( 3.14513152060839810E-07 , -3.23340940557836845E-09 )
( -1.50216773662279480E-06 , 3.95742373923766616E-07 )
( 1.80816551352702755E-07 , -7.56453525521370963E-07 )
( 6.67040779689228317E-07 , 3.45089457356364619E-08 )
( 1.06558625939132174E-07 , -3.36497942559613203E-07 )
( -7.65650186117029741E-07 , 1.86090359894715433E-06 )
( -4.79463741381612269E-07 , -2.35432974625941439E-07 )
( -4.82749560656256190E-07 , -2.57075587148572970E-07 )
( 6.97381055296530860E-08 , -6.03967864744602691E-07 )
( 9.92801963659067942E-10 , 8.90445104292985319E-07 )
( -9.99780066365051134E-07 , -2.72809973184414293E-07 )
index: 19
( -3.48874951139940947E-07 , -6.04866194707728109E-07 )
( 2.91389531372356646E-08 , -1.08139402220344551E-06 )
( -1.00612227721506401E-06 , 9.86120304657766542E-07 )
( 2.97334625201317522E-07 , 2.61622467024783587E-07 )
( -3.99745578327738027E-07 , 1.05435136029889461E-06 )
( 6.98832181621596758E-07 , 4.94901762269305606E-07 )
( -1.42862837192776776E-07 , 1.30368748875101270E-07 )
( -1.66522421277996669E-07 , -1.64314001506391158E-07 )
( -1.13828468489663572E-06 , -9.79470759149491173E-07 )
( 1.94532092250350541E-07 , -6.95442429653840305E-07 )
( -2.38367217035622711E-07 , -2.45332380566437393E-07 )
( 2.89197257625009543E-07 , 2.78115093597344462E-07 )
index: 20
( 6.10917975014194082E-07 , 7.97563947935245897E-07 )
( 7.19443189875633666E-07 , 1.75278582033743102E-07 )
( 3.89697263637237683E-07 , -4.15266929547765900E-07 )
( 1.71798297780214389E-06 , -7.14456614281208115E-07 )
( -4.33132087322595424E-07 , -3.08984432275923300E-07 )
( -2.27943558188242489E-07 , 7.69736427038163617E-08 )
( -7.62373365342009928E-08 , 1.32668250309970435E-06 )
( 2.81103633290322335E-07 , 1.07718179542334385E-06 )
( -2.77173774487885278E-07 , -2.95338656025571493E-07 )
( 6.42250718427452882E-07 , 4.11139626827756099E-07 )
( 3.75945476384456689E-08 , 3.64770761717861175E-07 )
( 2.22516943619615333E-07 , 6.41872066193348445E-08 )
index: 21
( -8.21603131451611948E-07 , -2.73198179071603768E-07 )
( -6.15085582972205622E-07 , 1.44904120414511399E-07 )
( -1.40015208976375871E-07 , -4.14047754867001309E-07 )
( -2.32773791536406590E-07 , -6.43433730104311277E-07 )
( 3.69356249253666905E-07 , 7.25935203364608314E-07 )
( 6.24755754128184613E-07 , -6.34718766890229118E-07 )
( 2.23235705695056354E-07 , -3.58277460820840254E-07 )
( 8.33238208635442979E-07 , -7.76847476654625788E-07 )
( 1.85578672238899839E-06 , 2.86190401056221940E-07 )
( -4.81746968830597433E-07 , -1.36847532816353154E-07 )
( 6.94157623306085067E-07 , 3.91605956260412648E-07 )
( -1.83747476733914149E-07 , -3.03920191968900172E-07 )
index: 22
( -4.08093054503944963E-08 , -8.48696897022289344E-08 )
( -1.21945892978846159E-06 , -8.12664840590506141E-09 )
( -1.09653298402741593E-07 , 1.33165292262192378E-06 )
( 6.64122918542536399E-07 , 1.66449936507197179E-07 )
( 4.52783418358177960E-07 , -8.81799386185054958E-08 )
( 5.98611348763217189E-07 , -5.67009001181979916E-07 )
( -3.53706837490602353E-07 , 1.02052448818386813E-07 )
( -6.20379282920648306E-07 , -3.01004189982089185E-07 )
( -3.97709492105963758E-07 , -6.36511225897468806E-07 )
( 5.73410299281283624E-07 , 6.54686799443663261E-08 )
( 5.45542937441192900E-07 , -7.18162686536182995E-07 )
( -8.17640329191759879E-08 , -9.60406792301000799E-07 )
index: 23
( -3.77754179924499692E-07 , 7.36383506430491095E-07 )
( -1.55328334938441454E-07 , -3.86187158479269036E-07 )
( 6.50184420178850327E-07 , -5.75112119121594256E-07 )
( 7.19162185589688642E-07 , 1.14746948884438649E-07 )
( -8.70565802271002168E-07 , -4.15318651624355046E-07 )
( 2.16878101336924971E-07 , -5.48057028408355290E-07 )
( 2.13685807919631440E-07 , 3.36990858537728905E-07 )
( 1.78538268937365437E-08 , -3.58723360700343237E-07 )
( -1.04413999173798952E-07 , -1.36032529647334953E-06 )
( 1.17527706638642233E-07 , 1.75615550696876357E-07 )
( -3.88208364219907860E-07 , -3.75240162827721148E-07 )
( -6.42277587223420279E-07 , -4.69348224947065547E-07 )
index: 24
( 9.38280784117895704E-09 , 1.46864241965684868E-06 )
( -7.47908659385277420E-07 , 2.62790159619789711E-07 )
( 3.21200352207314540E-07 , -9.33454748037728755E-08 )
( -6.39790056071412638E-07 , 8.89516534697748222E-07 )
( -1.41990549481953484E-07 , -5.24916262606349023E-07 )
( -4.57536028306751814E-07 , 1.08134716856162957E-06 )
( 1.62099585108455137E-07 , -5.65704403666892095E-08 )
( 8.80591753992464407E-07 , -1.05351985351980725E-06 )
( -2.54520204743604008E-07 , -6.12466813521181766E-07 )
( 2.68504074915604828E-07 , -1.34363413670769909E-06 )
( -7.84914765157046664E-07 , 2.72511559789412406E-07 )
( 3.19213046364597864E-07 , 7.64643838739130528E-07 )
index: 25
( 2.58294030114460594E-07 , 4.42333014060776830E-08 )
( 2.93846752621007100E-07 , 1.03599927923738770E-08 )
( -3.71614933713710839E-07 , -2.19554458765686287E-07 )
( -6.88182820832301427E-07 , 1.95852611256471880E-07 )
( 1.26117045397189202E-07 , -2.35368687126667343E-07 )
( -3.65204502669897116E-09 , 5.87918005336166521E-08 )
( -7.47746745992117522E-07 , -1.40915793075619847E-06 )
( 3.04131210633405421E-07 , -1.59058164128928321E-07 )
( -2.64706188235739627E-07 , -5.94547872725708180E-07 )
( -3.84911547057577141E-07 , -9.90063836829858459E-08 )
( -3.56763862116655608E-07 , 8.42511834024791305E-07 )
( -1.01662601863857250E-06 , 3.21838189624147421E-07 )
index: 26
( 1.78997598485416262E-07 , 2.13876194100928229E-07 )
( 9.79482764775314510E-07 , -2.77010849655000334E-07 )
( 7.40069053812878344E-07 , 5.37125663201600760E-07 )
( -5.09130907874412878E-07 , -4.06220567998020791E-07 )
( -1.18935550183805550E-07 , -1.02307327615824994E-07 )
( -7.03596610737580315E-07 , -2.07195108363494069E-07 )
( -3.88142727698857688E-07 , -1.22439557998966126E-06 )
( -5.01376022544515054E-07 , -9.39056388830579563E-07 )
( 5.16509488367582395E-08 , 1.71155688551193489E-06 )
( -2.64287466220124711E-07 , -4.32621886797530520E-07 )
( 1.87401756434271032E-06 , 1.55407285092183930E-07 )
( -4.73495342951879998E-07 , 1.56025878491101348E-06 )
index: 27
( 1.04000279010659481E-06 , -4.97135460554574029E-07 )
( 4.21951370517457546E-07 , 1.02217760532257503E-07 )
( -2.37179257303131772E-07 , -3.53281079788081513E-07 )
( 7.00123416686362446E-07 , -2.55329932338665864E-08 )
( -2.23872874773278693E-07 , 1.00902090347461089E-06 )
( 2.17300486059307748E-08 , -2.04228819562833197E-07 )
( 5.74056454838823234E-07 , 1.11286128746574110E-06 )
( 1.17908701818213706E-06 , 4.71060553840485891E-07 )
