index: 0
( 2.13918251496516017E-05 , -3.07583977230006510E-05 )
( 1.11183061885102399E-05 , -7.99377286784186134E-06 )
( -2.43516970399321226E-05 , -1.17160181711117534E-05 )
( 7.57080098741484866E-06 , 4.48424640087213337E-05 )
( -4.49882222194828495E-05 , -1.92798724572528658E-05 )
( 7.21216399270796792E-06 , 1.38357012650530820E-05 )
( 7.95348977310218629E-06 , 2.56697115938800707E-05 )
( -1.20758302065285123E-05 , -2.19529913950992265E-05 )
( -7.41098484066260754E-06 , 2.59758430551691334E-05 )
( 6.63835607124598794E-06 , 2.21673815966358205E-05 )
( -1.70902903045707614E-05 , -1.71139288126581400E-05 )
( -3.29275884882062638E-05 , -7.55103067044666914E-06 )
index: 1
( -1.28037788321009668E-05 , 4.87038602517606894E-06 )
( 5.03778347830166471E-07 , 2.38622286340538445E-05 )
( 1.09734642409783027E-05 , 7.53650640808226905E-06 )
( 1.86372363286443216E-05 , 2.97097470536373887E-06 )
( 7.80687213358624186E-06 , -6.14080274291152321E-06 )
( -1.37610800380720165E-05 , -2.45554480944649361E-05 )
( 5.40715473563258062E-06 , 1.30257900532510192E-05 )
( 8.10265738287785577E-06 , 3.41284918626094891E-05 )
( 2.63920799612790065E-05 , 1.83915624317694930E-05 )
( 1.67687493014879859E-05 , 1.85922224549080752E-05 )
( -5.77316870507312555E-06 , -2.24014768487024830E-05 )
( 8.94443696455674471E-06 , 2.44335855791603311E-05 )
index: 2
( 1.91639838257046254E-05 , 7.79696051681637245E-06 )
( -1.13869305062404351E-05 , 3.41826706031051667E-06 )
( -2.98019574742837653E-05 , -1.96825229732034144E-07 )
( 5.88897968741238516E-06 , -2.43987193013136541E-05 )
( 2.14921340189911835E-05 , -1.92619719828116649E-05 )
( 1.69923618169266656E-05 , -1.77770174402892126E-05 )
( 2.30070800466688225E-05 , -4.29861496189981650E-05 )
( -2.68166706987439614E-05 , -3.04232709648062871E-05 )
( 2.12822736925789193E-05 , -5.52171785572441823E-07 )
( -1.57998836985125109E-05 , 2.70352920773239233E-06 )
( 1.25956661690892171E-05 , -1.02057280558104650E-05 )
( 5.28630638284721862E-06 , 1.50229523127695623E-05 )
index: 3
( 7.01017066533693025E-07 , -4.82123849924224433E-06 )
( 2.68968436241231734E-05 , 2.99795978991944950E-05 )
( -1.11228494019254263E-05 , -6.64241426666132436E-06 )
( -2.05053692011265507E-05 , -2.44799152496745590E-05 )
( 2.20617370266502455E-05 , -1.80638714138607273E-05 )
( -1.66486658836475317E-05 , 4.06993566511506405E-05 )
( 3.06369340560664637E-06 , 1.58712048998904720E-05 )
( 1.63339953798415383E-06 , -1.29191823830949135E-05 )
( -2.09884978318914668E-05 , -3.00648807918338457E-05 )
( -1.38755480680417001E-05 , -2.08671153605869433E-05 )
( 1.78249517237002361E-05 , -4.97142745419504108E-05 )
( 5.97643929860717874E-06 , 3.96616501488362283E-06 )
index: 4
