index: 0
( 2.19445529713652162E-08 , -7.71323075122537965E-09 )
( -2.84674126672583156E-08 , 2.01564217229017012E-09 )
( -1.07021155894704136E-08 , 1.36529144357246162E-08 )
index: 9
( -3.80883867673889975E-09 , -1.09952314281182194E-08 )
( -8.34934634359502926E-09 , -1.64770443301698959E-08 )
( -5.36093911332808950E-09 , 1.03027734792923525E-08 )
( -2.84005904346506794E-09 , -4.18310596414159142E-09 )
( -4.73866855386182472E-09 , -1.32332020555680546E-08 )
( -1.26942545274426973E-08 , 1.50447485220905540E-08 )
( -3.62394010632433989E-09 , -6.17451241144661047E-09 )
( 5.20329892764260805E-09 , 6.51570612136013858E-09 )
( 6.52725169041996917E-09 , 3.13527245433009821E-08 )
( 4.91509509830958301E-09 , 1.73762165935174905E-08 )
( 5.64984605837358146E-09 , 6.26930325966501780E-09 )
( 3.00194863371034579E-08 , 7.34090641936959802E-09 )
index: 10
( -2.37214230234711046E-09 , 3.89614194221620929E-09 )
( 1.28695011425480666E-08 , 1.71511381510703413E-08 )
( -1.68828346896715829E-08 , 1.60778449994349135E-09 )
( 4.67980306931332277E-09 , -9.40306080368140479E-09 )
( 2.91700129100991672E-10 , -8.63099462765945186E-09 )
( 1.29042111296062371E-08 , 2.52219390548664098E-09 )
( 6.48413311321901101E-09 , 4.94143482921436802E-09 )
( -6.53054163020837806E-09 , 1.30672492052652003E-08 )
( -2.72466458012908802E-08 , -1.15547934455540475E-08 )
( 6.44351581907977034E-10 , 3.05138179496554596E-09 )
( -7.32707418893424795E-09 , 1.69975453930433201E-09 )
( -3.19499872616721520E-08 , 2.25055836500251565E-09 )
index: 11
( -9.60983206152513883E-09 , 3.09994910550592521E-08 )
( 1.78362451046241435E-08 , 2.09401788210558808E-08 )
( 1.17440713674027067E-08 , -5.87572071500411939E-09 )
( -2.93637912940709005E-08 , 9.39855145500189543E-09 )
( -2.13411054036247248E-08 , 8.53616838164546627E-09 )
( -3.20448847726595613E-09 , -2.59998107200896516E-08 )
( -9.64106995431400174E-09 , -1.86494129966627826E-08 )
( -4.22208452590088050E-09 , -9.50494671910493661E-09 )
( -1.64761779072925668E-08 , 8.41129557954912562E-09 )
( 1.32163030489851277E-08 , -5.46821150416230433E-09 )
( -2.59945419582664502E-08 , 8.57956681151764361E-09 )
( -6.29334677813222836E-09 , -1.24249467978165443E-08 )
index: 12
( -1.33323716616915793E-08 , -1.07498557380043209E-08 )
