index: 0
( -2.76832628182754692E-07 , -1.94137176465617230E-07 )
( 1.98407014074429959E-07 , 1.37778395957152003E-07 )
( 7.02996322835600048E-08 , -2.76457961789289961E-09 )
( 1.03845686209312735E-07 , 3.16445294738672373E-07 )
( -2.65068616502698794E-08 , 3.26934990263565021E-07 )
( -1.10756012292831221E-07 , 1.04495807011334783E-07 )
( -5.60569987312980344E-08 , 1.79123071227173232E-08 )
( 3.67144891273586770E-08 , -1.60271682260955610E-07 )
( -3.26926807852402965E-08 , 5.69406244587654249E-08 )
( -2.92476142651739089E-07 , 1.64848466764212174E-08 )
( -7.69776605046255696E-08 , 2.29532547841351308E-07 )
( 2.41707648725096152E-07 , -2.34619416405948340E-07 )
index: 1
( 2.92581961732708708E-07 , 1.87539400784224625E-07 )
( -2.97602981839450022E-08 , -4.86505117068812112E-08 )
( -4.66632599398544561E-08 , 8.49582645194942701E-08 )
( -1.43274678088492166E-07 , -2.33382754703111991E-07 )
( 9.42893061324762472E-08 , 9.49253680531836597E-08 )
( -7.90757631650603179E-08 , 1.43695472424225978E-07 )
( 7.62068660880001379E-08 , -1.52530318384916169E-08 )
( -3.83097141147713481E-09 , -6.73004443124104172E-08 )
( -1.00101024363911518E-07 , 2.51230835493860090E-08 )
( -9.61340152765803387E-08 , -5.97678627725128665E-10 )
( 1.46561082938953139E-07 , -2.53984839512922263E-09 )
( -1.30059797258350759E-07 , -4.15003010291619425E-08 )
index: 2
( -1.71938494834349720E-08 , -3.34088448870898846E-08 )
( 1.73067781134638055E-07 , 1.66903445994229111E-07 )
( -1.03128492051283352E-07 , -3.07794315702121665E-08 )
( -4.24955029560787833E-08 , 1.02243480832728194E-08 )
( -1.41295677780696519E-07 , -2.74933849043886868E-07 )
( 1.10297928765378842E-07 , 8.09400358323785924E-08 )
( 1.07380790932265035E-07 , -2.82406377969721897E-07 )
( 7.49142806060701145E-08 , 1.09626396826718092E-07 )
( 8.20934621094165407E-08 , -2.27552281183018368E-07 )
( 1.89014041631126225E-07 , 6.12762036577327509E-08 )
( -1.67108854535053604E-08 , 4.45627937595217286E-08 )
( -4.13628014205552107E-08 , -9.94436989644636131E-08 )
index: 3
( -1.31493950694461803E-07 , 1.06075470306614478E-07 )
( 1.25082995322885033E-07 , -9.83958618784508304E-08 )
( 2.58346730276775987E-07 , -1.10200369959467475E-07 )
( 1.84478609383931347E-07 , -1.40096206358476035E-07 )
( -8.63430308298305789E-08 , -1.19888635192310064E-08 )
( -1.98622236517583373E-07 , -5.51016312937972928E-08 )
( -2.68880384206802750E-07 , -1.12929429236394454E-07 )
( -6.26842158098589672E-08 , -1.98025710467975866E-07 )
( -1.52380767401329208E-08 , 6.77433539752997121E-08 )
( 1.97209139605598544E-07 , -4.11046978386185046E-08 )
( 1.28955822221140499E-07 , -4.79377680080248375E-08 )
( 1.10651532063359229E-07 , -1.17014901613431257E-07 )
index: 4
( 6.93735589556347019E-08 , -6.84762685883763920E-08 )
( -1.02415278561885840E-07 , -8.98855348241010840E-08 )
( -1.25486098103515474E-07 , -1.79668276358468644E-07 )
( 1.43746132219269194E-07 , 1.94111634239449366E-08 )
( 1.75106056530730805E-07 , -7.61682787323754574E-08 )
