index: 0
( 4.42426300993047904E-11 , 1.43983804464561539E-10 )
( -1.41059128472900257E-10 , 6.09932254349930567E-11 )
( 2.49888118756658827E-10 , 2.31105861201473279E-10 )
index: 9
( 1.12016076192231851E-10 , 5.77164008926911182E-11 )
( -6.38277398744732499E-11 , -1.84153254896878240E-10 )
( 4.43081142519825303E-10 , 1.03822471195588686E-10 )
( 4.17328500402411976E-11 , 7.52509942190295588E-11 )
( -8.29744147144024208E-11 , -9.35669991720635704E-11 )
( -4.76529523317080944E-10 , -1.37140306453641913E-10 )
( -8.98909401491318101E-12 , 1.55123582193218654E-10 )
( 4.66048294339752953E-11 , 2.41229355860616105E-10 )
( 4.45907188415755833E-11 , -9.35892856621232395E-12 )
( 1.01445783172979219E-10 , 1.07377215000174247E-10 )
( 7.15059224254872236E-11 , -3.27543467175417173E-11 )
( -2.27012817394471387E-10 , 3.03574918231604187E-10 )
index: 10
( -1.45862483998516232E-10 , 8.75576743481667765E-11 )
( -2.94288553331708121E-11 , -4.82533026310981513E-10 )
( 2.14168381003575344E-10 , -2.15939876355063645E-10 )
( -1.08710649148572377E-11 , 6.80414436874945001E-10 )
( 5.47444432064298905E-11 , 2.73979347809505144E-10 )
( -2.74908844313430019E-10 , -3.23315256554724615E-10 )
( 1.33993572941720559E-10 , -2.06324540922524579E-10 )
( 2.48834757329213368E-10 , 2.62404703312658892E-10 )
( -4.81416871834372987E-10 , 7.06753029384296428E-11 )
( -6.04945790670774435E-10 , -7.17203145943148713E-11 )
( 4.92271410066291207E-11 , 2.32471081145207030E-10 )
( 7.45869270254396176E-11 , -2.10311123083327206E-10 )
index: 11
( -2.13179153227323272E-10 , -2.16228092055847406E-10 )
( -3.43665524885496835E-10 , 2.22677129358362033E-10 )
( 1.07341015312249242E-10 , 2.74360804881489771E-10 )
( 7.20553260672641151E-11 , -3.38882514739749238E-10 )
( -2.82772552549945004E-10 , -7.44133739421184509E-11 )
( 2.53058669163040301E-11 , -1.46718687090430238E-10 )
( 1.35614051314290275E-10 , 4.10169351456872103E-12 )
( -4.16127506773934980E-10 , 2.38876835051717059E-10 )
( -2.18381372679142467E-10 , 4.16718580225939593E-10 )
( -2.35224696151555941E-10 , 6.26784640176180549E-10 )
( 1.92869493008576066E-10 , -1.55659938085411709E-10 )
( 7.17005475347481818E-12 , -2.52610902823086622E-10 )
index: 12
( -2.30888707971408988E-10 , 1.50473960957365693E-10 )
