index: 0
( -3.20541157099312080E-01 , -1.13794580490604380E+00 )
( 3.54492027778334329E-01 , -2.71739916745218524E-01 )
( -8.29276377481410198E-02 , 1.24715696890746597E+00 )
( 3.64539569123804377E-02 , 8.47471427111977760E-01 )
( 1.18357891362943768E+00 , 6.24708528028269303E-02 )
( 1.08311159949793301E+00 , -8.62844276763480994E-03 )
( -2.31778641404189086E-02 , -1.44756901922757725E-01 )
( -1.03066632157324856E+00 , -6.16974486876467046E-05 )
( -4.39982587163981309E-01 , -7.12992402361944163E-03 )
( 8.47301805941538033E-01 , -2.48297457920811510E-01 )
( -1.54862559638778069E-01 , 1.92508519755767937E-01 )
( 9.15095030445271518E-01 , 4.59025334190036161E-01 )
index: 1
( 5.26286821972821728E-01 , -8.50006127494943531E-01 )
( 4.45883644839607018E-01 , -1.05121785226265230E+00 )
( -6.00861145471185742E-01 , -5.02665980194379469E-01 )
( 6.51890145921586867E-02 , -8.22225157810974161E-01 )
( -2.95699426307151791E-01 , -7.92070412703510529E-01 )
( -1.91782490521970828E-01 , 8.93861811453801336E-02 )
( -1.72275391170065451E+00 , 6.90878441353202088E-01 )
( -6.98582326774188411E-01 , 3.30139095611916622E-01 )
( -9.24700054810615457E-01 , -2.89005014148550288E-01 )
( 6.50990899041325732E-02 , -7.57944416962852974E-01 )
( -9.95527294942889829E-01 , 2.50515381015648797E-01 )
( -1.72121977400591764E-01 , -4.29902912101338464E-01 )
index: 2
( 2.73757599805284635E-01 , -7.12561706499204361E-01 )
( -4.19084293723848478E-01 , -7.44416132748174364E-02 )
( 1.92398057386729993E-01 , -6.14924880268070684E-01 )
( -8.45705688228967634E-01 , -1.17235480368720127E-01 )
( -1.12274175236870155E+00 , -7.95146887795680879E-01 )
( -1.07727727877549376E-01 , -2.72862295187886073E-01 )
( 1.19064435511927816E-01 , -5.94948124522485688E-01 )
( -5.47687926766009969E-01 , -3.48379257368420348E-01 )
( -5.57089754806386228E-01 , -1.21189029826450467E-01 )
( -3.80695739897214558E-01 , 3.83887981366599573E-01 )
( -3.28180821628535013E-01 , -8.55688937092695112E-01 )
( -1.16606137399599644E-01 , -9.54005613303101407E-01 )
index: 3
( 5.88286739404924930E-01 , -6.40574617417582259E-01 )
( 3.84211157354097443E-01 , -3.39888913741682896E-01 )
( 6.44910565533046598E-01 , -4.76921944327031944E-01 )
( -9.00514252694395223E-01 , 5.80428564068027675E-01 )
( -3.11368306957640950E-01 , 2.36026660868315308E-01 )
( -1.07739771760714742E+00 , 1.12928438345228144E+00 )
( -6.73079976065554142E-01 , -1.34332580696695114E+00 )
( -1.97218289529823454E-01 , 1.86495877677568950E-01 )
( 7.41959706960255372E-01 , -1.15536003418945366E+00 )
( -1.10966214056663270E+00 , 6.86153980294341603E-01 )
( -1.06835428266680266E+00 , -6.36528021108852760E-01 )
( -2.36763857718769150E-01 , 7.02123326548915516E-01 )
index: 4
( 8.57504486325454285E-01 , -1.07853074255048509E+00 )
( 8.99963963097225705E-01 , -1.89061076070806067E+00 )
