index: 0
( -1.09752025413572345E-04 , 1.07645852315821128E-04 )
( 2.18727831397370838E-04 , 6.07696816690473729E-04 )
( 2.28995332909474116E-05 , -2.60852437174988216E-04 )
( -2.42773705953282026E-04 , -6.02754188544101145E-05 )
( 3.09861718665767230E-04 , 1.74727082416023424E-04 )
( -1.67435976468656488E-04 , 1.01467687754585591E-04 )
( -6.06210664293390950E-04 , -2.56728977888152302E-04 )
( 1.02022962165821361E-04 , 3.66648360433056899E-04 )
( -1.74454438437977378E-04 , -2.83469048742736307E-05 )
( 3.72234825997175267E-04 , 1.78992889097371027E-05 )
( 1.65115334430231304E-05 , 8.02865833864468677E-05 )
( -5.15985617016429974E-04 , 2.82974062418293697E-04 )
index: 1
( 3.03166949008481260E-05 , -2.13910212452044987E-04 )
( 5.86837477436276704E-05 , -1.29308442076529750E-05 )
( -4.25363910449372225E-05 , 2.12167334316257922E-04 )
( -3.27869758695618050E-04 , 2.45211439536977352E-04 )
( 2.90467397700165750E-04 , -4.34997376322658402E-05 )
( 3.91713167815531458E-04 , -2.98379581445638040E-05 )
( 6.78013399526711805E-05 , -3.39634181370852318E-05 )
( 9.67331419590094317E-05 , -1.09144160737827600E-04 )
( 2.03416931312292332E-04 , -1.42356913121877973E-04 )
( -2.98763443113524022E-05 , -2.34451049590153593E-04 )
( 5.16876589022017023E-05 , 1.37066673886644490E-04 )
( 3.04260235780584067E-04 , 1.62912299443272398E-04 )
index: 2
( 6.59446556693702829E-05 , -3.51504508730829043E-04 )
( 2.74168442900710561E-05 , 6.35884554910193071E-05 )
( -1.78716294698726456E-04 , 4.84114057364047276E-05 )
( -5.79352456997513161E-05 , -5.57837032546371460E-07 )
( 2.01454268022841849E-04 , 5.85594083248392654E-05 )
( -2.01916990995614138E-04 , 1.13043941386954211E-04 )
( 1.05189615266116916E-04 , 7.46675324319556836E-05 )
( -1.88013417635839056E-04 , -4.15494688575631602E-04 )
( -1.29915049290234395E-05 , -6.26753527432978607E-05 )
( 2.74888040210898076E-04 , 4.86100216041845706E-05 )
( 1.60558767529790202E-04 , 3.65525427250489986E-04 )
( -1.68904451234997604E-04 , 1.01039394065063573E-04 )
index: 3
( 6.06672498284047861E-04 , 2.95548896250221794E-04 )
( 1.42985680828432247E-04 , 1.08222483656323401E-04 )
( 5.80940819009640114E-04 , 2.61864508873226433E-04 )
( 4.29093802699055736E-04 , 4.62925285538486346E-05 )
( 3.08159953796885238E-04 , 1.86056657887798338E-04 )
( -2.11945778743334904E-04 , -8.13111743015681413E-05 )
( 7.83135727151914137E-05 , 5.51702109107340619E-04 )
( 2.28561750086561340E-04 , -5.00773750332922718E-05 )
( -3.76183957334057500E-04 , 4.96651345555423061E-06 )
( 2.59138920305535295E-05 , -1.40709719305894725E-04 )
( -1.07497589929248373E-04 , -2.44275122523940661E-04 )
( -2.45812494486402112E-04 , 3.36562145582738567E-04 )
index: 4
( 6.52700521659421370E-04 , -1.76021992131771324E-04 )
( -1.34152105658886140E-04 , -4.62142552735368077E-04 )
( -4.34581989675301256E-04 , 8.80485418485330641E-05 )
( -1.53797623078302228E-04 , 2.38919055483764156E-04 )
( 3.31023388922788890E-04 , -1.11469409107015706E-04 )
( -1.56980093118584300E-04 , -3.00416487363017745E-04 )
( -1.90233839060209488E-04 , 2.99417661779807233E-04 )
( -2.31822898955853026E-04 , 3.92766863523726876E-04 )
( 1.17381532345979262E-04 , -1.92375457319464199E-04 )
