x=0,y=0,z=0,t=0
( 3.03042160859517511E-02 , 2.95701212165353187E-02 )
( 3.26653988671252796E-02 , -7.68571666854149516E-02 )
( -8.44722381551860496E-02 , 9.24965257366372473E-03 )
( 5.25976174226219610E-03 , -4.29550219479556961E-02 )
( 3.65799027284421374E-02 , 4.05641860865306979E-03 )
( -4.32406624624881442E-02 , 8.09278908026681704E-02 )
( -1.76390748909013538E-02 , 6.37562717128692391E-02 )
x=1,y=2,z=0,t=0
( -5.27967730327318224E-02 , -4.73216658177106481E-02 )
( 9.90951127468451057E-03 , 1.29985163957637706E-01 )
( 6.68019220406846775E-02 , -9.10293198819658173E-04 )
( 4.93418682068527195E-02 , -3.79541379294924472E-02 )
( -6.18953502001639150E-02 , 6.56875083527190817E-02 )
( 5.05919245177427479E-05 , -7.42324475359933816E-02 )
( 4.09376874002136473E-02 , -3.04559153016420898E-02 )
( -5.57716322107209284E-02 , -1.11995898856322822E-02 )
( 8.36708088665717581E-02 , 5.96128136061279679E-02 )
( 5.15505954229493121E-03 , -1.05448233968074810E-02 )
( -2.66049363435715003E-02 , -5.54852205120100681E-02 )
( 8.59917406737185919E-02 , 5.28839217910798340E-02 )
x=2,y=2,z=0,t=0
( 3.89848731015375732E-02 , -3.91377425536518636E-02 )
( 2.00198162896190329E-03 , 5.96308128415116850E-02 )
( -7.02385420601938232E-02 , 7.75676757867420075E-02 )
( 1.83238124265501026E-02 , -2.39479497488306881E-03 )
( 4.83999324710442519E-02 , -2.01314318645406110E-02 )
( -1.14072805051799314E-03 , -4.79403970248838615E-02 )
( -4.06343495406135714E-03 , 5.56416071155924272E-02 )
( 1.20046652464986230E-02 , 6.17958777501593226E-02 )
( -7.78230624583293312E-02 , -3.14277530205443884E-02 )
( 4.53280788090808760E-03 , 1.97046092088211840E-02 )
( -9.75828385809289905E-02 , -1.18753027069135424E-02 )
( 2.00937965824549356E-02 , -5.39945680098154260E-02 )
x=3,y=2,z=0,t=0
( 3.79258629212366333E-02 , -2.63319742126118320E-02 )
( -4.65441895950715612E-02 , 4.96906852497599055E-02 )
( -5.92792294414530296E-02 , -5.53979547418766843E-02 )
( -5.58710354734748976E-02 , 2.13942759721502326E-03 )
( -6.58892515701412981E-03 , -9.07944369650870581E-02 )
( -5.26898556518249662E-03 , 1.28678138110603114E-02 )
( -9.28359473977559066E-03 , -1.36893052588160681E-02 )
( -1.94839024604258337E-03 , 2.18380104740650421E-02 )
( -1.43063146192707949E-02 , -1.10386922206247046E-01 )
( -9.78631187771608207E-02 , 1.53403430828848181E-02 )
( 1.20735686085990682E-01 , 2.72700412503267473E-02 )
( 1.21470544450200495E-02 , 4.83329129412033154E-02 )
x=0,y=3,z=0,t=0
( -2.91829228626244129E-02 , 4.23734818953830777E-02 )
( -4.11337650702372423E-02 , -4.41595411564467688E-02 )
( -6.82789234645535537E-02 , 3.05690470456147292E-02 )
( -1.02150995303071215E-01 , 1.06172482229457618E-02 )
( 1.44383009506946665E-02 , -8.24456926962877784E-02 )
( -2.71133709477476871E-02 , -6.76532642734307965E-03 )
( -8.56720715787843978E-04 , 8.08758695321874777E-02 )
( -1.91330095444764842E-02 , 3.87873915468572444E-02 )
( 7.00102175911962096E-03 , -5.11931108229435154E-04 )
( -7.51966072379512285E-03 , -5.84729669797098284E-02 )
( 6.85303196496088729E-02 , -1.19112002523990554E-01 )
( -3.17989689128996555E-02 , 7.01266495122724043E-02 )
x=1,y=3,z=0,t=0
( -7.26193368332616745E-02 , 5.27638445884092561E-02 )
( -6.87594238258889545E-02 , 1.57009300479177480E-02 )
( 1.47614758386007322E-01 , 8.94931881596929858E-03 )
( -1.94036671759622442E-03 , -6.20527588759956991E-02 )
( 8.83931522161748584E-02 , 5.37317659272833897E-02 )
( -8.44219138130568453E-02 , 4.83029780731567861E-03 )
( 1.34180064564279455E-02 , 4.46676412132549910E-02 )
( 1.17755782204376228E-01 , 2.40658608564713015E-02 )
( -5.85892620506008599E-02 , 5.37765609904727049E-02 )
( 9.17473891604129316E-02 , -4.34923657084456267E-02 )
( 7.14404379386452404E-02 , 5.91517030651413089E-03 )
( -6.32426185540404806E-02 , 5.96962970891548733E-02 )
x=2,y=3,z=0,t=0
( -2.64278960363370438E-02 , 5.84010883167949482E-02 )
( -1.02920632161952429E-02 , -2.98752411943838149E-02 )
( 4.38610590233946065E-02 , -3.52517630042089442E-02 )
( 3.48751269506514944E-02 , 3.55298714523684667E-02 )
( 5.48792659276342853E-02 , 1.69532257738605752E-02 )
( 4.53249627771495772E-02 , 2.60415967283330781E-02 )
( 3.12791957524912595E-03 , -4.99173603337904753E-02 )
( -1.90707827964976817E-02 , 1.09510972044630034E-01 )
( -2.02477714214754356E-02 , 3.50862068003139210E-02 )
( 6.55739821553413538E-02 , 2.62535362431276335E-02 )
( 1.00822242963256883E-01 , -3.35283200084633276E-02 )
( 9.77934541391988973E-03 , -5.90640298642379907E-02 )
x=3,y=3,z=0,t=0
( 1.00428336929223816E-01 , -2.59465729217732630E-02 )
( -3.84974412120987555E-02 , 4.16086996768958994E-02 )
( 4.83976270297115374E-02 , 3.66093239211915666E-02 )
( -3.12838421746405651E-02 , 4.39247122612167196E-04 )
( 4.21844348089926852E-02 , -2.51129522153652751E-02 )
( 2.49161860127927390E-03 , -1.10264909919085864E-02 )
( -3.72781923215458055E-02 , 5.16772338916289820E-02 )
( -6.09073379661393272E-02 , -7.31863160322595852E-02 )
( 3.12066678214933738E-02 , 7.92987196979621708E-03 )
( 6.03964347292658549E-02 , 8.51518229597306164E-03 )
( 4.05079902602297898E-02 , -5.55007714047658918E-02 )
( 3.71143173212257690E-02 , 3.88622048691597416E-02 )
x=0,y=0,z=1,t=0
( -1.99466392721086919E-02 , -4.64342524688340294E-02 )
( 6.73396457135316817E-02 , 7.60139386494991520E-02 )
( -1.35758927374525495E-02 , -3.91854497685893491E-02 )
( 6.27719329520562142E-02 , 8.76076741842926054E-02 )
( 6.80384212799195753E-02 , -1.65722225313195970E-03 )
( -1.71058656824134327E-02 , 1.10154424524791343E-03 )
( -6.20439773900220079E-02 , 5.58007582286239173E-02 )
( -1.34826036185787049E-02 , 1.76449883166861048E-02 )
( 4.84299692274198917E-03 , -1.86770511405754333E-02 )
( 6.23379825644221688E-02 , -3.48130772819989082E-02 )
( 2.24196364933478276E-02 , 5.27123569015854401E-03 )
( -7.51591201751101445E-02 , -6.72836759009668994E-02 )
x=1,y=0,z=1,t=0
( 2.72160152576422787E-02 , 1.04117478436873637E-02 )
( -2.29590161241701729E-02 , 5.10257127448470182E-02 )
