x=0,y=0,z=0,t=0
( 7.22519112437574410E-06 , -3.78864012130835958E-06 )
( -1.42574074588741192E-06 , 8.23603251324906781E-07 )
( 2.86627271463795123E-06 , 2.81727809805729084E-06 )
( -2.56685824694416464E-06 , 4.89989699743162967E-06 )
( -8.43615882745638521E-07 , -7.70607421005274161E-07 )
( 1.66836691130475326E-06 , 1.45154233338378823E-06 )
( 1.40859009565606356E-06 , -1.21465153684233779E-06 )
( 5.08321043611447062E-06 , 2.25223353595132939E-06 )
( 2.01292420108761396E-06 , 3.98856344187253549E-06 )
( -7.76521445280856506E-07 , -9.35813870110468641E-06 )
( 1.90890413102757378E-06 , 1.53450364770352871E-06 )
( -8.25820387362475705E-06 , 8.63567469889531433E-06 )
x=1,y=0,z=0,t=0
( 1.57575190306322395E-06 , -8.27931756138034547E-07 )
( -6.49668158097744519E-06 , 6.61808735841327107E-06 )
( 8.21001486992173511E-06 , -3.15336758201131773E-06 )
( 1.09020076050574343E-07 , 3.32157317117766079E-06 )
( 3.22113646352628718E-06 , -3.49732196893986566E-06 )
( 6.60731383632835406E-06 , -2.81983978355543898E-06 )
( 4.40810126227395492E-06 , 6.98027366066439979E-07 )
( 8.14382747595014957E-06 , 3.06004967344382876E-06 )
( -3.72363949308537480E-06 , 1.00686873103495838E-05 )
( 7.94121683854382879E-06 , 1.00993942854577101E-05 )
( 2.15361830100297755E-06 , 6.18666356001522155E-07 )
( 1.33495516383978270E-05 , -2.53783834037781506E-06 )
x=2,y=0,z=0,t=0
( 3.71985334897351521E-06 , 6.53229607129491565E-06 )
( 2.36234716335750159E-06 , -5.49146974800564613E-06 )
( 1.25795444961191005E-06 , 3.04282401587194364E-06 )
( 8.40749532509866521E-06 , -1.18967125286069758E-05 )
( 1.01915429158357230E-05 , -4.99390652726236191E-06 )
( 3.17344056056778369E-06 , 8.11585266426971044E-06 )
( 1.69190497494896753E-06 , -4.78018868882521087E-06 )
( -1.10079958756509379E-05 , 1.82353600822092076E-06 )
( 4.04661659599021338E-06 , -4.16392454964395687E-06 )
( 9.80563491244074448E-07 , 6.99299679110309461E-06 )
( 4.24930898275791226E-06 , 2.27772241665040549E-06 )
( 2.44616252959488002E-06 , 9.23107521848068200E-06 )
x=3,y=0,z=0,t=0
( -9.71912586309933425E-06 , -1.62177140626545262E-06 )
( 3.68440783838755663E-06 , -6.79626144170393800E-07 )
( 5.40224041265292029E-06 , 1.21967741538030580E-06 )
( 4.41548163275165850E-06 , -4.49493747447231927E-06 )
( -2.50157827938945218E-06 , 5.15839568338318154E-07 )
( -2.30445935049384673E-06 , 1.63765731080783221E-06 )
( 1.12400030961108569E-06 , -7.76884403507521210E-06 )
( -1.77943787945714722E-06 , 1.01659508379269404E-05 )
( -5.63672614698823794E-06 , 1.21807604524592592E-06 )
( 1.27006673972816550E-06 , 6.17367918297361942E-06 )
( -1.04570109955505750E-05 , 2.96648680015173565E-06 )
( -1.48570773766590070E-06 , 2.64775563011347919E-06 )
x=0,y=1,z=0,t=0
( 3.60030071047888056E-06 , 1.18489045348618364E-05 )
( 1.92741850581418719E-06 , -4.05911754003583999E-06 )
( -2.12385857027360600E-06 , -6.77324664867661630E-06 )
( 2.20923953418395481E-06 , 3.35916508017058939E-06 )
( 5.16201534561250472E-06 , 1.00634996860382755E-07 )
( -3.57212620611087031E-06 , -3.15377705088173055E-06 )
( -1.65511248489727472E-06 , 4.36637036097316153E-06 )
( -8.33872081907327737E-06 , -5.90196974250537641E-06 )
( 5.01255037079827375E-06 , -2.78333706059417356E-06 )
( -4.86180485262497649E-06 , 3.64953701528969593E-06 )
( -7.38428415700634321E-06 , -8.58560907865053032E-08 )
( -1.50675869037503462E-06 , -7.44780607582479896E-07 )
x=1,y=1,z=0,t=0
( 4.89841645121344726E-06 , 1.12256566859999726E-05 )
