index: 0
( -3.12013619032000221E-02 , -2.90124498330698449E-02 )
( -2.55319672381000805E-02 , 2.29175727416313334E-02 )
( 4.03182705533527419E-02 , 3.52011524480640714E-02 )
index: 9
( 6.12659078193524345E-03 , -5.40739252331766673E-02 )
( 2.69202135342553467E-02 , 5.95815174403259776E-03 )
( -1.07128873663363960E-02 , 7.19638727408024731E-02 )
( -4.04463518925426493E-02 , -3.71815732398583579E-02 )
( -5.23428337979087097E-02 , -2.85935701051269475E-02 )
( 1.79975331860669080E-02 , -2.27087234761669358E-02 )
( -2.48846346556184858E-02 , 1.36659365960651071E-02 )
( 3.85096818747856107E-03 , 1.99247574751037285E-02 )
( -3.80614876335752875E-02 , -5.32465175969861100E-03 )
( -1.52621453973870065E-02 , -4.98005780212235488E-02 )
( -6.67390409665269066E-04 , 9.64382732720436286E-02 )
( 1.94031259937769013E-02 , -2.17523474680360943E-02 )
index: 10
( 3.40996063597958157E-03 , -4.10016579300332001E-02 )
( -1.25301878386889411E-02 , -2.83894097231177367E-02 )
( -1.76655979725934449E-02 , -1.81964661132302981E-03 )
( 3.08609715781081907E-02 , -1.48430954284716268E-02 )
( -3.23602553679852439E-02 , -2.60220019547039369E-02 )
( -5.98051502588017730E-02 , -9.71307922564809342E-03 )
( -2.68939813761837308E-02 , 2.34023295346716571E-03 )
( -8.58059066635605619E-03 , -4.11778934911219141E-02 )
( 4.55180567902017594E-02 , -2.68930014061772651E-02 )
( 5.87450351611317478E-02 , 4.53510639166956955E-02 )
( -3.08281531288771143E-03 , 2.19195164468796201E-03 )
( -4.10539602890439281E-02 , 2.32620641182484794E-02 )
index: 11
( -4.06132164179438537E-02 , 3.60105482158056545E-02 )
( -2.18846757126085131E-02 , 3.50631804168039032E-02 )
( -5.10664256644435960E-02 , 5.73002526764804301E-02 )
( 2.25222363175802617E-02 , 1.72034624455038310E-02 )
( 7.54607275721172130E-03 , -5.96107329236948529E-03 )
( 8.51114962931382238E-05 , 5.11656920120910196E-03 )
( -3.08281661410545124E-02 , 1.37217618181526470E-02 )
( 2.40538708745246521E-02 , -4.80575321724554388E-03 )
( 3.03535846005469519E-02 , -3.55868920769684743E-03 )
( -3.33387528844344971E-02 , 6.02189545092824893E-02 )
( 5.10234743022653248E-03 , 9.15445684669516195E-03 )
( 4.05799491904957552E-02 , -2.62728486293471244E-02 )
index: 12
