index: 0
( -1.32411469263731744E-04 , -1.19931177813228517E-03 )
( -5.06252594104939510E-04 , -8.26346207736004443E-04 )
( 9.13239741455682539E-05 , -4.25044293351791878E-04 )
( 5.15471212992938809E-04 , 1.17726156789581152E-03 )
( -2.85400565859930905E-04 , 4.51329412518203721E-04 )
( -1.84703799705148927E-04 , -7.08702843268119360E-04 )
( 3.81985289811775756E-06 , 1.39320550059789669E-05 )
( 7.67432179606696236E-04 , -5.42540232975112936E-04 )
( -1.04265283949193433E-03 , 7.86884136206144193E-05 )
( -1.25697448010887529E-03 , 2.10783428703465174E-04 )
( -7.02963373727196242E-05 , -4.59425175135817104E-04 )
( 1.41915182167710700E-03 , 8.84341593671522826E-04 )
index: 1
( 3.33165503720954446E-04 , -2.43169923555055351E-04 )
( 3.45029111725115494E-04 , 7.50017266938902364E-04 )
( 1.11815725149869215E-04 , 2.71520577344012146E-04 )
( 3.35238883556407690E-04 , -5.30893021907440652E-04 )
( 2.33165043145141127E-04 , -6.24578402609610563E-04 )
( 3.67162927822244089E-04 , -1.10809331163237257E-04 )
( -1.98105988726233031E-03 , 9.35067339826479169E-05 )
( -1.72989533517421722E-04 , -4.29737110483556246E-04 )
( -9.54093915271873524E-04 , 7.22958746048117597E-04 )
( -3.44964388136257359E-04 , -2.52635077824775076E-04 )
( -1.00562494719669596E-03 , -1.51749967855059880E-03 )
( -3.95404134268072759E-04 , -8.34173351820580058E-04 )
index: 2
( 8.24986980899956195E-04 , -8.39056127718622704E-04 )
( -2.12155932138993655E-04 , -7.72011591951819341E-05 )
( -5.11075114952643590E-04 , 1.17256464734070021E-03 )
( -9.74384875913686540E-04 , -8.18454049989176353E-04 )
( 4.94185692996920983E-05 , 1.13273192064327006E-03 )
( -3.80921914007075965E-04 , -5.73428920094018837E-04 )
( -1.37596015851793648E-03 , 6.00532371845097224E-04 )
( -3.13525323890164354E-04 , 7.87261696469495178E-04 )
( 2.74096802275899671E-04 , 3.42994964252570696E-04 )
( -4.62679162141392888E-05 , -9.68541753046177128E-04 )
( 1.41609293090803998E-03 , 2.12238540014847329E-04 )
( -1.46747264500343363E-04 , -2.77435946501894360E-05 )
index: 3
( -2.98329339961701269E-04 , 3.42414823267660781E-04 )
( -3.31128131820985962E-04 , 6.95317367374920182E-04 )
( 3.19778120339186695E-04 , -5.46953748900647746E-04 )
( 4.26758075282890987E-04 , -2.12102891002337811E-04 )
( 1.03026205838646114E-03 , -2.88206426908560963E-04 )
( -2.78379781903790777E-05 , -2.89590110776447095E-04 )
( -7.36994548007921307E-04 , -3.99962579552218624E-04 )
( -2.63321894003339140E-04 , -6.08644441297646411E-04 )
( 3.04535284908547151E-04 , 7.07421412174720965E-04 )
( 5.38442618555969553E-04 , 1.15925319047844038E-03 )
( -4.47094354461660855E-05 , 7.51046649903924627E-04 )
( 3.95722212882115626E-04 , 4.75058827954307102E-05 )
index: 4
( -6.59367454130735842E-04 , 1.98303260066936236E-04 )
( -1.44552340897822150E-03 , -7.54712988305044621E-04 )
( 6.70166261945918007E-04 , 2.46619799360109685E-04 )
( 5.77325572496144627E-04 , 1.98043861978347601E-04 )
( -5.04894916635925456E-04 , -8.36858767442238776E-04 )
( -3.51887619466957928E-04 , -2.30614173071771891E-04 )
( 3.45481607023585553E-04 , -8.24667277801442288E-04 )
( -1.22054428936060042E-03 , -9.74319694619998639E-05 )
( 1.83971808396558628E-04 , -4.76518725288593013E-04 )
( -2.27756964861609520E-04 , -4.15954485276195376E-04 )
( 4.42495127794309204E-04 , 1.38152392103365381E-03 )
( 7.46519086257226255E-04 , 2.84331603356290682E-04 )
index: 5
( 6.80954275739599013E-04 , -6.66144527372990354E-05 )
( -2.03091081789654880E-04 , 7.89927397700789782E-04 )
( 7.45265924193320452E-04 , 1.77738347087947344E-04 )
( 8.03503216127346605E-04 , 1.24991054271738136E-03 )
( 4.57851924168451406E-04 , 6.23265911042639349E-04 )
( -1.02284791996182082E-04 , -7.29781762132679216E-04 )
( 5.83247527612897770E-04 , 2.72897076682315797E-04 )
( 1.97257974171446797E-04 , -4.71125815256866220E-04 )
( 9.20013890002251275E-05 , -6.33251748562674993E-04 )
( 2.10534257500623865E-04 , -1.06666755477444197E-03 )
( 1.94374041382748552E-04 , -2.11178366512569578E-04 )
( 4.58315853394314571E-04 , -1.54140867791861119E-03 )
index: 6
( 9.34791988534563372E-04 , -1.11978471041564338E-03 )
( -6.34189198228386460E-06 , 9.55416958481880184E-04 )
( -1.43890889794708705E-04 , 7.03068919689901761E-04 )
( -1.71775467979427523E-04 , -1.32421797544560486E-03 )
( -1.04045300249415765E-03 , -1.69766688188708508E-04 )
( 1.20446134853761802E-03 , -1.31549878020763354E-03 )
( -2.74880141661271388E-04 , 2.62765373186590228E-04 )
( 2.58234640670993451E-04 , 7.30101877076019053E-04 )
( -1.00434594121337462E-04 , 3.26487033528628638E-04 )
( 5.56547390147428913E-04 , -2.13471629675608329E-04 )
( -1.15601442156398144E-05 , -1.72062378390729380E-03 )
( 5.11241450494834314E-04 , -6.22952991443837911E-04 )
index: 7
( -4.98813926991660485E-04 , -4.43746122689257913E-04 )
( -1.04802413949240335E-03 , 8.43939263652404093E-04 )
( -2.95959783035637568E-04 , -1.87239427738826632E-04 )
( 5.15996785511578645E-04 , 8.22532052674694093E-04 )
( -2.13714977495552811E-04 , -8.11321885200504849E-04 )
( -4.37718373873764114E-05 , 1.30552836007800184E-04 )
( 4.12380020921410389E-04 , 3.91655403743687439E-04 )
( -1.48579268516322899E-03 , 3.95558937119472580E-04 )
( -1.29367784731184397E-03 , 9.75248161938974773E-04 )
( 2.10083045365869740E-04 , 4.22172378828276755E-04 )
( -2.32665402886601043E-04 , 6.89958024335616269E-04 )
( 1.01794457029403987E-03 , -1.01193971181409064E-03 )
index: 8
( -6.22646224899986358E-04 , 6.38343346969213760E-04 )
( 5.38053499360375078E-05 , 6.82506638982824159E-04 )
( -6.92785987734313843E-04 , -5.60131473808913281E-04 )
( 1.08769148348144911E-03 , 8.26912014338677124E-04 )
( -7.18477372566718713E-04 , 3.62266133085301545E-04 )
( -4.41616693584331822E-05 , -5.58741659207825231E-04 )
( -2.78195001396842239E-04 , 2.23152328012011603E-04 )
( -2.29637644042693400E-04 , 6.05340781215047406E-04 )
