index: 0
( -3.20255467146458861E-01 , -1.13725742157868859E+00 )
( 3.54270648697455781E-01 , -2.69236971704436057E-01 )
( -8.25390637633069552E-02 , 1.24601588918871298E+00 )
( 3.52208699436478770E-02 , 8.47270579256052425E-01 )
( 1.18389910575981760E+00 , 6.24923366479686188E-02 )
( 1.08230354972446507E+00 , -9.06484307149436723E-03 )
( -2.47355536505927814E-02 , -1.43988040557047420E-01 )
( -1.03136452998238615E+00 , -3.07738493498768001E-04 )
( -4.40797555522992546E-01 , -7.97222901394268810E-03 )
( 8.49308378282604748E-01 , -2.45327830162983179E-01 )
( -1.56368195884379307E-01 , 1.92788416520419753E-01 )
( 9.15232151062641219E-01 , 4.59139120952605451E-01 )
index: 1
( 5.25730262551746041E-01 , -8.50398321930602052E-01 )
( 4.45069942778429095E-01 , -1.05312649506649825E+00 )
( -6.00769850000786421E-01 , -5.01393177281429292E-01 )
( 6.52248836135889271E-02 , -8.20460607135646725E-01 )
( -2.96181211073775708E-01 , -7.92723302320074596E-01 )
( -1.91413485472397227E-01 , 8.77451142514062976E-02 )
( -1.72322146902956952E+00 , 6.89563734260186134E-01 )
( -6.98464046271085715E-01 , 3.30818182954405515E-01 )
( -9.25146168871886831E-01 , -2.90535570961886258E-01 )
( 6.40972527732589226E-02 , -7.58462077821830949E-01 )
( -9.94841154235025171E-01 , 2.52422618770818008E-01 )
( -1.71215459788048113E-01 , -4.31127430561122738E-01 )
index: 2
( 2.73617186274710433E-01 , -7.11604911069516732E-01 )
( -4.20273137809339670E-01 , -7.34792102777488271E-02 )
( 1.90904822811353403E-01 , -6.14166202243134562E-01 )
( -8.46250269498449170E-01 , -1.15670565716501514E-01 )
( -1.12295519187867554E+00 , -7.94379527677600783E-01 )
( -1.07264690107691255E-01 , -2.73299190396402658E-01 )
( 1.19479342996764770E-01 , -5.94704904745120611E-01 )
( -5.48597334511261692E-01 , -3.48897985474505179E-01 )
( -5.57263296908123040E-01 , -1.21316696287384770E-01 )
( -3.79630044282473822E-01 , 3.83898507565139269E-01 )
( -3.28611293749271949E-01 , -8.55255182529838009E-01 )
( -1.16261933934166520E-01 , -9.53996622370786196E-01 )
index: 3
( 5.88928043726697714E-01 , -6.40075136594940863E-01 )
( 3.84427138768826282E-01 , -3.40372918995635043E-01 )
( 6.48427073627326545E-01 , -4.77159463247693649E-01 )
( -8.98821056828999043E-01 , 5.81776261824881846E-01 )
( -3.10651770830097873E-01 , 2.36137437548982587E-01 )
( -1.07788881860991603E+00 , 1.12915406313960109E+00 )
( -6.72472339658154783E-01 , -1.34273185279410745E+00 )
( -1.98573794624582523E-01 , 1.85777611468837284E-01 )
( 7.41132232641550592E-01 , -1.15541467776293283E+00 )
( -1.10909745945781202E+00 , 6.86922696162845958E-01 )
( -1.06915657596936575E+00 , -6.35207281683609959E-01 )
( -2.37010656066863307E-01 , 7.02680704117483401E-01 )
index: 4
( 8.58038782936636713E-01 , -1.07832605963986872E+00 )
( 9.00630987337273203E-01 , -1.89100205214179873E+00 )
( -1.87332813681518134E-01 , -7.91383423344512393E-01 )
( -4.42060496127516245E-01 , -5.63100375044782650E-02 )
( 6.32059731281656823E-01 , -6.56240542741237942E-02 )
( 8.05428907737844813E-01 , 6.65008596647958528E-01 )
( -5.49593543387728478E-01 , -7.94750300321907743E-01 )
( 2.54460405206149265E-01 , -7.53474773247310048E-01 )
( -1.38442365438223569E+00 , -3.35005390375191003E-01 )
( -1.39874199230570007E+00 , 1.32324648073154849E+00 )
( -3.34933229327964099E-01 , -4.97064857899776003E-01 )
( -3.29069456343684785E-01 , 1.04710763969097354E+00 )
index: 5
( 8.27167191932285495E-01 , 5.86464564675650113E-01 )
( 9.07930164476893009E-01 , 3.98549538895360655E-01 )
( -1.21536236907588369E+00 , -5.71168539803849185E-01 )
( 9.24988612118022524E-01 , 1.13046638989510373E+00 )
( -6.82960261442593586E-01 , 1.33727454044111704E+00 )
( -6.07893034245922226E-01 , -1.10290171997266401E-01 )
( 5.15676914607343106E-01 , -6.03721261580899074E-02 )
( -1.07429047206610639E+00 , 4.42492634983626953E-01 )
( 3.97960589941482923E-01 , 3.29300531435046007E-01 )
( -2.76689743018977308E-01 , 1.35891050349985920E+00 )
( 1.44062920713933851E+00 , 8.36284082658842021E-01 )
( -2.20924730708440764E+00 , -8.09958018337976315E-01 )
index: 6
( -1.79091933692111405E-01 , 4.71019472549250195E-01 )
( -7.73585541980919889E-01 , -2.03002016220108883E-01 )
( -1.28807358711945286E+00 , -1.05931738442769774E+00 )
( 4.38558420409338567E-01 , 5.68669962836731657E-01 )
( -1.33979925354657040E-02 , 1.09843099559397328E+00 )
( -1.16179968353399221E-01 , -5.59748493465014429E-01 )
( -2.88147558328900044E-01 , 7.57361396458614555E-01 )
( 2.02509119561390290E-02 , -9.27194784081621787E-02 )
( 6.44021351274684517E-01 , 7.02171963480025085E-01 )
( -6.74794039516911415E-01 , 1.46804544844896662E-01 )
( -8.05570919718788914E-01 , -1.06447471836531679E-01 )
( 4.36828119337988485E-01 , -1.19660482283019598E+00 )
index: 7
( 1.62670348253144303E-01 , 8.48302223948906420E-01 )
( 8.94106821802679086E-01 , -3.77512058629684732E-01 )
( 1.58771624781867593E+00 , -1.96344662198368036E+00 )
( -4.32769957894671098E-01 , -9.30896541481283750E-03 )
( 6.93099151720795503E-01 , 2.14176637910044460E-01 )
( -1.34178253244569579E+00 , -3.39002819144020029E-01 )
( 8.57151291952214400E-01 , -2.47847203928403953E-01 )
( -1.47061363304429937E+00 , -3.45990875998481273E-01 )
( 6.97209025893627432E-01 , -9.15269134497524589E-02 )
( -1.44147655816581932E+00 , -3.38977993647621434E-01 )
( 9.48846572744169281E-01 , 5.00621050455119954E-01 )
( 6.76379256616774338E-01 , -1.07743017503118665E-02 )
index: 8
( 7.17509631442865170E-01 , -8.32629105876594888E-01 )
( -5.42205444329195374E-01 , -1.79940889782848668E-01 )
( -2.65896669372764960E-01 , 6.24533718072758814E-01 )
( -1.66520448350080286E+00 , -6.52991801176935754E-02 )
( -3.07451339899351361E-01 , 1.03117114224234818E+00 )
( 3.87788343332957974E-01 , -1.51445057963919716E+00 )
( 9.10473940530498599E-02 , 8.56607499643499137E-01 )
( 1.52093426793290054E+00 , 7.29175499306721764E-01 )
( 1.49871044427275524E+00 , -7.72321374757106605E-01 )
( -3.82977124087774262E-02 , -4.30129971911942965E-01 )
( 8.46989870274997170E-01 , 3.26884117625223847E-01 )
( 5.57797791509249907E-01 , 4.87892487766345487E-02 )
index: 9
( 1.96812734516317728E-01 , -1.01018473029710987E+00 )
( -3.46551486949133514E-01 , -1.16584198436943176E-01 )
( -8.53824964626926364E-02 , 1.11829530575254821E+00 )
( -2.89762800619919214E-01 , -4.34858512995575541E-01 )
( -1.25943893954768305E+00 , -6.38253856125224894E-01 )
( 2.79319665285989949E-01 , -6.40217170364233645E-01 )
( -1.31246194259994908E+00 , -8.79892393471845224E-01 )
( -4.98764417283960315E-01 , -1.04909600838492345E+00 )
( -6.37061786499505733E-01 , -2.98980105311153155E-01 )
( -7.47292792052379751E-01 , 4.34129288989783035E-01 )
( -4.47461933329873107E-01 , 1.19799340893167949E+00 )
( 2.45586218903457776E-01 , 1.82269242994898173E+00 )
index: 10
( 3.69877378837457749E-01 , -4.29216127791565705E-01 )
( 5.11890372332938326E-01 , 8.87530068005200845E-01 )
( -1.94600822767538206E-01 , -1.35036611850593902E+00 )
( 3.07908017915596743E-01 , -3.15359286581593901E-01 )
( -2.06504658497981097E+00 , -1.45414020062821181E+00 )
( -1.12103505998563246E+00 , 3.52032794059597642E-01 )
( 8.78264742569377782E-02 , -6.97881148570533183E-01 )
( 1.67113395508317192E-01 , -6.93322031186461185E-01 )
( 5.05875500099292941E-01 , 1.20701293592628545E-01 )
( 5.12636255751596326E-01 , 9.44429072427678484E-01 )
( -2.61548329618184594E+00 , 7.10199671621002615E-01 )
( -1.46128940463045809E-01 , -5.07280897003615117E-01 )
index: 11
( 2.82996398815821670E-01 , -9.75125830550048089E-01 )
( -1.60509617958306405E+00 , -9.69728735556925958E-01 )
( 8.24391510318951082E-01 , -3.72818257449388624E-01 )
( 7.98051100964525251E-01 , 6.09796705852502230E-01 )
( -8.04392026756712980E-02 , -4.03689002535609298E-01 )
( -4.45622771251114769E-01 , -5.92442675054544954E-01 )
( -5.24410987137866533E-02 , -8.29887917814707943E-01 )
