index: 0
( 5.71740711123271145E-09 , 7.13898430187677543E-09 )
( -3.12811783913883099E-09 , -2.03639253264572203E-10 )
( 8.66754127221056750E-09 , -5.33298866850896959E-09 )
( 7.96285399353646993E-10 , 2.56422245762296360E-09 )
( -1.91759879692932866E-09 , 5.99098739628351370E-10 )
( 3.19791822312585266E-10 , 1.24453256970721871E-09 )
( -5.93811453145046079E-09 , -3.24692304915777828E-09 )
( -1.57632745502434931E-08 , 6.98746967453560795E-09 )
( -4.98724787933152493E-09 , 1.12359089936700264E-09 )
( 5.47407890068831047E-09 , -8.09651047483202602E-10 )
( 7.69167607051474470E-09 , 3.73915462538005277E-09 )
( -3.19932283043476041E-09 , -2.72483105345699738E-09 )
index: 1
( 2.65172146456961610E-09 , 1.57332790394029195E-09 )
( 1.31698087645794446E-08 , 2.83000088271358434E-09 )
( -6.06164729883843330E-09 , -1.12716904380059387E-08 )
( 9.70652194609962452E-09 , -3.48434527735401417E-09 )
( 2.96434841614312481E-09 , 9.65474247480764707E-09 )
( 1.03931187002505735E-08 , -5.41651179524703147E-09 )
( -2.70330961145118123E-09 , 1.17509964061580190E-09 )
( -4.58811466899446943E-09 , -4.92909841184638171E-09 )
( 9.84134635119866144E-09 , 2.24293987433661032E-10 )
( 8.99265971557338621E-09 , -1.20036093213582954E-09 )
( 7.54107294161025819E-09 , -3.66731320506692918E-09 )
( -3.92527144046274493E-10 , 9.64634271048406514E-09 )
index: 2
( 7.61444065878143233E-10 , -1.37438518568246640E-09 )
( 1.22885587549075658E-08 , 9.06445034592674074E-09 )
( 1.23505060538624088E-08 , 3.04967222460457557E-09 )
( -2.38118882629394308E-09 , -7.35374522078870055E-09 )
( 4.50756213837887501E-09 , -1.95262001663844254E-10 )
( 1.08959637905291381E-09 , -3.47404486983036853E-09 )
( 2.21343863375641582E-09 , -1.37339522230586361E-09 )
( 2.23500934463558434E-09 , 7.36448899777752716E-09 )
( 2.39274607100419158E-09 , 1.14392149464969941E-09 )
( -4.35106840300020130E-09 , -2.55608950753599119E-09 )
( -3.67296547118770963E-09 , 2.39229688904965271E-09 )
( 5.20828066805335949E-09 , 6.92312588845534024E-09 )
index: 3
( -5.43612033146577859E-09 , 5.03708097657620221E-09 )
( -2.66191893130302229E-09 , -7.46548357384477036E-09 )
( 6.74756634950355036E-09 , 9.30543872763605512E-09 )
( -9.45926189523957025E-09 , 5.00376611413545744E-09 )
( -1.24320898414867678E-08 , -1.65339590721937542E-08 )
( -7.40744575883835742E-09 , 9.34511322727840985E-09 )
( -1.79454431916291007E-09 , 4.59795302312292160E-09 )
( -1.17405147688221035E-09 , -1.01850089384660866E-08 )
( -3.56689755940866641E-09 , -4.91957613518881879E-10 )
( -3.82897444250295278E-09 , -1.02312228220264803E-08 )
( 3.70063136062681775E-09 , -7.99632910174673906E-09 )
( 8.82474776970493552E-09 , 1.30155592073117462E-08 )
index: 4
( -7.31369781377166530E-09 , -9.31094007731948571E-09 )
( 2.48440379504346159E-09 , 7.62721392354934046E-09 )
( 1.92542480916509712E-09 , 9.33002456714288001E-09 )
( -8.45252940313487244E-09 , 5.58492194008953169E-09 )
( -3.30065211300881557E-09 , 7.16287794870419112E-09 )
( -9.35060273362188053E-09 , -7.15429205625349571E-09 )
( 7.32678750738712335E-09 , -1.45796519272347417E-08 )
( 6.49388687411316647E-09 , -4.72769441534444892E-09 )
( 3.77579504048565300E-09 , 8.95663808875393944E-09 )
( 3.53993243290605100E-09 , 2.51774024152343039E-09 )
( -9.15347324100244756E-09 , 1.45846206609073560E-09 )
( 6.11173514206286405E-10 , 1.38657223617424970E-09 )
index: 5
( -8.58060160107601103E-09 , -3.74033758210698071E-09 )
( -4.79051906458222498E-09 , -4.18671623712264727E-10 )
( -1.15876726802075242E-08 , 5.96976771066796829E-09 )
( -3.52769542616060793E-09 , 2.50882474618871972E-09 )
( -1.15744195962889134E-09 , 7.97022756629922353E-09 )
( 3.51893318542399416E-10 , 6.89697103986632730E-09 )
( -5.65157086646414296E-09 , -3.31827721873022840E-09 )
( 2.52701429334298078E-09 , 1.11554368012242098E-09 )
( 3.75154659826500737E-09 , -5.31170943985960599E-09 )
( 2.16012918841177763E-09 , -1.24724666890258699E-09 )
( 4.87417245627325907E-10 , 7.08022381031958412E-09 )
( -7.16702324730768151E-09 , 6.95145154595092246E-10 )
index: 6
( 5.96438025052100065E-09 , -7.06739587092401433E-10 )
( -7.60935081939823058E-09 , 3.91092461950491201E-10 )
( 3.44550311296828980E-09 , 1.10086460590636231E-08 )
( -4.17046516523982473E-09 , -7.16898719542185021E-09 )
( 1.36300655795442649E-08 , 1.32001233934688288E-08 )
( -3.75264495670302077E-09 , -7.24372971867286787E-09 )
( -1.09656319509221125E-09 , 1.18534599039536451E-08 )
( 7.48123013126214297E-09 , -1.33341741779167242E-10 )
( -7.17649293306805293E-09 , -2.28385380359717987E-09 )
( -5.25724405944620860E-09 , -2.55211428179952215E-09 )
( -4.31271795593408012E-09 , -3.85357623540149540E-09 )
( -9.60786796197289260E-09 , -7.51115041854604465E-09 )
index: 7
( 4.70899139146946990E-09 , -5.88952540296038285E-10 )
( 9.13083747500145408E-09 , -6.26821696521973941E-09 )
( 3.99726982145069428E-09 , 8.39314160881456391E-09 )
( -1.38180094504432056E-08 , -9.92269639695686225E-10 )
( 5.36747724374156235E-09 , 1.12415215250636920E-08 )
( -5.70680870212693909E-09 , -8.50850157703204509E-10 )
( -3.83433382271442129E-09 , 5.47744762664410420E-09 )
( 3.37585920195156858E-09 , 5.21105680464167376E-09 )
( -2.85278339397621807E-09 , 2.41810668100998270E-09 )
( 1.58045608433329819E-10 , -5.08351970465130870E-09 )
( -1.93693020783510472E-09 , 1.33206506661140963E-08 )
( 2.77231951226265732E-09 , 3.93001606480312707E-09 )
index: 8
