x=0,y=0,z=0,t=0
( -2.04409740057092792E-09 , -8.52776653562600923E-10 )
( 5.36430411766363407E-09 , 2.85060050076842413E-09 )
( -5.12272520700891833E-10 , 1.20130305617186847E-09 )
( 4.23162065554546609E-09 , 2.95719191028988113E-09 )
( -7.19929006647981417E-10 , 2.29767761753151068E-10 )
( -1.30170352195944211E-09 , 2.00862168853794288E-09 )
( 7.48630678459167513E-10 , 5.10020496881233143E-09 )
( 4.20974100427002491E-09 , 6.56727994854542696E-11 )
( 2.66917917561521209E-09 , -3.20586264190036816E-09 )
( 3.58058530910117762E-09 , 2.11993157216264252E-09 )
( -1.22132274105613829E-09 , -3.51123532252207183E-10 )
( 3.37787002955499541E-09 , -3.68617742557460989E-09 )
x=1,y=0,z=0,t=0
( 2.22904332308128158E-09 , -1.91788280867946644E-09 )
( -2.14647730980085878E-09 , 1.12577868202676944E-09 )
( 1.41879914738806062E-09 , -1.41527204312161482E-09 )
( -2.26708648437264123E-09 , 5.78947693236919450E-10 )
( 1.21116077520156822E-09 , 9.74201984859709815E-10 )
( 1.27427609340508715E-09 , -2.93175396567221672E-09 )
( 3.90959867811022125E-09 , -1.04508680729269949E-09 )
( -9.32697253498337938E-10 , -1.28775653864249901E-09 )
( 4.58098072165532731E-09 , 2.55623274583453559E-09 )
( 2.72627488249780272E-09 , 1.09880380268484106E-09 )
( -5.66496522481334903E-11 , -2.85202553746427091E-09 )
( 2.43346345080020610E-09 , 2.96680938894183084E-10 )
x=2,y=0,z=0,t=0
( 4.53725034971000612E-09 , 1.54392196320067470E-09 )
( 3.34485827747028705E-09 , -3.30643146736164608E-09 )
( 5.62413339530362494E-09 , -4.82169587252080522E-09 )
( -5.96013578328882697E-10 , -2.05647430909349442E-09 )
( -3.67908474145756182E-09 , 1.98461026709135503E-09 )
( 4.26183554849325419E-09 , -2.79668991914594868E-09 )
( -3.61910999477227925E-09 , 2.93488405248343727E-10 )
( 3.50595000778067826E-09 , -5.28769847664054667E-09 )
( -3.16041270272106510E-09 , -6.66149208072825631E-10 )
( -1.05402141408188064E-09 , -2.59591836850851503E-09 )
( -1.07436308180658259E-09 , -1.54938250223832846E-10 )
( -4.21254295728183650E-09 , -2.41147771270136463E-09 )
x=3,y=0,z=0,t=0
( -6.08394904636051736E-09 , -1.62518567857635065E-09 )
( -9.77201019924159005E-10 , 9.08343502284857383E-10 )
( 6.05159384521619591E-10 , 2.05105339621618814E-09 )
( -1.12291016923781752E-09 , -4.65731888468603212E-09 )
( 1.10216711864605105E-09 , 1.54686526773967653E-09 )
( 4.85902119856483006E-09 , -5.97939514628943606E-09 )
( 1.59821251723887987E-09 , -4.87923024885395449E-09 )
( -6.77864513543699734E-09 , 5.07444764080495036E-09 )
( 2.75609505797600768E-09 , -2.33805972776796595E-10 )
( -1.77582785446952464E-09 , 4.41805863909752784E-09 )
( -9.64033922107884294E-09 , 3.01424941135002169E-09 )
( -4.81702586430500858E-09 , -6.64513085126038880E-09 )
x=0,y=1,z=0,t=0
( 1.65937312692889212E-09 , -4.58206266294803702E-09 )
( -1.87639737913334774E-09 , 4.47162838768383913E-09 )
( -2.92020125549585281E-09 , 4.38197889962799275E-09 )
( 3.85932742507729585E-10 , -2.90518513743882862E-10 )
( 2.39338149966716147E-09 , 3.94656393508727988E-09 )
( -2.89579507512659332E-09 , 5.76102215641568303E-09 )
( 1.79058726511969493E-09 , -2.46339868206130132E-09 )
( -3.59476376468234716E-09 , -1.73883501404640343E-09 )
( 7.96306792702651955E-10 , 5.82497885669908838E-09 )
( -6.09709996939101230E-09 , 1.29981231591604892E-09 )
( -1.18815889257667751E-09 , -2.35124014877397056E-09 )
( 3.87253703937689642E-09 , -2.81459557364752166E-10 )
x=1,y=1,z=0,t=0
( -4.19285205806632607E-09 , 4.14720705396342069E-10 )
( -7.37203854609692973E-10 , 8.62734434468463029E-10 )
( 6.31585269418919629E-09 , 3.75434791344321453E-09 )
( 7.11115993361236223E-09 , 3.38187147091527138E-09 )
( -8.02396971090695112E-10 , -7.34361445229381383E-10 )
( 1.67135703961124078E-09 , -2.36458047337977927E-09 )
( -4.90635563880507931E-09 , -5.21832681764019641E-09 )
( -3.52766167844791163E-10 , 3.44565361831014113E-10 )
( -4.97760440034021154E-11 , -7.80097839315607738E-10 )
( 2.43755586903789673E-09 , -1.78898758306862750E-09 )
( 2.33483165279324334E-09 , -1.77013943183192753E-09 )
( 1.44548186726083681E-09 , -4.46537239579077254E-09 )
x=2,y=1,z=0,t=0
( -1.06838296897429706E-09 , -1.06730953300012937E-09 )
( -9.83335509405427842E-10 , 2.35637886615822025E-09 )
( -3.83160159429084943E-09 , -2.10961145255844085E-09 )
( -1.77066044651622556E-09 , 5.23561292936852774E-09 )
( -1.14655036201277661E-09 , -2.40315750654308284E-10 )
( -3.57519715489321312E-09 , -1.33966971200092709E-10 )
( 7.40492322397620217E-10 , -2.64394308111021363E-09 )
( -3.27257635911249001E-09 , 2.27685050780395133E-09 )
( 7.91054122220112980E-10 , -7.25886065705012250E-10 )
( -7.00238903260201394E-10 , -3.78387035291991964E-09 )
( 7.04891063186604639E-10 , -4.17597202902747812E-09 )
( -1.56684593024666866E-11 , 6.99972446393147976E-10 )
x=3,y=1,z=0,t=0
( 3.60192745498828022E-09 , -3.38816216553283546E-10 )
( -8.10512227356950769E-10 , -8.54489013863678035E-09 )
( -2.13809604228083063E-09 , -7.25744574802778045E-09 )
( 2.17668154397708171E-09 , 2.75837082410361675E-09 )
( -5.23715417848048479E-09 , -8.72869896008762735E-10 )
( -2.95119681942923525E-09 , 7.73839581011207080E-10 )
( -1.89695301996345719E-09 , -2.31880782942038072E-09 )
( 2.29941768011359538E-10 , -2.85685550650246494E-09 )
( -3.20401981265154694E-09 , 2.10769002948428155E-09 )
( -4.75393078243033657E-10 , -2.11612704425556286E-09 )
( 2.50939505351004716E-09 , 3.15598117311806532E-09 )
( -4.27944444484261825E-09 , 3.32227468393854698E-09 )
x=0,y=2,z=0,t=0
( 3.47000916973634881E-10 , -2.11890223690024761E-09 )
( 2.06414458816465356E-10 , 3.30256603563392384E-09 )
( 1.12856885790769446E-09 , 1.19962897356862930E-09 )
( 2.26026311159679670E-09 , -6.66905140085180358E-10 )
( 3.46895567148392162E-10 , 3.13409185106186463E-10 )
( -1.64801176799396563E-09 , 8.01759838739022962E-10 )
( 7.87273893855434625E-10 , -1.09130230909452498E-09 )
( 1.72600238580934599E-09 , 3.29888811019394907E-09 )
( 4.41274356138590052E-10 , 3.94632837335674766E-10 )
( -1.05344973837751107E-09 , -5.83751745449095538E-09 )
( -1.79854491130425272E-09 , -2.41860902781643696E-10 )
( 9.80803641101287636E-10 , -7.95555155662087891E-10 )
x=1,y=2,z=0,t=0
( 6.08067989152910443E-09 , -2.08199265589889149E-09 )
( 1.83032453010195255E-09 , -1.13078785294213887E-09 )
( -8.77743856676976983E-11 , 3.21071332892042561E-10 )
( 2.71117082500980096E-09 , 4.08085806364549616E-09 )
( 2.09274726967401668E-09 , -3.87203916746990227E-09 )
( 1.61580480324014382E-09 , 1.37933867492960807E-09 )
( -4.83193320676938109E-10 , 6.19038759681201017E-09 )
( 3.32860917935652526E-09 , -4.55918121112137172E-09 )
( -2.08530448488139745E-09 , 3.27822196851465221E-09 )
( -7.43866029018512394E-10 , 2.47196855744018815E-09 )
( 3.58145395136030378E-09 , 3.38602529402622765E-09 )
( -2.57497098503451369E-09 , 4.12030746843882058E-09 )
x=2,y=2,z=0,t=0
( -7.00790206820352386E-11 , -7.67998829976631315E-10 )
( -1.73163780148733811E-09 , -3.32687981683986402E-12 )
( 2.63436102898683302E-09 , -1.07306735934701114E-09 )
( 1.10922329937937511E-09 , -5.40856644314950914E-09 )
( 2.12363365913467871E-09 , -1.01479702652919301E-09 )
( 9.13218521282255164E-11 , -1.02642511768661231E-09 )
( -1.04018992516752504E-10 , 3.47489688076196013E-09 )
( 3.87619813696942851E-09 , 1.27195945921539013E-09 )
( 2.53228235390925536E-09 , 1.63442769532051933E-09 )
( -2.24343633343821121E-09 , 3.62205869511713692E-09 )
( -3.59077855944197329E-11 , -3.40068446107772731E-11 )
( 1.39442832441306696E-09 , -2.24076697500704486E-09 )
x=3,y=2,z=0,t=0
( 2.00339972354402424E-09 , -4.07538073470848181E-09 )
