index: 0
( -1.27090267877442312E-06 , -1.05318722121552250E-06 )
( 7.89694007661307212E-07 , 3.43428806506274301E-07 )
( -2.71300488033751640E-07 , -7.33214520847242982E-07 )
index: 9
( 1.00448371831909350E-06 , -4.41244958237588862E-07 )
( 5.41114426984778101E-07 , -1.50802851932209933E-06 )
( -1.65133577238607098E-06 , 1.68265669394903893E-06 )
( 6.85101431889809186E-07 , 2.25421945918963280E-07 )
( 7.11301136337217860E-07 , -6.72474895934975939E-07 )
( 8.79804812248047791E-07 , -8.16703078349316701E-08 )
( -4.81516433927052750E-08 , 5.84372599640498034E-08 )
( 4.70072638109248206E-07 , -5.01695415280838846E-07 )
( -1.09337984209840122E-06 , -1.31630598809045562E-06 )
( 8.76791799369196482E-08 , -9.72132795991459302E-07 )
( -4.78883419369592740E-07 , 6.49654141324045249E-07 )
( -5.16176687818833586E-07 , 2.44846091904781347E-06 )
index: 10
( -1.18355789525413935E-06 , -6.20156619937416319E-07 )
( -5.98547163913937064E-08 , 1.43146669073679442E-06 )
( 1.96590392530737623E-06 , 1.64727978596905707E-06 )
( 1.44141452541997476E-06 , -2.00557952512453339E-06 )
( -9.59883973536800462E-07 , -6.15351657590089463E-07 )
( 7.54109627258486706E-07 , 6.17051084808785596E-07 )
( 2.10653301385818528E-06 , 2.31055425262691155E-06 )
( -9.87689515240505330E-08 , 9.62483745052094544E-07 )
( 8.58041233734673655E-07 , -2.63953792614543686E-06 )
( -8.97162993915855194E-07 , -8.26515301655235856E-07 )
( -9.53984151905595634E-07 , 3.68627501899944083E-06 )
( -1.71319834755886090E-06 , 8.99994917737076156E-07 )
index: 11
( -1.18824939235086469E-06 , -1.16072387231539393E-06 )
( -1.23680249241806825E-06 , -7.32638841550040490E-07 )
( -9.06154561337902432E-07 , -6.78322423651187128E-08 )
( -5.04168995983177137E-07 , 1.84941279164227613E-07 )
( 7.55459705160125496E-07 , -7.49410494084605599E-07 )
( 4.41501142478391334E-07 , 8.92156056442830681E-07 )
( 2.06325305643483979E-06 , -1.30115935519527156E-06 )
( -1.40643726272962619E-06 , 1.06210391411554315E-07 )
( -1.50112884642615471E-06 , -1.15058611768787332E-06 )
( -3.90508806883283288E-07 , 9.56006075955936131E-07 )
( 5.03911454595988685E-07 , -2.97870459881294486E-06 )
( 3.01964510824051925E-07 , -6.17274851001668168E-07 )
index: 12
( 2.28110412561931247E-07 , 1.29832950169503934E-06 )
( 2.40303295766813887E-07 , -1.13944249505824467E-06 )
( -2.89053009076956352E-07 , -2.29188374569943474E-06 )
( -6.45917706417651081E-07 , 8.89776032468348256E-07 )
( -8.56337612202755571E-07 , -1.61036836187368163E-06 )
( 4.18070446138556393E-07 , 4.57106054865463935E-08 )
( -1.09091551332302073E-06 , 6.67191904285357147E-07 )
( -1.70577719464380042E-06 , 1.14669884650849062E-06 )
( -2.94180180542861056E-07 , -4.38060711496387543E-07 )
( 4.77414377919952141E-07 , 8.79166189897330237E-07 )
( -9.48716173584467162E-07 , -8.90745089756532643E-07 )
( -1.45279343966523290E-07 , 9.14635741221778265E-08 )
index: 13
( -5.29838432570941143E-07 , 2.54024852187838416E-07 )
( 4.05511555297849460E-07 , -2.07236830131608427E-06 )
( -1.02972562777208087E-06 , 1.66548378154419571E-07 )
( 7.51373162719401142E-08 , 5.04647181611321731E-07 )
( -4.90210159733958801E-07 , 1.60667618169229305E-06 )
( 4.45440414685241359E-07 , -1.04610706044338195E-06 )
( 5.87196438597345488E-07 , -1.02091097189140956E-06 )
( -1.26756282946026552E-06 , -6.19706528997330619E-07 )
( -1.81256812303598948E-08 , -2.39893690388009069E-07 )
( 1.41525905834483998E-06 , 1.22011168362424264E-06 )
( -8.28499167697325204E-07 , -5.52901939393598609E-07 )
( -9.54709254613723490E-07 , 3.72270258919763346E-08 )
index: 14
( 1.25805474740201002E-07 , -1.63478925876742095E-07 )
( 7.97890911476271144E-07 , 5.40324532629889684E-07 )
( -5.84937337886634196E-07 , -2.29301644172224438E-06 )
( -8.99796665856571090E-07 , 1.15118983090327662E-06 )
( -1.13516454801791802E-06 , 7.41365873088644313E-07 )
( 1.49308333263243380E-06 , 7.99984024650359553E-07 )
( -1.42945651050956786E-06 , -7.63437771586301039E-07 )
( -1.68401144921356328E-06 , -8.42149689907226170E-08 )
( 1.75882751537603940E-06 , -8.85369580098040892E-07 )
( -4.68986491713806413E-07 , 1.38921242157978159E-06 )
( -2.24262579041908870E-06 , 1.70449235758327203E-06 )
( -5.64563553713829279E-07 , -1.53599052748771970E-06 )
index: 15
( 4.40683327839162222E-08 , -1.45553571021703485E-06 )
( -1.23925521433870952E-07 , 8.05861880517970899E-07 )
( 8.96588180400375030E-07 , 1.31181751413815921E-07 )
( -8.53234310990754628E-08 , 2.74736939755835395E-07 )
( 4.62495069756532372E-07 , -6.26862662481093920E-07 )
( -1.32094842860192051E-06 , 1.81829893884631507E-06 )
( 1.84562252052532106E-07 , 9.56881124870897707E-07 )
( 1.00443542050494855E-06 , -5.11607853324581233E-07 )
( 1.12807155361702272E-06 , 1.62661056689807538E-06 )
( -5.18326634744050287E-08 , -1.10469243941381221E-06 )
( -1.59604306485649863E-07 , -1.59190489350411401E-08 )
( 9.84222429305856164E-07 , -1.37794924820132014E-07 )
index: 16
( -6.68713729578466737E-07 , -1.94955166420385239E-07 )
( -5.17354756213228267E-07 , 1.45743899860000111E-06 )
( 2.62213648623602177E-06 , -4.23243199883747730E-07 )
( 1.78362720820171558E-07 , 3.62561755836614229E-07 )
( 1.90687514578970264E-07 , 6.76419927677906585E-07 )
( 9.61103333002992267E-07 , -1.62808524103358386E-06 )
( 5.86747745665909889E-07 , -4.92428199137878383E-07 )
( 5.87213439738932071E-07 , -8.77985045658243453E-07 )
( 1.59077250889009916E-06 , 1.41985291003025011E-06 )
( 1.57520424971711464E-06 , 1.70140695511763726E-06 )
( 4.06717671639100018E-07 , 5.10752382976910417E-07 )
( -2.53067197827257347E-07 , 1.74132761097753251E-06 )
index: 17
( 1.14865179522636432E-06 , 1.56567098258343977E-07 )
( 6.37463633860245962E-07 , 8.71736989433021433E-07 )
( 6.45980551533043027E-07 , -1.16926283522914352E-07 )
( 1.18831373844649667E-06 , 9.59570546936196272E-07 )
( 2.30560932222208371E-06 , -9.20955161074348772E-07 )
( 3.44358624113109795E-07 , 9.03108387178450377E-07 )
( 1.82353478216989253E-07 , 2.83075176720219133E-07 )
( -7.13038944075704012E-07 , 1.61623747976274214E-07 )
( -1.46572466912607389E-06 , -6.00335981493390942E-07 )
( 3.62682424883778210E-07 , 1.23403845755607164E-06 )
( -1.89240380262991247E-06 , -4.20058654960800224E-07 )
( 4.26459786709555569E-07 , 1.30597446556802102E-06 )
index: 18
( -5.82065319602802839E-07 , -2.23683050586010301E-06 )
( -1.82027106227003878E-06 , -1.67038254776036457E-07 )
( 2.57072461411426341E-07 , 6.69866814856891814E-07 )
( -1.28316742435771413E-07 , -3.85715949792594892E-07 )
( 3.98065537027086288E-07 , -1.21880477421516420E-06 )
( -1.80381453838978889E-07 , 1.04396850745865678E-07 )
( -1.77967204392156295E-06 , 1.47299451386706488E-06 )
( 1.05200308674761184E-07 , -2.76462637922286702E-07 )
( 3.15558590269121977E-07 , -2.55679234874963962E-07 )
( -1.22602217072193820E-06 , -1.20771896058942953E-06 )
( -2.24517250367289399E-07 , 5.40434113956379309E-07 )
( -2.86600344506407959E-06 , 2.01689212327712126E-07 )
index: 19
( 3.36549079136997336E-08 , 8.81716692552200738E-08 )
( -8.99491619100026345E-07 , 2.54547947832299009E-06 )
( -2.30785098958272388E-06 , 4.13648331129612435E-07 )
( 2.08709163033031216E-07 , 6.65457966856707557E-08 )
( 6.56406796733179395E-07 , 3.93719886080190691E-08 )
( -1.16345252969256719E-06 , 2.51779985318785333E-06 )
( -7.59980309309711631E-07 , 1.13026862456579737E-06 )
( -8.25037408001939390E-07 , 8.25986959801182663E-07 )
( 5.71766078592225801E-07 , -1.40866439174950331E-07 )
( 2.38799035758694545E-07 , 4.85854950569114485E-07 )
( -1.62514411583387551E-06 , -6.59484847190076291E-07 )
( 3.67909353245566550E-07 , 2.59330265415059262E-07 )
index: 20
( -3.31098847563151807E-07 , -4.52109672325292433E-07 )
( 8.43123944255947160E-08 , 7.89214142413416930E-07 )
( -1.39102839898271597E-06 , 1.54851785026280450E-06 )
( 2.16583994548305954E-07 , -1.39022175530874592E-06 )
( 1.68050182333742192E-06 , -2.44596563307857090E-06 )
( -9.05985905489521830E-07 , -3.53951226379146787E-07 )
( -5.07748617148798691E-07 , 1.03586226006840173E-07 )
( -1.73016391465008438E-06 , 4.49989746496712826E-08 )
( 2.13018922825015747E-07 , 9.92336230775924889E-07 )
( 1.23998877945627255E-06 , 4.39966030690502145E-08 )
( -2.18646758791747094E-06 , -1.88759415258302750E-07 )
( -1.39559891978499501E-06 , -8.55439088646151265E-07 )
index: 21
( -1.07860411485144538E-06 , 1.19261896818038076E-06 )
( -1.76875546224165714E-06 , -1.10575444274549337E-07 )
( 7.84456901389380734E-07 , -2.05160793340240572E-06 )
( -2.84527541953311913E-07 , 6.61281552301775096E-07 )
( 1.33921149108608618E-06 , -1.15633729162953110E-06 )
( 1.48743407620215742E-06 , -2.01566308560563518E-07 )
( -4.38850827093076399E-07 , -7.38316839437306572E-07 )
( 1.05109524197130409E-06 , -8.24786787938506531E-07 )
( -8.06123025215588503E-07 , -1.98771351977675723E-06 )
( -3.82239760023396469E-07 , 1.16119195490997282E-06 )
( -9.86391790906895375E-07 , -1.61223650925698977E-07 )
( -2.64989955466395440E-07 , 4.27149080736370483E-07 )
index: 22
( 6.11689218613322650E-07 , -1.17767760935817948E-06 )
( 6.98239658638762171E-07 , -5.33023419613221525E-08 )
( -7.61058288464647226E-07 , -6.43919668480025507E-07 )
( 7.17704004018626936E-07 , 8.18039241444160345E-07 )
( -2.39428762122325140E-07 , 1.21142297612494527E-06 )
( -9.19026547817246040E-08 , -1.98953017284376503E-06 )
( -8.38017065351632205E-07 , 1.93621537541345241E-07 )
( 1.57440749282035160E-07 , 8.15689183881433412E-07 )
( 6.90979039930217636E-07 , -2.14642533678726705E-06 )
( -5.60327375198248745E-07 , -7.72681691524307439E-08 )
( 2.44301250520470848E-07 , 5.81798768177801175E-07 )
( 1.69463784700472201E-06 , -1.43598225540126089E-06 )
index: 23
( -2.71349174630162151E-07 , -9.87082107928386056E-07 )
( 9.38743916152670983E-07 , 1.18920043464021383E-06 )
( 4.48843022384087346E-07 , 2.02607939982405833E-07 )
( -2.46306069192733792E-07 , -4.75025627278649492E-07 )
( -2.86125397885197513E-07 , 3.31753536149604393E-07 )
( 1.30234886049417713E-07 , 1.11230358763222149E-06 )
( -9.41516541886229055E-07 , 9.42488450438340086E-07 )
( -2.16635284062974628E-07 , 1.21984056208493848E-06 )
( -1.20058565790497207E-06 , -3.55778652909985608E-07 )
( 2.22528907960877485E-07 , -5.78865737655464789E-08 )
( -9.71270162477959404E-07 , 5.21579378754586034E-07 )
( -1.05954068801227497E-06 , 1.00517841840392543E-06 )
index: 24
( -1.06644022257675159E-06 , 9.27579827116908764E-07 )
( 4.22755100748149231E-08 , -8.01501416880362766E-07 )
( -9.31267301659642846E-08 , -1.33477732358305293E-06 )
( 1.35685338386174259E-06 , 8.67271323170240061E-08 )
( 1.16190360576813786E-07 , 1.39577185749640082E-07 )
( 1.37698741846756304E-06 , 9.16595512835495155E-07 )
( 7.14746926972902980E-07 , -2.94759176543057124E-07 )
( 2.33782836708976090E-07 , -5.64262902591697767E-07 )
( -5.04774985625949742E-07 , 6.08037158450237873E-07 )
( -4.52693008070903082E-07 , -1.11545769308592295E-07 )
( -3.67899688781460777E-07 , 8.54050019793184486E-07 )
( -9.32404581354044266E-07 , -3.59095887546675243E-06 )
index: 25
( 1.17083690062817138E-06 , 1.57085699488172416E-06 )
( -1.14845895084209014E-06 , 1.47193463426215754E-07 )
( 4.58168941089070811E-07 , 2.31004264558030705E-07 )
( -1.49754413312025026E-06 , -1.00801932351644893E-06 )
( 2.27926168881522249E-07 , 8.30504704730342773E-07 )
( 2.08352730906830421E-06 , 6.21026365224197437E-07 )
( 1.77769689256928247E-06 , -3.03697776082642813E-07 )
( -2.91230598112547696E-07 , 8.64345014977154519E-07 )
( -2.07644466422286491E-06 , 9.49112815470390801E-07 )
( -7.04551150106317705E-07 , -6.93494637683466581E-07 )
( 1.85833841393792632E-08 , -1.81320780268561980E-06 )
( -2.26195221223441762E-07 , 1.06183609182347960E-06 )
index: 26
( 1.89887222453032286E-07 , -4.52927935688415910E-07 )
( -5.89451560236193941E-07 , -2.14986753749753850E-06 )
( 1.50317576758553031E-06 , 8.29516962981638841E-07 )
( 3.43531881659114983E-07 , 1.02770117550907871E-06 )
( -2.57726305084723442E-06 , 1.08248068458319027E-06 )
( 1.45756207331989871E-06 , 6.12560824222712754E-07 )
( -1.62217823269626122E-07 , 2.12331410314129768E-07 )
( 3.62409642778493317E-07 , 2.23782629422344292E-06 )
( 2.05660319634789473E-06 , 6.26891447623930589E-07 )
( -5.17819641981960566E-07 , 1.49743873967962226E-06 )
( 9.33524190985663775E-08 , 6.75504183136320808E-09 )
( -1.60587090669057693E-06 , -1.22298512611211097E-06 )
index: 27
( -2.72399362563042010E-07 , -3.02887631667739594E-07 )
( -3.99672869101610188E-07 , 8.86234657037530463E-07 )
( 1.80655622923466278E-06 , 1.48629393004129229E-07 )
( -4.07202738312890132E-07 , 6.96304054964013806E-07 )
( 1.68298719128212496E-07 , 2.93334073209334715E-07 )
( 3.02361673572447997E-07 , -1.15823263150157403E-06 )
( -1.49795508392779574E-06 , 5.98574164371363447E-08 )
( 5.63126045653333652E-07 , 1.32798474254628475E-07 )
( 5.07468627877922889E-07 , -3.19804018637755731E-07 )
( 5.02361719266133724E-07 , -3.22054174517221084E-07 )
( -2.75883316541354910E-06 , 2.76102250059072395E-07 )
( 1.53937880879603482E-06 , 1.17143727835079640E-07 )
index: 28
( 4.37997214735239987E-07 , 1.96580655901929505E-06 )
( -4.47924642388744720E-07 , -8.33324298011637995E-07 )
( 9.05457028361974264E-07 , -9.54743054485345272E-07 )
( 1.06592888028932356E-06 , -1.07979068528151035E-07 )
( 1.38006610737764340E-06 , 9.82871375537872669E-07 )
( -1.50671706408663620E-06 , -4.58899872833146185E-07 )
( 1.05915575243500432E-06 , 6.22297772998432382E-07 )
( 5.28853668752339950E-07 , 1.14105325174116791E-06 )
( 2.29192221624432966E-07 , 3.87926432276654812E-07 )
( 8.99324443818379787E-07 , -1.34931566042051797E-06 )
( -1.58358803502750578E-06 , -1.20874612362926807E-06 )
( 5.64596305220036399E-08 , 7.55628550342395736E-07 )
index: 29
( 5.20583725199129697E-07 , -4.53625162908893291E-07 )
( -7.84152326833945134E-07 , -2.17862038611743713E-07 )
( 6.15292960327642366E-08 , -1.87198220124362632E-07 )
( 4.21250244423765318E-07 , 4.21623211849349093E-07 )
( 2.93635369646386840E-07 , -8.34053380643514713E-07 )
( -6.88750411587626862E-07 , -1.07329679218329154E-06 )
( 1.45120700906121770E-08 , 5.67512998164627630E-08 )
( -7.91665839038024091E-07 , -5.13250610237366699E-08 )
( 2.70212297817044384E-07 , 1.05851386162267880E-06 )
( 1.35167471728291048E-07 , 1.39132675731398632E-06 )
( -7.92691654286611231E-07 , 4.53363404508698121E-07 )
( -3.10627640167440558E-07 , -1.09489642635833310E-06 )
index: 30
( -8.32212479509451888E-07 , 1.01468399100544542E-06 )
( 7.03945420210879185E-07 , 2.42719887420806027E-07 )
( 1.50129010622063920E-06 , 8.79666401751388325E-09 )
( 1.73454008443562926E-06 , -5.27362803954297053E-07 )
( 4.55529546825089233E-08 , -2.59052395963864527E-06 )
( -1.05870008443509161E-06 , -1.20225026880028343E-07 )
( 2.80851870435111121E-07 , -1.25528705126476197E-06 )
( -2.04382516775867444E-06 , -5.06289343153013023E-07 )
( 7.58347071947108805E-07 , -2.41605283777553633E-07 )
