index: 0
( 1.21223188318758147E-03 , 3.63213459057248195E-04 )
( -5.81391352890865167E-03 , 2.26324865405551226E-03 )
( -3.79167379241219897E-03 , -2.45589739216903842E-03 )
( -6.52057744719739419E-03 , 3.38339407836572067E-03 )
( -3.07552920815165436E-03 , 5.56409799241532575E-03 )
( -1.14030043133099123E-03 , 1.75029887408843180E-03 )
( 9.34026514007247699E-04 , -1.43739338738108936E-03 )
( -3.62471260049759695E-03 , 4.94380515459253919E-03 )
( -3.78657013668993840E-03 , -3.66754282029844742E-03 )
( 2.64946580061042186E-03 , -2.21649251571534199E-04 )
( 2.80787345825578120E-03 , 5.92897569513661273E-03 )
( 1.37879268300033359E-03 , 4.29606917184398134E-03 )
index: 1
( 5.03086577775034918E-03 , 3.85499672645355559E-03 )
( 1.22028253946276964E-03 , 1.37053402249586592E-03 )
( -2.92118648393320524E-03 , -2.11450704537037050E-03 )
( 7.30859915633475573E-03 , -9.22012921679437984E-03 )
( -4.43009056842826390E-03 , 2.50737274753503421E-03 )
( -6.60081756397280436E-03 , -3.53367312882955833E-03 )
( -2.42967122847410379E-03 , -1.72190999219629798E-04 )
( 1.60015193165980460E-03 , -1.88630882979161211E-03 )
( -6.60256274462993169E-03 , 6.96484453020315437E-03 )
( -1.58318248352702249E-03 , -4.99702626770992878E-03 )
( 9.69542502586696214E-04 , 4.54529909949918237E-03 )
( -6.53895970358565892E-04 , 7.74785023291108335E-03 )
index: 2
( -4.91926748907806251E-03 , 6.76368934995990635E-03 )
( 4.82913206332526157E-03 , -2.41223285728866307E-03 )
( 8.46729021829731657E-03 , -4.93887121948860704E-03 )
( -4.41609742277517849E-03 , 7.20735005898317550E-03 )
( -1.89588616854979852E-03 , -7.88309618095315440E-04 )
( -4.82893705269924617E-03 , 6.30327640080152914E-03 )
( 9.92022348074710070E-04 , 1.85951913889165991E-03 )
( 4.69609496094094449E-03 , -7.31360236532587436E-03 )
( -3.36770295109737466E-03 , -4.02854333927973179E-04 )
( 2.33829131959476140E-03 , 5.68182491647989656E-03 )
( 7.10262640305310382E-03 , 2.18447224518960974E-03 )
( -2.59765414482223626E-03 , 2.07117862612072028E-03 )
index: 3
( -4.95686533385105571E-04 , -7.81946277873313712E-04 )
( -3.10163756330600251E-03 , 1.81659760027157863E-03 )
( -9.48477764594354150E-03 , 9.20730262399929722E-04 )
( -7.88117809774185017E-03 , -5.73227773922304912E-03 )
( -2.39396653065305099E-03 , 5.95567699900987832E-03 )
( 3.38405501719224672E-03 , 5.40264106180612935E-03 )
( 6.07484818959489435E-03 , 6.98531524557527601E-03 )
( -2.15944800034638222E-03 , -3.37899575361657418E-03 )
( -6.13402464378483238E-04 , 3.81354675388499448E-03 )
( -1.04871690440631795E-03 , -3.18603374145885960E-03 )
( -2.52286080423743623E-04 , -1.10365546483303951E-02 )
( -2.02485083227284474E-03 , -2.30961907639314935E-03 )
index: 4
( 5.88940656806417537E-03 , 3.63139160000623164E-04 )
( -6.34889981643384010E-04 , -9.80887767738504663E-04 )
( 2.10293973985747375E-03 , -5.87363209890762357E-03 )
( 3.92143740097759732E-04 , -2.40715254109391368E-03 )
( 1.37873995906525975E-04 , 4.62084544094014133E-03 )
( -5.57816234313387310E-03 , 2.64840081709879832E-03 )
( 7.23123782479640192E-03 , 2.99832927974371354E-03 )
( 1.68884643199052747E-03 , 1.04956957502254020E-03 )
( -6.71963244066866618E-03 , -1.48999550492647870E-03 )
( -3.39535416783894517E-03 , -3.98400958027283602E-03 )
( -1.76194366824444749E-04 , 6.06167614854760239E-03 )
( 1.67929398194069162E-03 , -1.14050135771171239E-03 )
index: 5
( -3.84661470022014656E-03 , 6.21446924843525005E-05 )
( -5.22130715874358393E-03 , -9.14359861470896707E-03 )
( -1.03596154367971058E-03 , 1.19395772252472495E-02 )
( -1.51675807742860996E-03 , 2.00136458642101531E-03 )
( -1.42102368802964011E-02 , 4.45203524725413125E-03 )
( 3.04991801248355237E-03 , -7.85721123570626290E-03 )
( -3.19114603367750193E-03 , -2.63762384148672792E-03 )
( -5.64344459886763697E-04 , -9.52170413089517358E-04 )
( 3.03792133757261598E-03 , 2.61393152874818489E-03 )
( 1.33954600251574179E-04 , 4.34116703683562737E-03 )
( 1.01289531692898942E-02 , 4.22230214138888654E-03 )
( -6.29137038083601996E-03 , -7.81603942640817645E-03 )
index: 6
( 2.24379150522186930E-03 , -1.98756269976271566E-03 )
( -2.69548314162114215E-03 , 3.36760137316391298E-03 )
( 2.48173429065882490E-03 , 3.46590541796434459E-03 )
( 5.68495548069415288E-04 , 4.53419424710227188E-03 )
( -5.72806254516266275E-04 , -1.38635373805632029E-02 )
( 5.96019506071021783E-03 , 6.43522143480508503E-04 )
( 5.96025628033406557E-04 , -4.43686090846679565E-03 )
( -1.09242633379206394E-03 , 9.27120976312645687E-03 )
( -2.90558591188967924E-03 , -2.41506405364882906E-03 )
( 6.15548536252287330E-03 , 3.63412870811796783E-03 )
( -4.40543932411594473E-03 , -4.02604011410371675E-03 )
( 9.43008634469149482E-05 , 1.22181616356078484E-03 )
index: 7
( -1.03216146575789772E-02 , -5.15937674851332101E-04 )
( 6.27736936544258210E-04 , -2.59005873176234355E-03 )
( 8.30532725774245882E-03 , -3.48474099851231022E-03 )
( -1.60129221798854544E-03 , 3.89624916321846138E-03 )
( -2.30227323298736646E-03 , 8.03130175567662655E-03 )
( 6.75036312351226693E-03 , 6.92154803098893757E-04 )
( -1.46756428231602370E-02 , -1.25423346693164933E-02 )
( -2.68347902713602336E-03 , -9.78697180524856422E-03 )
( 3.59747225957940051E-03 , -7.88467603603887172E-03 )
( -8.92933855269788766E-03 , -3.65421856028401567E-03 )
( 8.14709092399223955E-04 , 3.20630993825276375E-03 )
( -1.38618968591664934E-03 , 8.05219642769527955E-03 )
index: 8
( 5.26997772503424999E-03 , 5.82337065051817711E-03 )
( -2.03825730833451929E-03 , 1.87152501987799787E-03 )
