index: 0
( 1.87892881929540090E-09 , -6.13099142290400641E-10 )
( 2.35984587338555086E-10 , -1.14330806497886183E-10 )
( -5.32751761050345182E-10 , 1.07249227550873364E-09 )
( 7.66388889456025035E-10 , -2.96395671414134818E-10 )
( 7.59318172709925304E-10 , 1.11468894331400548E-09 )
( -2.80275254730951953E-10 , -3.87113011877886301E-10 )
( 1.26058771738863471E-09 , -3.42838869905351211E-10 )
( -6.04196924019154556E-10 , 3.13586270908394839E-10 )
( -1.99255251741011991E-10 , 6.46786652412336975E-10 )
( 6.49764260565062577E-10 , 1.64392891308244495E-11 )
( -6.18247508871403440E-10 , 2.66687215793634032E-10 )
( -5.40833287269232115E-10 , 1.89480214231470399E-10 )
index: 1
( 1.67889702280729303E-10 , -5.31976922189786744E-10 )
( 5.82058498097148851E-10 , 6.81428718189544756E-11 )
( -1.55361781016480004E-09 , 1.91915432221647072E-10 )
( 2.84942100018369508E-10 , -1.79781831766014041E-09 )
( 7.07430734218595948E-10 , -3.24168196387780923E-10 )
( -2.52931604412078370E-10 , -4.47611285684243394E-11 )
( 8.77551353790529256E-10 , 1.63663272918610439E-11 )
( -7.91613856546241510E-10 , 6.97633645608659970E-10 )
( 2.83063467610271542E-11 , 2.12655451609577941E-10 )
( 4.19859574617097169E-10 , 4.39617590430967608E-10 )
( 3.87898778245944815E-10 , -9.75383128368502958E-10 )
( 3.70481033247941668E-10 , -4.14446582954870111E-10 )
index: 2
( 1.00260880717966276E-09 , -8.21707948446089745E-10 )
( -1.06212328309517666E-09 , -1.45542966136664934E-10 )
( -1.89458823367779632E-09 , -3.30537234105676740E-10 )
( 1.85742995953017841E-10 , 5.73159184661408095E-10 )
( 6.00052441823111264E-10 , -3.53794618578584809E-10 )
( -7.29443600593712013E-10 , 1.23907777683159971E-09 )
( 1.53351434741170032E-09 , -1.30679295828410785E-09 )
( 2.00891841191003384E-10 , 8.50650296965793614E-10 )
( 1.34062238488776074E-09 , -3.50105556052887279E-10 )
( 4.69385720082987960E-10 , 6.12778091459237356E-11 )
( 1.53189340942626821E-10 , -1.18059658109786710E-09 )
( -1.53815561290833687E-10 , -1.54976670330498142E-09 )
index: 3
