index: 0
( 3.67040830351528920E-08 , -2.06924325656134731E-08 )
( -1.61253810114618773E-08 , 1.85329237682198004E-08 )
( -2.82434840176552559E-08 , -3.69071474111165380E-10 )
( 2.88022924422234966E-08 , -8.75245660714791370E-09 )
( 3.28234016026186928E-08 , -1.19974457446136650E-09 )
( 1.91681600894797777E-08 , -3.96389863997800203E-10 )
( 1.66459373719695346E-08 , -1.89080759840850821E-08 )
( 5.61980142507354199E-08 , -7.53286279915706983E-08 )
( 4.71697448672362606E-08 , -4.99800963060935062E-08 )
( -1.59065976408120315E-08 , 8.32999311543643953E-09 )
( -2.61618061754543689E-09 , -5.65367345816597350E-08 )
( 4.90656569341702477E-09 , 2.07184116054798858E-08 )
index: 1
( 1.76220414475522912E-09 , 2.11344789153597560E-08 )
( -1.90906846039004253E-08 , 3.15494068618519513E-08 )
( -4.19333168639075083E-08 , 1.51444148253291237E-08 )
( 1.38261199616301877E-08 , 7.49751159282012376E-09 )
( 5.24302363381533893E-08 , 1.71791638019150394E-08 )
( 7.55089679104169959E-08 , -1.90938053271884354E-08 )
( -3.49406814267861755E-08 , 2.05922084030247053E-08 )
( 1.30064426515369086E-08 , 2.26403613161049160E-08 )
( 3.66447119172455849E-08 , 1.93515873055751404E-08 )
( 2.22548877727463183E-08 , -1.06043289499279939E-08 )
( -2.18753526583796007E-08 , -3.08660977616110520E-08 )
( -2.69882926835639763E-08 , 3.87609369212707975E-08 )
index: 2
( -4.83338995394865458E-08 , 1.21561219052922922E-08 )
( -5.23629013310396948E-09 , 2.40349710766432870E-08 )
( -1.16258823307046746E-08 , 4.23705445669800946E-08 )
( -5.33113877873676761E-10 , 3.69737695810328975E-09 )
( 2.36723581800390302E-08 , -7.87916668044807792E-08 )
( 3.76222857189179989E-09 , -3.02969493207776010E-08 )
( 3.17985209710630006E-08 , -2.34235704923409980E-08 )
( 6.24280327193682260E-09 , 1.72834054705212006E-08 )
( -5.82204446472366194E-08 , -6.53882706583304274E-09 )
( 4.60227585205665807E-08 , -3.35035286182213450E-08 )
( -5.06512176076711849E-08 , -5.10096554757210041E-08 )
( 4.63780580209095828E-08 , -2.27104535001593416E-08 )
index: 3
( 1.10389338751596215E-09 , 1.02883041748852897E-08 )
( -1.80537559710518507E-08 , 5.73676774707389517E-08 )
( -1.17100312374109971E-08 , -9.78791562933368825E-09 )
( 4.05830422684285662E-08 , -3.97080296495621842E-08 )
( -1.55020068431817505E-08 , 4.34553581619239692E-09 )
( -5.42813222486372555E-09 , 6.75987833126738768E-08 )
( 4.61946488732960489E-08 , 1.10082399053087943E-08 )
( 3.26057964630742775E-08 , -1.64295796447850015E-08 )
( 2.14715675445010081E-08 , 1.31513376635672996E-08 )
( 6.22227050474916114E-09 , 3.71032040705332378E-08 )
( -8.57915255957091156E-09 , -3.10893504101194171E-08 )
( -1.19477233665657964E-08 , -1.19432636967799276E-08 )
index: 4
( -2.21516070051841486E-08 , 9.89098971495020172E-09 )
( -4.76144157960755497E-09 , 4.65411566468930277E-08 )
( -2.98018555307628169E-08 , -6.65147587542607432E-11 )
( -1.21483100702239648E-08 , -2.72201681046300712E-08 )
( -1.50437033272955791E-08 , -7.61596409733011275E-09 )
( -9.10824825473891619E-10 , -7.47648423242382870E-08 )
( -1.11181073672306165E-08 , 8.45223684607855881E-10 )
( -3.75268701410275586E-08 , 1.46355578548773001E-08 )
( -4.19643381741218230E-08 , 1.04115803189518703E-08 )
( -3.08175545019166407E-09 , 2.70731066696555835E-09 )
( 9.04452970679589412E-09 , -2.51276837146887608E-09 )
( 1.30414150255087222E-08 , -2.05173959869977182E-09 )
index: 5
( -2.60649850454016284E-08 , 1.33312544183200227E-09 )
( -5.13290534025902364E-08 , 1.85660808247413840E-08 )
( -4.93752034351995583E-08 , 2.93700293055512905E-08 )
( -1.42836633967875938E-08 , 7.93653801288504054E-09 )
( 4.05841577911998326E-08 , -1.96997806032764332E-08 )
( 3.10598896701818870E-08 , 1.33583329081303862E-08 )
( -3.69360987128558532E-08 , -3.58748796780016593E-08 )
( -4.89550502293886718E-09 , -2.52317643111722321E-09 )
( 1.12997691654570711E-08 , -1.75161344670791755E-08 )
( 6.18221770420521314E-08 , 1.79789334151622210E-08 )
( 9.24847242065365553E-09 , 2.43050270441400684E-09 )
( -9.38788358592240543E-09 , -2.12428528061640901E-08 )
index: 6
