index: 0
( -2.43502917742456203E-03 , -1.32243555721697705E-03 )
( 1.96103882679779431E-03 , -1.39863195295173619E-03 )
( -8.97347225267211297E-05 , 6.61595031403429184E-04 )
( 1.83169318053868742E-03 , 1.01043721316738336E-03 )
( -5.34699531080380652E-04 , 1.14674752671127165E-03 )
( 4.06742720067779576E-04 , -9.25037679411975329E-04 )
( 2.51004688607923542E-05 , -2.55479094777368715E-03 )
( 1.21094376879778403E-03 , 6.30365372578484909E-05 )
( -8.88716327165660347E-04 , 2.16215361030732507E-03 )
( -4.74257767717626341E-03 , -1.53749695673136661E-03 )
( -3.14096803930262892E-04 , 4.04394505494674959E-04 )
( 2.54540194666163459E-03 , 2.50804253764618651E-03 )
index: 1
( -8.40062063597424562E-04 , 2.23075464828391889E-03 )
( 8.27605411413224372E-04 , 3.11980508886408169E-03 )
( -2.35890023793361436E-03 , 6.42556099670108937E-04 )
( -1.08940281208821542E-03 , -8.52654177858742923E-04 )
( 3.81713782969591827E-04 , -2.85403650755474813E-03 )
( -1.16548133785306205E-03 , -1.62342638141793854E-04 )
( -4.44435248787754310E-04 , 2.17841720897081178E-03 )
( -9.61399227924848417E-04 , -1.22971422354652008E-03 )
( -1.04124088964247094E-03 , 3.03227274753057989E-03 )
( -8.31101353035250661E-04 , -1.11033028059011438E-03 )
( -3.07373621713867562E-03 , 7.17585465532511162E-04 )
( -1.01143929832082273E-03 , -1.03926413624844615E-04 )
index: 2
( -2.02249924918098886E-03 , -9.28860726365370298E-04 )
( -6.87934226174368802E-04 , 1.18347644710410215E-03 )
( 2.47760374188482841E-03 , 1.58826307696257468E-03 )
( -2.09717219969752155E-03 , 5.93602250261712110E-04 )
( -1.13642570931918666E-03 , -8.13776433407505085E-04 )
( -6.14672236533378956E-04 , -3.50841328418749617E-04 )
( -3.94010804490435834E-04 , 1.86317769231887035E-03 )
( 6.19705849028986998E-04 , 9.69853996232756784E-04 )
( 3.25233116545151535E-04 , -2.13276924415785676E-03 )
( 1.55849444358763332E-03 , 5.84564248093903584E-04 )
( 1.83778679872547692E-03 , -1.39127497308893892E-04 )
( -2.27379319932024052E-03 , 4.48645745840656391E-04 )
index: 3
( -2.08420288370796819E-03 , -1.11030314488709970E-03 )
( 6.19619288311242357E-04 , -8.29956088381982038E-04 )
( 5.28621468910931845E-04 , 4.80232404106183011E-04 )
( -6.78987489653700544E-04 , 1.13208901725658480E-03 )
( 8.06625308968174554E-04 , 1.94431415248664434E-03 )
( 1.64629093855003447E-03 , -9.05444522586642403E-04 )
( 2.79835508012640701E-03 , -2.13337596274008889E-03 )
( 1.51249758272657643E-03 , -1.21338167636514437E-03 )
( 7.29426334739695305E-04 , 5.20990481211535501E-04 )
( 1.35332877170512558E-03 , 8.89793184038760844E-04 )
( -1.25072759414583418E-03 , 6.97509644889080524E-05 )
( 3.05660268628205577E-03 , -4.17841808844603342E-04 )
index: 4
( -6.19667738603941099E-04 , 1.38027703250757656E-03 )
( 8.10207273862519972E-04 , 1.12920529532841221E-03 )
( 2.25858144792697748E-04 , 1.72707428850140819E-03 )
( 9.57373248304540419E-04 , -5.07288901392059354E-06 )
( -1.53603103976328184E-03 , -9.95116891929205723E-04 )
( 7.73168920820074346E-04 , 6.49253208719625160E-04 )
( 1.15415259032634887E-03 , 6.07411721496276761E-04 )
( -3.00030971790277417E-03 , -1.98632763143579381E-04 )
( 2.34000666399839571E-03 , -2.58566322115889250E-04 )
( 2.58324749376681075E-03 , -4.94834376163781750E-04 )
( 8.43604011972575027E-04 , 5.81471226422156486E-04 )
( -7.60796445501369300E-04 , 2.25289732361320114E-03 )
index: 5
( -2.82890051856082955E-04 , 6.38559735941521614E-05 )
( -8.56829113322774265E-04 , -5.68365354400014689E-05 )
( 3.31923523651770800E-03 , 4.63419812511285320E-03 )
( 7.11711619261426063E-05 , 2.06153224586814619E-03 )
( -1.13736786343364383E-03 , 3.21649547037400211E-04 )
( 1.32039112284718855E-03 , -2.01415691219826226E-03 )
( -2.28999587729989979E-03 , 1.84638495473914968E-03 )
( 2.65821309335819139E-03 , -1.70781451045411538E-03 )
( -6.17205925533411857E-04 , -2.09815139160712469E-03 )
( -8.42211070722769049E-04 , -2.20424074811962365E-03 )
( 4.27381639030803735E-03 , 2.35365114587895996E-05 )
( 1.03551164463248696E-03 , -4.64598665563904778E-03 )
index: 6
( 2.29952745246632509E-04 , -4.88720552748789987E-04 )
( -1.00820747660864503E-03 , 1.20662509471586104E-03 )
( -5.13484155038046019E-04 , 1.19283966558440596E-03 )
( -1.95826301752705968E-03 , 3.07418414612417048E-04 )
( 1.01820057656809744E-03 , 4.68888267638121179E-04 )
( -8.05188917288259757E-04 , -3.92177713025053506E-04 )
( -8.18651733781745970E-04 , -1.91084599359154345E-03 )
( 9.23699749110393990E-05 , 2.06520880032302293E-03 )
( -6.89802335331006012E-04 , 2.16545165472539249E-03 )
( 1.68900423588700245E-03 , 1.39847165531954113E-03 )
( 4.82749868326573929E-04 , -6.43171021257726806E-04 )
( 2.49386908070525944E-03 , -2.71747006962748654E-04 )
index: 7
( -2.16202661942010727E-03 , 2.28812938231432502E-03 )
( -4.07209529779931252E-03 , -5.93011061233743937E-04 )
( -1.49131640417134799E-03 , -3.03194187730487579E-04 )
( 2.69444362688598749E-03 , -3.63053428895157137E-04 )
( 1.24444899877775949E-03 , -1.01648054905889356E-03 )
( 2.43241096822482484E-04 , 1.65666662712132123E-03 )
( -1.76899357700539069E-03 , 3.34269359843294457E-03 )
( -1.44091617538603901E-03 , 4.05422480962372520E-03 )
( -3.82882552083030521E-03 , 1.80910244531572195E-03 )
( -3.59892388166353988E-04 , 1.14309926540382876E-04 )
( 4.27762113108682077E-04 , -2.35153531062734305E-04 )
( 1.82890603075979092E-03 , -2.61048437753168359E-03 )
index: 8
( -1.01383472887429851E-03 , 1.33648562525720159E-03 )
( 2.75547580804753672E-03 , -9.57110915675486230E-04 )
( 4.95176682532177535E-04 , 2.58360505936114891E-03 )
( 1.29312366148538033E-03 , 1.24789877160771121E-03 )
( -1.86047126986472675E-03 , -1.44388040376759459E-04 )
( -1.92452777894011129E-03 , -9.76058006205802824E-04 )
( -4.92279926652297627E-04 , -1.81062005370336053E-03 )
( -2.29847740441571722E-03 , -5.77399361927660509E-04 )
( -2.49662287315233070E-04 , -1.03240063958304836E-03 )
( -3.85541982162291154E-04 , 1.21285307412030132E-04 )
( 8.33779367491864617E-04 , 4.33966378048267318E-04 )
( 1.58066571136209269E-03 , -2.16922873457043360E-03 )
index: 9
( -1.37520372231744606E-03 , 2.93358333264674069E-04 )
( 3.69154138556095752E-04 , -7.22550991220074958E-04 )
( -8.92115743474513256E-04 , 1.76012032897477797E-03 )
( -5.04842303458680848E-04 , -2.37478679794569003E-04 )
( -3.37061210981205424E-04 , 2.16097776709782009E-06 )
( -1.32448046428132547E-03 , 1.06784043611835846E-03 )
( -1.72634245708919425E-04 , 3.52410706457247135E-03 )
( 1.40664052147597418E-03 , -1.70043081937167290E-03 )
( 1.45597621969245162E-03 , -3.22985995528192850E-03 )
( -1.72321933382271801E-04 , -2.05581995991192248E-03 )
( 2.14192406551684056E-03 , -1.33685061937665803E-04 )
( 3.36141900926025796E-03 , -5.63908181694628427E-04 )
index: 10
( -2.41688000509352602E-03 , 1.12843610360013457E-04 )
( -2.41785888300340666E-03 , 5.09161901864573635E-04 )
( 1.42193859854954563E-03 , 2.92600959745408732E-03 )
( -3.68756261799273437E-03 , -2.78004043586568437E-03 )
( -7.86145714366861918E-04 , -1.34548338173557042E-03 )
( 4.35610814122055481E-04 , -5.82634427670480903E-04 )
( -1.43876868671537921E-03 , -5.13706360949238655E-04 )
( 1.18499586591515966E-04 , 9.26146927407297095E-04 )
( 1.83998723489679512E-04 , -1.72014508739058432E-03 )
( 1.44754776410664036E-03 , 7.17705130137329746E-05 )
( 1.20440551239923348E-03 , 3.75250292492914804E-03 )
( 1.14324882461155301E-03 , 1.67134704634571644E-03 )
index: 11
( -5.96920457009336974E-04 , -1.72790617673524902E-03 )
( -5.05122469908066661E-04 , -3.44809190411861539E-03 )
( -1.43797276890989933E-05 , 2.44267171468393832E-03 )
( 8.81075467749580432E-04 , -2.04336958913596848E-03 )
( -1.25679609054763332E-03 , 1.48155807211862987E-03 )
( 1.20757668234681699E-03 , 8.06168372569651247E-04 )
( 3.19422286980257570E-04 , 1.79383354449753527E-03 )
( 1.04508270917263069E-03 , -8.86109491235190596E-04 )
( 1.18954318971901474E-03 , -3.63858187603074458E-03 )
( 1.60013692115274029E-03 , 1.04438366735938593E-03 )
( 4.29243620771652666E-04 , -2.57147742279726938E-04 )
( -2.06255281031126605E-03 , 1.36093596335910990E-03 )
index: 12
( 2.49853053039587100E-03 , 1.24430065267972802E-04 )
( -3.87842359948301746E-04 , 4.62918063300288502E-05 )
( 1.48191533417100867E-03 , -6.73064905142603791E-04 )
( -8.53812225356553097E-04 , 1.84368823161414454E-03 )
( 1.39174779680827521E-03 , 2.07156161780734996E-03 )
( -3.34501480585653048E-04 , -1.24977156742358490E-03 )
( -5.51930584315553580E-04 , 8.05820006396709828E-05 )
( 5.35028868788536664E-04 , -5.87892952356264395E-04 )
( 1.02042064645799669E-04 , -2.41385822341401955E-03 )
( -6.42791386851915714E-04 , 1.97644359088008838E-03 )
( 1.81727773170751051E-03 , -1.57910917641762355E-03 )
( 1.42946564546787380E-05 , -2.86459056351019909E-04 )
index: 13
( 2.65868149041384449E-03 , -2.55065111819461439E-03 )
( 2.04532294359379471E-03 , 1.22345385323160928E-03 )
( 2.65204795298156284E-03 , 4.04343182365138765E-03 )
