index: 0
( 1.83677045567084052E-04 , 3.63270250640871105E-05 )
( 1.00487786956438290E-04 , 2.13165946302088037E-04 )
( 1.47368076599489436E-04 , -2.04956209171616775E-04 )
( -2.56253316247406857E-04 , -8.73356688965377579E-05 )
( 9.19001364889533972E-06 , -7.68593904148385235E-06 )
( -6.49862978417347189E-05 , 1.67171784639715047E-04 )
( -1.28649688309327389E-04 , 3.84833373355738151E-04 )
( 5.44991394621885096E-06 , -1.98436471131966958E-04 )
( -2.63777683262372115E-04 , -4.11743286846225325E-04 )
( 3.44348918557778631E-04 , 1.91569523635304681E-04 )
( -1.61278649816969219E-04 , 2.45645401629328709E-04 )
( 1.10534022687070236E-05 , -1.00457662314121980E-04 )
index: 1
( -2.91479223958710496E-04 , 1.22220607568409488E-04 )
( -8.54983594556093889E-05 , -1.22242335952142434E-04 )
( 1.09190556089576191E-04 , 2.46290309095961962E-04 )
( 1.68592956113466816E-04 , 1.96371024889805638E-04 )
( -1.43875086359749119E-04 , 3.03020385576275371E-04 )
( 2.05097410641944227E-04 , -4.30940781125249909E-05 )
( 8.86776157517516075E-05 , -2.33808801974944117E-04 )
( -1.51596960577680593E-04 , 2.14172685124028360E-04 )
( -1.75026214668369670E-04 , -2.48157035661722208E-04 )
( -1.88307541316664709E-05 , 6.64249040753941647E-05 )
( 2.45953811373105294E-04 , 4.77016476234713911E-04 )
( 1.25639195144213242E-04 , -2.96224498966825474E-04 )
index: 2
( 5.27414625142094509E-06 , 5.31850487597824908E-04 )
( -1.79831640663959946E-06 , 1.84043648546849281E-04 )
( -4.90905518468696500E-04 , -1.50296824119835294E-04 )
( 3.38172977791791444E-06 , 2.80537529685765655E-04 )
( -8.71112164208441905E-05 , 1.05461983393247746E-04 )
( -1.96996214116027977E-04 , 3.17641470633252656E-05 )
( 2.44129609856024235E-04 , 1.30560827179745622E-04 )
( -5.32501410007730759E-05 , -1.08081012014374139E-04 )
( -1.34031489447845339E-05 , 8.38355717114790068E-06 )
( -7.48054550514565307E-05 , -2.56547490536906107E-05 )
( -2.80052608781327847E-04 , -2.59605041947489040E-04 )
( 2.24695274614879952E-04 , 8.49513186515097945E-07 )
index: 3
( 9.09640849590531578E-05 , -1.38549865976063662E-05 )
( -5.31488601952084184E-05 , -2.11018603360931358E-04 )
( 2.29552393513036284E-04 , -2.38689235603906059E-04 )
( 2.28063037667386817E-04 , -7.65963683228769145E-05 )
( 2.67815324308333358E-06 , 3.02310694591853947E-05 )
( -2.47962462542349700E-04 , -2.11829339144220080E-04 )
( 1.26934045801613764E-04 , 2.50148469843960997E-04 )
( -4.25709254840936412E-04 , -8.34779136780613648E-05 )
( -8.69944479123699690E-06 , 3.50759760433560949E-05 )
( 6.14402027935481026E-05 , -2.40890641839964863E-04 )
( -3.94874794977895607E-05 , 2.25833820724654515E-04 )
( -1.60275151052795631E-04 , 2.99714552412661266E-04 )
index: 4
( 5.69718232946444343E-05 , 1.39021687884835054E-05 )
( 7.84096558621462505E-05 , 2.63016776223853020E-04 )
( 3.27747632368609819E-05 , -2.06232985717400648E-04 )
( -1.95799197904246403E-04 , 3.14026561882403362E-05 )
( -3.76062084488033084E-05 , 2.46648801615707597E-04 )
( 7.26082887861075559E-05 , -2.55029471368950966E-04 )
( -1.00173891334341016E-04 , -2.61072940091274192E-04 )
( 2.68865893008173127E-04 , 3.27918050931652898E-05 )
( -1.16693109435400645E-04 , 1.37229278531621700E-04 )
( -2.28976735635233973E-04 , 4.22249194218302901E-05 )
( 1.81599125988876159E-04 , -1.41634062575385431E-04 )
( 1.98375836389540130E-05 , 6.27277468182630446E-05 )
index: 5
( -1.69931736087703251E-04 , 1.13817976224917159E-04 )
( -1.88087190671075422E-04 , 5.19475363413767567E-05 )
( -2.52324936223270084E-04 , -3.56066249362102299E-04 )
( -1.85887420060674427E-04 , -3.90206167110425742E-05 )
( 2.80666566785301255E-04 , -3.18519692210382185E-04 )
( 6.12717235633135706E-05 , 6.81181228371026729E-05 )
( 3.87281029402459804E-05 , 8.75972163646476830E-05 )
( 5.05856457128683380E-07 , -5.97161927957744307E-05 )
