x=0,y=0,z=0,t=0
( 4.86904824049591353E-05 , 1.15816179242414531E-05 )
( -4.11623560160307664E-05 , -8.14519063155927549E-06 )
( 1.95082001246220846E-05 , -2.43364858180765623E-05 )
( -1.91784932577249127E-05 , -1.40121100814359989E-05 )
( -1.56327702071352005E-05 , -2.75558103065114677E-05 )
( -4.12442695775247996E-05 , 6.76377259585345531E-06 )
( -3.50510187210077766E-05 , 2.48311151735420698E-05 )
x=1,y=2,z=0,t=0
( 1.30643688723841090E-04 , 2.89350320602523004E-06 )
( 1.21552903451559689E-04 , -1.97016053833756482E-05 )
( -2.34862173489555501E-05 , 4.28002804673504044E-05 )
( 8.47447930909511348E-05 , -1.58485320393703319E-06 )
( -5.81289120566943186E-05 , -1.86051509909175184E-05 )
( 6.23928166771875545E-05 , 1.57814258366231232E-04 )
( 5.98138656877368659E-05 , 1.36773984564328123E-04 )
( -5.67201159898924335E-05 , 9.48897421669137872E-05 )
( -4.51407874525586018E-05 , 6.72095575082609512E-05 )
( -2.89070935238313790E-05 , -7.72705996472912372E-05 )
( -6.40257118874711567E-06 , 9.77161624657851531E-05 )
( -9.19307283854243047E-05 , -1.31241638610579876E-05 )
x=2,y=2,z=0,t=0
( 1.49868484682227251E-05 , 4.49985431554757406E-06 )
( 7.23409479578195975E-05 , -2.62491852458426105E-05 )
( 8.13108460046269683E-05 , -4.28513651133774118E-05 )
( 4.28702037123211897E-05 , -8.13202350489831227E-06 )
( 4.87880902743889784E-05 , 2.97677061370241059E-05 )
( -4.20228825292184448E-05 , 1.53608434058371586E-04 )
( 6.52709006640348930E-05 , 4.50960842801969570E-06 )
( 2.59451677940063367E-05 , -2.10643693897100094E-05 )
( -1.29305399684896768E-05 , 1.18237520051934120E-05 )
( 4.26109145112357076E-05 , 3.69896873458433494E-05 )
( -1.47772510536173390E-05 , 8.69604804303276220E-05 )
( -1.40585266912158465E-05 , 6.56455691453609798E-05 )
x=3,y=2,z=0,t=0
( -6.84313337722812802E-06 , -3.60881100197760018E-05 )
( 1.71758002480224608E-05 , -2.76362400543136034E-05 )
( 3.88320688524831058E-05 , -5.85004893009391204E-05 )
( 1.91357002727766273E-05 , -3.60203167384695155E-05 )
( -2.46306459748288474E-05 , -2.73104882930043727E-06 )
( 3.02979585348386075E-05 , 3.15978616481062070E-06 )
( 5.46542290373163841E-05 , -3.84207807560425963E-05 )
( 3.04221120350112776E-05 , -7.20531211828050113E-05 )
( -1.12202069742509342E-05 , 1.11313771984682542E-04 )
( -5.55856498788369601E-05 , 8.62544531032432539E-06 )
( -2.57919629729208973E-05 , 1.22699675794189040E-04 )
( -2.77287012943157942E-05 , -1.60011752493402825E-05 )
x=0,y=3,z=0,t=0
( -1.36796504147501133E-05 , -1.18672820367228117E-05 )
( 4.34367363365978173E-05 , -5.06754888040787733E-06 )
( -3.69666569984346174E-05 , -7.77695418341347803E-06 )
( 4.17610185026609941E-05 , -9.47200898022029132E-06 )
( -3.44423748164643376E-05 , -1.51809767524523304E-05 )
( -5.38811752363551588E-05 , -1.29316315938588445E-05 )
( -6.07690601042831842E-05 , 5.55100352883812552E-06 )
( -4.93492692257162493E-05 , 1.75398869379334531E-05 )
( 5.18215465102714830E-05 , 3.56783586908121389E-06 )
( -1.45860889649942178E-05 , -2.91536903054491688E-05 )
( -1.02377808357702796E-05 , 2.97626356016174846E-05 )
( 2.00788067746045606E-05 , -3.04816355734612974E-05 )
x=1,y=3,z=0,t=0
( 1.07119708924976206E-04 , 4.97133035159143025E-05 )
( 5.91698249613545341E-05 , 1.98286451128864644E-05 )
( -1.96140906296127273E-05 , -3.48159421328381389E-05 )
( -4.88462795183160041E-05 , -7.14973266833242723E-06 )
( -6.08637127393442590E-05 , -5.70394921641495233E-05 )
( -5.88106604872717828E-05 , -1.16234086291523154E-05 )
( -6.06026115578308454E-06 , 2.11099407222499190E-05 )
( -2.58099162969587251E-05 , -7.01717201030218111E-05 )
( 3.01688610210855080E-05 , 2.16300548251929166E-05 )
( -8.70301881357143220E-05 , 1.86483678522821550E-06 )
( 1.44268640502114361E-05 , -4.28167570963316159E-05 )
( 1.29671759911623575E-05 , -2.22617046742648584E-05 )
x=2,y=3,z=0,t=0
( -4.55601054883439214E-05 , 2.30906255558757568E-05 )
( 4.01790274066282730E-05 , -1.73496135448703008E-05 )
( 1.14924050315939484E-05 , 2.08136315275267543E-05 )
( 5.65626515544429855E-05 , -2.37729892286025957E-05 )
( -1.92065506407704329E-07 , -3.41579136734836172E-05 )
( -7.78692832556384231E-05 , 1.34854236774531737E-04 )
( 2.78633733149041978E-05 , 5.01689722750212001E-05 )
( -7.02061958333444257E-05 , 8.04108471683555651E-06 )
( -1.31775756403220635E-05 , -1.66330902186271912E-04 )
( -5.25830205057705447E-05 , -7.20957888617507772E-06 )
( -1.71274982596332127E-05 , -1.23830213020847203E-04 )
( 2.01182481088605232E-06 , -2.67020185666463447E-05 )
x=3,y=3,z=0,t=0
( -4.51460341037788603E-05 , -6.14539257817402422E-06 )
( -6.06313481295538668E-05 , -5.31243334258392608E-06 )
( -1.20775258698001600E-04 , -1.20955446494300693E-05 )
( 4.30561698537078427E-05 , -4.13219319333009893E-05 )
( 1.17913019668309035E-05 , 6.98782474405260876E-05 )
( -1.08702320767142974E-05 , 2.32815611968739341E-05 )
( 1.73787527573833654E-05 , 6.85348582002193494E-05 )
( 4.25525949082222347E-05 , 1.04588112861897314E-05 )
( 1.25889039137000261E-05 , -2.09568966769720638E-05 )
( 1.39099550426348961E-05 , 6.85257914370243545E-05 )
( 6.66054024554867732E-05 , 2.84596481288711729E-05 )
( 3.34183979773236062E-05 , 1.01546356021904625E-05 )
x=0,y=0,z=1,t=0
( -7.60062800783524412E-05 , -1.26806576374286466E-04 )
( 1.73564819426259045E-04 , 8.23113140006405712E-06 )
( -6.81569903093835180E-05 , 6.36142395919787483E-05 )
( -1.61266237080386272E-05 , 3.08749171918781750E-05 )
( -1.05159658250069958E-04 , -1.04081232273182982E-04 )
( 4.01688699784227357E-05 , 7.52023040276262058E-06 )
( -6.30563043228298491E-06 , -4.69502867673194949E-05 )
( 6.47341904388342516E-06 , -2.23114942508812707E-05 )
( 3.91391681716089551E-05 , -4.73615811865695560E-05 )
( -3.33067849505935473E-05 , 2.29945559247453693E-05 )
( -1.98199395179063319E-05 , 5.59277668995064050E-05 )
( 1.17475492449293280E-04 , -1.42694802585012704E-05 )
x=1,y=0,z=1,t=0
( -7.61278264768110321E-05 , -9.72566449201320467E-05 )
( -3.21907447554323686E-05 , 9.84725242860104004E-05 )
( 5.15784140454462846E-06 , -1.78127454547375621E-05 )
( 4.81202742758096515E-05 , 4.86752311098279344E-05 )
( 7.34060486667452637E-06 , -5.81774707257027361E-05 )
( 2.23092087179426206E-05 , 9.69263154647300492E-05 )
