x=0,y=0,z=0,t=0
( -2.12412451622011847E-08 , 7.00045559595782788E-08 )
( 8.56461969495937688E-10 , 1.01492591496147477E-07 )
( -5.17901731959741829E-08 , -1.47150824854269562E-07 )
( 5.19774420217362598E-08 , -6.36371329516912977E-08 )
( -3.00316006061350950E-08 , 6.03677245053028182E-08 )
( -1.08081562084617351E-08 , 7.41930935753972115E-08 )
( -7.54557687972184000E-08 , -2.97658119275592571E-08 )
( 4.19178454768494056E-08 , 2.61527065250046112E-08 )
( 1.07592121537873833E-08 , 2.88749714190815079E-08 )
( -2.26571452509848377E-08 , 5.54899278132550674E-09 )
( -8.58605639514107858E-08 , 1.53399184968381212E-08 )
( -5.56844179416832160E-08 , -4.40473058277886021E-08 )
x=1,y=0,z=0,t=0
( 1.09531516339703869E-07 , -8.74352150977011154E-09 )
( 5.78212704971329595E-09 , -9.61783714720650523E-08 )
( 6.90781389286267998E-08 , 4.23523076880311943E-08 )
( -9.10852550124806565E-08 , -1.15994390859424554E-08 )
( 8.83292364134494925E-08 , -1.69938525033170678E-08 )
( -6.54488473690005002E-08 , -2.24173933833034300E-08 )
( -5.98153637031630411E-08 , 1.18613379079096734E-07 )
( -1.26195650769960230E-08 , -1.46541912595841688E-07 )
( 7.12495973142874723E-08 , 5.58057810438524341E-08 )
( 1.17764190583676027E-07 , -3.63630939168245439E-08 )
( 2.05073417590961206E-07 , -3.31101925193797633E-08 )
( 4.00351288895861308E-08 , 6.27426506625557183E-08 )
x=2,y=0,z=0,t=0
( -3.48237550048455969E-08 , -1.22511909412391642E-07 )
( 9.64031939128556774E-09 , -3.52816922958919472E-08 )
( 2.61282660608746362E-08 , -1.13874455647259685E-07 )
( -1.43074242080587342E-08 , 1.00920207129338771E-07 )
( 7.50537330499644379E-08 , 1.28689663771364627E-07 )
( 8.27786124847201081E-08 , -1.67340850220367666E-08 )
( 5.07469186567481055E-08 , -1.01151779184761070E-07 )
( -2.63793299993165240E-08 , -1.87071015802161386E-09 )
( -3.90370118558065353E-08 , -1.69953567951932027E-08 )
( -1.43582896918709255E-08 , 4.41761410134956501E-08 )
( -4.76967912561737757E-09 , 3.05355756057085653E-08 )
( 1.48451078517524771E-07 , -3.54237309129476550E-09 )
x=3,y=0,z=0,t=0
( 1.00293928191124066E-07 , -5.12210959752030543E-08 )
( -3.04018254240450060E-09 , -4.33804107501411002E-08 )
( 1.78700159242583129E-08 , 3.82949407573524610E-08 )
( -9.12197118568918444E-09 , 3.67651128656959497E-08 )
( -9.50568283349649099E-08 , -3.10196569397486033E-08 )
( 1.13323107293082710E-07 , -3.05262626923621857E-08 )
( -9.02510587732036073E-09 , 5.06292150459129729E-08 )
( -7.65502585037098110E-08 , -7.03717766025657634E-10 )
( -3.08448244930669968E-08 , -4.13587333923365598E-08 )
( 5.39385989593987383E-08 , 8.76234546943060767E-10 )
( 9.39292686329262450E-08 , 1.97665406204959706E-08 )
( 1.35814731310559382E-08 , -4.16991405617672193E-08 )
x=0,y=1,z=0,t=0
( -2.26352687480460962E-08 , -2.03351451900075157E-08 )
( 1.23343694791090019E-07 , 5.59991046558262352E-08 )
( -3.11743727517546889E-09 , -8.62542277221949573E-08 )
( 2.12242253069128933E-08 , -3.98827205122447603E-08 )
( -6.96222003349199216E-08 , -9.40347245327956676E-09 )
( 6.87102894621280741E-08 , -2.43790048169386449E-08 )
( 5.74078306671882673E-09 , -9.26692595205788996E-08 )
( -2.93209468207146750E-08 , 4.50225894624456151E-08 )
( 7.32165113981197915E-08 , 3.76997489438764865E-08 )
( -4.61977532417517712E-08 , 1.13614938361300582E-08 )
( 4.86928573933628638E-08 , 4.55588677817017445E-08 )
( -1.37466891060670049E-08 , 1.91423541300640901E-08 )
x=1,y=1,z=0,t=0
( 2.13521170088443664E-08 , -9.56061018695263555E-09 )
( 1.95030217707227658E-08 , 5.43676988437669509E-08 )
( -1.31508633942943661E-07 , 5.38250606842695510E-08 )
( -4.01202534210873841E-08 , -2.69401870236974524E-09 )
( -9.75178188444870855E-09 , 5.13470192348671147E-08 )
( -3.97254579332969764E-09 , 2.50165725752990148E-08 )
( 6.91936500912427117E-08 , 1.76462435967606809E-08 )
( 5.56271108252358657E-08 , -1.22614871213602676E-07 )
( 5.83693005545131243E-08 , -1.22890322731204541E-07 )
( -1.55811670178573134E-08 , -4.27929275935312374E-08 )
( 1.28594788935109186E-08 , -1.27601271738725792E-07 )
( -4.94140862446265456E-08 , 5.58903855239420099E-10 )
x=2,y=1,z=0,t=0
( -1.21814804571175955E-07 , -6.41952279538723658E-08 )
( 6.50864393916601424E-08 , -2.23133227194002884E-08 )
( 5.10296071008267702E-08 , 2.55816684493258095E-08 )
( -6.07848162416314798E-09 , 8.29955747161622018E-08 )
( 4.00133396619131765E-08 , -8.76430174135390954E-08 )
( -9.28428948812624939E-08 , -9.94798764317772964E-09 )
( -1.21695905909518395E-08 , -3.72018463034313571E-08 )
( -8.10698712317157551E-08 , 8.65830238245912254E-08 )
( -7.56902909610684814E-08 , -1.43490327933256257E-08 )
( -1.52103630533203188E-08 , -2.33355650235827852E-08 )
( 3.22434099974761475E-09 , -1.69527915769110856E-07 )
( -1.07392967635673041E-07 , 2.49733648733485651E-08 )
x=3,y=1,z=0,t=0
( -6.68691607012049752E-08 , -8.28166484727963343E-08 )
( 2.05616531084328609E-08 , -2.23219799411525513E-08 )
( 6.08799776772882684E-08 , -6.70142382911684063E-08 )
( 4.44147509092861622E-09 , 3.87194277420250200E-08 )
( 9.02711546759648738E-09 , -5.01790596859306733E-08 )
( -3.28902675425212025E-08 , -3.47305869533614453E-08 )
( 3.54560672060575742E-08 , -1.11784655764752323E-07 )
( 9.11428954686076246E-08 , 3.58672067203296155E-08 )
( 2.81013203868838446E-08 , -3.56496013426217965E-08 )
( 3.65688203296966132E-08 , -7.94809653981603315E-08 )
( 3.45914702612054919E-08 , -1.15509262516121973E-08 )
( -4.45960858618012397E-09 , -1.11650968710906363E-07 )
x=0,y=2,z=0,t=0
( 7.41672731393650218E-09 , -2.40822033066304321E-08 )
( -1.54142681241574518E-08 , 1.01168520080869806E-08 )
( -3.46446169188136362E-08 , 9.61359746310017532E-08 )
( 1.63967145328999983E-08 , -1.16690054830114899E-07 )
( -4.70120020059413323E-08 , 2.72759601334443699E-09 )
( 5.99264160449976430E-09 , 2.77517535346296137E-08 )
( 5.02975235781345775E-08 , 2.67178003388197274E-08 )
( -1.07394201275757045E-07 , -2.86693946152015549E-08 )
( -8.40559250587339405E-08 , 4.33862778159846778E-08 )
( 2.82442519639800916E-08 , -4.32691066687671634E-08 )
( -3.80586876132551027E-08 , 8.66329293652329301E-08 )
( 3.71762978712210321E-08 , -6.46993344792010116E-09 )
x=1,y=2,z=0,t=0
( 6.30766410352179865E-08 , 5.03685098587953347E-08 )
( -1.06502029210347062E-11 , -5.54143382162619153E-08 )
( 9.75266979711609237E-08 , 3.38978007440580328E-08 )
( 1.14232255101970709E-07 , -1.97409487261646291E-08 )
( 3.16955446961922165E-08 , 6.84637116405831791E-08 )
( 2.26585665517778440E-08 , 2.90806573173831997E-08 )
( 5.27785331146754884E-08 , -1.87619504158514774E-08 )
( 8.13631764656682363E-08 , 2.36269348987085307E-08 )
( 2.70930257976045724E-08 , -1.01594378906024277E-07 )
( -1.53574182780703327E-08 , -3.18224325045115482E-09 )
( 4.40021864107369556E-08 , 2.75234033465460442E-08 )
( -1.48956629968506934E-08 , -1.07846335280376302E-08 )
x=2,y=2,z=0,t=0
( -1.10143740508067362E-07 , -1.52875014602289668E-08 )
( -6.37458089935870896E-08 , 5.39844985494279300E-08 )
( -1.26659704852243982E-08 , 6.05709351284987852E-08 )
( 2.57978263285334202E-07 , -3.84143869462408206E-08 )
( 4.81897282945140467E-08 , -1.00829439906491166E-07 )
( 8.16852933672042913E-08 , 1.60734737604887981E-08 )
( 5.26429971401182144E-08 , 2.25939110631561051E-08 )
( -2.95740638377254722E-08 , 1.08260724226433053E-08 )
( -1.07016258866430392E-07 , 7.37556016100820157E-08 )
( -9.49769609426343047E-08 , 1.82939165286887741E-08 )
( 1.45642194216733540E-07 , -9.88355897503119528E-09 )
( -1.46873649767764897E-07 , 3.08485731184107274E-07 )
x=3,y=2,z=0,t=0
( 9.84813044732396613E-08 , 3.70340715764625051E-08 )
( -1.45815509514712626E-07 , 1.33238399456436948E-08 )
( -2.80130355392886411E-08 , 4.04986934757453612E-08 )
( 3.96640862828720969E-09 , 7.03185379995448927E-08 )
( 7.85517005481613269E-08 , -1.08419864129398759E-07 )
( 5.15122846549228138E-08 , -7.54630208522784025E-09 )
( 7.96725098880324856E-08 , 3.76083768701595498E-08 )
