x=0,y=0,z=0,t=0
( -6.52058086686793395E-10 , 3.54088473960698478E-10 )
( -1.01319226831220095E-11 , 5.74663020557164428E-10 )
( 1.54958337418901287E-10 , -2.75275583336459793E-10 )
( 2.18141384301823478E-10 , 4.29902141603044495E-10 )
( -6.93118453820063691E-10 , -6.25591769486184596E-10 )
( 1.14894351626693773E-10 , 2.29052745440780225E-10 )
( 1.44591388509124460E-10 , -5.66378303075456316E-10 )
( -7.72352446981415653E-11 , 1.49666100321901532E-10 )
( 6.02651422318106355E-10 , -7.73747059496907277E-10 )
( 4.27536893026709857E-10 , 2.00546197506759010E-10 )
( -1.77926123101244520E-10 , 3.45455156646537844E-10 )
( -3.03936507860026681E-11 , 9.50288759856047300E-10 )
x=1,y=0,z=0,t=0
( 2.10709042903228436E-10 , -2.12473320519605620E-10 )
( -5.35483114481016560E-10 , -2.04459516868341265E-10 )
( -3.84721434409042601E-10 , -4.18176212192938490E-10 )
( 1.88625576416329648E-10 , 1.13889510462119398E-10 )
( -4.24306946877446919E-12 , 1.45686369435131803E-10 )
( -4.18008712241813863E-10 , -4.77406317317578440E-10 )
( 1.29338137468455949E-10 , 3.44651206691537860E-10 )
( -1.45541386732743296E-10 , 2.15970902336736822E-10 )
( -2.64647225564888936E-10 , -1.15537368776550063E-09 )
( 3.30896764708023057E-10 , -5.34256527743841950E-10 )
( 1.84459842421952018E-10 , 1.46579251022711110E-10 )
( 9.91952899296388142E-11 , -3.26947509518194089E-10 )
x=2,y=0,z=0,t=0
( 5.92287638390227492E-10 , 2.87856785559457895E-10 )
( 6.46752498385728741E-10 , -1.41271370267104474E-10 )
( 5.31038937823038877E-10 , 3.86765957472957794E-10 )
( 3.47349132659145887E-10 , 3.55730267286219796E-10 )
( -3.30248117545086525E-10 , -7.80809920456502338E-10 )
( 2.39878687247176535E-10 , -1.27549776902312822E-10 )
( -1.75703602309842467E-10 , -9.67436490411410477E-10 )
( 1.14795811749923235E-10 , 7.85083167873748261E-10 )
( 5.83027202217478322E-10 , -2.16538489366579987E-10 )
( -1.80419032500867547E-10 , -3.25462226967240422E-11 )
( 3.41077510827741852E-10 , -6.83252150368285889E-10 )
( 3.37725525413011281E-11 , -3.83883022086423652E-12 )
x=3,y=0,z=0,t=0
( 7.58862076994500006E-10 , -1.30357790305165737E-09 )
( -3.85307728468400863E-10 , 5.59797338761805449E-10 )
( 1.70969839177376523E-11 , -7.14741788793891327E-11 )
( 8.63570895682074007E-10 , -1.05561045555415099E-10 )
( -1.60384180885600633E-10 , -2.39303584194383093E-10 )
( 1.26747710688160271E-09 , -3.33336336437187766E-11 )
( 8.09898206420048494E-10 , -9.23306709373218175E-10 )
( -1.01160683833286873E-09 , 3.66037430701581702E-10 )
( 8.92331183078064008E-10 , 1.69755151698782112E-09 )
( -5.36482371907104300E-10 , 1.08049261620519618E-09 )
( -3.88611300746601812E-10 , -6.83513972636289705E-10 )
( 4.56683395572198617E-10 , -7.29037605714315105E-10 )
x=0,y=1,z=0,t=0
( 1.93690043351157345E-09 , -9.87342021835845403E-10 )
( -8.53965547480467026E-10 , -2.22286458920881848E-10 )
( -3.19440264438221618E-09 , 8.69445986037765632E-10 )
( -3.87366287521627705E-10 , -4.90915524947423797E-10 )
( -3.36065666612225143E-10 , 9.45153229981367658E-10 )
( 1.04060651982422536E-09 , 2.34444913511316583E-09 )
( 6.64399874802129156E-10 , -1.26205825936253387E-09 )
( -4.84491567348849961E-10 , -2.03703303995148652E-09 )
( -1.44208244978156887E-11 , 1.21574158935274775E-09 )
( -1.07002991179978277E-09 , 5.83726622895559432E-11 )
( -9.81679941482811728E-11 , -5.11561656508585397E-10 )
( 1.24372844758157404E-09 , 5.73766405699479318E-10 )
x=1,y=1,z=0,t=0
( 3.47748141518400081E-10 , -2.36331556994242267E-11 )
( -5.34373129875048238E-10 , 3.39233301041126322E-10 )
( -5.95394412097496405E-10 , 2.04313905537880671E-10 )
( -7.02437402520362152E-12 , -4.99232922988599233E-10 )
( -1.07106655543003276E-09 , -3.99377867157284992E-10 )
