index: 0
( -1.84036016672408775E-03 , -1.75384257348113089E-03 )
( 6.52103036889141712E-03 , -2.21289053274263074E-03 )
( 7.75261408730937643E-03 , -1.34319930525395254E-03 )
( 2.54821022396622791E-03 , 3.83622479554629643E-03 )
( 1.03527351792800058E-03 , 1.35478560050641223E-03 )
( 6.81377046359116136E-04 , -1.58095286575089746E-03 )
( 1.09220906495086176E-04 , -5.86589873039578338E-03 )
( -1.50719817543163489E-04 , -6.24421072387476225E-04 )
( -2.39665505035596693E-03 , -1.34854963646436309E-04 )
( -5.89568254238772606E-03 , -7.62895318461058935E-05 )
( -6.01290890917948340E-04 , -5.76165197891248797E-03 )
( 3.31881761645651165E-03 , 5.45910011374664637E-03 )
index: 1
( 1.91240587373259739E-03 , 6.46596513860558421E-04 )
( 2.84760383253017564E-03 , -1.22080617095534976E-03 )
( -3.06990177258873028E-03 , -1.74407451049906161E-03 )
( -4.24040371628812279E-03 , 8.65961897110864923E-04 )
( -7.22133272096507628E-03 , -2.96068579731709625E-03 )
( -2.06240284126433561E-03 , 5.49157166036413381E-03 )
( -4.08673007944682434E-03 , 5.01602108080878833E-03 )
( -1.69693703803781588E-03 , 2.71303660535112019E-03 )
( 2.24307994531721625E-03 , -5.69990856010817171E-04 )
( -1.82393463970747117E-03 , -5.98977427596980930E-04 )
( 1.40666465809997573E-04 , -3.63807632937402162E-03 )
( -4.22489803505991367E-03 , 2.62467638882139462E-03 )
index: 2
( -4.09941779168911807E-03 , -7.26528036682014180E-03 )
( -7.31925100712068049E-04 , 2.28632747116730602E-03 )
( 2.14443496951745305E-05 , 1.92166875337281993E-03 )
( -3.33843674483356523E-03 , -1.72849567515034538E-03 )
( 4.76384852496149550E-03 , 1.32838701548329031E-03 )
( -2.73168243031558962E-03 , -2.63155698481061691E-03 )
( 3.54088671540599056E-03 , 4.56152191899856022E-03 )
( 3.23960323586470339E-03 , 2.53781798580029160E-03 )
( 2.71481482753178210E-03 , -6.74928415827725755E-04 )
( 8.77830775082998234E-04 , -3.99974899112327028E-03 )
( -6.47908961051399911E-04 , 2.30142372454049480E-03 )
( -2.39270739416787281E-03 , 4.05473381761439332E-03 )
index: 3
( 5.03913174409773360E-03 , -4.49842663472595564E-03 )
( 5.50183609799768415E-03 , -9.75373930374185544E-06 )
( 1.28899254750385918E-03 , -1.22304945278304145E-03 )
( -3.00619986453106933E-04 , 1.12408999031176574E-03 )
( 1.05620825054394832E-03 , 2.09937200595488455E-05 )
( -1.52661801663594218E-03 , -2.29992703673223249E-03 )
( -1.00489747552886480E-03 , -2.92730548137579497E-03 )
( 1.91931708533584888E-04 , 2.81520813626579686E-05 )
( 2.96153708372218476E-04 , 1.35044044938862576E-03 )
( -5.73239209146256517E-03 , 5.72853164306905745E-03 )
( 5.82934738152887134E-04 , 3.14168249476091260E-03 )
( -8.38474988575980268E-04 , -7.94810695192933129E-04 )
index: 4
( 1.33922425128245315E-03 , 4.54266058109685945E-03 )
( 1.78132257478434957E-03 , 5.50463496323792779E-04 )
( -5.22306064018046405E-03 , 2.10571334358906903E-03 )
( 3.74960715829112962E-03 , -1.19416756106740162E-03 )
( 3.02842722604657055E-03 , -3.97965397341985914E-03 )
( -4.85083864668708811E-03 , 3.99778548939165937E-03 )
( -2.94852994261105049E-03 , 5.93425200309414657E-03 )
( 1.42574454779731733E-03 , 2.22949045438757161E-03 )
( 3.21778551466097608E-03 , -1.27308214093791762E-04 )
( 1.18757742985282412E-03 , 2.06319838951061259E-03 )
( 1.02001782645461982E-03 , -4.64195740783253027E-04 )
( -3.55824838086351517E-03 , 1.53621750897967512E-03 )
index: 5
( 4.25172022347923648E-03 , 5.30360817129755212E-03 )
( 5.57670390613502522E-03 , 2.33156190901032644E-03 )
( 3.21520219485073007E-03 , 3.04379585173502817E-03 )
( -2.53258160558883895E-03 , 3.49066244950114969E-03 )
( -3.90834388466557506E-03 , 6.47967609274623622E-03 )
( -4.14467661576589479E-04 , -6.82965935980175270E-03 )
( 1.90238998267924851E-03 , -1.53395162624211435E-03 )
( 2.10109471563635830E-03 , -9.17610928034897754E-04 )
( -4.32835049907198764E-03 , -2.10995682528517838E-03 )
( 7.30271912852722884E-04 , -5.69345287505121280E-03 )
( 1.65242647603096489E-03 , -1.42136075951397253E-04 )
( 1.79512471435848029E-03 , -7.52672693952641594E-03 )
index: 6
( 1.52738954954659777E-03 , 5.27428324330289546E-04 )
( 2.13545368764013867E-03 , -1.48745897584770959E-03 )
( 1.98967822320752488E-03 , 2.90752203711408010E-03 )
( 4.06898570752575294E-04 , -2.29869627786777764E-03 )
( -3.86343289703176091E-04 , 2.84225488699541354E-03 )
( -2.91149205491356144E-03 , -9.78461437182666285E-05 )
( 9.47423885981756725E-03 , -2.63635465078898915E-05 )
( -4.55596076444083221E-03 , -1.69449664058371301E-03 )
( 6.28228129300742281E-03 , -1.35717271857553005E-03 )
