index: 0
( -3.21161999265945519E-01 , -1.13755764168159268E+00 )
( 3.54259369537431867E-01 , -2.69659616929593393E-01 )
( -8.27868055864404845E-02 , 1.24644203575603796E+00 )
( 3.52341786439080012E-02 , 8.47396639578626654E-01 )
( 1.18448035969762699E+00 , 6.28193749069520940E-02 )
( 1.08236849965841531E+00 , -9.42236841363170222E-03 )
( -2.46455316328235939E-02 , -1.45116609521408341E-01 )
( -1.03112250202297684E+00 , 3.54120276571608366E-04 )
( -4.40238636244690951E-01 , -7.49546375194553704E-03 )
( 8.48409982714043664E-01 , -2.46086724371377435E-01 )
( -1.55961466433146789E-01 , 1.92448480171046737E-01 )
( 9.15435951579760765E-01 , 4.59389253382320284E-01 )
index: 1
( 5.26384823046560202E-01 , -8.50506559763909986E-01 )
( 4.45120009596293942E-01 , -1.05229059424598659E+00 )
( -6.01128156815237125E-01 , -5.02144235983622123E-01 )
( 6.49886734930820303E-02 , -8.20720937270407291E-01 )
( -2.95784990330685449E-01 , -7.93620243917566248E-01 )
( -1.91880371461498306E-01 , 8.82935325682061012E-02 )
( -1.72354745448853519E+00 , 6.89966280000848364E-01 )
( -6.98088402805319030E-01 , 3.30630968802778924E-01 )
( -9.25128794615049488E-01 , -2.89971518105389681E-01 )
( 6.43443159621898686E-02 , -7.58463794420811466E-01 )
( -9.95171028023625781E-01 , 2.51501441089417133E-01 )
( -1.71504822776348792E-01 , -4.30421922698410231E-01 )
index: 2
( 2.73492554251987485E-01 , -7.12732573695987526E-01 )
( -4.19934039434669060E-01 , -7.39622517948981539E-02 )
( 1.91930647137264376E-01 , -6.13874877699851274E-01 )
( -8.46468973738019881E-01 , -1.16157478293079569E-01 )
( -1.12320221283198096E+00 , -7.94894667870556848E-01 )
( -1.07223580713272856E-01 , -2.73326322227835705E-01 )
( 1.19136728866922809E-01 , -5.94566671479599074E-01 )
( -5.48518249208727937E-01 , -3.48795798336276330E-01 )
( -5.57398083987478254E-01 , -1.21596588632462269E-01 )
( -3.79397117934306694E-01 , 3.83856267069852541E-01 )
( -3.27855350996523631E-01 , -8.54712430914216892E-01 )
( -1.16918692779017161E-01 , -9.53983841283211897E-01 )
index: 3
( 5.88649627223753025E-01 , -6.40034409373461122E-01 )
( 3.84312651846178910E-01 , -3.39913237769843390E-01 )
( 6.48171308412198277E-01 , -4.76623710963559211E-01 )
( -8.99182053127057013E-01 , 5.82001224595936062E-01 )
( -3.10534625696881283E-01 , 2.36185273076100738E-01 )
( -1.07732868886526045E+00 , 1.12921005930107055E+00 )
( -6.72579468382326073E-01 , -1.34344534209584632E+00 )
( -1.98178073039899733E-01 , 1.85913158796934208E-01 )
( 7.41160671682030925E-01 , -1.15568821643082309E+00 )
( -1.10928597387827121E+00 , 6.87254810641478975E-01 )
( -1.06958410542286741E+00 , -6.35254555715227598E-01 )
( -2.36741570061173523E-01 , 7.02071920589902532E-01 )
index: 4
( 8.58116684553296816E-01 , -1.07807452625176947E+00 )
( 9.00520951740229392E-01 , -1.89122105350151082E+00 )
( -1.87532151031470723E-01 , -7.91119256130639603E-01 )
( -4.41812433605899113E-01 , -5.60100761545571715E-02 )
( 6.31959376051306698E-01 , -6.57948351643318635E-02 )
( 8.05255204431373217E-01 , 6.65232366151264132E-01 )
( -5.49450879269024695E-01 , -7.94169508518749345E-01 )
( 2.53711139320230261E-01 , -7.53683864756960809E-01 )
( -1.38436715768958019E+00 , -3.35392363312242758E-01 )
( -1.39843407074939874E+00 , 1.32307246938926348E+00 )
