x=0,y=0,z=0,t=0
( -4.05480685554458209E-02 , -3.73522328559277791E-02 )
( -3.69005384766189909E-02 , -1.91882093809543075E-02 )
( -1.51423120422055288E-02 , -1.47945183102839384E-01 )
( -1.82200848571049435E-02 , 6.82552610844159857E-02 )
( -4.43018735708060329E-05 , -2.74546558585014311E-02 )
( 7.17993973822915466E-02 , 6.34569639734038488E-02 )
( 1.25732967871372663E-02 , -3.38501414070967455E-02 )
( 2.65347810961426636E-02 , -7.46704413696352293E-02 )
( -3.22460161037057200E-02 , 1.05665568268688573E-01 )
( -1.25832799762173708E-01 , -9.05187936269039456E-02 )
( 5.04862514745984120E-02 , 2.49326433850220741E-02 )
( 1.87447786815860468E-01 , 4.89101792254436618E-02 )
x=1,y=0,z=0,t=0
( 5.81398746653419007E-02 , -3.48193462942474885E-02 )
( -5.99003014073486301E-02 , 3.53521352718905862E-02 )
( -1.06866444758965701E-01 , 3.01965637477628820E-02 )
( -5.39735823869157694E-02 , -2.19347060197065818E-02 )
( -1.12393650847381094E-01 , -7.41374081839268895E-02 )
( 4.50116117352009418E-02 , 1.57443953654933244E-01 )
( -1.32993463265817180E-01 , 1.36169421202286589E-01 )
( -5.26544161993735410E-02 , -9.10599976803301986E-02 )
( -5.42453220354199087E-02 , -8.09498272746364822E-02 )
( 1.31781667488695881E-01 , -1.76327575743353837E-02 )
( 1.36866942112837259E-01 , -1.84504891673386955E-03 )
( -1.14999496073950186E-01 , -1.36469871486701422E-01 )
x=2,y=0,z=0,t=0
( 3.62593506309137822E-02 , -1.24667442149148947E-01 )
( 3.72928020220855971E-02 , 1.19633649649180010E-01 )
( 3.07209393287588908E-02 , 1.57342375409096208E-01 )
( -6.28632984153450550E-03 , -1.73984039659474760E-01 )
( 5.07322377036260250E-02 , -2.89084656450911831E-02 )
( 1.76922176039308598E-02 , -3.05902667659365031E-02 )
( -1.02206195051411340E-02 , -7.96344769674708214E-02 )
( -1.20018580218237414E-02 , 8.02736652323221694E-02 )
( 2.17010923804681170E-02 , -4.01599659845290197E-02 )
( 1.01297885581570657E-01 , 2.84483821435360523E-02 )
( 7.39971748058243228E-02 , -2.49683876417617079E-02 )
( 1.21391696428895163E-01 , 8.42388047376070870E-02 )
x=3,y=0,z=0,t=0
( -8.18278488725756037E-02 , -2.44510251373724896E-02 )
( 6.51106070230432349E-02 , -3.33612408687297413E-02 )
( 1.14865975855614366E-01 , 8.90287116423868485E-02 )
( 5.84259549220650654E-02 , -3.73988770674665780E-02 )
( -2.13100236500792378E-02 , -7.61187260424391332E-02 )
( 7.29659428816826355E-03 , 7.79843059991321697E-02 )
( -1.31868090854931730E-01 , -7.45148590008777589E-02 )
( 6.89679794602761909E-02 , -1.51280742911126059E-01 )
( 6.68537383865616675E-02 , -3.23392932966594035E-02 )
( 1.75965800589426291E-02 , -9.52368676082312321E-03 )
( 3.59481811515704672E-02 , -4.96724064926125641E-02 )
