index: 0
( -5.55076368692890043E-05 , 1.21037624102404820E-04 )
( -3.20092796693518568E-05 , 1.04723522649402754E-04 )
( 7.70970109164287960E-05 , 2.53147076086873517E-05 )
( 4.04413686258156576E-05 , 4.31671990398275023E-05 )
( -9.58954754756410535E-06 , 7.94045721671263552E-05 )
( 3.12776676292132310E-05 , -1.44607075308588121E-06 )
( -3.24363438444589538E-05 , 9.69464440595664784E-06 )
( -3.79743598839190515E-05 , -1.12690046057211220E-05 )
( -2.49244003682888495E-05 , 4.93466421141610891E-05 )
( 1.46016777195048152E-05 , 1.05311200273178929E-06 )
( 1.20701170854008101E-04 , 4.62958397101347418E-05 )
( -9.33571276251640117E-05 , 2.28149252240126546E-05 )
index: 1
( 5.15109859921292109E-05 , -2.80621908891414281E-05 )
( -8.89255868516012157E-07 , -1.09696717018303524E-04 )
( -3.57653465193993840E-05 , 8.77220111903141491E-05 )
( 1.36221936971673848E-05 , -1.13103194059248601E-04 )
( 9.08943981877469360E-05 , -2.47131551013281148E-05 )
( 1.10968576842287843E-04 , -9.93768607701046267E-05 )
( -5.89699820506278135E-05 , -1.43873363094886954E-05 )
( -6.98002140269767606E-06 , -1.55602134191152729E-04 )
( 1.26233520269643918E-04 , 2.55947348281205045E-05 )
( -7.90586197237824512E-05 , -1.58892195266253764E-05 )
( 2.16404172023524579E-05 , -1.50565622006890614E-05 )
( 5.34287362119811326E-05 , -1.83248658563915388E-06 )
index: 2
( 8.55807521954838279E-05 , -9.11172893949044994E-05 )
( -1.84676234350840185E-05 , 9.24336524112735655E-05 )
( -5.69349893319126787E-05 , 8.01007761732783685E-05 )
( 1.96368381764853306E-05 , 4.08356663454651858E-05 )
( 6.08767239129542273E-06 , -9.80052502062925550E-05 )
( -2.34627513971834333E-05 , -3.25803847854045582E-05 )
( -1.56196926661013134E-04 , 7.22818115085877802E-05 )
( 4.35907518044418153E-05 , 1.10761189225111917E-04 )
( 2.95610640035084567E-05 , 1.06121959155434611E-04 )
( -1.06110129000756175E-04 , 2.12483464639824430E-05 )
( -1.29812806122330654E-04 , 1.06663687770345401E-07 )
( -3.24133999961624160E-05 , -6.56684126980944981E-05 )
index: 3
( 9.88086552343054052E-05 , 3.70280041751388437E-05 )
( 9.28052884081316765E-05 , -4.23097567367429410E-05 )
( 6.30073057304635304E-05 , 3.42198491826400846E-05 )
( 2.72733870408074655E-05 , 1.64442382075032327E-05 )
( 3.11523656501180084E-05 , 1.21695538831882412E-04 )
( -6.99393797518799485E-05 , 4.17798804694133349E-05 )
( -9.21781329670546412E-06 , 9.67511651304544992E-05 )
( 1.51793230073283669E-04 , -1.03478680650531516E-04 )
( -1.10217184544479255E-05 , 1.08880546444934089E-04 )
( 4.37095906994094279E-05 , 1.31239888931402807E-04 )
( 6.83264595990542450E-05 , -3.19465771143239493E-05 )
( 3.71139915529702870E-05 , 1.03931787009402558E-05 )
index: 4
( 3.21216881154396148E-05 , -8.02285590561948025E-05 )
( -4.05767420943419424E-05 , -1.24035349851974933E-04 )
( -4.82619936505353581E-05 , 4.29516507642991878E-05 )
( -2.05201997688019611E-05 , -1.42625105407882886E-05 )
( 1.16091988929521318E-04 , -2.24925893544315469E-05 )
( -7.67746188145680762E-05 , 2.72023924738426656E-05 )
( -7.68348714091619545E-06 , -7.68564837853254708E-06 )
( -7.39589729811306138E-05 , 5.43247327065852210E-05 )
( 3.56141423909359510E-05 , -5.00849375699698594E-05 )
( 1.77282123489147145E-05 , 2.91849072566542948E-05 )
( 8.17437812693339424E-05 , -1.32769928261067407E-07 )
( -2.78723097805166700E-06 , -2.77397972504140254E-05 )
index: 5
( -1.26297967294221406E-04 , 7.12668638137487121E-05 )
( 4.28788205536696808E-05 , -5.89411124438457760E-05 )
( 9.37494660149501666E-05 , -8.63573207615567066E-05 )
( 3.28336546312760962E-05 , 2.08465266331725700E-05 )
( -7.58148409327500056E-05 , 8.83232134345525308E-05 )
( -6.83287689721570282E-05 , 7.83088417831953506E-05 )
( 1.51063355312461094E-04 , -4.33545485633885533E-05 )
( 3.89397223333268476E-05 , 8.47085940998246905E-05 )
( 4.95556488513268029E-05 , -8.05297131946024837E-05 )
( 4.32596458631052125E-05 , 4.89270210320889132E-05 )
( -8.40718541697421684E-05 , 5.20575378244454538E-05 )
( 3.48450041900498194E-05 , 5.56081397694632154E-05 )
index: 6
( -1.65157362511439647E-05 , -1.02874286296681577E-05 )
( -5.73005002563559831E-05 , -2.93125359994399548E-06 )
( -1.07204332986524299E-05 , -1.18731500804877046E-04 )
( -1.77094800172112206E-05 , -8.38526530463807077E-05 )
( 5.51613847485976828E-05 , 5.29621851303498984E-05 )
( 7.17873353433296115E-05 , 1.28392595318702470E-04 )
( -3.89835815496018123E-05 , -2.05338946955265902E-05 )
( 1.54417058001007950E-05 , 3.91943660140261056E-05 )
( 4.32688335269930459E-05 , -2.25453968299586791E-05 )
( 3.70237551547660990E-05 , 1.94196677569628716E-05 )
( -4.04018085366325859E-05 , 1.74652375754527286E-05 )
( 8.42721839257724891E-06 , -6.65317879765891742E-05 )
index: 7
( 2.10111195363077347E-05 , -2.50154534021471091E-05 )
( -1.03143191704000125E-04 , -1.34193631653348879E-05 )
( -1.97981275397715219E-05 , -1.50292687966220162E-05 )
( -2.40695112624793970E-05 , -1.61690156243019897E-05 )
( -7.07390208665074946E-06 , -8.21048347124369318E-05 )
( -1.50884235374286465E-05 , 1.00569983199961678E-04 )
( -8.07409529369218187E-06 , 3.59371998888124300E-05 )
( 1.20704462165857114E-04 , -5.26609274534970521E-05 )
( 3.54360426891894544E-05 , -4.74078154419336445E-05 )
( -1.12318303974146639E-05 , 4.52844340666497524E-05 )
( 7.78427196321592737E-05 , 5.27223311070065259E-05 )
( -9.04312675720161816E-05 , -3.05952233971653237E-05 )
index: 8
( 7.36967964085140273E-05 , -8.86311139214468328E-05 )
( -1.64187042931777171E-05 , -3.95786523991515943E-05 )
( 1.27387990037004223E-05 , -4.96085501147791185E-06 )
( 5.28517063145694330E-05 , 4.55913068341666199E-05 )
( 6.05605701215514662E-05 , -1.18115744005607079E-05 )
( 2.17963146808287640E-05 , 8.73833876780835374E-05 )
( -5.00807811069243822E-05 , -4.46976067974789857E-05 )
( -6.08611253048461692E-05 , 3.54238389830645499E-05 )
( -1.02832599165495045E-04 , 3.38010396989434298E-05 )
( -5.16101880771283704E-06 , -7.22815319798961998E-06 )
( -2.35387180172253346E-05 , -1.37185069113098533E-05 )
( -6.56478552904268375E-05 , 1.57057528132513929E-05 )
index: 9
( -2.35199115718465032E-05 , 9.55115956478143710E-05 )
( 6.90083462809677138E-05 , -5.78927958135632082E-05 )
( -4.61992539122411838E-05 , -1.91515163623976712E-05 )
( -7.54902356137981902E-05 , 9.26171016623089129E-05 )
( -5.27228237101300451E-06 , -1.22606089407696631E-05 )
( -2.60567406311231650E-05 , -2.05504583492667675E-06 )
( 7.42715559151759880E-05 , -9.38286405662235284E-06 )
( 4.15779804388572289E-06 , -4.23751465753748437E-05 )
( -5.42218472923713908E-05 , 4.69990288965018788E-07 )
( 3.85207217111067609E-05 , 1.47504195789911250E-05 )
( 8.09612116893444929E-05 , 1.61502063709297034E-06 )
( 9.55909343992328043E-06 , -4.26333695977028625E-05 )
index: 10
( -8.50248174375530761E-06 , 8.03216601139408910E-05 )
( 3.88895273158355076E-05 , -1.29900517494076690E-05 )
( 3.40198492119722276E-05 , -1.12205352654480956E-05 )
( 1.73300411525103156E-05 , 1.64199638823691094E-04 )
( 5.68701789476858821E-05 , 3.20536350398739167E-05 )
( -9.37264134375481571E-05 , -1.56565860111319193E-04 )
( -2.23313772659700172E-05 , -3.98317236760161106E-05 )
( 2.90219113391917391E-05 , 5.34997659571720551E-05 )
( -1.09619653814780401E-04 , 3.01003696986693991E-04 )
( 1.13097988703831390E-04 , 1.55223328856140386E-04 )
( 3.87299854626639605E-05 , -1.74139930929466199E-05 )
( 4.23981373312290808E-05 , -2.09981093549513169E-04 )
index: 11
( -5.77391514927388694E-06 , 2.32205318981735682E-06 )
( 6.94129494059708382E-05 , 1.78279681636313547E-05 )
( -8.03181793110628231E-05 , 1.08012485606928145E-05 )
( 8.15958754405359075E-05 , 5.79843851609133958E-05 )
( -2.62160634133003822E-05 , 7.00301049297688655E-07 )
( -1.27837526290544324E-04 , -2.98885228629987564E-05 )
( 6.61515171651147260E-05 , -4.53780504677127097E-05 )
( -3.09110878835116551E-05 , -2.45560998994034062E-05 )
