index: 0
( -3.20527193144763356E-01 , -1.13739580439935084E+00 )
( 3.54342983423594438E-01 , -2.69253506426531786E-01 )
( -8.24813990165448735E-02 , 1.24613059802134596E+00 )
( 3.50505289203252232E-02 , 8.47231718685379165E-01 )
( 1.18424433278079810E+00 , 6.26954402971355296E-02 )
( 1.08225339630450690E+00 , -9.12933381746491683E-03 )
( -2.46921777829723389E-02 , -1.44348764833777871E-01 )
( -1.03119875351244539E+00 , -1.55215004475221596E-04 )
( -4.40666643858743712E-01 , -8.04671668948989116E-03 )
( 8.49016173433548516E-01 , -2.45689707841928673E-01 )
( -1.56280810432063266E-01 , 1.92900877319292480E-01 )
( 9.15439953383901162E-01 , 4.59104126497162812E-01 )
index: 1
( 5.25845260683975302E-01 , -8.50338249591661821E-01 )
( 4.44956043050017791E-01 , -1.05284633133559158E+00 )
( -6.00870650706902820E-01 , -5.01611575365371931E-01 )
( 6.51472885062664431E-02 , -8.20450490348230366E-01 )
( -2.96122074888900244E-01 , -7.93024061976353778E-01 )
( -1.91518161680222260E-01 , 8.80238364476830792E-02 )
( -1.72325432115902211E+00 , 6.89550268764511087E-01 )
( -6.98433370764905637E-01 , 3.30865531760203613E-01 )
( -9.25413307826412623E-01 , -2.90461673572929069E-01 )
( 6.41114430973261928E-02 , -7.58455935151318705E-01 )
( -9.94974338831646987E-01 , 2.52298814374479485E-01 )
( -1.71332983477029077E-01 , -4.31086849214438406E-01 )
index: 2
( 2.73460719163994725E-01 , -7.11792941753756847E-01 )
( -4.20099194328061587E-01 , -7.35220626984868231E-02 )
( 1.91145263327012371E-01 , -6.14156489502710068E-01 )
( -8.46323574894078168E-01 , -1.15645089490820335E-01 )
( -1.12311425652186947E+00 , -7.94531308548883763E-01 )
( -1.07406272359641342E-01 , -2.73295579168446712E-01 )
( 1.19575918422913596E-01 , -5.94587597073564122E-01 )
( -5.48556428724517375E-01 , -3.48974432170211124E-01 )
( -5.57302700024633224E-01 , -1.21648628900040842E-01 )
( -3.79437080732884902E-01 , 3.83892820785631528E-01 )
( -3.28468911867980995E-01 , -8.55234936981898231E-01 )
( -1.16384124479209816E-01 , -9.53950767629999419E-01 )
index: 3
( 5.88864239418664281E-01 , -6.40106271643211655E-01 )
( 3.84338988911299528E-01 , -3.40337710252623216E-01 )
( 6.48459058955115908E-01 , -4.76982648781024754E-01 )
( -8.98888154049286126E-01 , 5.81808866539515801E-01 )
( -3.10572460166433695E-01 , 2.36089657685581183E-01 )
( -1.07775355549250129E+00 , 1.12888384565909972E+00 )
( -6.72364710181898140E-01 , -1.34298325864133616E+00 )
( -1.98691496191696959E-01 , 1.85792912048172026E-01 )
( 7.41091355259340112E-01 , -1.15559363510257507E+00 )
( -1.10915215251484245E+00 , 6.86942757892514466E-01 )
( -1.06939045769852403E+00 , -6.34962450904021702E-01 )
( -2.37029987602979997E-01 , 7.02538379068025853E-01 )
index: 4
( 8.58066572803868000E-01 , -1.07801934560881851E+00 )
( 9.00696020428789268E-01 , -1.89078933032086804E+00 )
( -1.87424982990084171E-01 , -7.91403758629572684E-01 )
( -4.42041838719822000E-01 , -5.61650189234948055E-02 )
( 6.31855896785952442E-01 , -6.55985190293455617E-02 )
( 8.05402961500554904E-01 , 6.64934140385278094E-01 )
( -5.49579104356513803E-01 , -7.94679275389870932E-01 )
( 2.54378050782776644E-01 , -7.53546636404342829E-01 )
( -1.38456854685655162E+00 , -3.35006631236500652E-01 )
( -1.39872960958871628E+00 , 1.32315605285067472E+00 )
( -3.34974880823770305E-01 , -4.97121574562334412E-01 )
( -3.29042126656090006E-01 , 1.04719752690517298E+00 )
index: 5
( 8.27141647892125409E-01 , 5.86414296024302284E-01 )
( 9.07949142216160410E-01 , 3.98652669105711122E-01 )
( -1.21537828452095131E+00 , -5.70822938909615885E-01 )
( 9.25080988987977970E-01 , 1.13060560672366095E+00 )
( -6.83031452798320449E-01 , 1.33738384322740433E+00 )
( -6.07798139433692208E-01 , -1.10515060939223544E-01 )
( 5.15527896664543683E-01 , -6.02464362678068535E-02 )
( -1.07426191524883463E+00 , 4.42291100026397266E-01 )
( 3.97740282401686962E-01 , 3.29201362531977071E-01 )
( -2.76700030764876648E-01 , 1.35893449476796579E+00 )
( 1.44085668648763043E+00 , 8.36290214563886414E-01 )
( -2.20922413585291411E+00 , -8.10360064957454829E-01 )
index: 6
( -1.79058033931105115E-01 , 4.70944346063018104E-01 )
( -7.73558443040927801E-01 , -2.02918634538695491E-01 )
( -1.28813905941077866E+00 , -1.05914266616170205E+00 )
( 4.38616886431534403E-01 , 5.68672581436489799E-01 )
( -1.35838271830384400E-02 , 1.09844031424099731E+00 )
( -1.16153701551344940E-01 , -5.59754399713771167E-01 )
( -2.88107125843308109E-01 , 7.57311634712989235E-01 )
( 2.01228955169011174E-02 , -9.26983869886189027E-02 )
( 6.43940530479411355E-01 , 7.02051996145126922E-01 )
( -6.74788692473330176E-01 , 1.46773579049298608E-01 )
( -8.05557040844299577E-01 , -1.06588711893615073E-01 )
( 4.36843950849578833E-01 , -1.19663862327165726E+00 )
index: 7
( 1.62452393041402299E-01 , 8.48574541252807513E-01 )
( 8.93787554618213020E-01 , -3.77756848170829995E-01 )
( 1.58780591503743707E+00 , -1.96361182168263237E+00 )
( -4.32504511235904499E-01 , -9.07734483457158306E-03 )
( 6.93072925165958753E-01 , 2.14003364386121914E-01 )
( -1.34203203897172485E+00 , -3.39073616369404307E-01 )
( 8.56933801264474160E-01 , -2.47654471769170853E-01 )
( -1.47065847404514560E+00 , -3.46090781965856131E-01 )
( 6.96943773963566326E-01 , -9.15619387040015470E-02 )
( -1.44162476586791777E+00 , -3.38921094058842021E-01 )
( 9.48903569850309880E-01 , 5.00661579824327130E-01 )
( 6.76856180534570528E-01 , -1.07886524531600331E-02 )
index: 8
( 7.17423247007670351E-01 , -8.32419294201522053E-01 )
( -5.42054583069753071E-01 , -1.79846966619731624E-01 )
( -2.66103607922292762E-01 , 6.24389907445431880E-01 )
( -1.66538748779822532E+00 , -6.52389287064635698E-02 )
( -3.07819946792727783E-01 , 1.03112078169432242E+00 )
( 3.87613950304290911E-01 , -1.51455801612749630E+00 )
( 9.10393225029485637E-02 , 8.56640950603106632E-01 )
( 1.52092473763098446E+00 , 7.29169210928415357E-01 )
( 1.49882704401730504E+00 , -7.72436093572512195E-01 )
( -3.82239277168237371E-02 , -4.30237734782666026E-01 )
( 8.47001005812083041E-01 , 3.26815212669349264E-01 )
( 5.58113519857555307E-01 , 4.90180956838517715E-02 )
index: 9
( 1.96988887919627126E-01 , -1.01039332823622474E+00 )
( -3.46462780551854588E-01 , -1.16469408890924789E-01 )
( -8.55096728246418913E-02 , 1.11853898003916785E+00 )
( -2.89714720407640347E-01 , -4.34988562507588050E-01 )
( -1.25932225137157405E+00 , -6.38113192380866279E-01 )
( 2.79302055726311282E-01 , -6.40306610325585224E-01 )
( -1.31250252961709890E+00 , -8.79568750257148313E-01 )
( -4.98666288860086682E-01 , -1.04912499079360710E+00 )
( -6.37040413774174641E-01 , -2.99189398953330410E-01 )
( -7.47580669817017207E-01 , 4.33946957869528860E-01 )
( -4.47340992507857749E-01 , 1.19819040413624700E+00 )
( 2.45828229965939671E-01 , 1.82265930457810565E+00 )
index: 10
( 3.69530446737305618E-01 , -4.29370898863950856E-01 )
( 5.11968863271370367E-01 , 8.87731416356160485E-01 )
( -1.94404637593378865E-01 , -1.35034765839807425E+00 )
( 3.07571896991614080E-01 , -3.15593599272347480E-01 )
( -2.06507586127217957E+00 , -1.45413134354438145E+00 )
( -1.12103369079072346E+00 , 3.52256648342926637E-01 )
( 8.77241993304670176E-02 , -6.97681243120016670E-01 )
( 1.67116473485148659E-01 , -6.93558895401611419E-01 )
( 5.05871968655471238E-01 , 1.20211753760427531E-01 )
( 5.12600947882413616E-01 , 9.44413830494102213E-01 )
( -2.61542537098811412E+00 , 7.10682831930711800E-01 )
( -1.46211923949236350E-01 , -5.06944843998657579E-01 )
index: 11
( 2.83005507834942105E-01 , -9.75153694702473706E-01 )
( -1.60512009713865389E+00 , -9.69882251911695970E-01 )
( 8.24365623861745056E-01 , -3.72579212831180395E-01 )
( 7.98020246335555683E-01 , 6.09584020860604481E-01 )
( -8.03360653454535528E-02 , -4.03753254748818957E-01 )
( -4.45365412725787779E-01 , -5.92398037341676065E-01 )
( -5.22951382730227968E-02 , -8.29944604473675240E-01 )
( -1.60983771655496849E-01 , -6.40131922744026222E-02 )
( 2.51131911909806826E-01 , 4.30309428360454882E-01 )
( 2.64139664217888981E-01 , 1.12003519813883301E+00 )
( 8.60639261597071381E-01 , -2.37191616299309460E-01 )
( 7.51020925065882472E-01 , 1.72964189700709814E+00 )
index: 12
( -1.69146954109788000E-01 , -2.09196495195590165E-01 )
( -1.46009649779450714E-02 , -8.68026046041886490E-01 )
( 6.89121269453371321E-02 , 4.81389636411478583E-01 )
( 2.22530740321368908E-01 , 2.86628621905815562E-01 )
( 8.34966474503618605E-01 , -2.65671905421419385E-01 )
( -3.66866987118442345E-01 , 1.29778631578037013E-01 )
( -1.88064156096975493E-01 , 1.03191639233535892E+00 )
( -2.81736517087719829E+00 , -7.96673322337682843E-01 )
( -2.04145979776410580E-02 , -8.54917712732415902E-01 )
( 8.17431955119903852E-02 , -1.29741579546084185E+00 )
( -4.20755329529275135E-01 , 3.81696713446232461E-01 )
( 1.48609523888284578E-01 , -9.35632412865597840E-01 )
index: 13
( 9.53630708540511352E-01 , -5.43571918965047723E-02 )
( 3.27971959675782188E-01 , -1.38525633166054707E+00 )
( -4.98897849096462342E-01 , 4.24662212522418148E-01 )
( 6.01194954509055801E-01 , 1.52976819052932234E+00 )
( 1.16867449767072018E+00 , 1.43640212342489337E+00 )
( -1.65623099776503402E+00 , 4.04684969041540277E-01 )
( -1.57043106563724932E+00 , 2.59886627546217608E-01 )
( -1.33758467742724735E-01 , 2.54616344048456067E-01 )
( 6.59343719800147721E-01 , -2.07303940659127967E-01 )
( 1.40863438288183396E+00 , -1.16747265384264207E-01 )
( -6.92090690437713096E-01 , -3.95484455246016608E-01 )
( -1.36740143214604548E+00 , 3.70789352323614763E-01 )
index: 14
( -4.81731626203989877E-02 , 5.11264650206660010E-01 )
( 1.64757659606355644E+00 , 4.59711599564663342E-01 )
( -3.93358807123795229E-01 , -5.82207894288212735E-01 )
( 4.97959243222932113E-02 , -2.95457653993093594E-01 )
( 5.27118178426111306E-01 , 3.24475949425937049E-01 )
( -1.29413245277106737E+00 , 1.62236925908937479E+00 )
( -9.30401102644313888E-02 , -1.31753030558169587E-01 )
( -2.84037432877981444E-01 , 5.51772054434519710E-01 )
( 3.71614064341204697E-01 , -5.61816719937728637E-01 )
( -1.50151081962535793E-01 , 5.83352639446332977E-01 )
( 1.23987118211273595E+00 , -3.94542540533612211E-03 )
( -3.70673996282574358E-01 , 5.29552559665669512E-02 )
index: 15
( 2.22198380455849359E-01 , 5.82978774845248959E-01 )
( 4.30246560410541101E-01 , -6.15722383678821372E-01 )
( -1.85479241334008527E+00 , -6.81379348358783110E-01 )
( -1.60150693647925502E-01 , -6.43736161533402629E-01 )
( 1.63790832699461775E+00 , 7.84289735406836330E-01 )
( -1.06232156623619556E+00 , 6.85657802381874903E-01 )
( 1.54438167451905056E-01 , -8.99164902423195911E-01 )
( -6.45079385988733933E-01 , -1.71792975703146861E-01 )
( 1.38911178808472813E-01 , 4.51729843206154780E-01 )
( 9.64874283637051855E-01 , 1.68746610603262959E-01 )
( -6.07820475745430189E-01 , 1.10212772486891297E+00 )
( 3.96669505570513892E-01 , -3.87529216727527825E-01 )
index: 16
( 9.60707748902722009E-02 , 1.21831407343271469E+00 )
( -7.42694597673758894E-01 , 1.80139916238473718E+00 )
( -1.22196009014941565E+00 , 4.71697188209276475E-01 )
( -2.44122991112478760E-01 , 7.55451962254360676E-02 )
( -5.71916412246168848E-01 , 1.07128970059302620E+00 )
( -1.19525301700553199E-01 , -1.39525563812504305E-01 )
( 1.95140995403910250E-01 , 1.85871923181902099E-01 )
( -3.05915796376724114E-01 , -1.27794926304330259E-01 )
( -6.19835552198900186E-01 , -5.47874143895866750E-01 )
