index: 0
( -3.20255048700539946E-01 , -1.13725719506458756E+00 )
( 3.54270612482123826E-01 , -2.69237007920970273E-01 )
( -8.25392380023179661E-02 , 1.24601594124542814E+00 )
( 3.52210130506816418E-02 , 8.47270441725572865E-01 )
( 1.18389896717877652E+00 , 6.24919829622472139E-02 )
( 1.08230345746970191E+00 , -9.06468147425541944E-03 )
( -2.47355063239969655E-02 , -1.43987984246961853E-01 )
( -1.03136470687859605E+00 , -3.07632383398219543E-04 )
( -4.40797571431140400E-01 , -7.97215564521600029E-03 )
( 8.49308547693004567E-01 , -2.45327601745966656E-01 )
( -1.56368156884752280E-01 , 1.92788456554926158E-01 )
( 9.15231788760449971E-01 , 4.59139130131150819E-01 )
index: 1
( 5.25730129373539024E-01 , -8.50398259408777002E-01 )
( 4.45070295045032427E-01 , -1.05312634125692806E+00 )
( -6.00770003328312097E-01 , -5.01393143195306368E-01 )
( 6.52248406033510558E-02 , -8.20460364754499460E-01 )
( -2.96181688757465977E-01 , -7.92723195117436830E-01 )
( -1.91413380586409443E-01 , 8.77453047541767728E-02 )
( -1.72322169072678877E+00 , 6.89563847392216100E-01 )
( -6.98463891180646557E-01 , 3.30818094532323304E-01 )
( -9.25146081182629421E-01 , -2.90535434046981567E-01 )
( 6.40973718159278949E-02 , -7.58461945703365337E-01 )
( -9.94841313664906801E-01 , 2.52422858459709631E-01 )
( -1.71215630671645608E-01 , -4.31127376445283594E-01 )
index: 2
( 2.73617482861845562E-01 , -7.11604517663115166E-01 )
( -4.20273447417070012E-01 , -7.34793245980896598E-02 )
( 1.90904652701424038E-01 , -6.14166339316416732E-01 )
( -8.46250409294136863E-01 , -1.15670603094057009E-01 )
( -1.12295513888587095E+00 , -7.94378973703586899E-01 )
( -1.07264654593883541E-01 , -2.73299176381037290E-01 )
( 1.19479526009359988E-01 , -5.94704596345916658E-01 )
( -5.48597264274180985E-01 , -3.48898092699883866E-01 )
( -5.57263074243804502E-01 , -1.21316508403043671E-01 )
( -3.79630584274772753E-01 , 3.83898632030529430E-01 )
( -3.28611254397600472E-01 , -8.55254853783556923E-01 )
( -1.16261791959105881E-01 , -9.53996267016927635E-01 )
index: 3
( 5.88928589915526435E-01 , -6.40074900482537346E-01 )
( 3.84426917539131219E-01 , -3.40372824240977645E-01 )
( 6.48426551179057897E-01 , -4.77159448219690085E-01 )
( -8.98821108919560241E-01 , 5.81775977246030584E-01 )
( -3.10651832219704715E-01 , 2.36137343612287082E-01 )
( -1.07788823857531013E+00 , 1.12915371452038849E+00 )
( -6.72472366789691578E-01 , -1.34273206601996931E+00 )
( -1.98573864621008817E-01 , 1.85777936193628507E-01 )
( 7.41132269772012631E-01 , -1.15541490155888504E+00 )
( -1.10909755776062502E+00 , 6.86922645919391339E-01 )
( -1.06915690660717533E+00 , -6.35207133677439306E-01 )
( -2.37010809761062036E-01 , 7.02680879323228980E-01 )
index: 4
( 8.58039230397901420E-01 , -1.07832593573384594E+00 )
( 9.00631053252803682E-01 , -1.89100206378429592E+00 )
( -1.87332825198266523E-01 , -7.91383370320971169E-01 )
( -4.42060399868225096E-01 , -5.63099765622011167E-02 )
( 6.32059624941217035E-01 , -6.56239207670210045E-02 )
( 8.05428607794541063E-01 , 6.65008842582458848E-01 )
( -5.49593691324218092E-01 , -7.94750273014495301E-01 )
( 2.54460159789888007E-01 , -7.53474548215680384E-01 )
( -1.38442378473580630E+00 , -3.35005185840716646E-01 )
( -1.39874219681050493E+00 , 1.32324623351733139E+00 )
( -3.34933393679584690E-01 , -4.97064931626307716E-01 )
( -3.29069210032045756E-01 , 1.04710771715365047E+00 )
index: 5
( 8.27167645059553425E-01 , 5.86464638587465226E-01 )
( 9.07930293794618648E-01 , 3.98549184141547830E-01 )
( -1.21536219576268634E+00 , -5.71168878290907345E-01 )
( 9.24989037783004564E-01 , 1.13046655247642858E+00 )
( -6.82959983171205209E-01 , 1.33727438789586328E+00 )
( -6.07893228422742737E-01 , -1.10290039500659603E-01 )
( 5.15677137565315746E-01 , -6.03718266429556852E-02 )
