index: 0
( -2.17335980947195306E-02 , 7.82088593564149968E-03 )
( -1.37628910512076711E-02 , -1.05124782928027460E-02 )
( 1.58423603454744405E-02 , -6.68389253130475224E-03 )
( -1.27807874248616095E-02 , 1.46455456097684712E-02 )
( 2.90070960888575181E-02 , 1.11450288508553215E-02 )
( 1.11840614900698410E-02 , -2.18241987907202284E-02 )
( -1.35258498444201219E-02 , -5.81749478795462981E-03 )
( -3.42473984729975769E-03 , -5.74079350422901369E-03 )
( 2.18091123468118556E-02 , -2.50157841322735941E-02 )
( -2.50606318963294654E-02 , -8.56430215152308508E-03 )
( -1.96819030480632935E-02 , -2.39229055562501132E-02 )
( 8.92729781259368055E-04 , -1.04896105739244808E-02 )
index: 1
( -6.98378693433873016E-03 , 3.01105411243186433E-02 )
( -1.35676331392982630E-02 , 1.69826443832693519E-02 )
( -1.43469773533793019E-02 , -4.82506168205070526E-03 )
( 1.32878341815471004E-02 , -2.60857893527269950E-02 )
( 4.77719777210837155E-03 , -9.15068659071064348E-03 )
( -1.54871338572843131E-02 , -1.11142302798349305E-02 )
( 3.76613987305176104E-03 , 6.35253742004724190E-03 )
( 1.12751565036939370E-02 , -2.23978575873718042E-02 )
( 2.79444855725473409E-02 , -1.55113324272655624E-02 )
( 1.49268503424072729E-02 , 1.34084962666903597E-02 )
( 3.15962208886096246E-02 , -4.48167731348542153E-02 )
( -1.06738394930067336E-02 , -2.76840908449689782E-02 )
index: 2
( -8.08289683666500725E-03 , -9.85260253278335239E-03 )
( 1.33593167663136163E-02 , 8.66159215018629837E-03 )
( 2.37787850210685811E-02 , 4.67771267259886186E-02 )
( 2.49274567934475201E-02 , -1.45806334437608882E-02 )
( 8.49881884797397055E-04 , -4.52917011107988737E-02 )
( 1.13007950685130500E-02 , -1.57482062284587457E-02 )
( 1.11202689806282513E-02 , 1.59035167022965711E-02 )
( -2.07950721522176807E-02 , 6.75618693899836947E-03 )
( -3.99885251499725383E-03 , -1.48289421008181051E-02 )
( 1.88946985110964756E-02 , -7.31349964649487955E-04 )
( -5.17443503471626785E-03 , 1.27560122171336675E-02 )
( -4.40238958957833715E-02 , -1.97584737401729008E-02 )
index: 3
( -1.94241526588941060E-03 , -1.03282530859596256E-02 )
( 5.80487022781639959E-03 , 2.03125989419433405E-02 )
( -2.26663155285253661E-03 , 2.73008189812217576E-02 )
( -2.26494534008876147E-02 , -6.32400388717665150E-03 )
( -4.09047425190810082E-02 , 1.10361607038836698E-03 )
( 4.07177344010237890E-03 , -1.64170666891455680E-02 )
( -2.56389273396617733E-02 , -2.35674829232727888E-02 )
( 4.89094741068976484E-03 , -2.12264727846290628E-02 )
( 5.79157724772306516E-03 , -7.90353270681809494E-03 )
( -3.33340885708332674E-02 , 2.14710009606570440E-02 )
( -5.85716075875259735E-03 , 2.47704337324774759E-02 )
( -6.73663635309106577E-03 , -2.15739865049614579E-02 )
index: 4
( -4.12921352889813065E-03 , 2.19097426983251645E-02 )
( 2.16981879108783283E-03 , 1.02463375715544647E-03 )
( -1.63764169606191723E-02 , 4.99914839888476042E-03 )
( -2.06534977441149639E-02 , -1.10471582605937372E-02 )
( -1.53821917350188599E-02 , -5.10254677596197383E-03 )
( 3.50192176857691377E-03 , 6.98725355004591216E-03 )
( 2.70790940564913304E-02 , -8.39405073224182979E-03 )
( 1.74793129978501049E-02 , 5.53010458288484899E-03 )
( -3.35276036396420576E-03 , -2.31082133154415781E-03 )
( -2.73941494951865155E-03 , -2.52122062739684669E-02 )
( -1.00635265969851034E-02 , 2.61060577241048822E-04 )
( 6.02982443082836998E-03 , -1.93618625377791828E-02 )
index: 5
( -1.08856718121785427E-02 , -3.86911414346897409E-02 )
( 7.51160260510111942E-03 , 2.31064885952597041E-02 )
( 7.69954775100371511E-03 , 7.67512724432006452E-03 )
( 3.27991704407841478E-03 , -1.81118226323395484E-02 )
( 1.86390154820673011E-02 , 1.27756156689688115E-02 )
( 3.43859916137162075E-02 , -1.37740057633534661E-03 )
( 3.29512648106374678E-02 , -1.56320937987820610E-02 )
( -2.81069080381109310E-02 , 1.81445195529711129E-03 )
( -1.25746029428971812E-02 , -3.02356541672281938E-02 )
( 1.52254137095310244E-02 , 7.02788336908197718E-03 )
( 1.57898144500393418E-02 , -9.43636647211785681E-03 )
( -1.91162158727312169E-03 , -4.30052097942040315E-02 )
index: 6
( -1.59152444903865667E-02 , 8.11126354330164549E-03 )
( -1.76929501706816691E-02 , -1.64072465072308722E-02 )
( -1.78869133843836264E-02 , 6.61466742569752873E-03 )
( 4.42621778759439994E-03 , -1.53330603631564102E-02 )
( -2.91638605857013830E-02 , 7.90408663078201977E-03 )
( 1.38295866681567431E-02 , 1.71729298565883245E-02 )
( 2.04142390485142662E-02 , 2.78458558425631955E-02 )
( -2.77578687794712634E-02 , -1.11437462338953644E-02 )
( -2.27734830444921259E-02 , -8.37224836544527874E-03 )
( -1.21253791592354186E-02 , -1.47158593690020108E-02 )
( 1.47709078959249417E-02 , -1.13166625233456809E-02 )
( 1.62079033785840800E-02 , 1.07525355162302015E-02 )
index: 7
( -4.23550952881241068E-03 , -1.99796629270890562E-03 )
( -2.38559193708159263E-02 , -5.64633672209457760E-02 )
( 3.88209253048789268E-02 , -3.64583044923272662E-02 )
( 1.03411060393201505E-02 , 5.11402687396934549E-03 )
( 1.65953614619973183E-02 , -2.13073322158794445E-02 )
( -1.42953174063074478E-02 , 1.13522815374819258E-02 )
( -3.70756325811514437E-02 , 5.78028318710437951E-03 )
( 8.02274797489983121E-03 , -5.00534292593231983E-02 )
( -2.59788284192068973E-02 , -2.75502299172483249E-02 )
( -3.20763466486530952E-03 , 1.45889430226515456E-02 )
( 1.83767069245588874E-02 , -1.02189957413944231E-02 )
( 3.21034221840557493E-02 , 1.67632437039875841E-02 )
index: 8
( 5.66900417921898606E-03 , 1.35875905542785190E-02 )
( -8.92099386909737425E-03 , 5.02475689012167256E-04 )
( -1.53424948550968145E-02 , -2.46031176773633294E-02 )
( -1.59029721475864860E-02 , -3.11307640727623083E-02 )
( -2.49776843533790448E-02 , 2.78316303657790767E-02 )
