index: 0
( -9.37835708336746436E-11 , -3.13224417259792790E-09 )
( 1.22233711732049681E-09 , -5.93248496547136914E-09 )
( -4.59939487064668997E-09 , 1.85863965230373031E-10 )
( 9.23815767309154167E-10 , 2.45414362409052141E-10 )
( 2.71513497679270661E-10 , 9.34537285296830003E-10 )
( 3.86239651523211567E-09 , -1.86363874891868996E-10 )
( 2.69672400318020568E-09 , -3.57022782454894267E-09 )
( -9.84964663612497660E-11 , 1.46760032441561828E-09 )
( -4.51723560417758123E-09 , 2.84871919315845679E-09 )
( -4.06219087028723470E-09 , 5.04967895997952459E-10 )
( 1.88926112679351006E-09 , 3.10428572711766283E-10 )
( -5.16604275963374755E-09 , 5.23028643951212805E-09 )
index: 1
( 2.07728411105206165E-09 , 4.42350312457786785E-09 )
( 5.43414365819724359E-09 , 8.31199079499258503E-09 )
( -1.33293782054340034E-09 , -2.53200932645958420E-09 )
( 2.67235539030818268E-09 , -4.36588490045962842E-09 )
( -7.01963285070455663E-09 , 5.11867985385934919E-09 )
( 4.99599942795759993E-09 , 6.80341237334406063E-09 )
( 1.24222618137883243E-09 , 3.78239959181537826E-09 )
( 2.01815793807223936E-09 , 2.52778483134093416E-09 )
( 3.03902632560572127E-09 , 5.41282261690367418E-10 )
( 4.16232509706480556E-09 , 1.11611288814852891E-09 )
( 3.30113911115793809E-10 , -6.84839615562549535E-10 )
( -2.55547650931745969E-09 , 3.32019405141876771E-09 )
index: 2
( -6.11707804381900985E-09 , 4.04420316108205809E-10 )
( 4.51958733020758139E-09 , -1.17826632800870029E-10 )
( 3.19935584030170883E-09 , 3.94066601624937063E-09 )
( 4.12583046993626680E-09 , 2.40807485303186038E-09 )
( 1.24918694727362817E-10 , 6.51631882708492996E-09 )
( 6.89490881138000713E-10 , -5.11327345945238097E-09 )
( 6.00386405973866539E-09 , -1.01296370682955358E-09 )
( 9.73228966214548673E-10 , 7.46892349516588802E-09 )
( -2.87376222971146701E-09 , 3.25230140031906244E-10 )
( 5.46100184304532332E-09 , -5.96745350007370384E-09 )
( 1.76926464519284233E-09 , 5.24597138801668685E-09 )
( -6.23644170111526751E-09 , 3.22336931785083513E-09 )
index: 3
( 1.04971269842760919E-09 , 1.17521036534353389E-09 )
( 4.21573332130318437E-09 , -9.92053578358052528E-09 )
( -3.31367744617154342E-10 , -3.56563664975960836E-09 )
( 2.20633661456500181E-09 , 4.12917535180545752E-10 )
( 1.36258917514518146E-09 , -3.90182200148169502E-09 )
( 2.72282280594816560E-09 , -3.79389538269319336E-09 )
( -5.66905683278429533E-09 , 5.02660160754786312E-09 )
( -1.83582293664485187E-09 , 1.19503328970947983E-09 )
( -1.43289277300962566E-09 , -3.36760828923014605E-09 )
( -1.75668288021822264E-09 , -2.02528544474806148E-09 )
( -1.00421828601608197E-10 , 1.03595198123322750E-09 )
( 6.75672331253813575E-09 , 2.91360338620046161E-09 )
index: 4
( 5.53361870503471520E-09 , 1.36744532319999256E-09 )
( -9.13559748377317952E-10 , -3.75705108167191505E-09 )
( -1.59925652512583283E-09 , -2.02101862016813704E-09 )
( 9.27024828446409204E-10 , 1.37728783278064513E-09 )
( 8.77757259713999896E-10 , 2.14354295412204606E-09 )
( -7.92810082324848518E-10 , -4.08182920787531479E-10 )
( 4.82174895124876841E-09 , -2.98006812006402701E-09 )
( 1.62199443116418060E-09 , -2.90773120457362948E-09 )
( 1.24439102842277411E-09 , 5.32101761830129160E-09 )
( -1.72793910879360019E-11 , -3.18552984026947184E-09 )
( 8.22118353020169532E-11 , 5.94850957160688283E-10 )
( -2.33686838416185982E-09 , 3.96375414950806428E-09 )
index: 5
( -1.62242233485365482E-10 , 1.27453769711290610E-09 )
( -4.92242820299038548E-09 , 4.85689417044929383E-09 )
( -4.91365414223344899E-09 , -5.42716958098739575E-09 )
( -2.58007635273141420E-09 , -3.95442104481433485E-09 )
( -5.53587333014719553E-10 , 1.74345018064281569E-09 )
( -7.12481538524623950E-10 , 1.05638191647655645E-10 )
( 2.13511922548513866E-09 , -2.11833524114403653E-10 )
( 4.56291085445030343E-09 , 2.07506791873457681E-09 )
( 3.93616591168517230E-09 , 1.33948588373168900E-09 )
( 3.11998624763089252E-10 , -2.97771817874461041E-09 )
( -1.25587416883881036E-09 , -7.07091231698981110E-09 )
( 5.77108661303850753E-09 , -3.16810330030402493E-10 )
index: 6
( 2.83037773373317976E-09 , -1.88281710963574364E-09 )
( 5.01353990001454681E-09 , 4.14294304799399138E-09 )
( -1.16198138834893275E-09 , -2.07889014758192286E-09 )
( -3.28143171039094652E-09 , -3.10331758044545864E-09 )
( 2.80351628172902237E-09 , 1.30979716446177658E-09 )
( -3.33873493917483460E-09 , -5.41737442555507835E-09 )
( -1.75843771030235014E-09 , 2.94266245335941643E-09 )
( 2.39355006230623262E-09 , 6.36183006436911382E-09 )
( 1.90031488848843341E-09 , -1.75040006706945333E-09 )
( -1.99395742358572590E-09 , -6.98061919302811067E-10 )
( 2.77684600393526332E-09 , -6.62115641624912975E-09 )
( -1.59491462178426429E-09 , -3.77728357040206560E-09 )
index: 7
( 6.23657883107968819E-09 , -4.62494523317885953E-09 )
( 8.50529945163791503E-10 , -3.82672023755438389E-09 )
( 1.06817317522981272E-09 , 1.01940539302336213E-09 )
( -1.42853023084732517E-09 , 4.42353541512468937E-09 )
( -4.26456166020925225E-09 , -4.18302601150226844E-10 )
( -3.98772676356369786E-09 , 2.45160771997605990E-09 )
( 6.35140559738083964E-09 , -1.28109090577298660E-09 )
( 5.11668130356573714E-09 , 1.27245186670590163E-09 )
( 3.26373047347283352E-09 , 2.72775335410196265E-09 )
( -7.52411454225941690E-09 , 4.81188465715428095E-09 )
( 5.42618469167965763E-09 , -8.82320306453879945E-09 )
( -2.28277753427121886E-09 , -3.00017754989489917E-09 )
index: 8
( -7.68952374374950658E-09 , -2.49053614889173843E-09 )
( -1.09251052065475877E-09 , 6.45834201185594174E-10 )
( -4.99389676184829944E-09 , 5.11438616917091176E-09 )
( -2.71142432836708114E-09 , 2.77248638945065370E-09 )
( -3.36000133781940482E-09 , 6.70609147732301806E-09 )
( -1.71321386973548170E-09 , -1.92869170246417809E-09 )
( -2.27657946464792050E-09 , 5.77147712592914171E-09 )
( -4.02146166228065921E-10 , 1.66812553163164380E-09 )
( -2.52346153497588500E-09 , 5.29542724675980712E-09 )
( 4.42982188842577133E-09 , -3.24218434486592921E-09 )
( 9.55398288890639400E-10 , -3.42898239712983612E-09 )
( 1.53365602291546022E-09 , -1.09218680341312892E-09 )
index: 9
( -9.88183944383222175E-10 , -3.38087961306968517E-09 )
( 8.40397218302113913E-10 , 2.59553144975865401E-09 )
( 7.41472661725789289E-10 , 1.54601856984834578E-09 )
( 4.34292533482502650E-09 , -8.07176263742442512E-09 )
( 1.79813779461857788E-09 , -3.28494078879916002E-09 )
( 9.82500434240997726E-10 , 3.62825315144497610E-09 )
( 3.66499992956932093E-09 , 7.59148930728976282E-10 )
( 1.44714847024175793E-09 , 5.01653644004065923E-09 )
( -4.04529323401038452E-09 , 1.05118887169855635E-09 )
( 1.61719547725327676E-09 , 5.25712013637660971E-09 )
( 3.73718237896286892E-09 , -2.67160008921369653E-09 )
( 2.72866153868452082E-09 , -7.94597438007438430E-09 )
index: 10
( 3.72468431939614762E-09 , -1.70771806855383378E-10 )
( 1.00239363233552888E-09 , 2.49740165156904353E-09 )
( -9.60484227040603367E-10 , -4.00121052795454712E-09 )
( 7.35291967674523464E-09 , 3.81304997294173286E-09 )
( -5.39685061184568030E-09 , -1.90082051216037124E-09 )
( -1.58776818577454635E-10 , -8.80653647033970391E-11 )
( 3.23838230108963142E-09 , 4.09932937636116742E-09 )
( -9.07387390657393274E-10 , 2.26197787445313665E-10 )
( 2.01444685797047833E-09 , -6.53176439141778892E-11 )
( 2.02776994029333278E-10 , 3.19848183698622434E-09 )
