x=0,y=0,z=0,t=0
( 4.39210838810390801E-08 , 1.49362133627284765E-08 )
( -3.36110880604503631E-08 , 1.16767496132855531E-07 )
( 3.83896179063910462E-08 , -5.70437804357570928E-08 )
( -1.56913658390572902E-08 , 7.67593367516194045E-08 )
( -1.25877916501063634E-07 , 1.25841904147480287E-07 )
( 7.70803079541350369E-08 , 1.39526232159770315E-08 )
( -1.32930954752828464E-07 , -3.78470916457717984E-08 )
( -7.92162132712717952E-09 , 7.86740204841853541E-08 )
( 1.08020916330657103E-08 , 3.48331170506878537E-08 )
( 4.16801146684846719E-09 , 2.86017351864249490E-08 )
( 3.03131645853234976E-08 , -3.62764996562536423E-08 )
( -3.91831947533181516E-08 , 3.22469539916111472E-08 )
x=1,y=0,z=0,t=0
( 1.30875719331986914E-07 , -7.40230671769026511E-08 )
( 5.19923729887333465E-08 , -3.25299924566665621E-08 )
( 3.25058786106074972E-08 , -3.67548569902090515E-09 )
( -1.11246646860824936E-07 , -3.75625625015925987E-08 )
( -2.48969302608976145E-08 , -1.27897119042722044E-07 )
( 2.57253554741230868E-08 , -1.38196510467432272E-08 )
( -4.47448591954861311E-08 , 7.26623563942494604E-08 )
( 1.18431734610034895E-08 , -1.11650203749045971E-07 )
( 3.94462484451163706E-08 , 2.45068864639008232E-08 )
( 1.18031579259375626E-07 , 3.96172706748263746E-08 )
( 1.06544546563206791E-07 , 5.82099540215531322E-08 )
( 3.29628173024921149E-09 , 6.88405974545118259E-08 )
x=2,y=0,z=0,t=0
( -3.01565549678323327E-08 , -5.16172908645688302E-08 )
( 2.47232084904982783E-09 , 1.80568597203414606E-08 )
( -4.40349972579562270E-09 , -6.45854313660352634E-08 )
( 5.47355881900711566E-09 , -1.48860516907861162E-08 )
( -7.65641611078432868E-09 , 4.07851744409244699E-09 )
( -9.93112561048599828E-10 , -7.67763810657126616E-08 )
( 2.19500454677505384E-08 , -2.67411964235594711E-08 )
( 2.17759652847684746E-08 , -2.98236881500955380E-08 )
( 5.51759508270687789E-09 , -3.18545251261457586E-08 )
( 4.89762789361414988E-08 , -9.93459774066837296E-09 )
( -7.73317622813217316E-09 , -4.15678035431265971E-08 )
( 2.09216134786883479E-08 , -1.76139807520863326E-08 )
x=3,y=0,z=0,t=0
( 7.07786168691705484E-08 , 6.23416558274396980E-09 )
( 6.44306368396783516E-08 , 2.83029149097189484E-08 )
( -3.04486836707829918E-08 , 3.01713943955503698E-08 )
( -2.08472617467300603E-08 , -4.32609783308503204E-08 )
( 2.11374003106489507E-09 , -2.09855662843069404E-08 )
( -3.87349790805083234E-09 , 1.63583895868545765E-08 )
( -4.02718304663629176E-08 , 5.63928657961381826E-09 )
( -3.78994934992986345E-08 , -1.31672512459967349E-08 )
( 2.49620941537585547E-08 , -1.40974461002275131E-08 )
( 2.01508244061723736E-09 , -1.83810886333370159E-08 )
( 2.63419063177497013E-08 , 2.30754449841242759E-08 )
( 1.11421862405910542E-08 , 2.65919897064814523E-08 )
x=0,y=1,z=0,t=0
( 2.69911169022610742E-09 , -2.15225434079470321E-09 )
( 3.60309103607798580E-08 , 1.31569759448014790E-08 )
( -4.93880680331606124E-08 , -2.03959545704028208E-08 )
( -3.45529130473413932E-08 , -1.99598371665069168E-08 )
( 3.22574556601891440E-09 , -1.33514473573486405E-08 )
( 1.02907042458451715E-07 , -7.34513114804831752E-08 )
( 1.95328691845501339E-08 , -9.19185443845256323E-09 )
( -6.95434676941100716E-08 , 2.38946806941947727E-08 )
( 5.93631219635111634E-08 , 1.55375636092362852E-08 )
( -1.56675405820867959E-08 , 1.77070779586492340E-08 )
( 8.95372582514556328E-09 , -2.60631359547739796E-08 )
( 4.25093158555490875E-08 , -1.88435530296699160E-08 )
x=1,y=1,z=0,t=0
( 8.36122805629226296E-08 , -2.51633013887402241E-08 )
( 2.17364675124755962E-08 , 3.04204945735341306E-08 )
( -4.40680770762154648E-08 , 1.56374153532933259E-08 )
( -4.56461821797290812E-09 , -4.73089545884557672E-08 )
( -2.44796183518815693E-08 , 3.49687407683738714E-08 )
( -2.10415324579426426E-08 , 4.18603137702335315E-09 )
( 9.68894048758726304E-08 , 2.55564757109836831E-08 )
( 2.39572775132839497E-08 , -3.92288224387537059E-08 )
( 2.61344523830044291E-08 , -3.59672969000706254E-08 )
( -7.76481220876493951E-08 , -4.56242427756169689E-08 )
( 4.65535365512419867E-08 , -6.29818834451098980E-08 )
( -4.62802403558721299E-08 , -4.46258846623413122E-08 )
x=2,y=1,z=0,t=0
( -9.05904067530721081E-08 , -5.12654725898225563E-09 )
( -1.11568683969221119E-08 , 2.01134872134617616E-08 )
( -7.93400616920174515E-09 , 9.52425386082899410E-09 )
( -1.31874609064847773E-08 , 5.67336775433859988E-08 )
( 1.97805776462838369E-10 , -2.97371811855656173E-08 )
( -2.25183324064059152E-08 , 3.39640647132606363E-08 )
( 7.28909770927386976E-09 , 1.43227819647123049E-08 )
( -6.63893671800007822E-08 , 2.45080813365093547E-08 )
( -1.54062971302252585E-08 , -2.32209230745143604E-08 )
( 4.20187557245995082E-08 , -5.16479735482057205E-08 )
( -3.63855933223871967E-09 , -5.02824150275651419E-08 )
( -4.06055818277333431E-08 , -9.92880716759651027E-09 )
x=3,y=1,z=0,t=0
( -1.16161353483323287E-07 , 4.91656139673159543E-09 )
( -1.34974310841550230E-08 , -1.68614643051030314E-08 )
( 1.83574572337190155E-08 , 3.48554710064127025E-09 )
( -2.61186837919847015E-08 , 6.21463492071461439E-08 )
( -4.28865045816150404E-08 , 5.06412590279175672E-08 )
( 6.11507832264198624E-09 , 6.91667596800006962E-08 )
( 3.10283133629107721E-08 , -2.53398384893434127E-08 )
( 4.99063042620244009E-09 , -1.53904235183840976E-08 )
( 3.86131407405657511E-08 , -4.20237698172286194E-08 )
( -4.57202451376823771E-08 , 4.39265186973457137E-08 )
( -1.51076944451274543E-08 , 9.64914240657283833E-09 )
( -6.11637554297140307E-08 , -8.17649172284300898E-08 )
x=0,y=2,z=0,t=0
( 3.13422061016007118E-08 , -9.75460105345496439E-09 )
( -1.31481344902850114E-08 , 2.31348869168679270E-09 )
( -1.27497757746070240E-08 , 8.21323609667429419E-08 )
( -5.48827424673920090E-09 , -1.00422813154413463E-08 )
( -1.04630289303458679E-07 , -2.17100496946050071E-08 )
( 5.62347383069195788E-08 , -1.77054217777771121E-08 )
( 5.82437958300137056E-08 , 1.85840187863355873E-08 )
( 1.73392249671614685E-08 , 9.03360929080404740E-09 )
( -7.52160795798107800E-08 , -1.50598076402306293E-08 )
( -2.29510872908611047E-08 , 4.91329557162909265E-08 )
( -5.50213724436881923E-09 , 7.26954010979477936E-09 )
( -2.25483037384758599E-08 , 4.16303604585076745E-08 )
x=1,y=2,z=0,t=0
( 5.88470890554727264E-08 , -1.66835423417019007E-09 )
( 9.53041069698165718E-08 , 3.97238770573165782E-08 )
( 1.11714398102724561E-07 , -2.51397090237743441E-08 )
( 8.45768108695431680E-08 , -6.14385873528738158E-08 )
( 3.51501680302738784E-08 , 2.02238269262402493E-08 )
( 2.93596186131926345E-08 , -4.77088594518158960E-08 )
( 2.13422944488313614E-08 , -5.96209891584394333E-08 )
( 6.81279466938256535E-08 , 4.00319686516332928E-09 )
( 1.50688659195545431E-07 , 2.09210653685555068E-10 )
( -5.27360241177971674E-08 , 6.61089577548210920E-08 )
( 7.59814591023361993E-08 , 1.78811975967079038E-08 )
( 5.12391867909625156E-09 , 1.85154576157470581E-08 )
x=2,y=2,z=0,t=0
( 1.07370880473932077E-08 , -3.89506334103385415E-09 )
( -7.74451702313802555E-08 , 9.71087957544948198E-08 )
( 9.05682048798681989E-08 , -5.81341726173587773E-08 )
( -2.45165095509240224E-08 , 1.57751792065699828E-08 )
( 1.61643466424710357E-08 , -6.33552018729805493E-10 )
( 2.25069249724076869E-08 , -3.29390461924642121E-08 )
( 5.60743244699458571E-08 , 3.61728262677953242E-09 )
( 3.50609300387328211E-08 , -2.87719621701233470E-08 )
( -3.61198241042998308E-08 , 8.15147526657918246E-08 )
( 1.28044612071477353E-09 , -1.76430015086178588E-08 )
( 2.79801527733355340E-09 , 5.93114571310066793E-08 )
( -5.76211281756677690E-08 , 8.17470292836083724E-08 )
x=3,y=2,z=0,t=0
( -6.78299685101578945E-09 , 1.54866503122021889E-08 )
( -1.19561163951556578E-07 , 1.24818044975478956E-07 )
( 8.04009262627284603E-08 , 8.61845778062070193E-09 )
( -1.43796885058747446E-08 , -4.79773959711237607E-09 )
( -3.26933430425434255E-09 , -3.31185971805271469E-08 )
( 3.29155393243445099E-08 , 3.16307018789320768E-08 )
( -7.94766581594134083E-09 , -2.45116357448728072E-08 )
( 3.32786243175589077E-08 , -3.33976534524631406E-08 )
( -4.06584112543688541E-09 , -5.98548777209551564E-08 )
( 6.51363714047527922E-08 , 2.22920014598386450E-08 )
( -4.71551695309248144E-09 , -1.61345616720817446E-07 )
( -2.99030514016235699E-08 , -4.75773170630263799E-08 )
x=0,y=3,z=0,t=0
( -1.59981695411999156E-08 , -1.85063608548242104E-08 )
( -1.28984352230999075E-08 , 3.36022227877412862E-08 )
( 2.08525308443055315E-08 , -1.10992161211926254E-09 )
( 3.93821049070614591E-08 , -7.60933854199876538E-08 )
( -3.48878102601101995E-08 , 1.60791339392568529E-08 )
( 4.39726452069050114E-08 , -2.13247923746995633E-08 )
( -1.82342022575984799E-08 , 2.05741304820315887E-08 )
( 2.65182496698955373E-08 , 5.38986332837835764E-08 )
( 4.45504723150643373E-08 , -8.27487649717091425E-08 )
( -3.58929612034034281E-08 , 2.61190563186606390E-08 )
( -1.09398387821837528E-08 , -2.57588175405453486E-08 )
( 5.39715812051023220E-08 , -4.62468670065492962E-08 )
x=1,y=3,z=0,t=0
( 8.83497745180792528E-08 , -5.06097063678634710E-08 )
( 6.16089324026489807E-08 , 1.52211187986532434E-08 )
( 4.44038517940721334E-08 , -3.14569817898586392E-08 )
( 4.34509904635237984E-08 , -5.87997087387830002E-08 )
( -3.40670668570631188E-08 , -5.77022499257651422E-09 )
( 1.68838092630111676E-08 , 6.29759674873917645E-08 )
( 8.47195630885344214E-09 , 2.88416180570834314E-08 )
( 2.49752307306336143E-08 , 1.88025407271718050E-08 )
( -9.60773702026198890E-08 , 4.10386765912945797E-08 )
( -3.84988039750017117E-08 , 4.98577875836098337E-08 )
( -3.17677667544255465E-08 , 5.18659607953692280E-08 )
( 3.72497537459034173E-08 , -6.50147434662965585E-08 )
x=2,y=3,z=0,t=0
( -2.39753666316394556E-09 , 1.09388658237213924E-07 )
( -3.43213592316006705E-08 , -5.27596388614399729E-09 )
( 2.78330873184827567E-08 , 3.80594258458690214E-08 )
( -2.20704567791424209E-08 , 1.73883268435873674E-08 )
( -1.65905964886653474E-08 , 6.41211796207862480E-08 )
( 4.16109143375012574E-08 , -5.05540782374383987E-08 )
( -1.52362015217166621E-08 , -5.66185892109022011E-08 )
( -1.12925738352527176E-08 , 1.94748940578782510E-08 )
( -9.71407168243820140E-08 , -3.24998621458048127E-08 )
( 2.62677262311691079E-08 , -6.98876667023662211E-08 )
( -6.45033333916732052E-08 , -8.66672802305888920E-08 )
( -2.37853096554113439E-08 , -4.92655988610072870E-08 )
x=3,y=3,z=0,t=0
( 5.70567051504438259E-08 , 8.65052820488005161E-08 )
( 1.16371741380422724E-08 , -6.81736914154788883E-08 )
( 2.71854524349832550E-08 , -3.07471675650970788E-08 )
( -3.59239498132556208E-08 , 6.15494283564764313E-08 )
( -1.17265743657900297E-08 , 3.11785554179783054E-08 )
( -4.85488746470880735E-08 , -1.13721658590490796E-08 )
( -4.09370817668210519E-08 , -4.11276880173120920E-08 )
( 5.68329305530177074E-08 , -4.37203088842732960E-08 )
( 5.24887555692041510E-09 , 3.13971450771779394E-08 )
( -1.31707783809156311E-08 , -1.59410011285344545E-08 )
( -2.85311494952094254E-08 , -5.70358594591642722E-08 )
( -4.90810265316132992E-08 , 6.01368426656242520E-09 )
