index: 0
( -4.75793034978125254E-08 , 7.05444157141422091E-08 )
( -1.77579219710515170E-07 , -9.81718070961090982E-08 )
( -1.24701916230071473E-07 , -1.03856279232083474E-07 )
( -4.83578942415942854E-08 , -9.20794034327008052E-09 )
( 1.01702529977968603E-07 , -3.98021111571318184E-08 )
( 1.07707199220341096E-07 , -6.19245487352829063E-08 )
( -2.10197324825970080E-08 , 5.81315383062684978E-08 )
( 3.18227330952959752E-08 , 1.25618217768212587E-07 )
( 1.23692833756152259E-08 , -2.70538176623472729E-08 )
( 5.41864105524772047E-08 , -3.55908906563347906E-08 )
( -1.17963142592554284E-08 , 2.26092287304180807E-08 )
( 3.41791825248497015E-08 , -1.78629158583682035E-07 )
index: 1
( 1.26351743715708681E-07 , 7.80943312358563711E-09 )
( 7.48447960193003809E-08 , -9.41320868132579119E-08 )
( 1.27597287166237796E-07 , -9.49920806062748503E-08 )
( 4.66222867492843102E-08 , -1.53702095944789294E-07 )
( 9.64926628899139048E-09 , -1.61205421235273498E-08 )
( -9.34802439188342315E-08 , -2.15486922784815145E-08 )
( 1.12644312292151040E-07 , -7.35025080205382545E-08 )
( -2.56770173789303841E-08 , 3.84461465493926362E-08 )
( -3.82462369424536634E-08 , 5.47119742271166900E-08 )
( -4.85182922210877209E-08 , 5.53823555257317873E-08 )
( 3.80316722118928032E-08 , 3.04254326981869592E-08 )
( 3.32593237765677079E-08 , 5.68674011859070504E-08 )
index: 2
( 3.78371707858079148E-08 , -1.27373706345188404E-07 )
( 1.24023026306041117E-07 , -6.25302626795334415E-08 )
( -5.45708292411766849E-08 , -4.33499175869465089E-08 )
( 1.33160829942909797E-08 , 1.15656769289600985E-07 )
( -1.18768926812571312E-08 , 8.54146276690219831E-08 )
( -2.32170487835918843E-08 , -4.45760261809103391E-09 )
( -1.92111579118032719E-07 , -1.86828020563732829E-07 )
( 3.00805265420177041E-08 , 1.14854883227567052E-07 )
( -6.97953391515355404E-09 , -4.06552688321296492E-08 )
( 6.93714191447392869E-08 , 4.27162616220339152E-08 )
( 3.88753331779510204E-08 , -3.35908298618451923E-09 )
( -5.79786923605455763E-08 , 1.73118319364883273E-08 )
index: 3
( -6.66426793060109646E-08 , -1.25590989166693532E-07 )
( 7.58936754909079271E-08 , -1.18623233686986232E-07 )
( 7.20742639275895014E-08 , -1.15072922826263655E-08 )
( -4.67410926336252967E-08 , 8.92890305445392600E-08 )
( -5.09408694913111583E-08 , -8.94980480944563105E-08 )
( -9.67529506184946405E-08 , -6.23232513326714891E-09 )
( -2.10693880053618405E-08 , 1.27642050209486993E-07 )
( 5.05032823828956483E-08 , -8.25957078181882227E-08 )
( 6.85170043636548473E-08 , 8.96924707587984823E-08 )
( -1.29499187076922063E-08 , -8.23847496535697310E-08 )
( -1.52326369880378119E-08 , -3.06447259931213706E-08 )
( 8.72391693669666570E-08 , 3.77465261511291155E-09 )
index: 4
( -5.65202431411751738E-08 , -3.55416103767055449E-08 )
( 1.81129047567452410E-08 , -3.40978066481325214E-08 )
