index: 0
( -3.45362654065537724E-05 , 1.00574371848613183E-04 )
( -2.37132155456657291E-05 , 3.54603426980541276E-05 )
( 2.57946913231305207E-05 , -1.28343049097134135E-05 )
( 6.30431800051994254E-05 , 1.98261762802894205E-05 )
( -3.83529447657421352E-05 , 7.41069218507821499E-06 )
( 2.55784184521578338E-05 , 2.45584053012845225E-06 )
( -6.92737563744965496E-05 , 3.71107029581770487E-05 )
( -5.34300127979549041E-05 , -3.47902581052624070E-06 )
( -3.19623176459897217E-05 , 6.14383632769688808E-05 )
( 4.44330583112553736E-05 , 6.40145504035095133E-05 )
( 6.75902087434832684E-05 , -2.98818870157680134E-05 )
( -9.32882289378982803E-05 , 5.54370513307493617E-05 )
index: 1
( 2.40899778232067153E-05 , -5.55891630715108295E-05 )
( 3.59818213747411850E-05 , -7.88895399314171587E-05 )
( -1.51098811965014087E-05 , 7.27575900813579978E-05 )
( 3.74513653932186704E-05 , -5.93777519627417731E-05 )
( 7.15493057465643262E-05 , 3.51673654255840089E-05 )
( 7.50403085550397676E-05 , -9.63645273210891255E-05 )
( -6.51313559992062259E-05 , 6.78086177352161547E-06 )
( 6.63231446202130982E-06 , -9.97468891085044211E-05 )
( 1.50068363700711828E-04 , 6.99492243108993403E-06 )
( -1.11226058670825165E-05 , -7.21089924848317945E-06 )
( 6.74258285865455393E-05 , -6.96966403423746836E-06 )
( 8.67653917384557610E-05 , 3.38908595118875148E-05 )
index: 2
( 7.18558779866002614E-05 , -3.57259350713422838E-05 )
( -2.75674500547894586E-05 , 3.79680253669435308E-05 )
( -5.56046863332455041E-05 , 7.81147462139597417E-05 )
( -7.61722307431606373E-06 , 9.33747426101366230E-06 )
( 1.07629780566449946E-05 , -6.41947636409740253E-05 )
( 2.81468951543527264E-05 , -2.65972520171999652E-05 )
( -1.37456335110430419E-04 , 2.63672719942194787E-05 )
( 1.76237215819085646E-05 , 1.11199658305111720E-04 )
( 4.20991229943899596E-06 , 1.69657738956968429E-04 )
( -9.55871036677349644E-05 , -8.06214223182332942E-06 )
( -6.51532756913354336E-05 , 3.92544649448896504E-05 )
( -2.91233860089653370E-05 , -5.91942513778344987E-05 )
index: 3
( 4.86579279436446385E-05 , 4.89469770762734614E-05 )
( 6.29885190263584189E-05 , -1.11041665216671769E-05 )
( 5.10214089548969224E-05 , 1.89926476235529267E-06 )
( 3.24595694925762271E-05 , 3.22889178178912818E-05 )
( -8.90337845000249253E-06 , 9.82477174303251187E-05 )
( -6.20569022070747859E-05 , 9.00996849599931089E-05 )
( -5.30894777796822110E-05 , 9.45449052220836603E-05 )
( 1.51225083784254413E-04 , -6.71943062421643660E-05 )
( 4.52002701825600416E-06 , 1.05351089858844434E-04 )
( 4.18431382188036026E-05 , 8.04377560910443228E-05 )
( 6.14165065748923408E-05 , -7.89761106689834149E-05 )
( 4.79986737989323631E-05 , 1.90301190989333411E-05 )
index: 4
( 3.47098401719478920E-05 , -1.40150635044108138E-04 )
( -5.67369312849615620E-05 , -1.49100638301737629E-04 )
( -1.34383321602924308E-05 , 2.86680071336449226E-05 )
( -3.06738118491783744E-05 , -2.34749839246657817E-05 )
( 1.19923780372408617E-04 , -6.39807065432431224E-06 )
( -5.94013669827642143E-05 , 2.80591751616094840E-05 )
( -6.39212262131163948E-06 , 1.30931221804495327E-06 )
( -8.76198473934185261E-05 , 4.98069432417500032E-05 )
( 8.67845661130604563E-05 , -7.36815955189975332E-05 )
( 1.64578827642326318E-05 , 4.04854376004098567E-05 )
( 4.64797835875042971E-05 , 1.21600243759929899E-05 )
( 7.36122849111265373E-06 , -4.90223618999318354E-05 )
index: 5
( -6.74009496072083901E-05 , 2.00392040127210936E-05 )
( 1.32871961672183572E-05 , -9.16023785330488541E-05 )
( 9.94700135489127459E-05 , -9.27427258849834155E-05 )
( -1.55554657618478141E-05 , 1.04973632677432158E-05 )
( -2.76968174904032997E-05 , 6.55070599423980180E-05 )
( -5.16533289819832585E-05 , 9.99457954114503884E-05 )
( 1.44002525425087344E-04 , -6.63587656832777175E-05 )
( 5.49665372595876099E-05 , 1.11551006733949081E-04 )
( 7.76433877080427828E-05 , -4.41419193324810286E-05 )
( 2.78246637682098131E-05 , 6.17194825119673487E-05 )
( -7.00849539914255039E-05 , 2.75565785046257055E-05 )
( 1.63377225091832256E-05 , 9.19620892362835759E-05 )
index: 6
( 1.29321400968855941E-05 , -8.27120863598789684E-07 )
( -4.64297464931116342E-05 , -3.26056172677810957E-05 )
( 8.12253718080121051E-06 , -1.06229021231713425E-04 )
( 4.95549567324971474E-06 , -4.57226741883372311E-05 )
( 8.89782631073941354E-05 , -4.64632891124674519E-07 )
( 6.86353696563993043E-05 , 3.35005935886375201E-05 )
( -3.66968453065273734E-06 , -5.64071112634474746E-07 )
( 3.37312034398242920E-05 , 3.78958610457209521E-05 )
( 4.54001938401419347E-05 , 5.94915460369423903E-05 )
( 4.28789669141678784E-05 , 2.60455713893741417E-05 )
( -1.91217944538245973E-05 , 5.72839600412138039E-05 )
( 1.55141128246571292E-05 , -1.66603009353881741E-05 )
index: 7
( 3.88422501773406817E-05 , -5.97656148240868120E-05 )
( -1.29654171879993652E-05 , 4.64170694750926639E-05 )
( -1.99585011044244594E-05 , -3.21646899629921207E-06 )
( -8.29204359363470782E-05 , -5.28351393427747504E-05 )
( 2.67115954023863794E-05 , -2.52025865647548773E-05 )
( 6.23593213041430991E-05 , 5.74957858152118896E-05 )
( 1.48402218228148368E-05 , -2.35586048233728362E-05 )
( 7.80479291087102901E-05 , 3.30620863003228208E-06 )
( 2.71508828604305236E-05 , -4.15963363650167990E-05 )
( 3.91059094653109621E-05 , 4.06170145696890095E-05 )
( 7.44350814618789512E-05 , -1.41943191233132038E-06 )
( -9.86806291685512669E-05 , -3.07083833998418138E-05 )
index: 8
( 3.20097009974213494E-05 , -1.38509662617708761E-04 )
( -4.76951166825920517E-05 , -5.83664272162239754E-05 )
( 8.44342516399483383E-05 , -1.77347208459248244E-05 )
( 6.04766842558955781E-05 , -4.30846495160046837E-06 )
( 9.38064109605469133E-05 , 4.57716575683545369E-05 )
( 5.61713381676022392E-05 , 6.02945790410038007E-05 )
( -1.31919358693168871E-05 , -8.41644425902977742E-05 )
( -6.76413008756545893E-05 , 1.17893486625462275E-05 )
( -1.35536477487223762E-04 , 6.50360161299346059E-05 )
( 1.39477463642701861E-06 , 3.58597095286224300E-05 )
( -2.90031006881423872E-05 , 3.19908438869272060E-06 )
( -7.79395668228483561E-05 , -8.81120648696381435E-05 )
index: 9
( -6.49658216004169581E-05 , 8.84675767918027882E-05 )
( -8.49369779000025868E-06 , 4.63972205300486459E-05 )
( 2.22907803860513445E-06 , -3.32465954212976479E-05 )
( -4.51570906198912176E-05 , 5.25720517243530560E-05 )
( -2.23246398885262857E-05 , -3.23518972778961511E-05 )
( -1.55182867280079980E-05 , 5.08775077157107628E-05 )
( 5.02443615831390427E-05 , -3.41790270184766072E-05 )
( 1.85567690007774883E-05 , -5.64494873803673752E-05 )
( -2.25051343238554397E-05 , 6.85689789518163507E-05 )
( 9.47456746429727818E-05 , 2.88927475209163524E-05 )
( 6.40353319762781655E-05 , -4.55451840243657042E-05 )
( -2.83084291318474893E-05 , -3.52564454296816401E-05 )
index: 10
( 9.21232660594791208E-05 , 4.49575685419412109E-05 )
( 3.40611147728411313E-05 , -3.07318611388692929E-05 )
( 2.16850095143714073E-05 , 3.81468108811991455E-05 )
( 8.91545617394115720E-05 , 1.66614884791997197E-04 )
( 6.67379478758218137E-05 , 5.86399982492442581E-06 )
( -4.60593926130835649E-05 , -1.44439293896842576E-04 )
( 1.67146721958685640E-05 , -5.15378740121574526E-05 )
( 3.84991349383959996E-05 , 8.46153077477553820E-05 )
( -2.83919018320981380E-05 , 2.78087326880940768E-04 )
( 1.12249208946270024E-04 , 1.16850297159034678E-04 )
( 2.65960878085742553E-05 , -8.65589894651997365E-05 )
( 4.68954382565463191E-05 , -2.17192752229811105E-04 )
index: 11
( -2.18513600454536543E-05 , 7.85432759793634364E-06 )
( 3.76594429293791616E-05 , 1.84145244696484937E-05 )
( -3.54267921760795446E-05 , -1.75675735614520660E-05 )
( 4.48125435861292245E-05 , 6.36113110712335891E-05 )
( -2.67877483195252145E-05 , 3.02431593223689117E-06 )
( -8.53258099202549951E-05 , 1.56598035818055696E-05 )
( 1.24275639306947488E-05 , -1.86218638097542454E-05 )
( -2.76679746390021456E-05 , 4.27151857652702184E-05 )
( -5.41755722213430654E-05 , 8.34504217474386445E-05 )
( 6.75845500308549368E-07 , -2.41145743269252308E-05 )
( -3.33350429044336630E-06 , -4.19787984777063007E-05 )
( 7.87656750193202069E-05 , -1.54077672288183560E-06 )
index: 12
( -3.33125868825680921E-05 , 2.78851255303428630E-05 )
( -5.91136736700759627E-05 , 3.30254724336929046E-05 )
( -5.47007385049345886E-05 , 1.70918135980043325E-05 )
( -1.61218396191992435E-05 , -1.54560798592402152E-05 )
( -1.10811485605512283E-04 , 1.35541712469924402E-04 )
( 1.23290845007420935E-05 , 1.05636369645881439E-05 )
( 1.89606762485429301E-05 , -3.98697448001824326E-06 )
( -1.79718354771474882E-05 , 4.89295086935935878E-06 )
( -1.30092704979788062E-04 , 9.21048062084946282E-05 )
( 1.65793905600360723E-05 , 1.55640724573421032E-05 )
( -1.78727418323377672E-05 , -4.85234427947803303E-05 )
( -8.50132197839888743E-06 , 2.39614520599126931E-06 )
index: 13
( -1.36144743335029478E-04 , 7.98068580562121980E-05 )
( 4.59125029659417635E-06 , -4.58226484389293514E-05 )
( -2.08509168219434807E-04 , -6.89404169110277012E-05 )
( -8.03084704857962006E-05 , 7.19372413280049556E-05 )
( -1.77916169639605987E-04 , -3.98115965151820328E-05 )
( 8.28157341025324780E-05 , -9.68010722760415804E-07 )
( -7.24099740389933194E-05 , 1.00332098425391604E-04 )
( -4.82386471018064869E-05 , -6.97749906971785493E-05 )
( 9.70936025431842927E-05 , -2.87228790502635297E-05 )
( -4.84687388407553248E-05 , 8.19686462147542049E-05 )
( -2.11599594288218088E-05 , 6.15087257035414032E-06 )
( 5.15393874203071956E-05 , -1.88859527890068100E-05 )
index: 14
( 4.67287076876535045E-05 , -7.42800054848233977E-05 )
( -8.71838225085387039E-05 , -4.46286845726355649E-05 )
( -4.47406203065167998E-05 , 7.64780219553321195E-05 )
( -9.92044721464876858E-05 , -3.62262081597045359E-05 )
( -7.61238165322237960E-05 , -1.83241710401612837E-04 )
( 1.17990306501037550E-04 , -8.44865321533839304E-05 )
( 4.68531960267153239E-06 , -2.11194505970591926E-05 )
( -4.42827685843595750E-05 , -2.75605483499288764E-05 )
( 2.05721972712511521E-05 , 1.55851064869541144E-04 )
( 7.34713150456895434E-05 , -5.45346041861027834E-05 )
( 6.33028672789077052E-05 , -1.52361403017123363E-04 )
( 1.33593479555811422E-05 , -8.22073347839427090E-05 )
index: 15
( -3.98221345740480714E-05 , 4.26704586002023517E-05 )
( -3.29222607134674241E-05 , 7.99731589724123163E-06 )
( 4.36254548133777585E-05 , 5.29724457926724710E-05 )
( -3.32717186424427957E-05 , -1.85073787466070082E-05 )
( 3.16750777413172128E-05 , -9.39529382954230592E-05 )
( -2.07101035876359102E-04 , -9.71276164025950566E-06 )
( -9.29579712320970910E-06 , 1.44398903416745677E-05 )
( -1.02273621600573641E-05 , -4.07275381005679744E-05 )
( 3.32006526525444696E-05 , -5.31406568854095611E-05 )
( 1.64679260084185146E-05 , 4.65072965912358583E-06 )
( 7.17670897651339983E-05 , 3.53846394761066826E-05 )
( -1.85957319705619558E-05 , 1.94196564236419897E-05 )
index: 16
( 3.67114804561017509E-05 , -2.34353846025906013E-05 )
( -2.21551946779988671E-05 , 1.10415731859872786E-04 )
( 3.19219397758525641E-05 , -3.19259014592055578E-05 )
( 1.76683803221927869E-05 , 1.64837269937725419E-04 )
( 7.69488040518305917E-05 , 6.25859417718423259E-05 )
( -8.37280693461192014E-05 , 5.21404039180749774E-06 )
( 7.75257838095605917E-05 , 2.28469682709185067E-05 )
( -5.93528833323577365E-05 , 1.89085495557376977E-04 )
( -3.26699235720156675E-05 , 2.94808381248930240E-05 )
( -5.66457964712697531E-05 , 8.04908864173855480E-05 )
( 1.37359989352192602E-04 , 9.25768574578732212E-05 )
( 5.05431876175212169E-05 , 3.11390422468945283E-05 )
index: 17
( 1.54946909081829715E-05 , -1.88380349723727607E-05 )
( -1.42805749944766032E-05 , 7.61210018605144807E-05 )
( -1.26304399993438967E-04 , 3.33426725688026058E-05 )
( 2.33829693989153213E-05 , -2.90449058201393707E-05 )
( 1.15817893723519133E-04 , -3.49100024942162724E-06 )
( 1.51822115014298132E-04 , 8.40918471196202107E-06 )
( 1.41059071155393446E-04 , -8.64943913254733843E-05 )
( -7.16558643615547474E-05 , -3.76598060363829835E-05 )
( 6.41078609412013478E-05 , -6.63076434378377335E-05 )
( -1.09625039882982735E-04 , 5.43844520260718871E-05 )
( 4.73984237906003051E-06 , -7.33352160015523667E-05 )
( 3.64092637431103421E-05 , -1.65026841262236063E-05 )
index: 18
( 9.55663944794176909E-05 , -5.23137839614288606E-05 )
( 7.32713942140259894E-05 , 6.80313154252598314E-05 )
( 3.84682128225535781E-05 , -4.27538880927768651E-05 )
( 2.85810448216213523E-05 , 8.13475856997237254E-05 )
( -2.92659179280096022E-05 , -2.91422173490231515E-05 )
( -3.54169853277261229E-05 , -2.16319206999092875E-05 )
( -3.03447192379329301E-05 , -1.30069496112867900E-04 )
( 3.11592436130607588E-05 , 3.65242346921614886E-05 )
( -1.22596275670359793E-04 , 6.44587417404427333E-05 )
( 2.16837822088505639E-05 , 6.24018326209330708E-06 )
( -6.58217792061410224E-05 , 1.08912813624168707E-04 )
( 5.68796132477096953E-05 , 1.64346464690963052E-05 )
index: 19
( 8.38736276458421477E-05 , 2.02621125759716331E-05 )
( -3.38730639446779684E-05 , -2.37286241102400243E-05 )
( -1.01963955263840604E-05 , -2.23987198212240073E-05 )
( 3.54358422359170381E-05 , -7.92944762099441350E-05 )
( -8.76335922215419540E-05 , 6.53944581298567413E-05 )
( 1.60455977586792978E-04 , 9.98111317826477253E-05 )
( -7.40754011236286142E-05 , 6.41416781899930368E-05 )
( -7.75474695489783341E-05 , -1.25467230025115366E-06 )
( -1.11570720885723759E-04 , 5.07959239343369471E-06 )
( -5.53007984363386470E-05 , 1.16264703358847697E-04 )
( -2.49238395898146488E-05 , -3.53011518278351007E-05 )
( -9.43391597029164246E-07 , -7.53694197975217936E-05 )
index: 20
( 1.51370895797845714E-04 , -3.82766051340804967E-06 )
( -8.22267724580081163E-07 , -5.34905599787463879E-05 )
( 1.27775759713572307E-05 , -2.27446315692876697E-05 )
( -4.01494125427995140E-05 , 1.29743382312330510E-04 )
( -6.84063902725791958E-05 , 1.38855032839362507E-04 )
( -7.75543876911198452E-05 , 2.94237267745172152E-05 )
( -9.33522755064929415E-07 , -2.95874826385561144E-05 )
( -4.94469820629673249E-06 , -2.36503671582882718E-05 )
( 1.63076476442633442E-05 , 3.04622606158608765E-05 )
( 5.54473185472666890E-06 , 1.63003495715581916E-04 )
( 1.39418079396458821E-04 , 8.95858395528494181E-05 )
( 2.62951222993037457E-05 , 3.11957861878931229E-05 )
index: 21
( 3.27012974271111628E-06 , -9.19968512420906012E-05 )
( -2.74026901677735239E-05 , 9.53686052974564435E-07 )
( 8.82765808605760077E-06 , 8.66059317818887903E-05 )
( 6.76757158599664840E-05 , -1.21029104117700582E-04 )
( -4.86662956682530555E-05 , -5.34174190604797786E-05 )
( -1.10509167335493208E-04 , -2.76902017756760837E-05 )
( -3.35724725663269816E-05 , -5.95107157017361210E-05 )
( 2.85240222753316579E-05 , 7.49729081489614675E-05 )
( -2.24136206399358240E-05 , -8.54700831855166956E-06 )
( 4.42139809994361490E-05 , -7.00266626930886064E-05 )
( -1.88646983522250413E-06 , 1.10485376290299142E-04 )
( 4.47047847590515356E-05 , -1.12785144156036756E-04 )
index: 22
( -3.90540230298488434E-05 , 1.21168465081081800E-05 )
( 7.83740467369145420E-05 , -1.90166176776826381E-06 )
( 4.96332849991336855E-05 , 1.82159702167764269E-05 )
( -5.06177004658806180E-05 , 1.05207379369485408E-05 )
( -1.62461442298435834E-05 , -2.16724846471926665E-05 )
( -4.75467017571713703E-05 , 1.71013687894859372E-04 )
( -3.52120968272900969E-05 , -6.12333658680631285E-05 )
( -4.32125443424096812E-05 , -6.02234125466466610E-05 )
( -9.16062311113809992E-05 , 1.00470085308883810E-04 )
( -6.66535873202504987E-05 , 1.06081392197212142E-04 )
