index: 0
( 3.40072694195798109E-10 , -2.09640736708036281E-10 )
( 4.60321880767067762E-12 , 1.44218702425518594E-10 )
( -6.51188787581722062E-10 , -3.14823161749695309E-10 )
( -2.20590319128174319E-10 , -1.78458062113478222E-10 )
( -9.25523471028691193E-10 , -8.36990718597482312E-10 )
( 4.12414018614725069E-10 , 5.30300105020767063E-10 )
( -1.32788362105968698E-10 , 2.93479739959647735E-10 )
( -7.55025034504889221E-11 , 8.11924104488735080E-10 )
( -3.35470414189110729E-10 , 4.20320281049779525E-10 )
( 5.51110650503492403E-10 , -2.31748423412406561E-10 )
( -1.83961904808794835E-10 , 3.49606034179585221E-10 )
( -9.43318801580923547E-10 , -2.57186356608543809E-10 )
index: 1
( 2.22167520460558303E-10 , -4.47205230000005944E-11 )
( -1.71100971320356331E-11 , -3.02995876472369720E-12 )
( -1.88098322532015586E-10 , 3.52941609685392514E-10 )
( -3.72058929539763475E-10 , 4.00326204297714615E-11 )
( -5.33770010226168293E-10 , 4.52372939194778268E-10 )
( 1.39157112364416229E-10 , 2.48106217117921489E-10 )
( 5.29083430783203942E-10 , 3.70385378540280366E-10 )
( 3.39585118842290307E-10 , 4.75650103301104672E-10 )
( -2.45387014447976786E-10 , 3.50182966896649094E-10 )
( 1.57697940424983823E-10 , -4.03599285672569649E-10 )
( -3.49155732663768812E-10 , 5.63881237075963129E-10 )
( -4.69616107139532740E-10 , 4.88710839131195535E-11 )
index: 2
( -2.38235159268464259E-10 , 9.86107972635124693E-11 )
( 4.93142786498667547E-10 , 1.01597520274483566E-09 )
( 7.71695149534932422E-10 , 8.77652860193039952E-11 )
( -9.49549917279316679E-11 , 6.68866283927681189E-10 )
( -5.87340173304063245E-10 , 4.67098206637269308E-11 )
( 5.56120051067091687E-10 , 4.78621024245404552E-10 )
( -5.84647760917689880E-10 , 8.62682011980632405E-10 )
( 4.35589251795258284E-11 , 9.85424299617303050E-11 )
( -4.65586599000516315E-11 , -3.78518290081019947E-10 )
( -1.08427558211349926E-10 , -6.85246374264149737E-11 )
( 1.26604814402908103E-10 , 2.63233777961872171E-10 )
( -2.01288968773787147E-10 , 5.50518603108021908E-10 )
index: 3
( 2.41680340598522199E-10 , -7.21104537327140599E-11 )
( 5.01244884628877936E-10 , 1.98885841185234943E-10 )
( -4.04966641669905833E-10 , 6.29739305366515917E-12 )
( 1.13726645802855195E-10 , -3.39792859648217553E-10 )
( -1.58805523642284264E-10 , 4.45477455393647428E-10 )
( -1.06785022084324274E-09 , -2.38569928035316522E-10 )
( 9.53941036108682324E-11 , 7.51923399346254836E-10 )
( -4.52159180199512226E-10 , -1.03958100681202192E-11 )
( 3.74934861107729986E-10 , 4.55799472951948527E-10 )
( 1.33272692736932234E-10 , -2.71815231399282865E-10 )
( 6.92996564005179745E-10 , -2.33539657500657481E-10 )
( -1.62168981699117822E-10 , 1.64443763292870983E-10 )
index: 4
( -6.73344598490185528E-11 , -9.10092101608019212E-11 )
( 6.41827609917024891E-11 , 1.76626823452007621E-11 )
( 7.43854653843853200E-10 , 1.36803783794927549E-10 )
( 5.41423383468093726E-10 , 2.57354327368501019E-10 )
( -1.69854957990620618E-10 , 6.07106625444907514E-10 )
( -3.26949847905492090E-10 , 2.46185814603974279E-10 )
( 7.00855427006518080E-11 , 1.48034963226105045E-10 )
( -4.36346911680405870E-12 , -1.24131437456880427E-10 )
( -1.65762214080932828E-10 , 6.21018357945697390E-10 )
( 7.90773908983367726E-10 , -5.25537513999662176E-10 )
( 4.02457382601597111E-10 , 5.26833187129855093E-10 )
( -4.79228113386415147E-11 , 6.17733993749224831E-11 )
index: 5
( -4.13323997964685871E-10 , -6.86169474329537396E-10 )
( 9.40612593328118471E-11 , -5.42064557634009848E-10 )
( 4.58182133857963388E-11 , -5.02054322513142774E-10 )
( -4.73492949372169626E-11 , -1.92895776487889160E-11 )
( 2.65412886900363029E-11 , 9.14170875439937382E-11 )
( 5.52360593861076735E-10 , 6.69782636617294812E-11 )
( 2.03060672894818003E-10 , 7.87387003596705879E-10 )
( 1.51267749352282081E-10 , -3.16794743157476270E-10 )
( 1.20955356483233378E-10 , -1.61184231811924118E-10 )
( 3.87010159555900874E-10 , 4.47178886353147486E-10 )
( 3.80501288050803777E-10 , 4.35306591704858924E-10 )
( 3.04230589741736826E-10 , 4.32874250156253938E-10 )
index: 6
( -2.98319784530808457E-11 , 2.22520927181158703E-10 )
( 1.45672543124959384E-10 , -2.90667421969272012E-10 )
( 8.30637955173813526E-10 , 4.32050981455980354E-10 )
( -3.46110993264834235E-10 , 1.58544909445919070E-10 )
( 9.39812296939604607E-12 , -5.61534341736444448E-10 )
( -3.74162918072331020E-10 , -8.67533825118379245E-10 )
( -3.66776597659541727E-10 , -8.90284890180590866E-11 )
( 4.51187290078808542E-10 , 2.56602985294075512E-10 )
( -2.40593579260222824E-10 , 3.37388375471207685E-10 )
( -3.59831343284914807E-10 , -5.47145291062046993E-10 )
( 3.46737551640288276E-10 , -5.33812490347587567E-10 )
( -4.64699385252061328E-10 , 3.27039575146730683E-10 )
index: 7
( -2.04979490999397292E-10 , 2.19847299591946157E-10 )
( 9.14675323641285686E-10 , 7.31332509996767079E-10 )
( -4.54149101336181499E-10 , 7.22839745215036518E-10 )
( -6.35968229376863960E-10 , -3.20899401541351617E-10 )
( 3.44918728804678946E-10 , 3.89607876127718394E-11 )
( 5.56084707456719882E-10 , -2.81101066669738440E-10 )
( -7.76656171385600714E-10 , -5.85634511631498163E-10 )
( -6.28074026653976508E-10 , 9.28056602701884297E-11 )
( 5.46108784817832655E-10 , -4.08473336968248614E-10 )
( 5.26347822259331817E-10 , -2.50167530555418936E-10 )
( -1.43824960241526549E-10 , 5.31670587728878669E-10 )
( -1.76157814247215315E-10 , 9.80936483034985184E-11 )
index: 8
( 3.84337404928968975E-10 , -6.04308327830020791E-11 )
( 6.38390093513587266E-10 , 8.68204062258041309E-11 )
( 4.93620810389261670E-11 , 5.79477607289718788E-10 )
( 9.78406988046431177E-12 , 1.52086781271312202E-10 )
