x=0,y=0,z=0,t=0
( -3.27406405147484505E-09 , -2.00889187933820978E-09 )
( -2.60867345788923521E-09 , 6.16539802268013973E-09 )
( 2.59942664142908015E-09 , 4.21962965803769677E-09 )
( 1.45931335222693713E-09 , 8.48301985538063896E-09 )
( -5.22726628177864041E-09 , -3.51281725414207985E-10 )
( -2.20213978044870108E-09 , -2.88156397397083982E-09 )
( 2.49187497576865214E-09 , -7.25905801456557291E-09 )
x=1,y=2,z=0,t=0
( 1.48290283843917131E-08 , 4.09319469511359913E-09 )
( 1.56069646321859854E-08 , -3.28486429049916385E-09 )
( 6.51390834679568283E-09 , -1.42713855636183911E-10 )
( 7.80186685091678484E-09 , 6.65125278534147676E-10 )
( 1.19688809668659054E-08 , -2.29982482189941182E-09 )
( 1.20669707142562663E-08 , 1.11711693841681062E-09 )
( 2.39633117841948245E-09 , -3.88489623522702424E-10 )
( 5.99803349395626534E-09 , -9.01336299143808603E-09 )
( 5.08621999285220560E-09 , -3.34450974200311437E-09 )
( -3.88670246622429136E-09 , 1.13822831893069137E-08 )
( 9.06171109268428817E-09 , 4.04173756213247289E-09 )
( -3.70776863189329669E-09 , -3.54289817593671512E-09 )
x=2,y=2,z=0,t=0
( 1.21818211542109494E-10 , 3.53200602307752106E-09 )
( 7.80409280607224659E-09 , 1.87196424149921242E-09 )
( -9.22116139215449843E-09 , 9.31643272429779469E-09 )
( -2.30228518111450878E-09 , -8.66149938658623502E-09 )
( 4.81056764441451041E-09 , 3.09809368970526944E-09 )
( -6.21648181246769858E-09 , -8.55657727796361504E-09 )
( 1.59405598922066788E-08 , 6.86576660920152582E-09 )
( 2.41570980239946408E-08 , 5.71754751213405716E-09 )
( 4.08940188154369983E-09 , -3.52126321114620921E-09 )
( 1.53373388101061047E-08 , 6.95518421321710713E-09 )
( 4.66463393066621393E-09 , 8.02791069245456811E-09 )
( -3.44548289442634089E-09 , 5.46627908391458914E-09 )
x=3,y=2,z=0,t=0
( -5.96468681151130785E-09 , -2.16947766365553380E-09 )
( -9.62373154252701739E-09 , -7.31983784250568157E-09 )
( 4.38742620617131749E-09 , -6.36043326484332216E-09 )
( 2.11992952387866031E-08 , -9.01117000493719790E-09 )
( 1.52903897916203164E-09 , -9.23798826092289365E-09 )
( 6.31567141137589195E-09 , 8.92836181345597049E-09 )
( 9.24449386036411914E-09 , 8.40999196115522584E-09 )
( 8.78481592057135959E-09 , -4.47925845968697776E-09 )
( -1.64765294379001796E-08 , 8.08278954186058271E-09 )
( -1.52829148289179393E-09 , -6.70184687154627590E-09 )
( -8.87442692411419026E-09 , 7.46157811524388528E-09 )
( -6.76349590157761292E-09 , -1.99317517489491213E-09 )
x=0,y=3,z=0,t=0
( 5.36261047722934367E-09 , -9.36777357205895613E-09 )
( -1.44437545423889338E-09 , -1.60773257300404274E-09 )
( -1.06051758951842648E-08 , 1.71448744195581284E-08 )
( 5.30113104863056465E-09 , 9.23368580269283447E-09 )
( 1.43525206151772461E-08 , -3.05583898691225132E-09 )
( -6.28490664848462883E-09 , 1.13732681852572325E-08 )
( -1.34840941890367057E-08 , -4.61815316419798156E-09 )
( -1.34902336030720549E-08 , -1.54222786602473196E-08 )
( 2.92761283766741708E-09 , 2.12256798034554591E-08 )
( -1.13680893559240533E-08 , -2.75938618339859921E-09 )
( -5.88612432199294460E-09 , -1.51658383464586567E-08 )
( 9.13067553880886088E-09 , 1.20347056351686892E-08 )
x=1,y=3,z=0,t=0
( -3.45267107769732654E-09 , -7.41346142614269728E-09 )
( 1.37587787596834220E-08 , 2.35603514131364587E-09 )
( 6.27487834585513530E-09 , -6.08490916710323258E-09 )
( 1.64287025523349701E-08 , -3.58895113157206623E-09 )
( 4.76867078413180769E-09 , 1.15122482074525438E-08 )
( -6.49334686616737116E-09 , -5.57606354610072205E-09 )
( -1.11665413495958001E-08 , 8.23259410723031921E-09 )
( 1.62306965585834083E-08 , 2.13301373542479742E-09 )
( -4.65482198159826927E-09 , 2.37409006307871350E-08 )
( 1.55885785816929267E-10 , -5.37027231942202730E-09 )
( 8.23874634984907220E-09 , 4.89921295134119126E-09 )
( -1.29720190514899522E-10 , -4.64596365023806245E-09 )
x=2,y=3,z=0,t=0
( -1.27379537537343671E-08 , -5.12904402238493337E-09 )
( -2.52458260269578119E-09 , -1.99349897354310527E-09 )
( -1.47753056766918517E-09 , -4.33275727518151961E-09 )
( 1.05275283228813942E-08 , 5.91984347857447611E-09 )
( -3.43443188537693806E-09 , -1.30647707004683161E-08 )
( 3.73971216140227525E-09 , -6.17799807562861815E-09 )
( -9.16050612939732878E-12 , 1.99186088440549303E-08 )
( 9.34641032678179366E-09 , 5.96611163872119496E-09 )
( -4.84023382714291345E-09 , 7.92492596903438233E-11 )
( 1.44748812304021374E-08 , -2.38731539703851987E-09 )
( 1.11058376635496211E-08 , -4.10565862809260129E-09 )
( -3.95484697926119457E-09 , 1.77142663370252911E-09 )
x=3,y=3,z=0,t=0
( -6.54972918471925560E-09 , 1.53184930634210231E-08 )
( -1.23475667452141993E-09 , -5.10621821452256560E-09 )
( 5.29467843164709279E-09 , -2.02190865646861989E-10 )
( 2.16063601679280213E-09 , -6.96050093070073480E-09 )
( -4.08151674437075426E-09 , 1.14513026297457473E-08 )
( 4.53407855167918871E-09 , -4.25343260227209957E-09 )
( 7.19456341260469384E-09 , 2.69853509416272017E-09 )
( 2.07649710203261471E-09 , -8.04761883493826363E-10 )
( 7.94178506956517999E-09 , 2.01290680710046466E-09 )
( -6.72519971503725660E-09 , 1.32383654604780278E-09 )
( 1.71660157906000772E-09 , 1.73154607170109564E-09 )
( 1.08503504413722643E-08 , -2.54906338953198523E-09 )
x=0,y=0,z=1,t=0
( 6.27395519372198146E-09 , 3.55400804064911858E-09 )
( 1.55976939636192667E-08 , -1.09128984402170174E-08 )
( 3.59037001488655429E-09 , 1.03522591141489894E-08 )
( -8.46597750333202308E-09 , -7.31224323561026698E-09 )
( -1.77860599770422015E-08 , -1.14099629779403163E-08 )
( -1.00394753545120212E-09 , -2.22417707585525715E-09 )
( 4.45104417212780398E-09 , 8.20141437615871735E-09 )
( -6.45505835928828716E-09 , 2.47035930348678830E-09 )
( 1.43343824489336565E-08 , -1.13461621114447269E-08 )
( -2.17813364869616993E-09 , -1.15262846806355032E-08 )
( -6.31929394988294693E-09 , -7.02221128486570529E-09 )
( -9.88959322029484464E-11 , -8.50174376186491907E-09 )
x=1,y=0,z=1,t=0
( -9.79258264704583087E-09 , 1.37395406909903356E-09 )
( 8.49190457807037513E-09 , -9.24479916050271793E-09 )
( 9.33050554043862230E-09 , -7.31301409600939310E-09 )
( -9.36070290469103539E-09 , -1.23122183736056343E-08 )
( -1.36282830331232719E-08 , -8.84327154398240816E-09 )
( 1.06527718901683161E-08 , 4.09705256216979428E-09 )
( 9.33895326291920883E-09 , 5.89388676794383299E-09 )
( -8.14947270078213651E-09 , 8.85337024025968988E-09 )
( -1.52935917506830726E-09 , -1.83168637559467337E-08 )
( -7.98961540959769946E-10 , 1.13530742577172714E-10 )
( -7.49844024057366179E-10 , 1.10267432406917615E-08 )
( 6.68426508946269652E-09 , 7.68576651814979366E-09 )
