x=0,y=0,z=0,t=0
( -1.62270447283737576E-09 , -7.63714643702269997E-10 )
( -1.21373433369941951E-10 , -1.11776128306148167E-09 )
( 5.32973203590299547E-11 , 4.69588643915906282E-10 )
( 2.25212598725451231E-10 , 4.16345907606437396E-10 )
( 5.32725650812930295E-10 , -1.26477799937907443E-09 )
( 7.19534210887510652E-10 , 3.49283743588083853E-10 )
( 1.07792301493130392E-09 , -4.78791038303714716E-10 )
( -2.25974038529635591E-10 , -2.62411529953839205E-10 )
( 1.12701730207512160E-09 , -6.95732834510239232E-10 )
( 4.74219141094769133E-10 , 1.45620125110306911E-10 )
( -2.39327591726387363E-10 , -1.95355542063374452E-10 )
( 1.70899224725527732E-10 , 1.12467583261262155E-09 )
x=1,y=0,z=0,t=0
( 2.28480119656833590E-10 , -5.66327686067245770E-10 )
( -1.70755622133028754E-09 , -1.32080052107164916E-09 )
( 1.32026225528732833E-10 , -1.51843335599262072E-09 )
( -5.49348277460606246E-10 , 6.22126134326984191E-10 )
( 1.07602708059560010E-09 , 8.91846114414182252E-10 )
( -1.44436547349544620E-09 , -9.01779712343761788E-10 )
( 2.18052318237821864E-11 , -4.60614357108607549E-10 )
( -6.15295150115608044E-10 , -4.28421099099252006E-10 )
( 3.61697538123720489E-10 , -1.25419102354272955E-09 )
( 3.61654691622847394E-10 , -1.81451671772112892E-11 )
( 8.23533013475469826E-11 , 6.57565983714027008E-11 )
( 3.58686175880020858E-10 , -7.47386510588342969E-10 )
x=2,y=0,z=0,t=0
( 1.41364200392161273E-09 , 5.33894968332591879E-10 )
( 9.85625405605956473E-10 , -1.64858504106002950E-09 )
( 1.31530941757108916E-09 , -5.15802501066538442E-10 )
( 4.32200673218568917E-10 , 2.35738894905156499E-10 )
( -2.57590542338379221E-10 , -1.59730301456941252E-10 )
( 1.30389485372304773E-09 , -4.83609737300923028E-10 )
( -7.64391097133110721E-10 , -2.42978348401455308E-11 )
( 3.40815872323094538E-10 , 1.31857780988457209E-09 )
( -3.76678297170356378E-10 , 4.77165192634874027E-12 )
( 3.16819878259918545E-10 , -1.28646150258504486E-09 )
( -6.51429399151402966E-10 , -1.59057585910604592E-09 )
( -1.73810831298570648E-10 , -5.98606197376621185E-10 )
x=3,y=0,z=0,t=0
( -6.44833455139976042E-10 , -1.03211419812998344E-09 )
( -3.80025492568443002E-10 , 1.87437145528795479E-09 )
( 1.38641166162693908E-09 , -8.13232758940108959E-10 )
( -5.01840224584388597E-11 , -8.42311477243605728E-10 )
( 5.27058773634674561E-10 , 1.88938410251894613E-10 )
( 1.89419738576069697E-09 , -1.11544137501346841E-09 )
( 7.21007976819431683E-10 , -1.40688601086709776E-09 )
( -2.30947400601675908E-09 , 1.36985336778968893E-09 )
( 2.28193530253087927E-09 , 8.12587995020928130E-10 )
( -5.12458396632699941E-10 , 2.54408992900561677E-09 )
( -2.37563083816999360E-09 , 4.16550283986233654E-10 )
( -7.94630205761446181E-10 , -2.25074346546352684E-09 )
x=0,y=1,z=0,t=0
( 1.56003252219818625E-09 , -2.27906374474482783E-09 )
( -1.46519119406996778E-09 , -3.06195732857099973E-10 )
( -2.41521462909761722E-09 , 1.08583537383971894E-09 )
( -3.95029912867937487E-10 , -2.91327731934282749E-11 )
( -1.76785056606486764E-10 , 1.34563723184458876E-09 )
( 5.09963901046464298E-10 , 2.68890353716233100E-09 )
( 1.24770185301439247E-09 , -6.76783378013163222E-10 )
