x=0,y=0,z=0,t=0
( -6.50339090255015988E-11 , 3.79078801552150966E-11 )
( 3.18840683073850395E-11 , -6.32916385980927843E-11 )
( -7.33942662063009694E-12 , -5.47223767094019657E-11 )
( -5.70495316886986034E-11 , 8.07293007343301689E-11 )
( -6.83733133585861545E-11 , 9.52519625591691333E-11 )
( -2.09157452648453217E-11 , 2.08834124244392470E-12 )
( 1.90807430678977933E-10 , 2.79428895091226486E-11 )
( 4.49013787841273176E-11 , -1.12431051150559201E-10 )
( -1.39463502763630673E-10 , -1.85261925471913152E-11 )
( -2.62719151328919168E-11 , 1.27824189419433034E-11 )
( 5.18333937225011622E-11 , 3.67226150850303873E-11 )
( 4.06945974719536643E-11 , 3.58098336338377725E-11 )
x=1,y=0,z=0,t=0
( -2.18919604692354395E-11 , 8.99947594401207075E-11 )
( 4.32097015634381008E-11 , -1.00591283687757080E-10 )
( -5.82867495934353113E-11 , -1.62929108371742983E-10 )
( 1.05265965889692234E-10 , 7.02643221908229534E-11 )
( -1.38774135589875748E-10 , -4.02823113277683903E-11 )
( -5.86340755389151634E-11 , 4.27111930925762552E-11 )
( 8.95727734535934961E-13 , 3.94059523565699538E-11 )
( 1.49973956089033904E-10 , -7.65947045822732987E-11 )
( -2.02600102445948731E-11 , -1.01820566582006651E-10 )
( -5.87639595634954958E-11 , 3.15404934355192346E-12 )
( -1.57818112624330077E-10 , -5.54230181620045362E-12 )
( -1.10057328866810979E-12 , -2.61679692937879019E-11 )
x=2,y=0,z=0,t=0
( -5.73232314250908500E-11 , 7.17842544015020276E-11 )
( 6.97447586029976349E-11 , 5.47461291788589888E-12 )
( 7.26631745226107541E-11 , -5.97594255304095150E-11 )
( 1.29540300968849359E-11 , 6.45368605376945022E-11 )
( -1.39220912859584116E-10 , 8.32322992850721549E-11 )
( 4.02609374797738120E-11 , 1.60260612896763190E-10 )
( -2.78818809043250577E-11 , -6.27475464762602835E-12 )
( 2.12692471387076249E-10 , -1.79183646705242836E-10 )
( -1.36791602397946312E-10 , -1.05506126503099914E-10 )
( -1.01365803945718537E-10 , -5.10233001616345948E-12 )
( 1.83140716386909085E-11 , -4.61885187910880680E-11 )
( -7.11956183976859115E-11 , 7.33302520878642205E-11 )
x=3,y=0,z=0,t=0
( -2.12731219532557346E-10 , 1.28047157211263861E-10 )
( -8.23465424791067195E-11 , -5.36696107374297082E-12 )
( 9.77685019881671458E-11 , 1.13928741524257202E-10 )
( 1.13105411497547670E-10 , 5.03736247597920574E-11 )
( -7.33191749949406860E-11 , 1.28698447508084984E-10 )
( 3.80057579026421346E-11 , 5.85186397984183065E-11 )
( 1.02570577547023940E-11 , -1.34194982211022742E-11 )
( -3.39988371149452179E-11 , -1.20801239870471068E-11 )
( 3.19233424890130432E-11 , 5.84595368795991526E-11 )
( -1.71840024899531967E-10 , 2.96752562582677813E-11 )
( -1.16664685499993351E-10 , -3.14742815691738014E-11 )
( 7.60474761213743329E-11 , -1.45875286946924645E-10 )
x=0,y=1,z=0,t=0
( 1.80316186448176058E-10 , -1.31914402962029672E-10 )
( -1.11736557811841792E-10 , 8.75242477860576009E-11 )
( -1.43615688105545696E-10 , 4.69823064853841895E-11 )
( 1.48289543662938920E-11 , -6.79217450950148529E-11 )
( -4.34074784269268488E-12 , 7.01481199983913132E-11 )
( 5.35710088726379830E-11 , 6.09878157695331416E-11 )
( -2.35571340165811816E-11 , -1.02056477448848049E-10 )
( -4.64605318537826602E-11 , -1.56802976349898449E-11 )
( -5.02003367182354380E-11 , -2.47139567937395684E-11 )
( -1.12655071204364308E-10 , -7.30748146643803265E-11 )
( 7.42259450154118776E-11 , -1.69635096848119547E-11 )
( 3.89268938656655957E-11 , -1.28079073056567612E-12 )
x=1,y=1,z=0,t=0
( -9.79400265633278352E-11 , 1.36646860395010135E-10 )
( -5.61486614785162980E-11 , 4.21178274734527193E-11 )
( -2.95167340825966405E-11 , 7.72304212627101248E-12 )
( -4.85191443638865882E-12 , 1.05472793567916697E-11 )
( 1.13058204666101062E-10 , 2.38601485069832532E-11 )
( -8.48890517042377842E-11 , 4.07382356651013653E-11 )
( 5.20186887238395852E-11 , -3.28055730854311083E-11 )
( -1.19797672999603713E-10 , 1.39294774023422114E-11 )
( 2.77476681057641232E-11 , 9.93150245735443112E-11 )
( -1.38371011906286588E-10 , 3.26712038497840547E-12 )
