x=0,y=0,z=0,t=0
( 4.08869518445218738E-02 , 3.74313686529985021E-02 )
( 9.27748639650352869E-02 , -1.93725224392012729E-01 )
( -2.56696322537752451E-02 , 5.14498624845012298E-02 )
( -3.49766275347500738E-02 , -5.37025157909177597E-01 )
( 1.79506369845435110E-01 , 2.40305872851512281E-01 )
( 1.02923280531312111E-01 , 4.01457057847690799E-02 )
( 8.71026989326344897E-02 , 4.94790607439867303E-01 )
( -4.94561033007553524E-02 , -2.36309716449407903E-01 )
( 1.52705682659889597E-01 , -3.05497665413187736E-02 )
( -2.73706085784782394E-01 , 1.60139984707420996E-01 )
( 7.65427281075194144E-03 , -2.55697965003266470E-01 )
( -1.29375721474293853E-01 , -4.35129007260027900E-01 )
x=1,y=0,z=0,t=0
( 2.06550036175998791E-02 , 6.23332602031784894E-03 )
( -6.59426931987385778E-02 , -2.00307812335543234E-01 )
( -3.22729218231021242E-01 , -1.61857449513130372E-02 )
( -1.58102267051276058E-01 , 1.46790315830076679E-01 )
( -1.93061465412330061E-02 , 1.79859707251630280E-01 )
( 4.23807346905779869E-02 , -1.76304594188292141E-01 )
( 6.32722373941117106E-03 , -6.27446081472829015E-02 )
( -6.79957117047180898E-02 , 1.01564287714542553E-01 )
( 8.43803732094466907E-03 , -1.85610409526162673E-01 )
( 1.69128453626968545E-01 , -3.20685626138694224E-02 )
( 2.08809334325308071E-01 , 1.92596181341951139E-01 )
( 1.95467808700554024E-01 , 2.01218696414200177E-01 )
x=2,y=0,z=0,t=0
( -1.65038806401270055E-01 , -1.44506362483060258E-01 )
( -1.22198477742130857E-01 , -1.64620430768290804E-02 )
( -1.08281053553606482E-02 , 1.97124269737758401E-01 )
( -1.76021865861469062E-01 , -5.33956695249684643E-02 )
( -2.73983273407954031E-01 , -2.82145743347724520E-01 )
( 1.60044565568218500E-01 , -7.42616537260992471E-02 )
( 4.09293163180179248E-02 , -2.21288160538336443E-01 )
( 1.53271338572701171E-01 , -5.27151926159841328E-02 )
( 1.87528724659861645E-01 , -2.17355530766759619E-01 )
( 5.02448658581183399E-02 , -2.76031959011689143E-02 )
( -3.06255547111733695E-02 , -5.32643012923424142E-02 )
( -2.37459055197864199E-01 , 1.27641944655367712E-01 )
x=3,y=0,z=0,t=0
( 1.81539455245004838E-01 , -1.09267705413383806E-01 )
( 2.03441721943922182E-01 , -1.79183388883832451E-01 )
( 8.57122677052483128E-02 , -1.11741829311609364E-01 )
( 3.23441761070111800E-02 , -2.38899278588732972E-01 )
( 8.43132963192974871E-02 , -2.63819704296640173E-02 )
( -2.39178353350406159E-01 , 1.43913927740647984E-01 )
( -3.62966946775364618E-02 , 4.04554009038861906E-02 )
( -3.84863736724319949E-01 , 1.93554204180587747E-01 )
( 5.43381025536413820E-02 , -3.43172814442447710E-02 )
( -4.81721211983886788E-02 , 1.78605785576246678E-01 )
( 6.35743457790646449E-01 , 7.91387203575109610E-02 )
( 4.74285932843031777E-01 , -4.00476100461152451E-01 )
x=0,y=1,z=0,t=0
( 3.89419694332926336E-01 , 3.93108600861622803E-01 )
( 1.03529415234335523E-01 , -2.22045315940333221E-02 )
( 1.90701180578843138E-01 , -3.06589439931361896E-01 )
( 4.92382501276827700E-01 , 1.62007019237823652E-01 )
( 8.16057978304246118E-02 , 1.76562472242945967E-01 )
( 5.71583311443202707E-02 , -2.11991825893557334E-01 )
( 3.87250800656264160E-01 , -3.71581150833850127E-01 )
( -2.29949540886681209E-01 , -1.91034912176907989E-01 )
( -2.44556560657427258E-01 , 4.11486417655836934E-02 )
( -8.25110961967822076E-02 , -4.04997980509831518E-02 )
( -2.03205628230357926E-02 , 7.42452014110921432E-02 )
( -4.56465639162763615E-02 , 6.61634704139650642E-01 )
x=1,y=1,z=0,t=0
( 1.82983692886554666E-01 , -3.07167592049251079E-02 )
( 2.82825930108201840E-01 , 5.99345960808347067E-02 )
( 1.10908776233066539E-01 , 6.53835839818800099E-03 )
( -1.39741865054412634E-01 , -2.54396117248172515E-01 )
( 1.61018862534424462E-01 , 1.18929208802762060E-01 )
( -8.79853381427410930E-02 , 1.89714486081413169E-02 )
( -6.87930323870957067E-02 , 3.48151485100126723E-01 )
( 1.68731813566869560E-01 , -3.67767387660822176E-01 )
( -1.79944785371631499E-01 , 2.04053244192738292E-01 )
( -1.95041922040655624E-01 , -3.43961871348243131E-02 )
( 1.97915587451854447E-01 , -5.26294249630655409E-01 )
( -3.68547126446805429E-01 , 5.12089507376209327E-02 )
x=2,y=1,z=0,t=0
( 1.28108356699520476E-01 , 2.53742310855132047E-02 )
( -1.02965332145019670E-01 , -2.37142925910000690E-01 )
( -2.04675003413202355E-01 , 4.20228872734398184E-01 )
( -8.28280623653747106E-02 , -4.41840299027888794E-01 )
( 4.42223407973983823E-02 , 2.56207142821173683E-01 )
( 4.78931281204503234E-03 , -1.84420463789289946E-01 )
( -7.99388498468142084E-02 , -2.33617198599792089E-02 )
( 5.13050362911773639E-01 , -3.35943351867195816E-01 )
( 2.18287137051887611E-02 , -7.28392181639722774E-02 )
( -1.12250377017971290E-01 , 3.67244048676245716E-01 )
( -1.50025732352701391E-01 , -1.32907856973544097E-02 )
( 1.27575918016434198E-01 , -1.31720422012966548E-02 )
x=3,y=1,z=0,t=0
( -1.84388359495887305E-01 , -3.36071142243779208E-01 )
( 1.13685708981466294E-01 , -3.61054264723288276E-01 )
( -4.14322430962752453E-02 , 2.68890985283539496E-01 )
( -2.51469411690562805E-01 , -9.36367479643618050E-02 )
( -2.93673046610502197E-01 , 6.37161860320692025E-02 )
( 1.35070486822025687E-01 , -4.87121715978987291E-02 )
( 2.19464699480156622E-01 , -2.03726900404969727E-02 )
( -1.37649821887358970E-01 , 4.27003244044657060E-01 )
( 8.53168746979439258E-02 , 2.16698420998714877E-02 )
( -1.69845170127451484E-01 , -2.96502219589663718E-01 )
( -3.10050788352987827E-01 , -9.79902201670266731E-02 )
( -4.41347763388868428E-02 , 5.32453661671053458E-03 )
x=0,y=2,z=0,t=0
( 3.72739543218479796E-01 , -6.39660198255273538E-02 )
( 1.00944323329243218E-01 , 4.63448874868977456E-02 )
( 4.87838342501135003E-01 , 5.13659233509407842E-02 )
( -1.47801714572024151E-01 , -4.72922137828826972E-01 )
( -7.21421111217384947E-01 , -1.03626150478941456E-01 )
( -2.30501637221891015E-01 , 2.46824275884258842E-02 )
( 2.04028525907772873E-02 , 1.91474126294839786E-01 )
( -1.63474420008264232E-01 , -5.27065523801374503E-01 )
( 1.71192922811079146E-01 , -2.14565023076113526E-01 )
( 3.89056251763094108E-01 , 7.44118363816991674E-02 )
( -5.03706106266503389E-02 , -1.07491021645344381E-02 )
( 2.83095005953363787E-01 , -1.77108730994551961E-02 )
x=1,y=2,z=0,t=0
( -3.39576077793645736E-01 , 1.73078542892971476E-01 )
( -5.35281571106366871E-02 , 1.34977163947018697E-01 )
( 1.85940060584680961E-01 , 1.20349860920541632E-01 )
( 1.66155685615695325E-01 , -2.73339572051607860E-01 )
( -1.14803623705997448E-01 , 1.91166128534881546E-01 )
( -2.23470667697527464E-01 , 2.19803903484187019E-01 )
( 1.20401961105983557E-01 , 1.52343968800867591E-01 )
( -3.53283851950585370E-01 , 3.47714855805991818E-01 )
( -1.34408228562926502E-01 , 1.07825799574426118E-01 )
( -3.29341481952092785E-01 , -4.55491652676326964E-02 )
( 4.09465032668057324E-03 , 1.24770232628248101E-01 )
( 2.92574336812384594E-01 , 1.87984974128539151E-01 )
x=2,y=2,z=0,t=0
( 4.30938242478346889E-01 , -2.31840481981625018E-01 )
( -6.25909506702074792E-02 , -1.39522755620277744E-01 )
( 3.89645562888502939E-01 , -5.44877698443847924E-01 )
( -8.53423356649810394E-01 , -3.05687871660225041E-01 )
( 5.21258141143282838E-01 , -2.28342141265805154E-02 )
( -1.51168231702664968E-01 , -2.50131347052160280E-01 )
( -1.09231465001946540E-01 , 5.38925780820943223E-01 )
( -1.82283412189894800E-01 , 3.35974592384531090E-01 )
( 3.22890676865818960E-01 , -1.52598463888175634E-01 )
( 5.91451778829170438E-01 , -1.13469479149980040E-01 )
( -4.87222753432820677E-01 , -6.92758670648738195E-02 )
( 9.06885964170887404E-01 , -3.53916591509824796E-01 )
x=3,y=2,z=0,t=0
( 5.53832044863510564E-01 , -6.10092877996976535E-01 )
( 1.25559584427356513E-01 , 9.29527802559785982E-02 )
( -1.99962430193482449E-01 , -8.05354711666894374E-02 )
( -4.39585075378635171E-01 , 3.74762749207430135E-01 )
( 1.34216598014844091E-01 , 2.80969800948869419E-01 )
( 3.56926151861419114E-02 , -1.95240402852189521E-01 )
( -1.36618147207026502E-01 , -2.01576333848843076E-01 )
( -1.00123027546842935E-01 , -5.49784387137796093E-02 )
( 1.20471279773810155E-01 , -9.89609044647810354E-02 )
( -2.17702806857680842E-01 , -1.90059234446556868E-01 )
( 1.94336361660723045E-01 , -5.19194338700185026E-02 )
( -2.39842435366900503E-01 , 2.67346653385620803E-01 )
x=0,y=3,z=0,t=0
( 6.61290053599358663E-01 , 5.35803898377565480E-01 )
( -2.84763553150153781E-01 , -2.79724945475908038E-01 )
( 2.25811150687071777E-02 , 5.14049525507089822E-02 )
( -3.33459916258982900E-02 , -4.50741351143878033E-01 )
( 4.33306726728177827E-01 , 1.20835189749892963E-01 )
( 3.95480092179979925E-01 , 6.28546934830572085E-02 )
( -2.78433702964250795E-01 , 4.40001768456683651E-01 )
( -6.73080868539811389E-02 , 4.03717784942650149E-02 )
( 2.11337153873486061E-01 , -9.23041262953381014E-02 )
( -1.27310686565140219E-02 , -2.29702153616743981E-01 )
( -5.60009059735401271E-01 , 3.84687717255685901E-01 )
( -2.07523823864586676E-01 , -1.04648836942833778E-01 )
x=1,y=3,z=0,t=0
( -2.69922974870423715E-01 , 1.01904061298952409E-01 )
( 7.75144978503961163E-02 , 1.69749434307573555E-01 )
( 4.72234890476663449E-01 , -1.44837853468784195E-01 )
( 3.69863893911919095E-01 , 5.48673428168186816E-02 )
( 1.14927599302233049E-01 , 3.02324422271296522E-01 )
( 2.59457720152079518E-01 , -6.92286580019784159E-02 )
( -5.10562926314473753E-01 , -2.67737360667470448E-01 )
( 2.77193195909888723E-01 , 2.82060310824770732E-01 )
( -2.63146992037285310E-01 , 1.15112863351382932E-01 )
( 1.13373520164199104E-01 , -1.99192251979476653E-01 )
( -1.07573589232307087E-02 , 2.51445802079966751E-01 )
( 9.97992536338446617E-02 , 3.92088472593828813E-02 )
x=2,y=3,z=0,t=0
( 1.40648351067968191E-01 , -1.94241691485421142E-01 )
( 1.53726721488729068E-01 , -4.27520472543170549E-01 )
( 3.57282556416886110E-01 , -1.04278487529316455E-01 )
( -1.19698473379547671E-01 , -6.27330604972168582E-02 )
( 9.58985367116955423E-02 , -7.34546192890550703E-02 )
( 7.25038784647229900E-02 , -3.47369616479625831E-03 )
( 1.72725411118273053E-01 , 1.63208386434283814E-01 )
( -2.97530687357153878E-01 , -5.66056050358965335E-01 )
( -2.04831086780997040E-01 , 2.98975310367142200E-01 )
( 1.16802320281964467E-01 , 3.40470252397874554E-02 )
( -2.29921301936373779E-01 , 1.93853793064533875E-01 )
( -3.67828625390821673E-01 , -5.35635437915679413E-02 )
x=3,y=3,z=0,t=0
( 1.16520427429635684E-01 , 2.38047191448008788E-01 )
( 3.52143412687014323E-01 , 2.12244945508892113E-01 )
( 2.96513538953182137E-02 , -5.82801882575241376E-02 )
( 4.01221938649318835E-02 , -4.67574707408271867E-02 )
( 2.60834774694074623E-01 , 1.18839079633905040E-01 )
( -2.38210676282362699E-02 , -8.06454650837667986E-03 )
( 8.38093166604916562E-02 , 7.90779930237691941E-02 )
( -8.78613330398853865E-02 , -6.76243408186771866E-02 )
( 5.43766042722253554E-02 , 1.02087755732376662E-01 )
( 5.54524789846812319E-02 , 1.91158831580221511E-01 )
( -1.12519239291491380E-01 , 2.20137041246966314E-01 )
( -1.15769043927105991E-02 , -9.84710771013249803E-02 )
x=0,y=0,z=1,t=0
( -4.70629676677288389E-01 , 1.98469305122792483E-01 )
( 1.34634335520456422E-01 , 3.03395584120305817E-01 )
( 4.29412259829554943E-02 , 3.77094278514156722E-01 )
( -5.33513959267935434E-01 , -2.42540126918429910E-01 )
( -4.10071725086699757E-02 , -9.99446619827230875E-03 )
( -1.22626857831001315E-01 , -7.12243666611490189E-01 )
( 5.57187141009333087E-01 , -1.74082590625826150E-02 )
( -3.29460214080536384E-02 , -2.43139512273360364E-01 )
( 5.78814509644144520E-02 , 2.75741706360226879E-02 )
( 1.92240195357240407E-01 , 2.42933148786527914E-01 )
( -2.07984249457482478E-01 , 1.19053609901753857E-01 )
( 4.16050992402363262E-01 , 2.11120549007215774E-01 )
x=1,y=0,z=1,t=0
( 1.42136924272872250E-01 , 2.58682648281074734E-01 )
( -3.51163622103587425E-01 , -4.10650264991712366E-02 )
( -7.68130573989842802E-02 , 4.28658131947888960E-02 )
( -1.46594486509153799E-01 , -5.21763147270146027E-02 )
( 5.25981044441714563E-02 , -1.56994251421331499E-01 )
( 2.22887360775899407E-01 , 6.21432180104706106E-02 )
( -3.27352928642321739E-01 , 1.83215418100139832E-01 )
( 1.66739237566900539E-01 , 2.31610063977690739E-01 )
( 4.78540324365817060E-02 , -4.20344591816388669E-01 )
( -1.49037094550376642E-01 , -4.18132564020348568E-02 )
( -2.84310554316134501E-01 , 1.23591839341327114E-01 )
( -2.43054799132372046E-01 , 7.86008496082446079E-02 )
x=2,y=0,z=1,t=0
( -2.70716693493466276E-02 , -5.30495412731371851E-02 )
( 4.21751418878439588E-01 , 5.09668107186132813E-02 )
( 2.97209568076965691E-03 , 5.16005092730356996E-01 )
( -2.71090136464468626E-02 , -1.87725416511050736E-01 )
( -4.94617433011456942E-02 , 3.42981440598715714E-01 )
( -1.28861855533123515E-01 , -1.98964448191084303E-01 )
( -2.71269498736357195E-01 , 5.82454907978816827E-01 )
( 3.13557652609309900E-01 , 1.52679476340168485E-01 )
( 1.12644595849740375E-01 , -1.15868487342140378E-01 )
( 3.06506165923593893E-02 , 3.77728738979869583E-01 )
( -8.27947966304663219E-02 , 3.20181038071926216E-01 )
( 1.84102594432772493E-01 , 4.05411406949590325E-01 )
x=3,y=0,z=1,t=0
( -2.05258082669959679E-01 , -4.46405237243670094E-01 )
( 4.02883075427407422E-01 , 8.20162853962294464E-02 )
( -5.85160154981667624E-02 , -4.07498764394742252E-01 )
( -1.47098732338981797E-01 , 2.67795939053152632E-01 )
( 1.83358252560859275E-01 , 5.08895713878288747E-02 )
( 1.02510140802510932E-02 , 2.88000298341772099E-01 )
( -3.97338155823720035E-02 , 1.56615302409190249E-01 )
( 2.07549729467306210E-02 , 3.14511773326654309E-01 )
( -2.06373042842615095E-01 , 6.13300746808068190E-02 )
( -3.00287044080360832E-01 , 5.43063175786701810E-02 )
( -1.48339371927315417E-01 , -2.40309028289686755E-01 )
( -1.51726619786181016E-01 , 1.34221963014685197E-01 )
x=0,y=1,z=1,t=0
( -1.14707916541376492E-01 , -3.21051959569716827E-01 )
( 2.53435444723254466E-01 , 4.43662614274891121E-01 )
( -5.24912702153150112E-01 , -1.39404344434028299E-01 )
( 2.59220437194549624E-01 , -2.96083980599095464E-01 )
( -3.50723255130336420E-01 , -2.90834989843337000E-01 )
( 4.79236884175666261E-03 , -1.50155609492700459E-01 )
( -1.16815011025580118E-01 , -3.14893247381666908E-01 )
( 3.44002440882064053E-01 , 5.34518415849270956E-01 )
( 2.41597386790739749E-01 , 3.15773173043754962E-01 )
( 1.23875368680970238E-01 , 3.81144154026287069E-02 )
( -2.35955084254804853E-01 , -4.91027285440386374E-01 )
( -2.90520009047761318E-01 , 9.66365864524568741E-02 )
x=1,y=1,z=1,t=0
( -1.93391687580659805E-01 , -1.82777248622073674E-01 )
( -3.92663066703418995E-01 , 5.04062762009238607E-02 )
( -3.47450302125628219E-01 , -1.63732443937779082E-01 )
( 5.31212923474007725E-01 , -1.96764939422679586E-01 )
( 4.80486188185004354E-02 , 7.64842092721613187E-02 )
( 5.41014298974253682E-01 , -9.53968818612623698E-02 )
( -2.57657474688733679E-01 , 6.57498035239225537E-02 )
( -1.16757674740391615E-01 , -2.48616079891111758E-02 )
( -6.81069493018845451E-02 , 2.38395874658437312E-01 )
( -3.07972871860790864E-01 , -1.64236772944782922E-01 )
( 1.71351813651870605E-01 , -3.84774584760442351E-01 )
( 9.62525170896726262E-02 , -4.58509692960316073E-01 )
x=2,y=1,z=1,t=0
( 2.75462111066135051E-01 , -1.44952615252431555E-01 )
( 9.85284286782751872E-02 , -1.54887243225672100E-01 )
( -2.06146127028874637E-01 , 3.77542535124724410E-02 )
( -4.60927494872539617E-02 , 3.20034826129746847E-03 )
( 1.62601910055538590E-01 , 1.21548235107408725E-01 )
( -1.13131054803359249E-01 , 2.57983127462167228E-01 )
( -1.66089200990962693E-01 , -1.97520645938410511E-01 )
( -2.32408946932536387E-01 , -1.31784783798640615E-01 )
( -4.46938417299656665E-01 , -1.49810183900339483E-02 )
( -1.39433817272912819E-01 , 2.04326808195780529E-02 )
( -1.91646930581425678E-01 , -1.91755631777845104E-01 )
( 1.62003847987925331E-01 , 2.14259790419064622E-01 )
x=3,y=1,z=1,t=0
