x=0,y=0,z=0,t=0
( -4.51534461330661337E-07 , -3.90992167118903317E-07 )
( 1.20754606490780682E-06 , -1.23975029267431898E-06 )
( -1.21161220464618998E-07 , 5.19823758097996715E-07 )
( 8.27963212168819823E-07 , -7.47272619124293739E-07 )
( 2.22872134413399624E-06 , 4.84049883518487233E-08 )
( -9.09094816221744063E-07 , -6.41923101225197890E-07 )
( 1.15763484106725527E-06 , 1.37390523663437773E-06 )
( 2.74172919356952151E-07 , -1.02777683128888466E-06 )
( 4.56688231333978458E-08 , 8.71676154190204854E-08 )
( 4.18561867053069109E-07 , 1.59205385706667725E-07 )
( -4.26512522292539943E-07 , 3.46747873295101744E-07 )
( 7.83272747565292965E-07 , -8.59463230601857155E-09 )
x=1,y=0,z=0,t=0
( 1.78709013466190268E-06 , -5.83339604433571470E-07 )
( -1.12156438415752098E-06 , -4.26360572619116205E-08 )
( 8.05282188207879161E-07 , -3.20660237865997406E-07 )
( -5.08366957539468049E-09 , -3.71889743865790437E-07 )
( -3.04852389066454834E-07 , 3.26101342006816272E-07 )
( 9.06444887368438158E-07 , -2.54708001949068743E-07 )
( -4.06259054745645111E-08 , -4.87089944860715611E-07 )
( -2.63579217548486127E-08 , 6.04412293024659250E-07 )
( 5.19823406142477479E-07 , -6.15512855807369059E-07 )
( 7.68247379932819950E-07 , -2.32729109704067011E-07 )
( 1.73056844850530984E-07 , 1.07208167811487937E-08 )
( 6.12436788054862845E-07 , 4.84501702390792425E-07 )
x=2,y=0,z=0,t=0
( -2.77832695961679415E-07 , -3.83368947238124642E-07 )
( 7.75600114637214442E-07 , -1.21416591948091449E-07 )
( 1.11643872075363388E-06 , -1.90693112381968431E-07 )
( -8.52942545595319300E-09 , -2.70370114535972666E-08 )
( -3.07434941526190602E-07 , 6.96069033894807298E-07 )
( -5.14974941945176526E-07 , -1.91115126653090548E-06 )
( -3.15839104043538056E-07 , 1.14134716213960349E-06 )
( 1.58135220749161958E-06 , 4.55995373618833170E-07 )
( 4.54907681082602117E-07 , -6.68850885053016736E-07 )
( -6.95207177705157383E-07 , -8.80789463338459118E-07 )
