index: 0
( 3.62566019692395919E-05 , 2.59815368405586357E-04 )
( 1.87449199754841696E-04 , 4.18351782074153559E-04 )
( 1.26358169885655347E-04 , -2.84212327711382169E-04 )
( -2.05414350203171375E-04 , -1.49197476382651373E-04 )
( 3.23642073522629570E-04 , 5.09584980993702712E-05 )
( 3.46072539980941799E-05 , 2.66783126408201706E-04 )
( -4.49602221816017386E-04 , 1.14621090640891574E-04 )
( -3.34426815632623805E-05 , 7.76297329024768922E-05 )
( -3.02418862640165182E-04 , -1.48119042199753941E-04 )
( 3.62380689271649126E-04 , 4.93891217341257613E-05 )
( 1.26148159012834989E-04 , 1.71164270288235115E-04 )
( -4.60500053516055329E-04 , 9.82020353692023918E-05 )
index: 1
( -1.76779328482448879E-04 , -9.55518591277754387E-05 )
( 1.13898110223650275E-04 , -8.59592621579969522E-05 )
( 5.04208066421759146E-06 , 2.71768778828767189E-04 )
( -1.85203883204281840E-04 , 1.85124681659613790E-04 )
( 1.57568731962978042E-04 , 3.61343203358607161E-04 )
( 4.01669341988615059E-04 , 2.00521453410552756E-05 )
( 3.26569455832186853E-04 , 3.84284134607768653E-05 )
( 4.00976458078262216E-05 , -1.22722993100115836E-04 )
( 1.23429428467245909E-04 , -1.65171414153622510E-04 )
( 3.09971767690719836E-05 , 1.07888104141597900E-05 )
( 1.99899049634345589E-04 , 3.96703553536647765E-04 )
( 3.59476342101353768E-04 , -1.45958686726883923E-05 )
index: 2
( 1.10947203300368205E-04 , -4.97934900137170103E-05 )
( 3.23703069456072676E-04 , 1.10527294141667695E-04 )
( -4.51988669030428235E-04 , -2.04474749510776530E-04 )
( 2.17928572970167613E-04 , -8.23128007283113142E-05 )
( 2.06583971579296383E-04 , 9.77492906249261993E-05 )
( -2.83029273125788875E-04 , 2.75330217793225249E-04 )
( 6.02996184374887602E-05 , -1.26483535599291333E-04 )
( -1.24875839971947831E-04 , -3.91033536799329970E-04 )
( 5.60644684809277543E-05 , 4.05696835282262180E-05 )
( 8.03801338919363966E-05 , -1.13146537006604932E-04 )
( 1.42845453643353844E-05 , 1.81834716890635553E-04 )
( -1.11185808811897435E-04 , 1.56440405974755156E-04 )
index: 3
( 6.72263073326033597E-04 , 3.21269041117088904E-04 )
( 1.54691713465929281E-04 , -1.63765680256875232E-04 )
( 2.49019540409244110E-04 , 4.31412876548655975E-05 )
( 4.48657746592535933E-04 , -1.58601078475240054E-04 )
( 2.33462144518137348E-04 , 2.95446410999058507E-04 )
( -2.38662049130491396E-04 , -2.83415533599911784E-04 )
( 7.47512235938402369E-05 , 7.52554447253201385E-04 )
( 1.29489799071855227E-04 , 6.91989161456324579E-05 )
( -2.12190199618738056E-04 , 7.04944343168842618E-05 )
( 2.41856866257380779E-05 , -3.96366353853784374E-04 )
( 8.27264626821978735E-05 , -2.77927711099234154E-04 )
( -4.25262145102501556E-04 , 4.38308094004644338E-04 )
index: 4
( 6.54169194842537738E-04 , -3.90291710372575726E-04 )
( -1.40620139277540068E-04 , -2.81670319901477031E-04 )
