index: 0
( -2.12175405122975571E-07 , -1.51405725064594343E-07 )
( 3.02496817719048979E-07 , 6.83295417924604207E-08 )
( 1.78527067180369736E-07 , 1.08885416683792015E-07 )
( -6.16125197242681868E-08 , 2.95158473290217334E-07 )
( 4.04007307089681308E-08 , 3.31973925951385525E-07 )
( -2.20546353291378915E-07 , 1.24040118814999480E-07 )
( -1.21505822046912700E-07 , -8.89549023104260410E-08 )
( -9.81381182067632368E-08 , -1.36919140463240454E-07 )
( -1.51556039459554278E-07 , 1.64161683603974010E-07 )
( -3.31560207206310434E-07 , -2.77209247182247424E-09 )
( -2.99583464118424635E-07 , 3.36464009178217817E-07 )
( 4.33079588701101663E-07 , -8.91453027755217197E-08 )
index: 1
( 1.70468352789816316E-07 , 1.75291059910912632E-07 )
( -1.28208013090819481E-07 , -6.65190301844063828E-08 )
( 1.63105192714607934E-08 , 5.82222419007153188E-08 )
( -1.72471415556781576E-07 , -7.06732879460601208E-08 )
( 1.46770909581992896E-07 , -9.19834592928254652E-08 )
( -1.37680789925631069E-08 , 6.49176566229915239E-08 )
( 2.15566088512529222E-07 , 5.00610019241795478E-08 )
( 9.45816232141401879E-08 , -7.95123858638232822E-08 )
( -1.73254707950782381E-07 , -6.07767326875003494E-08 )
( -9.66060594118092877E-08 , 2.72872133555082345E-08 )
( 1.12391859357449435E-07 , 2.78387962928259766E-07 )
( -7.94611965907295080E-08 , -2.24949187355272248E-07 )
index: 2
( 4.93590577802089766E-08 , -6.10538359434264305E-08 )
( 3.23975628723341139E-07 , 1.92356150334561570E-07 )
( -6.83622267185020630E-08 , 3.47540447793708392E-08 )
( 7.07616660771529238E-08 , 3.03630579359849000E-08 )
( -2.82387128559756999E-07 , -3.28768010450014185E-07 )
( -5.50285412521621172E-08 , 4.54453589430704189E-08 )
( 3.47991201019902095E-08 , -1.90818974802287474E-07 )
( 1.07603759466923777E-08 , -9.38676917105852779E-09 )
( -6.17602417990584760E-08 , -2.41954844454937493E-07 )
( 1.53297309453552959E-07 , -9.34167450429955480E-08 )
( -1.03872576173825974E-07 , -2.46008189809944484E-08 )
( -8.04505870222791181E-08 , -1.44320610282475853E-07 )
index: 3
( -3.73354168400558674E-08 , -8.38323583732997093E-08 )
( 2.27533945988160432E-07 , -1.03289061501576663E-07 )
( 2.43209003812398090E-07 , -1.15364630775091960E-08 )
( 1.34529917254467164E-07 , -1.42235774711259023E-08 )
( -1.47319958768014440E-07 , -1.87153196754372921E-08 )
( -3.15425988504451389E-07 , 1.89150283850151766E-08 )
( -1.39065977813964283E-07 , -1.10265695554351957E-07 )
( 3.85087224524472959E-09 , -2.45510673058735897E-07 )
( -1.51475421286520108E-07 , 1.61534819303863860E-07 )
( 1.20509263784438945E-07 , 6.46856628234939603E-08 )
( 3.31014411793627054E-07 , 1.36177906533925597E-07 )
( 1.95729188617725179E-07 , -1.06572718874843547E-07 )
index: 4
( 8.78729067326976064E-08 , 3.37049784242988502E-08 )
( -1.85236288919239374E-07 , -3.67391921417868474E-08 )
( -6.58279778603172643E-08 , -3.04557588133981614E-07 )
( 5.75804948179903932E-08 , -9.20380051031348888E-08 )
( 2.25138513197308274E-07 , -1.09849034305963187E-07 )
( 2.99600934136514033E-07 , -2.27536523114274801E-08 )
( -8.39560396903604096E-08 , 1.63242834298211602E-08 )
( 3.37761381470675888E-07 , 1.07689277199906953E-07 )
( 2.74657706585011103E-08 , 6.10937202859482192E-08 )
( 1.63252860836987859E-07 , -7.77552748320895243E-08 )
( -1.83931256779035773E-08 , -4.49045716285626060E-08 )
( -4.57590490651454086E-07 , -2.12685645924378608E-07 )
index: 5
( -1.67972986121629663E-07 , -5.48737138751709947E-08 )
( -1.14739588265614876E-07 , -3.84023394576701797E-08 )
( 1.52979581351047087E-07 , 7.72245428515200757E-08 )
( -3.63214072824228659E-08 , 8.30216442296695488E-08 )
( -7.80188745990152664E-08 , 4.24727558931249173E-08 )
( -1.11819711835729493E-07 , 2.08974259612031533E-08 )
( -3.94167290405240459E-08 , 1.64111582361682989E-07 )
( -1.44744056485459841E-08 , -6.96668618780199765E-08 )
( -7.58363698021623233E-08 , -1.53894100695012510E-07 )
( -2.18427186817574386E-08 , 3.25913987951478034E-07 )
( 1.90057976281318554E-07 , -4.93646054351211580E-08 )
( 9.95992460836682698E-08 , 1.52958242888785335E-07 )
index: 6
